date,open,high,low,close,volume,dividend,split
2012-11-01,51.78,53.93,51.0,53.32,3788700,0.0,1.0
2012-11-02,53.65,53.65,52.71,52.9,2759000,0.0,1.0
2012-11-05,52.72,53.53,52.65,53.33,1523000,0.0,1.0
2012-11-06,53.2,53.99,53.2,53.89,2013700,0.0,1.0
2012-11-07,53.45,53.805,52.82,53.65,2374700,0.0,1.0
2012-11-08,53.6,53.96,53.11,53.11,2644100,0.0,1.0
2012-11-09,53.26,53.73,53.06,53.11,2969800,0.0,1.0
2012-11-12,53.11,53.59,52.76,53.41,1153000,0.0,1.0
2012-11-13,53.03,53.75,52.99,53.26,1101100,0.0,1.0
2012-11-14,53.31,53.49,52.71,52.8,1439800,0.0,1.0
2012-11-15,52.9,53.35,52.7,52.84,1998600,0.0,1.0
2012-11-16,52.73,53.05,52.19,52.89,1900500,0.0,1.0
2012-11-19,53.32,53.7,53.24,53.4,1355200,0.0,1.0
2012-11-20,53.24,53.86,53.04,53.86,2157300,0.0,1.0
2012-11-21,53.78,54.15,53.63,53.87,1018000,0.0,1.0
2012-11-23,54.07,54.79,53.88,54.76,659400,0.0,1.0
2012-11-26,54.11,54.65,54.03,54.6,1477200,0.0,1.0
2012-11-27,54.35,54.77,54.02,54.03,1760700,0.0,1.0
2012-11-28,53.8,54.54,53.62,54.43,1480800,0.0,1.0
2012-11-29,54.62,54.76,54.28,54.43,1462500,0.0,1.0
2012-11-30,54.52,54.86,54.305,54.45,3316100,0.0,1.0
2012-12-03,54.63,54.74,54.2,54.21,1518500,0.0,1.0
2012-12-04,54.27,54.68,54.14,54.22,1905500,0.0,1.0
2012-12-05,54.22,55.47,54.09,55.18,2698300,0.0,1.0
2012-12-06,54.96,55.13,54.65,54.74,2434300,0.0,1.0
2012-12-07,54.84,54.91,54.37,54.6,1248300,0.0,1.0
2012-12-10,54.42,54.76,54.42,54.65,1696700,0.0,1.0
2012-12-11,54.96,55.17,54.38,54.75,1860500,0.0,1.0
2012-12-12,54.78,55.14,54.45,54.52,1132400,0.26,1.0
2012-12-13,54.42,54.78,54.13,54.25,937900,0.0,1.0
2012-12-14,54.0,54.35,53.775,54.05,1049400,0.0,1.0
2012-12-17,54.06,54.681,53.9,54.28,1927500,0.0,1.0
2012-12-18,54.29,54.95,54.26,54.87,1089000,0.0,1.0
2012-12-19,54.78,54.82,54.31,54.33,1111200,0.0,1.0
2012-12-20,54.34,54.94,54.15,54.87,1146400,0.0,1.0
2012-12-21,54.68,54.71,54.02,54.58,2525400,0.0,1.0
2012-12-24,54.08,54.78,54.08,54.78,604900,0.0,1.0
