date,open,high,low,close,volume,dividend,split
2012-11-01,104.26,104.71,103.27,104.51,1150500,0.0,1.0
2012-11-02,104.89,104.95,103.29,103.55,1152200,0.0,1.0
2012-11-05,102.98,103.51,101.72,103.22,621500,0.0,1.0
2012-11-06,103.43,104.75,103.18,104.7,808900,0.0,1.0
2012-11-07,103.41,103.41,100.28,100.97,1226300,0.0,1.0
2012-11-08,101.15,101.68,100.18,100.18,698100,0.0,1.0
2012-11-09,99.43,100.16,99.0,99.09,1146500,0.0,1.0
2012-11-12,99.4,100.22,98.92,99.96,643700,0.0,1.0
2012-11-13,99.77,99.77,97.9,98.12,1165000,0.0,1.0
2012-11-14,98.47,98.54,95.9,96.16,1038100,0.0,1.0
2012-11-15,96.25,96.89,95.77,96.41,1229500,0.0,1.0
2012-11-16,96.46,97.38,95.71,97.1,980900,0.0,1.0
2012-11-19,98.13,98.69,97.44,98.18,705600,0.0,1.0
2012-11-20,98.0,98.89,97.26,98.48,636800,0.0,1.0
2012-11-21,98.4,98.48,97.45,98.29,367100,0.0,1.0
2012-11-23,98.75,99.67,98.6,99.67,202000,0.0,1.0
2012-11-26,99.15,99.44,98.39,98.91,591500,0.0,1.0
2012-11-27,98.88,99.2,97.88,98.65,647900,0.0,1.0
2012-11-28,98.22,98.47,97.07,98.28,693100,0.0,1.0
2012-11-29,98.44,98.44,97.02,97.26,663600,0.7,1.0
2012-11-30,97.41,97.93,96.94,97.73,740000,0.0,1.0
2012-12-03,97.9,98.15,96.93,97.18,502800,0.0,1.0
2012-12-04,97.21,97.64,96.03,96.15,899100,0.0,1.0
2012-12-05,96.53,97.0,95.68,96.32,755600,0.0,1.0
2012-12-06,96.33,97.475,96.15,97.34,934100,0.0,1.0
2012-12-07,97.35,97.74,96.85,97.64,571000,0.0,1.0
2012-12-10,97.35,99.4,97.04,97.99,723800,0.0,1.0
2012-12-11,98.22,98.49,97.51,97.8,684800,0.0,1.0
2012-12-12,97.94,98.87,97.61,98.11,948400,0.0,1.0
2012-12-13,98.66,99.185,97.76,98.25,718700,0.0,1.0
2012-12-14,97.71,98.14,97.65,97.91,895200,0.0,1.0
2012-12-17,98.22,100.15,97.81,99.89,1367300,0.0,1.0
2012-12-18,100.03,101.23,99.57,101.23,1882100,0.0,1.0
2012-12-19,100.81,101.63,100.35,100.62,695600,0.0,1.0
2012-12-20,100.62,101.42,100.47,101.13,654200,0.0,1.0
2012-12-21,99.96,100.58,99.47,99.86,1693000,0.0,1.0
2012-12-24,99.57,99.64,98.91,99.15,231900,0.0,1.0
2012-12-26,99.54,99.6999,98.32,98.87,396400,0.0,1.0
2012-12-27,99.04,99.12,97.0,98.26,576800,0.0,1.0
2012-12-28,97.51,98.4297,97.49,97.55,552600,0.0,1.0
2012-12-31,97.46,98.5,97.1,98.47,627800,0.0,1.0
2013-01-02,100.33,101.03,99.59,101.03,704900,0.0,1.0
2013-01-03,100.95,101.27,100.18,101.13,727000,0.0,1.0
2013-01-04,101.2,102.86,101.0,102.8,852100,0.0,1.0
2013-01-07,102.49,102.53,101.47,102.46,612400,0.0,1.0
2013-01-08,102.19,102.42,101.39,102.35,828200,0.0,1.0
2013-01-09,102.49,103.16,102.28,102.8,483200,0.0,1.0
2013-01-10,103.44,103.83,102.79,103.54,681900,0.0,1.0
2013-01-11,103.25,103.81,102.28,103.24,619000,0.0,1.0
2013-01-14,103.04,103.31,102.02,102.79,573000,0.0,1.0
2013-01-15,102.31,103.72,101.96,103.45,1165500,0.0,1.0
2013-01-16,104.25,104.25,102.57,102.9,1087000,0.0,1.0
2013-01-17,103.11,103.51,102.64,103.33,1066800,0.0,1.0
2013-01-18,103.75,103.83,102.7,103.29,949500,0.0,1.0
2013-01-22,103.06,104.82,103.06,104.76,1288400,0.0,1.0
2013-01-23,104.6,104.82,103.88,104.11,696100,0.0,1.0
2013-01-24,104.2,104.92,103.74,104.02,533000,0.0,1.0
2013-01-25,104.36,104.428,103.25,103.99,584800,0.0,1.0
2013-01-28,104.0,104.01,103.09,103.13,894500,0.0,1.0
2013-01-29,103.11,103.5,102.73,103.42,851600,0.0,1.0
2013-01-30,103.33,103.5199,102.35,103.31,1168400,0.0,1.0
2013-01-31,102.86,102.98,101.83,102.69,1128500,0.0,1.0
2013-02-01,103.23,104.14,102.67,103.92,721900,0.0,1.0
2013-02-04,103.33,103.48,102.44,102.7,521800,0.0,1.0
2013-02-05,103.08,104.63,102.66,104.46,773300,0.0,1.0
2013-02-06,103.68,104.14,103.394,104.05,587800,0.0,1.0
2013-02-07,103.66,104.33,102.98,103.79,498700,0.0,1.0
2013-02-08,103.85,104.54,103.61,104.39,408200,0.0,1.0
2013-02-11,103.93,104.36,103.74,104.24,468300,0.0,1.0
2013-02-12,104.36,105.68,104.21,105.45,653500,0.0,1.0
2013-02-13,105.69,105.86,104.41,104.67,660100,0.0,1.0
2013-02-14,104.51,104.92,104.03,104.6,794000,0.0,1.0
2013-02-15,104.98,105.1,104.0,104.83,639200,0.0,1.0
2013-02-19,104.99,105.895,104.87,105.78,1174600,0.0,1.0
2013-02-20,105.41,105.52,104.54,104.65,666100,0.0,1.0
2013-02-21,104.37,104.79,102.97,103.09,647000,0.0,1.0
2013-02-22,103.65,104.73,103.22,104.73,696300,0.0,1.0
2013-02-25,105.23,105.615,101.79,101.86,952800,0.0,1.0
2013-02-26,102.25,102.54,100.88,102.05,757300,0.0,1.0
2013-02-27,102.0,102.88,101.3001,102.65,626200,0.0,1.0
2013-02-28,101.77,102.77,101.55,102.09,741600,0.7,1.0
2013-03-01,101.59,102.88,100.82,102.66,616700,0.0,1.0
2013-03-04,102.17,103.36,102.17,103.27,537200,0.0,1.0
2013-03-05,103.65,104.18,103.44,103.66,793500,0.0,1.0
2013-03-06,104.1,104.19,103.355,103.83,785600,0.0,1.0
2013-03-07,103.95,104.12,103.45,103.96,604100,0.0,1.0
2013-03-08,104.57,104.6,103.63,103.96,556200,0.0,1.0
2013-03-11,103.98,104.22,103.75,104.18,660000,0.0,1.0
2013-03-12,103.81,104.2,103.804,104.09,989200,0.0,1.0
2013-03-13,104.15,104.31,103.68,104.22,475100,0.0,1.0
2013-03-14,104.42,104.77,104.24,104.67,395700,0.0,1.0
2013-03-15,104.65,104.87,104.02,104.35,968600,0.0,1.0
2013-03-18,104.1,104.6,102.5,103.31,636000,0.0,1.0
2013-03-19,103.64,104.03,102.63,102.85,867100,0.0,1.0
2013-03-20,103.46,103.49,102.69,103.29,1002100,0.0,1.0
2013-03-21,102.8,103.26,102.49,102.68,547500,0.0,1.0
2013-03-22,102.97,103.17,102.54,103.12,574600,0.0,1.0
2013-03-25,103.58,103.64,102.6,102.8,584600,0.0,1.0
2013-03-26,103.3,103.32,102.34,102.57,851100,0.0,1.0
2013-03-27,102.0,103.22,101.79,103.14,486500,0.0,1.0
2013-03-28,103.42,103.69,100.76,103.16,710800,0.0,1.0
2013-04-01,103.18,103.18,102.07,102.5,427700,0.0,1.0
2013-04-02,102.84,103.03,101.79,102.08,880600,0.0,1.0
2013-04-03,102.16,102.16,100.62,100.82,639800,0.0,1.0
2013-04-04,101.13,102.0,100.95,101.61,528800,0.0,1.0
2013-04-05,100.11,101.31,99.89,101.2,1127400,0.0,1.0
2013-04-08,101.12,101.185,100.42,101.09,1133400,0.0,1.0
2013-04-09,101.01,102.94,100.93,102.79,885600,0.0,1.0
2013-04-10,103.12,104.59,102.84,104.49,648800,0.0,1.0
2013-04-11,104.47,105.25,104.35,104.92,629400,0.0,1.0
2013-04-12,101.5,103.52,99.94,100.24,2484700,0.0,1.0
2013-04-15,100.0,100.469,98.36,98.36,1471400,0.0,1.0
2013-04-16,98.09,98.65,97.66,98.48,1470400,0.0,1.0
2013-04-17,97.55,97.81,96.43,96.55,882800,0.0,1.0
2013-04-18,96.62,97.96,95.68,97.57,1261500,0.0,1.0
2013-04-19,97.94,98.94,97.48,98.75,914500,0.0,1.0
2013-04-22,98.89,98.97,98.02,98.68,615800,0.0,1.0
2013-04-23,99.18,99.7,98.56,99.56,598400,0.0,1.0
2013-04-24,99.84,100.03,99.36,99.92,565900,0.0,1.0
2013-04-25,100.18,100.5,99.84,100.09,755000,0.0,1.0
2013-04-26,100.16,100.38,99.68,99.82,598800,0.0,1.0
2013-04-29,100.13,100.45,99.48,99.81,422700,0.0,1.0
2013-04-30,99.75,100.3795,99.04,100.2,657400,0.0,1.0
2013-05-01,99.87,100.14,99.34,99.54,731900,0.0,1.0
2013-05-02,99.71,101.15,99.46,100.42,717300,0.0,1.0
2013-05-03,101.07,101.41,100.5,100.77,420100,0.0,1.0
2013-05-06,100.76,101.44,100.68,101.23,282200,0.0,1.0
2013-05-07,101.5,102.355,101.27,102.3,501500,0.0,1.0
2013-05-08,102.34,103.34,102.0,103.19,407000,0.0,1.0
2013-05-09,103.17,103.49,102.73,103.07,472300,0.0,1.0
2013-05-10,103.31,103.69,102.83,103.52,374400,0.0,1.0
2013-05-13,103.17,103.9,103.0201,103.34,381700,0.0,1.0
2013-05-14,103.42,104.0,103.25,103.99,612400,0.0,1.0
2013-05-15,103.49,105.84,103.49,105.37,578800,0.0,1.0
2013-05-16,105.03,105.64,104.34,104.69,602200,0.0,1.0
2013-05-17,104.76,106.08,104.76,105.94,530900,0.0,1.0
2013-05-20,105.78,106.32,105.44,106.03,400800,0.0,1.0
2013-05-21,106.0,106.68,105.79,106.25,486300,0.0,1.0
2013-05-22,106.14,107.41,104.49,104.67,622200,0.0,1.0
2013-05-23,103.89,104.895,103.76,104.26,465900,0.0,1.0
2013-05-24,103.8,104.74,103.24,104.71,385900,0.0,1.0
2013-05-28,105.62,106.58,105.5,106.08,486300,0.0,1.0
2013-05-29,105.66,106.525,105.51,105.99,741400,0.0,1.0
2013-05-30,105.8,106.47,105.11,106.01,439000,0.7,1.0
2013-05-31,105.8,106.29,104.9,104.9,664700,0.0,1.0
2013-06-03,105.16,105.72,104.43,105.6,818100,0.0,1.0
