date,open,high,low,close,volume,dividend,split
2012-11-01,5.52,5.8,5.51,5.785,20757200,0.0,1.0
2012-11-02,5.82,5.87,5.65,5.71,24445700,0.0,1.0
2012-11-05,5.7,5.88,5.625,5.84,20052000,0.0,1.0
2012-11-06,5.88,6.09,5.86,6.09,46489800,0.0,1.0
2012-11-07,5.94,6.02,5.76,5.91,39729900,0.0,1.0
2012-11-08,5.87,5.93,5.66,5.69,30618500,0.0,1.0
2012-11-09,5.69,5.8,5.59,5.62,22103800,0.0,1.0
2012-11-12,5.63,5.6853,5.5,5.565,19265200,0.0,1.0
2012-11-13,5.47,5.81,5.46,5.74,29127300,0.0,1.0
2012-11-14,5.79,5.82,5.52,5.555,21264400,0.0,1.0
2012-11-15,5.64,5.64,5.41,5.47,19620000,0.0,1.0
2012-11-16,5.48,5.515,5.33,5.47,25895300,0.0,1.0
2012-11-19,5.56,5.67,5.51,5.535,28105900,0.0,1.0
2012-11-20,5.48,5.59,5.45,5.555,17348700,0.0,1.0
2012-11-21,5.53,5.56,5.46,5.52,17426100,0.0,1.0
2012-11-23,5.57,5.71,5.5417,5.68,13674700,0.0,1.0
2012-11-26,5.68,5.79,5.62,5.695,29431300,0.0,1.0
2012-11-27,5.71,5.78,5.65,5.68,34241300,0.0,1.0
2012-11-28,5.62,5.79,5.58,5.77,24166600,0.0,1.0
2012-11-29,5.8,5.92,5.74,5.91,25011800,0.0,1.0
2012-11-30,5.88,5.98,5.85,5.965,20270200,0.0,1.0
2012-12-03,6.02,6.03,5.9,5.93,15082300,0.0,1.0
2012-12-04,6.0,6.05,5.92,6.035,20645500,0.0,1.0
2012-12-05,6.05,6.2,6.015,6.18,18644200,0.0,1.0
2012-12-06,6.15,6.42,6.1,6.41,30376200,0.0,1.0
2012-12-07,6.42,6.51,6.35,6.435,22046900,0.0,1.0
2012-12-10,6.45,6.73,6.43,6.67,32458100,0.0,1.0
2012-12-11,6.7,6.84,6.63,6.77,24442700,0.0,1.0
2012-12-12,6.86,6.86,6.64,6.7099,28353700,0.0,1.0
2012-12-13,6.74,6.8,6.615,6.66,24047400,0.0,1.0
2012-12-14,6.74,6.8855,6.69,6.85,23368900,0.0,1.0
2012-12-17,6.85,6.9,6.54,6.605,34772400,0.0,1.0
2012-12-18,6.62,6.71,6.55,6.7,28810700,0.0,1.0
2012-12-19,6.71,6.87,6.7,6.82,25576000,0.0,1.0
2012-12-20,6.84,6.87,6.73,6.79,19997000,0.0,1.0
2012-12-21,6.48,6.49,6.18,6.32,58144400,0.0,1.0
2012-12-24,6.38,6.38,6.18,6.23,6840000,0.0,1.0
