date,open,high,low,close,volume,dividend,split
2012-11-01,23.89,24.3,23.75,24.16,1531800,0.0,1.0
2012-11-02,24.28,24.35,24.02,24.02,892700,0.0,1.0
2012-11-05,23.9,24.36,23.8,24.28,749400,0.0,1.0
2012-11-06,24.33,24.52,24.1,24.41,994900,0.0,1.0
2012-11-07,24.1,24.2,23.72,23.79,1583100,0.0,1.0
2012-11-08,23.75,24.15,23.55,23.56,1071100,0.0,1.0
2012-11-09,23.52,23.93,23.48,23.59,888700,0.0,1.0
2012-11-12,23.66,23.82,23.33,23.48,720000,0.0,1.0
2012-11-13,23.35,23.72,23.16,23.16,943300,0.0,1.0
2012-11-14,23.2,23.28,22.77,22.805,1698100,0.0,1.0
2012-11-15,22.79,23.105,22.63,23.07,1615700,0.0,1.0
2012-11-16,23.08,23.17,22.81,22.95,1763700,0.0,1.0
2012-11-19,23.21,23.32,23.1,23.3,1310800,0.0,1.0
2012-11-20,23.25,23.25,22.95,23.12,1339800,0.0,1.0
2012-11-21,23.15,23.25,22.98,23.23,581500,0.0,1.0
2012-11-23,23.34,23.8,23.2068,23.78,536200,0.0,1.0
2012-11-26,23.72,23.78,23.46,23.54,779700,0.0,1.0
2012-11-27,23.48,23.79,23.43,23.61,957700,0.0,1.0
2012-11-28,23.46,24.19,23.46,23.95,1759000,0.0,1.0
2012-11-29,24.0,24.35,23.92,24.26,969700,0.0,1.0
2012-11-30,24.24,24.415,24.12,24.23,1050800,0.0,1.0
2012-12-03,24.34,24.4,23.805,23.89,1405200,0.0,1.0
2012-12-04,23.89,24.16,23.87,24.16,1141800,0.0,1.0
2012-12-05,24.19,24.26,23.64,23.67,2659500,0.0,1.0
2012-12-06,23.67,23.82,23.445,23.69,2021100,0.0,1.0
2012-12-07,23.81,23.92,23.6,23.71,808700,0.0,1.0
2012-12-10,23.75,23.94,23.44,23.48,1219200,0.0,1.0
2012-12-11,23.64,23.69,23.47,23.56,1407300,0.0,1.0
2012-12-12,23.5,24.74,23.4,24.31,4559400,0.13,1.0
2012-12-13,24.18,24.46,24.18,24.33,2352500,0.0,1.0
2012-12-14,23.96,24.39,23.96,24.2,1562600,0.0,1.0
2012-12-17,24.33,24.69,24.264,24.68,1399100,0.0,1.0
2012-12-18,24.61,25.23,24.4701,25.21,1812000,0.0,1.0
2012-12-19,25.09,25.42,25.08,25.22,1483900,0.0,1.0
2012-12-20,26.75,26.8,25.68,26.1094,5394100,0.0,1.0
2012-12-21,25.84,25.84,25.29,25.49,2542900,0.0,1.0
2012-12-24,25.59,25.59,25.175,25.22,508900,0.0,1.0
2012-12-26,25.27,25.35,25.07,25.16,623100,0.0,1.0
2012-12-27,25.21,25.21,24.83,25.05,814400,0.0,1.0
2012-12-28,24.88,25.13,24.83,24.89,1254800,0.0,1.0
2012-12-31,24.88,25.025,24.751,24.99,712800,0.0,1.0
2013-01-02,25.41,25.76,25.28,25.76,1310600,0.0,1.0
2013-01-03,25.75,26.63,25.27,26.38,3502900,0.0,1.0
2013-01-04,26.31,26.5,26.18,26.48,1383900,0.0,1.0
2013-01-07,26.47,26.47,26.15,26.27,862900,0.0,1.0
2013-01-08,26.18,26.24,25.95,26.1,985500,0.0,1.0
2013-01-09,26.01,26.475,26.01,26.37,914700,0.0,1.0
2013-01-10,26.5,26.63,26.37,26.63,930600,0.0,1.0
2013-01-11,26.48,26.61,26.4,26.58,671500,0.0,1.0
2013-01-14,26.61,26.77,26.4944,26.72,1063300,0.0,1.0
2013-01-15,26.72,26.84,26.5,26.79,800500,0.0,1.0
2013-01-16,26.7,27.07,26.64,26.85,1104200,0.0,1.0
2013-01-17,26.96,27.2,26.79,27.07,960600,0.0,1.0
2013-01-18,27.13,27.26,27.03,27.129,693300,0.0,1.0
2013-01-22,27.2,27.51,27.11,27.5,971100,0.0,1.0
2013-01-23,27.48,27.5,27.1,27.38,859500,0.0,1.0
2013-01-24,27.39,27.59,27.39,27.51,770700,0.0,1.0
2013-01-25,27.7,27.72,27.37,27.7,621200,0.0,1.0
2013-01-28,27.63,27.91,27.53,27.78,869200,0.0,1.0
2013-01-29,27.71,27.99,27.65,27.9,1225200,0.0,1.0
2013-01-30,27.83,28.0,27.77,27.97,981900,0.0,1.0
2013-01-31,27.78,28.49,27.4,28.32,2172200,0.0,1.0
2013-02-01,28.62,29.06,28.41,28.64,1825800,0.0,1.0
2013-02-04,28.57,28.61,28.115,28.36,1114800,0.0,1.0
2013-02-05,28.59,28.92,28.27,28.81,1406800,0.0,1.0
2013-02-06,28.64,29.03,28.5,29.0,1019000,0.0,1.0
2013-02-07,28.97,29.29,28.83,29.26,942700,0.0,1.0
2013-02-08,29.4,29.49,29.142,29.47,863800,0.0,1.0
2013-02-11,29.49,32.1499,29.32,30.38,6707500,0.0,1.0
2013-02-12,31.33,31.65,29.93,30.55,3385000,0.0,1.0
2013-02-13,30.44,31.7,30.44,31.65,3210700,0.0,1.0
2013-02-14,31.51,31.51,30.41,30.6,5653100,0.0,1.0
2013-02-15,30.56,31.8,30.52,31.07,2765600,0.0,1.0
2013-02-19,31.24,31.565,31.1,31.49,1285000,0.0,1.0
2013-02-20,31.38,31.515,30.99,31.05,1421200,0.0,1.0
2013-02-21,31.03,31.24,30.75,30.98,1077800,0.0,1.0
2013-02-22,31.04,31.44,31.03,31.36,1740000,0.0,1.0
2013-02-25,31.52,31.78,30.82,30.83,1179400,0.0,1.0
2013-02-26,31.14,31.73,31.055,31.45,1847900,0.0,1.0
2013-02-27,31.25,31.88,31.25,31.79,1016800,0.0,1.0
2013-02-28,31.8,31.9,31.624,31.66,1164300,0.0,1.0
2013-03-01,31.6,31.7,31.18,31.58,1613000,0.0,1.0
2013-03-04,31.44,32.05,31.31,32.03,1628400,0.0,1.0
2013-03-05,32.08,32.83,32.08,32.45,1919000,0.0,1.0
2013-03-06,32.45,32.79,32.165,32.23,1427800,0.0,1.0
2013-03-07,32.3,32.3799,31.97,32.0,1432000,0.0,1.0
2013-03-08,32.23,32.35,31.965,32.025,1147500,0.0,1.0
2013-03-11,32.01,32.39,31.9236,32.31,681000,0.0,1.0
2013-03-12,32.05,32.24,31.995,32.1,943000,0.13,1.0
2013-03-13,32.11,32.34,31.91,32.12,958700,0.0,1.0
2013-03-14,32.2,32.78,32.175,32.6,846400,0.0,1.0
2013-03-15,32.77,32.89,32.43,32.57,1779200,0.0,1.0
2013-03-18,32.17,32.47,32.0,32.31,744200,0.0,1.0
2013-03-19,32.34,32.405,31.43,31.99,1555700,0.0,1.0
2013-03-20,32.06,32.22,31.865,31.94,1393300,0.0,1.0
2013-03-21,31.86,32.39,31.84,32.04,1202400,0.0,1.0
2013-03-22,32.19,32.44,32.0,32.36,749300,0.0,1.0
2013-03-25,32.44,32.71,32.03,32.14,846700,0.0,1.0
2013-03-26,32.29,32.54,32.23,32.51,750800,0.0,1.0
2013-03-27,32.16,32.51,31.9501,32.38,969300,0.0,1.0
2013-03-28,32.29,32.4,32.1101,32.3,1112400,0.0,1.0
2013-04-01,32.28,32.5,31.96,32.01,690200,0.0,1.0
2013-04-02,30.11,30.11,27.72,27.91,11443600,0.0,1.0
2013-04-03,28.01,28.6,27.87,28.27,3979100,0.0,1.0
2013-04-04,28.39,28.87,28.33,28.57,2353200,0.0,1.0
2013-04-05,28.36,28.89,28.36,28.76,2477900,0.0,1.0
2013-04-08,28.77,29.01,28.51,29.0,1437400,0.0,1.0
2013-04-09,29.09,29.15,28.35,28.75,1806600,0.0,1.0
2013-04-10,28.71,29.01,28.71,29.0,2028500,0.0,1.0
2013-04-11,28.98,29.42,28.91,29.17,1754500,0.0,1.0
2013-04-12,29.11,29.22,28.91,29.18,1218900,0.0,1.0
2013-04-15,29.0,29.28,28.5301,28.54,976500,0.0,1.0
2013-04-16,28.69,28.85,28.17,28.64,1240800,0.0,1.0
2013-04-17,28.16,28.5999,28.16,28.3,1699000,0.0,1.0
2013-04-18,28.5,28.53,27.78,27.94,1490400,0.0,1.0
2013-04-19,28.04,28.11,27.86,27.97,1574500,0.0,1.0
2013-04-22,27.93,28.2,27.47,28.15,2513300,0.0,1.0
2013-04-23,28.24,28.57,28.15,28.47,1617400,0.0,1.0
2013-04-24,28.42,28.66,27.63,28.2,2220500,0.0,1.0
2013-04-25,28.37,28.91,28.2,28.73,2036300,0.0,1.0
2013-04-26,28.77,29.03,28.66,28.91,1249000,0.0,1.0
2013-04-29,29.02,29.17,28.88,29.1,1303500,0.0,1.0
2013-04-30,29.01,29.48,29.01,29.48,1748200,0.0,1.0
2013-05-01,29.34,29.52,29.1,29.25,919400,0.0,1.0
2013-05-02,29.28,29.98,29.21,29.97,1436500,0.0,1.0
2013-05-03,30.16,30.525,30.16,30.46,2727800,0.0,1.0
2013-05-06,30.53,30.68,30.125,30.14,1299900,0.0,1.0
2013-05-07,30.21,30.465,30.18,30.22,1468900,0.0,1.0
2013-05-08,30.22,30.61,30.02,30.54,1224500,0.0,1.0
2013-05-09,30.5,30.56,30.14,30.23,1098600,0.0,1.0
2013-05-10,30.18,30.6,30.05,30.5,1401800,0.0,1.0
2013-05-13,30.49,30.7,30.23,30.48,930100,0.0,1.0
2013-05-14,30.43,31.13,30.43,30.92,1274500,0.0,1.0
2013-05-15,30.89,31.3,30.74,31.13,1263400,0.0,1.0
2013-05-16,31.0,31.15,30.69,30.76,1050700,0.0,1.0
2013-05-17,30.78,31.34,30.5,31.26,2324100,0.0,1.0
2013-05-20,31.2,31.495,31.04,31.34,1011000,0.0,1.0
2013-05-21,31.25,31.52,31.07,31.19,1080300,0.0,1.0
2013-05-22,30.39,31.69,30.34,30.98,3056600,0.0,1.0
2013-05-23,30.71,30.97,30.39,30.92,2210600,0.0,1.0
2013-05-24,30.78,30.815,30.31,30.72,1010100,0.0,1.0
2013-05-28,31.21,31.66,30.975,31.47,1632900,0.0,1.0
2013-05-29,31.5,31.8,31.26,31.59,1660400,0.0,1.0
2013-05-30,31.53,32.445,31.34,32.15,1384800,0.0,1.0
2013-05-31,32.12,32.31,31.46,31.46,1653100,0.0,1.0
2013-06-03,31.46,31.6,30.53,31.06,1308500,0.0,1.0
2013-06-04,31.18,31.505,30.75,30.84,1361300,0.0,1.0
2013-06-05,31.02,31.2,30.59,31.04,1503900,0.0,1.0
2013-06-06,31.14,31.86,31.07,31.85,1111500,0.0,1.0
2013-06-07,32.18,32.89,31.94,32.88,1293900,0.0,1.0
2013-06-10,33.0,33.43,32.58,32.92,1117200,0.0,1.0
2013-06-11,32.47,32.54,31.97,32.12,1189900,0.0,1.0
2013-06-12,32.17,32.27,31.32,31.34,1286700,0.13,1.0
2013-06-13,31.2,32.74,31.19,32.58,2188600,0.0,1.0
2013-06-14,32.66,32.96,32.344,32.6,991300,0.0,1.0
2013-06-17,32.86,33.27,32.6,33.04,803600,0.0,1.0
2013-06-18,32.98,33.345,32.95,33.19,993600,0.0,1.0
2013-06-19,33.1,33.12,32.64,32.71,975000,0.0,1.0
2013-06-20,32.51,32.995,32.25,32.75,1954100,0.0,1.0
2013-06-21,33.04,33.05,32.41,32.57,2784500,0.0,1.0
2013-06-24,32.42,32.57,31.52,31.85,1178500,0.0,1.0
2013-06-25,31.99,32.6299,31.93,32.35,1425600,0.0,1.0
2013-06-26,32.71,32.84,32.31,32.425,1757700,0.0,1.0
2013-06-27,32.67,32.875,32.43,32.86,1185500,0.0,1.0
2013-06-28,32.78,32.94,32.39,32.79,1394700,0.0,1.0
2013-07-01,32.95,33.46,32.8,33.11,957300,0.0,1.0
2013-07-02,33.24,33.5,32.84,33.06,718300,0.0,1.0
2013-07-03,32.86,32.97,32.62,32.72,410300,0.0,1.0
2013-07-05,32.76,33.3,32.73,33.3,734700,0.0,1.0
2013-07-08,33.39,33.5,33.125,33.14,809500,0.0,1.0
2013-07-09,33.34,33.46,33.07,33.24,913800,0.0,1.0
2013-07-10,33.31,33.43,32.96,33.27,913300,0.0,1.0
2013-07-11,33.6,34.19,33.58,34.12,1425200,0.0,1.0
2013-07-12,34.25,34.385,34.07,34.3,700900,0.0,1.0
2013-07-15,34.33,34.41,34.06,34.14,639900,0.0,1.0
