date,open,high,low,close,volume,dividend,split
2012-11-01,70.3,70.3,69.59,69.87,3112900,0.0,1.0
2012-11-02,70.09,70.3,69.521,69.73,1371700,0.0,1.0
2012-11-05,69.58,69.69,69.01,69.61,1579600,0.0,1.0
2012-11-06,69.65,69.69,69.03,69.15,2351800,0.0,1.0
2012-11-07,68.93,68.98,67.6301,68.05,1441900,0.0,1.0
2012-11-08,67.95,68.47,67.61,67.61,1337700,0.0,1.0
2012-11-09,67.38,67.89,67.16,67.38,1131600,0.0,1.0
2012-11-12,67.38,67.46,66.71,66.79,1029400,0.0,1.0
2012-11-13,66.66,67.5,66.35,67.1,1557200,0.0,1.0
2012-11-14,67.08,67.16,66.29,66.69,1514900,0.0,1.0
2012-11-15,66.67,67.3,66.05,66.4907,1491300,0.0,1.0
2012-11-16,66.57,67.44,66.37,67.35,1642400,0.0,1.0
2012-11-19,67.73,67.91,67.2,67.71,1910100,0.0,1.0
2012-11-20,67.71,67.86,66.98,67.71,1300200,0.0,1.0
2012-11-21,67.7,67.786,66.39,67.25,1728700,0.0,1.0
2012-11-23,67.45,67.58,66.8,67.2,713800,0.0,1.0
2012-11-26,67.09,68.0,67.0,67.96,1476400,0.0,1.0
2012-11-27,68.02,68.25,67.66,67.82,1667300,0.0,1.0
2012-11-28,67.3,67.42,66.49,67.41,1699800,0.6,1.0
2012-11-29,67.51,68.11,67.33,68.11,1534600,0.0,1.0
2012-11-30,68.11,68.8,68.03,68.71,1828600,0.0,1.0
2012-12-03,68.81,68.819,68.03,68.29,1339900,0.0,1.0
2012-12-04,68.35,68.55,67.82,67.91,1234200,0.0,1.0
2012-12-05,67.97,69.63,67.81,69.18,1816800,0.0,1.0
2012-12-06,69.27,69.62,68.83,69.16,1099300,0.0,1.0
2012-12-07,69.24,69.6,69.07,69.37,1017100,0.0,1.0
2012-12-10,69.28,69.4,69.01,69.14,1053000,0.0,1.0
2012-12-11,69.24,69.57,69.07,69.31,1093900,0.0,1.0
2012-12-12,69.39,69.9,69.16,69.23,2128000,0.0,1.0
