date,open,high,low,close,volume,dividend,split
2012-11-01,54.22,54.3,52.7,53.22,7396200,0.0,1.0
2012-11-02,52.04,52.13,48.72,48.74,12215700,0.0,1.0
2012-11-05,49.12,49.56,48.24,48.39,7063600,0.0,1.0
2012-11-06,48.61,48.92,48.22,48.5,7029900,0.0,1.0
2012-11-07,48.76,49.07,47.83,48.74,6314500,0.0,1.0
2012-11-08,48.56,49.577,48.23,48.8086,5731200,0.0,1.0
2012-11-09,49.03,49.03,47.9,48.07,5069500,0.0,1.0
2012-11-12,48.15,48.32,47.61,47.71,3057600,0.0,1.0
2012-11-13,47.33,47.88,47.06,47.19,4236900,0.0,1.0
2012-11-14,47.38,47.51,45.69,45.7918,7164400,0.0,1.0
2012-11-15,45.81,45.99,44.5,45.53,8333000,0.0,1.0
2012-11-16,45.48,46.23,45.0,46.12,7602500,0.0,1.0
2012-11-19,46.88,47.08,46.49,46.79,5804800,0.0,1.0
2012-11-20,46.61,46.75,46.2,46.62,5066300,0.0,1.0
2012-11-21,46.5,47.32,46.23,47.08,3884700,0.0,1.0
2012-11-23,47.34,47.8,46.87,47.69,2431100,0.0,1.0
2012-11-26,47.25,47.37,46.71,47.37,4957300,0.0,1.0
2012-11-27,47.29,47.33,46.81,47.0,5556500,0.0,1.0
2012-11-28,46.1,47.34,45.9,47.31,5994800,0.0,1.0
2012-11-29,47.47,47.74,46.75,47.05,3979800,0.0,1.0
2012-11-30,47.02,47.54,46.44,47.09,6173800,0.0,1.0
2012-12-03,47.13,47.13,45.64,45.68,7060200,0.0,1.0
2012-12-04,44.87,45.44,44.68,45.09,7355500,0.35,1.0
2012-12-05,45.14,45.14,43.85,43.96,9197100,0.0,1.0
2012-12-06,44.0,44.62,43.88,44.29,4351100,0.0,1.0
2012-12-07,44.55,44.74,44.07,44.42,4693400,0.0,1.0
2012-12-10,44.8,45.36,44.8,45.11,5489800,0.0,1.0
2012-12-11,45.08,45.57,45.0,45.23,5880600,0.0,1.0
2012-12-12,45.23,45.81,45.05,45.5,6702400,0.0,1.0
2012-12-13,44.58,44.86,43.51,44.17,7910300,0.0,1.0
2012-12-14,44.01,44.52,43.74,44.29,4717200,0.0,1.0
2012-12-17,44.24,44.76,44.07,44.66,3888900,0.0,1.0
2012-12-18,44.65,44.865,43.76,44.3599,6495800,0.0,1.0
2012-12-19,44.2,44.42,43.6898,43.75,5181600,0.0,1.0
2012-12-20,43.31,44.14,42.96,44.1,8941100,0.0,1.0
2012-12-21,44.0,45.05,43.91,44.58,10630000,0.0,1.0
2012-12-24,44.58,44.58,43.8459,44.23,2595400,0.0,1.0
2012-12-26,44.4,45.3,44.38,45.08,4841900,0.0,1.0
2012-12-27,44.97,45.87,44.7599,45.47,6080200,0.0,1.0
2012-12-28,45.35,45.8,45.0,45.03,5169400,0.0,1.0
2012-12-31,44.92,46.83,44.84,46.44,6560100,0.0,1.0
2013-01-02,47.34,47.59,46.75,46.9,7254500,0.0,1.0
2013-01-03,46.76,47.25,45.5,45.62,6017100,0.0,1.0
2013-01-04,45.3,46.05,45.085,45.94,5834100,0.0,1.0
2013-01-07,45.6,45.76,44.95,45.01,4853400,0.0,1.0
2013-01-08,45.0,45.93,44.66,45.56,6373500,0.0,1.0
2013-01-09,45.39,45.49,44.61,44.9,5568600,0.0,1.0
2013-01-10,45.35,46.13,45.35,45.95,5371300,0.0,1.0
2013-01-11,46.0,46.03,45.33,45.76,3836700,0.0,1.0
2013-01-14,45.86,45.89,45.14,45.3,3366500,0.0,1.0
2013-01-15,45.45,45.74,44.89,45.19,4137000,0.0,1.0
2013-01-16,45.02,45.18,44.58,44.75,5166100,0.0,1.0
2013-01-17,45.0,45.0,44.0,44.44,6514500,0.0,1.0
2013-01-18,44.56,45.225,44.46,44.89,6738100,0.0,1.0
2013-01-22,44.96,45.71,44.56,45.58,7030700,0.0,1.0
2013-01-23,45.62,45.79,44.7,44.76,5962300,0.0,1.0
2013-01-24,44.67,44.84,43.89,44.01,5554200,0.0,1.0
2013-01-25,43.96,44.188,42.96,43.36,7200500,0.0,1.0
2013-01-28,43.49,43.51,42.55,42.82,6510500,0.0,1.0
2013-01-29,43.01,43.65,42.985,43.39,7142200,0.0,1.0
2013-01-30,43.86,44.33,43.1,43.12,8940800,0.0,1.0
2013-01-31,42.97,43.31,42.85,42.96,9403300,0.0,1.0
2013-02-01,43.61,43.72,43.01,43.71,6312700,0.0,1.0
2013-02-04,43.59,44.5599,43.43,44.1,5975500,0.0,1.0
2013-02-05,44.34,44.47,44.01,44.33,4107800,0.0,1.0
2013-02-06,44.22,45.17,44.2,45.04,4981000,0.0,1.0
2013-02-07,44.79,45.82,44.51,45.25,5097500,0.0,1.0
2013-02-08,45.18,45.27,44.77,44.93,4763200,0.0,1.0
2013-02-11,44.57,44.67,44.15,44.49,4172000,0.0,1.0
2013-02-12,44.4,45.3,44.375,45.28,6451100,0.0,1.0
2013-02-13,45.26,45.48,44.82,44.85,5481500,0.0,1.0
2013-02-14,44.94,45.085,44.38,44.55,7641300,0.0,1.0
2013-02-15,43.68,43.8,42.79,43.27,13871700,0.0,1.0
2013-02-19,43.08,43.39,42.79,42.9,8078800,0.0,1.0
2013-02-20,42.54,42.54,40.44,40.56,14308300,0.0,1.0
2013-02-21,40.69,41.48,40.51,40.55,10184000,0.0,1.0
2013-02-22,41.56,41.76,40.73,40.82,10384700,0.0,1.0
2013-02-25,41.19,41.6,40.8,40.96,8504300,0.0,1.0
2013-02-26,41.15,41.72,40.83,41.44,9945400,0.0,1.0
2013-02-27,41.22,41.25,40.58,40.62,8863800,0.0,1.0
2013-02-28,40.64,40.84,40.13,40.29,10834000,0.0,1.0
2013-03-01,40.37,40.59,39.56,39.62,9494800,0.0,1.0
2013-03-04,39.64,39.74,38.6,39.0,9782800,0.0,1.0
2013-03-05,39.29,39.35,38.55,38.6,8589700,0.0,1.0
2013-03-06,38.58,40.04,38.5,40.01,9569600,0.0,1.0
2013-03-07,40.15,40.88,39.88,39.93,7757700,0.0,1.0
2013-03-08,39.76,40.08,39.2,39.25,10081300,0.0,1.0
2013-03-11,39.23,39.43,38.77,38.89,5498600,0.425,1.0
2013-03-12,39.34,40.1982,39.34,39.66,6667400,0.0,1.0
2013-03-13,39.77,39.8,38.88,38.99,7470500,0.0,1.0
2013-03-14,38.92,39.65,38.85,39.59,6235500,0.0,1.0
2013-03-15,39.54,39.84,39.41,39.68,9668800,0.0,1.0
2013-03-18,40.13,40.7,39.99,40.03,5614200,0.0,1.0
2013-03-19,39.85,40.72,39.8,40.37,6912800,0.0,1.0
2013-03-20,40.34,40.64,40.1101,40.38,4253300,0.0,1.0
2013-03-21,40.63,41.835,40.6,41.45,8801600,0.0,1.0
2013-03-22,41.22,41.649,41.14,41.61,4541000,0.0,1.0
2013-03-25,41.56,41.62,41.06,41.09,5565100,0.0,1.0
2013-03-26,40.97,41.1299,40.53,41.08,5625900,0.0,1.0
2013-03-27,41.13,41.86,40.93,41.74,5638800,0.0,1.0
2013-03-28,41.51,41.94,41.34,41.89,6398800,0.0,1.0
2013-04-01,42.0,42.0,41.22,41.39,4399700,0.0,1.0
2013-04-02,41.0,41.1,39.75,39.83,7999100,0.0,1.0
2013-04-03,39.69,40.01,38.32,38.47,11822400,0.0,1.0
2013-04-04,38.41,39.28,38.07,39.12,7520600,0.0,1.0
2013-04-05,39.76,40.32,39.15,39.37,8500500,0.0,1.0
2013-04-08,39.36,39.52,38.74,39.01,6577400,0.0,1.0
2013-04-09,39.13,40.64,39.02,40.03,8586900,0.0,1.0
2013-04-10,39.67,39.85,38.855,38.99,7059800,0.0,1.0
2013-04-11,39.07,39.32,38.59,38.65,6476300,0.0,1.0
2013-04-12,38.11,38.21,36.35,36.37,14376900,0.0,1.0
2013-04-15,34.36,34.74,33.51,33.92,22564900,0.0,1.0
2013-04-16,34.69,34.84,33.53,33.78,13910200,0.0,1.0
2013-04-17,33.66,33.82,32.13,32.36,15992800,0.0,1.0
2013-04-18,32.61,33.11,32.2,32.77,11663400,0.0,1.0
2013-04-19,33.4,33.57,32.3,32.98,9134700,0.0,1.0
2013-04-22,33.43,33.92,32.8,33.4,9701500,0.0,1.0
2013-04-23,33.12,33.16,31.77,32.43,10156600,0.0,1.0
2013-04-24,33.27,34.5,33.05,34.33,10937500,0.0,1.0
2013-04-25,34.88,35.13,34.23,34.33,11158100,0.0,1.0
2013-04-26,34.5,34.54,33.23,33.47,9658200,0.0,1.0
2013-04-29,33.84,34.27,33.64,33.97,5832700,0.0,1.0
2013-04-30,33.14,33.32,31.33,32.4,17564300,0.0,1.0
2013-05-01,32.15,32.965,31.76,32.59,10649200,0.0,1.0
2013-05-02,32.79,32.99,32.19,32.66,6347700,0.0,1.0
2013-05-03,32.78,33.43,32.7,33.0,6972900,0.0,1.0
2013-05-06,33.29,33.48,33.04,33.07,4865200,0.0,1.0
2013-05-07,32.69,32.739,32.08,32.45,8649200,0.0,1.0
2013-05-08,32.87,34.07,32.78,33.91,6976400,0.0,1.0
2013-05-09,33.43,34.25,32.94,33.16,7043100,0.0,1.0
2013-05-10,32.5,33.12,32.1,33.12,7016700,0.0,1.0
2013-05-13,32.94,32.94,32.31,32.62,4807800,0.0,1.0
2013-05-14,32.54,33.08,32.35,32.51,5164800,0.0,1.0
2013-05-15,32.21,32.278,31.445,31.57,9295900,0.0,1.0
2013-05-16,31.17,31.91,30.63,31.43,9623800,0.0,1.0
2013-05-17,31.27,31.32,30.3,30.63,12107700,0.0,1.0
2013-05-20,30.66,32.386,30.42,32.28,11313000,0.0,1.0
2013-05-21,31.59,32.22,31.39,31.94,8498600,0.0,1.0
2013-05-22,32.43,33.12,31.51,31.96,9599200,0.0,1.0
2013-05-23,32.42,32.74,31.8,32.22,6920900,0.0,1.0
2013-05-24,32.15,32.59,31.645,31.97,6072700,0.0,1.0
2013-05-28,32.01,32.65,31.52,32.05,6157100,0.0,1.0
2013-05-29,32.22,33.13,32.12,33.1,7391200,0.0,1.0
2013-05-30,33.69,34.48,33.63,34.34,9522000,0.0,1.0
2013-05-31,34.13,34.29,33.67,34.28,9006700,0.0,1.0
2013-06-03,34.4,35.44,34.3,34.88,8026900,0.0,1.0
2013-06-04,34.47,34.63,33.58,34.45,6600500,0.0,1.0
2013-06-05,34.56,35.14,34.16,34.6,6812300,0.0,1.0
2013-06-06,34.46,35.34,34.38,34.95,7140200,0.0,1.0
2013-06-07,34.41,34.42,33.7,34.11,6447800,0.0,1.0
2013-06-10,33.67,34.15,33.43,33.9,5114900,0.35,1.0
2013-06-11,33.33,33.73,32.76,32.81,6223000,0.0,1.0
2013-06-12,32.94,33.54,32.65,33.33,6374800,0.0,1.0
2013-06-13,33.05,33.7,32.71,33.66,5896800,0.0,1.0
2013-06-14,33.81,33.89,33.01,33.19,4417400,0.0,1.0
2013-06-17,33.24,33.63,33.15,33.44,4215100,0.0,1.0
2013-06-18,33.23,33.27,31.97,32.59,6809100,0.0,1.0
2013-06-19,32.62,33.23,31.82,31.9,6878300,0.0,1.0
2013-06-20,30.74,30.83,29.395,29.75,16749000,0.0,1.0
2013-06-21,30.0,30.37,28.85,30.05,14879100,0.0,1.0
2013-06-24,29.45,29.63,28.29,29.02,10225900,0.0,1.0
2013-06-25,29.18,29.45,28.41,28.93,9037700,0.0,1.0
2013-06-26,27.95,28.08,27.07,27.22,14951800,0.0,1.0
2013-06-27,27.61,28.23,27.32,27.71,12906200,0.0,1.0
2013-06-28,27.58,30.252,27.44,29.95,21341900,0.0,1.0
2013-07-01,30.31,30.6899,29.1599,30.18,12430700,0.0,1.0
2013-07-02,29.9,30.12,28.855,29.17,10360500,0.0,1.0
2013-07-03,29.4,29.8099,28.825,29.02,6099300,0.0,1.0
2013-07-05,28.11,28.12,26.97,27.78,10035900,0.0,1.0
2013-07-08,28.17,28.26,27.0,27.02,10252300,0.0,1.0
2013-07-09,27.22,27.5,26.58,27.07,12729200,0.0,1.0
2013-07-10,27.09,27.19,26.47,26.61,11386200,0.0,1.0
2013-07-11,27.67,28.3,27.4,28.12,12726700,0.0,1.0
