date,open,high,low,close,volume,dividend,split
2012-11-01,25.47,25.69,25.36,25.45,1842100,0.0,1.0
2012-11-02,25.6,25.63,25.2,25.22,3845300,0.0,1.0
2012-11-05,25.07,25.09,24.74,24.79,3219100,0.0,1.0
2012-11-06,24.8,25.2,24.73,24.94,2189000,0.0,1.0
2012-11-07,24.82,24.85,24.18,24.52,2772800,0.0,1.0
2012-11-08,24.5,24.75,24.44,24.48,2858300,0.0,1.0
2012-11-09,24.4,24.49,24.2,24.3,1598700,0.0,1.0
2012-11-12,24.29,24.3,23.97,24.02,1791700,0.0,1.0
2012-11-13,23.9,24.37,23.79,24.01,1951600,0.0,1.0
2012-11-14,24.0,24.06,23.58,23.64,2213300,0.0,1.0
2012-11-15,23.64,23.71,23.14,23.4,3095500,0.0,1.0
2012-11-16,23.38,23.91,23.38,23.89,2283400,0.0,1.0
2012-11-19,24.06,24.09,23.63,23.82,3084000,0.0,1.0
2012-11-20,23.87,23.99,23.69,23.93,1640400,0.0,1.0
2012-11-21,23.99,24.03,23.76,23.93,6478400,0.0,1.0
2012-11-23,24.0,24.04,23.85,24.02,960000,0.0,1.0
2012-11-26,23.92,24.22,23.74,23.87,3421500,0.0,1.0
2012-11-27,23.91,23.98,23.63,23.66,3148200,0.0,1.0
2012-11-28,23.66,23.91,23.585,23.82,2073600,0.0,1.0
2012-11-29,23.85,23.945,23.72,23.93,1962900,0.0,1.0
2012-11-30,23.95,24.17,23.91,24.17,2496200,0.0,1.0
2012-12-03,24.43,24.58,24.29,24.34,2670900,0.0,1.0
2012-12-04,24.33,24.37,24.12,24.19,2229600,0.0,1.0
2012-12-05,24.18,24.69,24.12,24.57,2321900,0.0,1.0
2012-12-06,24.59,24.62,24.37,24.54,2252600,0.0,1.0
2012-12-07,24.53,24.67,24.33,24.44,1538800,0.0,1.0
2012-12-10,24.49,24.56,24.41,24.49,1664100,0.0,1.0
2012-12-11,24.53,24.68,24.02,24.18,5186400,0.0,1.0
2012-12-12,24.19,24.58,24.19,24.38,3052500,0.0,1.0
2012-12-13,24.35,24.42,24.11,24.18,5403100,0.0,1.0
2012-12-14,24.21,24.32,24.09,24.15,3893100,0.0,1.0
2012-12-17,24.24,24.45,24.13,24.42,2468500,0.0,1.0
