date,open,high,low,close,volume,dividend,split
2012-11-01,91.9,95.6,91.9,95.35,3563700,0.0,1.0
2012-11-02,95.7,96.74,94.49,94.54,1816100,0.0,1.0
2012-11-05,94.55,95.48,94.35,95.26,1468200,0.0,1.0
2012-11-06,95.25,96.13,94.75,96.13,1956200,0.0,1.0
2012-11-07,95.72,95.88,94.62,94.65,1913800,0.0,1.0
2012-11-08,94.45,94.6,91.86,91.86,2612600,0.0,1.0
2012-11-09,91.69,93.0,91.68,92.31,1937200,0.0,1.0
2012-11-12,92.5,93.2,91.98,92.29,1494800,0.0,1.0
2012-11-13,91.17,92.66,91.03,91.47,1811500,0.0,1.0
2012-11-14,91.96,91.96,89.65,90.6,3254800,0.0,1.0
2012-11-15,90.29,91.22,90.07,90.83,1941100,0.0,1.0
2012-11-16,91.84,92.75,91.4,92.59,2997300,0.0,1.0
2012-11-19,93.49,96.34,93.46,96.32,2615600,0.0,1.0
2012-11-20,96.32,96.52,95.27,95.61,2275800,0.0,1.0
2012-11-21,95.56,95.83,94.96,95.6,1840900,0.0,1.0
2012-11-23,96.0,96.76,95.88,96.75,838100,0.0,1.0
2012-11-26,95.48,97.68,95.38,97.66,3013200,0.0,1.0
2012-11-27,96.05,98.0,96.05,97.01,2134300,0.0,1.0
2012-11-28,96.6,99.16,96.6,99.13,2153400,0.0,1.0
2012-11-29,99.58,100.33,98.8,98.97,2436000,0.0,1.0
2012-11-30,98.46,98.52,96.91,97.48,3167500,0.0,1.0
2012-12-03,97.66,98.91,97.09,97.56,2172000,0.0,1.0
2012-12-04,97.63,98.38,97.23,97.67,1757100,0.0,1.0
2012-12-05,97.92,98.08,96.61,97.68,1691100,0.0,1.0
2012-12-06,97.47,98.68,97.23,98.42,2273000,0.21,1.0
2012-12-07,98.91,98.99,97.73,98.59,1854500,0.0,1.0
2012-12-10,98.67,99.31,97.98,98.08,1819200,0.0,1.0
2012-12-11,98.0,99.5,97.84,99.41,2308600,0.0,1.0
2012-12-12,99.4,100.0,98.6036,99.2,2664000,0.0,1.0
2012-12-13,99.09,99.57,97.04,97.33,1861300,0.0,1.0
2012-12-14,97.13,97.8901,96.85,96.91,2165500,0.0,1.0
2012-12-17,97.21,98.09,96.8,97.99,2092400,0.0,1.0
2012-12-18,98.07,98.98,97.73,98.92,1967900,0.0,1.0
2012-12-19,98.92,99.2,97.77,97.78,1969800,0.0,1.0
2012-12-20,98.12,99.05,97.21,99.0,3000000,0.0,1.0
2012-12-21,102.5,105.48,101.16,105.1,6973700,0.0,1.0
2012-12-24,104.56,106.23,104.36,105.6,2999800,0.0,1.0
2012-12-26,52.05,52.5,51.19,51.33,2022600,0.0,2.0
2012-12-27,51.22,51.94,50.93,51.76,3925200,0.0,1.0
2012-12-28,51.45,51.72,50.99,50.99,3216200,0.0,1.0
2012-12-31,50.83,51.64,50.59,51.6,3403700,0.0,1.0
2013-01-02,52.4,52.48,51.4,51.84,3756400,0.0,1.0
2013-01-03,51.95,52.6,51.7801,52.37,3616100,0.0,1.0
2013-01-04,52.5,53.04,52.47,52.88,3397000,0.0,1.0
2013-01-07,52.79,53.08,52.53,52.96,3244700,0.0,1.0
2013-01-08,52.72,52.94,52.19,52.4,3357100,0.0,1.0
2013-01-09,52.57,52.74,52.31,52.45,2765200,0.0,1.0
2013-01-10,52.63,52.88,52.17,52.55,3852800,0.0,1.0
2013-01-11,52.66,53.419,52.31,53.1,4895500,0.0,1.0
2013-01-14,53.19,53.48,53.01,53.19,2795900,0.0,1.0
2013-01-15,53.04,53.75,52.89,53.64,3253600,0.0,1.0
2013-01-16,53.52,54.0,53.24,53.73,2650100,0.0,1.0
2013-01-17,53.79,53.97,53.31,53.48,2432400,0.0,1.0
2013-01-18,53.47,53.57,52.98,53.29,3072700,0.0,1.0
2013-01-22,53.42,53.51,53.05,53.48,3103800,0.0,1.0
2013-01-23,53.14,53.355,52.81,53.09,3389600,0.0,1.0
2013-01-24,53.19,53.88,53.16,53.86,3409900,0.0,1.0
2013-01-25,54.1299,55.57,53.99,55.55,6271400,0.0,1.0
2013-01-28,55.4,55.5201,54.32,54.5,4019100,0.0,1.0
2013-01-29,54.39,54.46,53.88,53.92,3607400,0.0,1.0
2013-01-30,53.97,54.16,53.56,53.61,3171500,0.0,1.0
2013-01-31,53.62,54.28,53.44,54.05,4571900,0.0,1.0
2013-02-01,54.46,54.72,53.6,53.7,3386700,0.0,1.0
2013-02-04,53.59,54.26,53.5,53.66,2537900,0.0,1.0
2013-02-05,53.94,54.31,53.86,53.89,2263600,0.0,1.0
