date,open,high,low,close,volume,dividend,split
2012-11-01,68.83,69.65,68.35,68.92,1709100,0.0,1.0
2012-11-02,69.32,69.71,68.91,68.98,1463400,0.0,1.0
2012-11-05,68.58,69.145,68.1,68.96,1243500,0.0,1.0
2012-11-06,69.02,70.84,68.93,69.88,2647600,0.0,1.0
2012-11-07,68.96,68.96,65.55,66.7,3622100,0.0,1.0
2012-11-08,66.49,66.83,65.41,65.42,2510100,0.0,1.0
2012-11-09,65.29,66.18,64.651,65.6,2043300,0.0,1.0
2012-11-12,65.6,65.965,64.64,65.4,1686200,0.0,1.0
2012-11-13,65.14,65.93,64.98,65.37,1668100,0.0,1.0
2012-11-14,65.29,65.69,63.41,63.59,1639000,0.0,1.0
2012-11-15,63.47,63.71,63.08,63.23,2139600,0.0,1.0
2012-11-16,63.52,63.88,62.8,63.57,2587500,0.0,1.0
2012-11-19,64.22,64.73,64.0226,64.72,1450100,0.0,1.0
2012-11-20,64.64,65.16,64.31,65.08,1507800,0.0,1.0
2012-11-21,64.98,65.02,64.48,64.93,1510500,0.55,1.0
2012-11-23,65.11,65.41,64.91,65.36,766400,0.0,1.0
2012-11-26,65.04,65.3486,64.71,64.99,1760000,0.0,1.0
2012-11-27,65.03,65.93,64.85,65.33,1569800,0.0,1.0
2012-11-28,65.17,66.13,64.82,66.06,1317900,0.0,1.0
2012-11-29,66.24,66.815,66.01,66.65,1331900,0.0,1.0
2012-11-30,67.29,67.29,66.435,66.7,1882800,0.0,1.0
2012-12-03,66.92,67.03,65.77,65.79,1384200,0.0,1.0
2012-12-04,65.78,66.78,65.5,66.65,1892600,0.0,1.0
2012-12-05,66.58,67.15,65.83,66.76,1778400,0.0,1.0
2012-12-06,66.69,67.27,66.28,67.27,1976200,0.0,1.0
2012-12-07,67.36,67.7,66.87,67.53,1063600,0.0,1.0
2012-12-10,67.3,68.24,67.04,68.04,1185500,0.0,1.0
2012-12-11,68.31,68.91,67.89,67.95,1590900,0.0,1.0
2012-12-12,68.19,68.96,67.98,68.15,1223800,0.0,1.0
2012-12-13,68.21,68.36,67.31,67.37,1457900,0.0,1.0
2012-12-14,67.18,67.36,66.39,66.8,1545500,0.0,1.0
2012-12-17,67.04,67.61,66.74,67.13,1873200,0.0,1.0
2012-12-18,67.13,68.54,67.13,68.51,1604200,0.0,1.0
2012-12-19,68.43,69.17,68.04,68.7,1156900,0.0,1.0
2012-12-20,68.5,69.105,68.44,69.0,1355600,0.0,1.0
2012-12-21,68.08,68.91,68.08,68.63,2574500,0.0,1.0
2012-12-24,68.39,68.93,68.15,68.69,988400,0.0,1.0
2012-12-26,68.7,68.98,67.93,68.02,1159500,0.0,1.0
2012-12-27,68.09,68.31,67.04,67.74,1285700,0.0,1.0
2012-12-28,67.19,67.7,66.69,66.76,1318600,0.0,1.0
2012-12-31,66.51,67.71,65.87,67.58,1682200,0.0,1.0
2013-01-02,68.79,68.978,67.54,68.17,2154000,0.0,1.0
2013-01-03,68.33,68.71,67.84,67.94,1855400,0.0,1.0
2013-01-04,68.23,68.79,67.78,68.76,1292700,0.0,1.0
2013-01-07,69.09,69.61,68.04,68.67,1547000,0.0,1.0
2013-01-08,68.02,68.64,66.99,67.34,1739400,0.0,1.0
2013-01-09,67.41,67.8,67.01,67.04,1897300,0.0,1.0
2013-01-10,67.39,67.645,67.14,67.4,1842600,0.0,1.0
2013-01-11,67.43,67.6,66.85,67.07,2112400,0.0,1.0
2013-01-14,67.1,67.62,66.8,67.22,1251100,0.0,1.0
2013-01-15,66.83,67.65,66.76,67.48,1756500,0.0,1.0
2013-01-16,67.07,67.15,66.6,66.85,1748700,0.0,1.0
2013-01-17,66.95,67.52,66.76,67.14,2153500,0.0,1.0
2013-01-18,67.39,67.6078,66.77,67.49,1868200,0.0,1.0
2013-01-22,67.46,68.59,67.35,68.35,2044700,0.0,1.0
2013-01-23,67.43,68.87,67.0,68.71,2218200,0.0,1.0
2013-01-24,68.79,68.9,68.09,68.23,1862500,0.0,1.0
2013-01-25,68.35,68.35,67.6,67.74,1736000,0.0,1.0
2013-01-28,67.89,67.89,66.26,66.57,2469000,0.0,1.0
2013-01-29,66.68,67.28,66.29,66.77,2858700,0.0,1.0
2013-01-30,66.53,67.25,66.12,66.34,2919900,0.0,1.0
2013-01-31,66.0,66.14,64.95,65.04,3073700,0.0,1.0
2013-02-01,65.28,65.53,64.8,65.13,2726800,0.0,1.0
2013-02-04,64.68,65.21,64.35,64.38,1820900,0.0,1.0
2013-02-05,64.88,65.49,64.5,64.88,2444900,0.0,1.0
2013-02-06,64.77,65.31,64.66,65.2,2688100,0.0,1.0
2013-02-07,65.27,65.86,65.1254,65.69,2630400,0.0,1.0
2013-02-08,65.62,66.14,65.62,66.09,1582800,0.0,1.0
2013-02-11,65.96,66.25,65.78,66.12,1446700,0.0,1.0
2013-02-12,66.34,66.56,65.91,66.34,993300,0.0,1.0
2013-02-13,66.46,66.75,65.54,65.76,1461000,0.0,1.0
2013-02-14,65.42,66.24,65.27,65.8,1840100,0.0,1.0
2013-02-15,65.5,65.74,65.399,65.63,1639900,0.0,1.0
2013-02-19,65.75,66.29,65.65,66.2,1951000,0.0,1.0
2013-02-20,66.14,66.95,66.01,66.04,1705500,0.0,1.0
2013-02-21,65.96,65.96,65.13,65.37,1437900,0.0,1.0
2013-02-22,65.46,66.325,65.44,65.97,1504100,0.0,1.0
2013-02-25,66.21,66.665,64.75,64.75,1536800,0.0,1.0
2013-02-26,65.06,65.2,64.45,65.06,1326100,0.0,1.0
2013-02-27,64.93,66.31,64.82,65.97,1712900,0.0,1.0
2013-02-28,65.76,66.168,65.44,65.68,2081800,0.55,1.0
2013-03-01,65.39,65.88,64.67,65.52,2170500,0.0,1.0
2013-03-04,65.29,65.41,64.2,64.38,1998800,0.0,1.0
2013-03-05,64.71,65.23,64.5,64.91,1965000,0.0,1.0
2013-03-06,64.96,65.32,64.64,64.96,2132000,0.0,1.0
2013-03-07,65.13,65.7,65.02,65.27,1818700,0.0,1.0
2013-03-08,65.5,66.02,65.5,65.96,1760900,0.0,1.0
2013-03-11,65.95,66.26,65.9,66.12,2002000,0.0,1.0
2013-03-12,66.16,66.41,65.95,66.23,1070100,0.0,1.0
2013-03-13,66.29,67.415,66.18,67.18,1939600,0.0,1.0
2013-03-14,67.35,67.74,67.09,67.54,1557800,0.0,1.0
2013-03-15,67.32,68.83,67.23,68.8,4383000,0.0,1.0
2013-03-18,68.22,68.97,68.15,68.43,1705700,0.0,1.0
2013-03-19,68.65,68.72,67.95,68.44,1249400,0.0,1.0
2013-03-20,68.75,68.99,68.51,68.64,1183300,0.0,1.0
2013-03-21,68.27,68.75,67.73,68.0,994900,0.0,1.0
2013-03-22,68.14,68.44,67.85,68.05,825500,0.0,1.0
2013-03-25,68.28,68.53,67.77,67.91,1321600,0.0,1.0
2013-03-26,68.28,69.36,68.28,69.29,1844800,0.0,1.0
2013-03-27,68.94,70.0,68.54,69.9,2038900,0.0,1.0
2013-03-28,69.87,70.21,69.4599,70.15,1694500,0.0,1.0
2013-04-01,70.1,70.535,69.59,69.9,2066000,0.0,1.0
2013-04-02,70.19,70.21,69.13,69.4,1287000,0.0,1.0
2013-04-03,69.51,70.5443,69.41,70.18,2386200,0.0,1.0
2013-04-04,70.29,71.17,70.13,71.07,2528200,0.0,1.0
2013-04-05,70.43,71.765,70.33,71.56,3383000,0.0,1.0
2013-04-08,71.75,71.88,71.18,71.72,1583000,0.0,1.0
2013-04-09,71.86,71.89,71.27,71.56,1404600,0.0,1.0
2013-04-10,71.75,72.27,71.65,71.77,2016700,0.0,1.0
2013-04-11,72.04,72.67,71.8975,72.45,1641000,0.0,1.0
2013-04-12,72.03,72.18,71.49,72.11,1038600,0.0,1.0
2013-04-15,71.85,71.86,70.535,70.83,1658900,0.0,1.0
2013-04-16,71.32,71.605,70.74,71.29,1216400,0.0,1.0
2013-04-17,70.93,71.125,69.54,70.12,2427800,0.0,1.0
2013-04-18,70.12,70.2,69.23,69.87,1559800,0.0,1.0
2013-04-19,69.94,71.04,69.92,70.98,2180600,0.0,1.0
2013-04-22,70.98,71.13,70.3,70.78,1032800,0.0,1.0
2013-04-23,71.17,71.8,70.66,71.49,1085500,0.0,1.0
2013-04-24,71.83,73.86,71.081,73.77,2780600,0.0,1.0
2013-04-25,73.82,74.97,72.86,74.49,2153900,0.0,1.0
2013-04-26,74.56,74.78,74.19,74.24,1283800,0.0,1.0
2013-04-29,74.48,74.98,74.04,74.96,1178500,0.0,1.0
2013-04-30,74.85,75.78,74.845,75.74,1759700,0.0,1.0
2013-05-01,75.45,76.48,75.32,75.65,1853300,0.0,1.0
2013-05-02,75.65,76.55,75.46,76.31,1549800,0.0,1.0
2013-05-03,76.69,77.005,76.37,76.84,1426400,0.0,1.0
2013-05-06,77.02,77.79,76.93,77.06,1669800,0.0,1.0
2013-05-07,77.03,77.31,76.91,77.21,1652100,0.0,1.0
