date,open,high,low,close,volume,dividend,split
2012-11-01,61.6,62.54,61.32,61.77,5165500,0.0,1.0
2012-11-02,61.56,62.52,61.13,61.13,4030700,0.0,1.0
2012-11-05,61.0,62.02,60.71,60.99,3520900,0.0,1.0
2012-11-06,61.18,61.64,60.86,61.5,4570700,0.0,1.0
2012-11-07,60.42,60.98,59.97,59.98,3976700,0.0,1.0
2012-11-08,60.0,60.1838,59.11,59.14,5077100,0.0,1.0
2012-11-09,58.95,59.35,57.89,58.0,5314900,0.0,1.0
2012-11-12,58.09,58.63,57.95,58.06,3468600,0.0,1.0
2012-11-13,57.76,59.09,57.76,58.51,2833300,0.0,1.0
2012-11-14,58.56,58.81,57.28,57.51,3741000,0.0,1.0
2012-11-15,57.46,57.68,56.73,57.02,3443000,0.0,1.0
2012-11-16,57.01,57.11,56.05,56.34,3885700,0.0,1.0
2012-11-19,56.81,58.03,56.6594,58.03,2932700,0.0,1.0
2012-11-20,57.91,57.91,56.49,56.91,3295600,0.0,1.0
2012-11-21,57.12,57.325,56.76,57.03,1819800,0.0,1.0
2012-11-23,57.2,57.79,57.08,57.76,924300,0.0,1.0
2012-11-26,57.52,58.38,57.43,58.25,2142100,0.0,1.0
2012-11-27,58.18,59.29,58.11,58.94,4038100,0.0,1.0
2012-11-28,58.59,59.78,58.16,59.71,3572900,0.0,1.0
2012-11-29,60.03,60.65,59.89,60.48,4095200,0.0,1.0
2012-11-30,60.51,60.59,60.0,60.38,3228500,0.0,1.0
2012-12-03,60.67,60.72,59.26,59.43,2469600,0.0,1.0
2012-12-04,59.45,60.35,59.43,60.21,3004200,0.0,1.0
2012-12-05,60.4,62.05,60.31,61.59,3760700,0.0,1.0
2012-12-06,61.65,61.82,60.82,61.38,1989600,0.0,1.0
2012-12-07,61.5,61.88,61.22,61.51,1585200,0.0,1.0
2012-12-10,61.51,62.09,61.44,62.08,1835800,0.0,1.0
2012-12-11,62.32,62.39,61.29,61.55,2248800,0.0,1.0
2012-12-12,61.87,62.29,61.45,61.53,2241200,0.0,1.0
2012-12-13,61.61,62.23,61.0934,61.24,1791800,0.0,1.0
2012-12-14,61.11,62.08,61.11,61.36,2226300,0.0,1.0
2012-12-17,61.77,62.2,61.28,61.62,1991900,0.0,1.0
2012-12-18,61.65,62.6698,61.61,62.44,8857300,0.0,1.0
2012-12-19,62.62,62.75,62.07,62.15,2435700,0.0,1.0
2012-12-20,62.2,62.99,61.8,62.97,3173900,0.0,1.0
2012-12-21,61.95,62.733,61.95,62.55,3707200,0.0,1.0
2012-12-24,62.53,62.55,61.77,61.99,1015600,0.0,1.0
2012-12-26,62.05,62.42,61.45,61.6,1412200,0.0,1.0
2012-12-27,61.51,61.66,60.59,61.22,1935100,0.0,1.0
2012-12-28,60.71,61.69,60.66,61.07,1625600,0.0,1.0
2012-12-31,60.82,61.88,60.7,61.84,2009900,0.0,1.0
2013-01-02,63.14,63.79,62.81,63.29,2395700,0.0,1.0
2013-01-03,62.65,64.5,62.65,63.46,2516800,0.0,1.0
2013-01-04,63.81,65.75,63.77,65.37,2779800,0.0,1.0
2013-01-07,65.13,65.19,64.28,64.83,2573400,0.0,1.0
2013-01-08,64.8,65.28,63.86,63.99,2745400,0.0,1.0
2013-01-09,64.31,65.228,64.1301,64.75,2143400,0.0,1.0
2013-01-10,64.5,64.91,63.98,64.67,2356000,0.0,1.0
2013-01-11,64.93,65.21,63.75,64.04,2401600,0.0,1.0
2013-01-14,65.21,65.65,64.51,64.87,2292100,0.0,1.0
2013-01-15,64.78,65.56,64.58,65.46,2316300,0.0,1.0
2013-01-16,65.24,65.68,65.0,65.45,1746300,0.0,1.0
2013-01-17,65.81,66.08,65.505,65.95,2299700,0.0,1.0
2013-01-18,65.91,66.74,65.58,66.7,2554000,0.0,1.0
2013-01-22,66.63,67.16,66.18,66.94,3004000,0.0,1.0
2013-01-23,67.01,68.82,66.5,68.41,4520800,0.0,1.0
2013-01-24,68.53,69.95,68.43,69.83,3605100,0.0,1.0
