date,open,high,low,close,volume,dividend,split
2012-11-01,27.24,28.29,27.06,28.095,8098200,0.0,1.0
2012-11-02,28.67,28.71,27.7,27.74,5709800,0.0,1.0
2012-11-05,27.63,28.1,27.63,27.9787,3818000,0.0,1.0
2012-11-06,28.0,28.21,27.93,28.14,7491100,0.0,1.0
2012-11-07,27.85,27.95,27.3,27.73,6326700,0.0,1.0
2012-11-08,27.75,28.06,27.31,27.3111,4153200,0.0,1.0
2012-11-09,27.27,27.67,27.2,27.34,3936000,0.0,1.0
2012-11-12,27.4,27.66,26.75,26.815,4241500,0.0,1.0
2012-11-13,26.5,26.76,26.26,26.33,7665800,0.0,1.0
2012-11-14,27.25,27.5,26.87,27.1221,16320600,0.0,1.0
2012-11-15,30.22,30.8,29.7,30.2,22808000,0.0,1.0
2012-11-16,30.25,30.36,29.47,30.2594,9024400,0.0,1.0
2012-11-19,30.51,30.91,30.02,30.89,6270700,0.0,1.0
2012-11-20,30.75,30.89,30.45,30.61,4253700,0.0,1.0
2012-11-21,30.72,30.78,30.34,30.45,4393800,0.0,1.0
2012-11-23,30.71,31.17,30.52,31.15,2151000,0.0,1.0
2012-11-26,31.12,31.39,30.72,31.36,5230800,0.0,1.0
2012-11-27,31.25,31.66,31.06,31.31,5157600,0.0,1.0
2012-11-28,30.99,31.465,30.72,31.36,6288000,0.0,1.0
2012-11-29,31.37,32.26,31.32,31.88,8452200,0.0,1.0
2012-11-30,31.86,31.95,31.41,31.71,6016900,0.0,1.0
2012-12-03,31.82,32.23,31.71,32.1396,5464000,0.0,1.0
2012-12-04,32.11,32.38,32.04,32.05,6630600,0.0,1.0
2012-12-05,31.93,32.98,31.93,32.8099,6003500,0.0,1.0
2012-12-06,32.62,32.935,32.62,32.92,5207400,0.0,1.0
2012-12-07,33.0,33.46,32.84,33.425,5591200,0.0,1.0
2012-12-10,33.31,33.95,33.29,33.57,5622100,0.0,1.0
2012-12-11,33.71,34.15,33.48,33.85,5593300,0.0,1.0
2012-12-12,33.91,34.0,33.2,33.25,5126300,0.0,1.0
2012-12-13,33.19,33.5101,32.78,33.04,7675500,0.0,1.0
2012-12-14,32.97,33.3,32.84,32.99,4176100,0.0,1.0
2012-12-17,33.09,33.33,32.735,33.18,3461200,0.0,1.0
2012-12-18,33.24,34.3,33.21,34.2602,5398400,0.0,1.0
2012-12-19,34.42,34.815,34.24,34.31,6152200,0.0,1.0
2012-12-20,34.26,34.42,33.89,34.07,4378200,0.0,1.0
2012-12-21,33.71,33.9,33.23,33.82,6115500,0.0,1.0
2012-12-24,33.66,33.7999,33.3,33.7,1234900,0.0,1.0
2012-12-26,33.7,34.0,33.45,33.55,2417500,0.0,1.0
2012-12-27,33.49,33.55,32.965,33.42,3254100,0.0,1.0
2012-12-28,33.25,33.32,32.75,32.82,2947000,0.0,1.0
2012-12-31,32.74,33.71,32.68,33.55,4322000,0.0,1.0
2013-01-02,34.01,34.5,33.55,34.3,8740300,0.0,1.0
2013-01-03,34.22,34.82,33.84,34.17,4620700,0.0,1.0
2013-01-04,34.12,34.25,33.6,34.08,3953900,0.0,1.0
2013-01-07,33.94,34.23,33.19,33.24,7114500,0.0,1.0
2013-01-08,33.1,33.11,31.74,32.5,9210700,0.0,1.0
2013-01-09,32.67,32.81,31.98,32.21,6275800,0.0,1.0
2013-01-10,32.6,32.7,32.05,32.42,5213600,0.0,1.0
2013-01-11,32.42,33.25,32.4,33.06,4292400,0.0,1.0
2013-01-14,32.78,33.4,32.47,33.24,4811500,0.0,1.0
2013-01-15,33.09,33.55,32.86,33.48,3257000,0.0,1.0
2013-01-16,33.59,34.36,33.38,34.23,6185800,0.0,1.0
2013-01-17,34.55,34.63,34.12,34.47,5729400,0.0,1.0
2013-01-18,34.46,34.46,33.9,34.36,4400200,0.0,1.0
2013-01-22,34.28,34.88,34.01,34.785,4504000,0.0,1.0
2013-01-23,35.0,35.0,34.14,34.72,4452600,0.0,1.0
2013-01-24,35.0,35.62,34.78,35.47,7095400,0.0,1.0
2013-01-25,35.64,36.19,35.52,36.15,6799800,0.0,1.0
2013-01-28,36.89,37.02,36.35,36.38,6478000,0.0,1.0
2013-01-29,35.71,36.95,35.56,35.93,6127500,0.0,1.0
2013-01-30,35.77,36.71,35.77,36.54,7828600,0.0,1.0
2013-01-31,36.36,36.78,36.0,36.0,4036700,0.0,1.0
2013-02-01,36.4399,36.67,36.08,36.25,4843000,0.0,1.0
2013-02-04,36.1,36.52,35.6499,35.68,3798600,0.0,1.0
2013-02-05,35.98,36.28,35.46,35.98,6207600,0.0,1.0
2013-02-06,35.84,36.31,35.75,36.11,3061200,0.0,1.0
2013-02-07,36.0,36.0,35.09,35.565,5522800,0.0,1.0
2013-02-08,35.59,36.18,35.55,35.75,5143800,0.0,1.0
2013-02-11,35.85,35.85,35.16,35.36,5580200,0.0,1.0
2013-02-12,36.0,36.1,35.255,35.41,5145100,0.0,1.0
2013-02-13,35.41,36.19,34.7,35.82,10308300,0.0,1.0
2013-02-14,34.9899,35.92,34.0,35.86,10459800,0.0,1.0
2013-02-15,35.69,36.61,35.56,36.55,8517500,0.0,1.0
2013-02-19,36.5,36.61,36.25,36.48,4709300,0.0,1.0
2013-02-20,36.56,36.57,35.455,35.54,5152100,0.0,1.0
2013-02-21,35.38,35.79,34.13,34.54,7483400,0.0,1.0
2013-02-22,34.72,34.92,34.16,34.38,6796900,0.0,1.0
2013-02-25,34.56,35.0,33.57,33.58,7452700,0.0,1.0
2013-02-26,33.75,34.16,33.51,33.79,5498900,0.0,1.0
2013-02-27,33.89,34.6499,33.61,34.43,4173700,0.0,1.0
2013-02-28,34.33,34.5,33.82,33.84,4348800,0.0,1.0
2013-03-01,33.81,34.24,33.3,33.95,6253200,0.0,1.0
2013-03-04,33.94,33.95,33.29,33.59,4540900,0.0,1.0
2013-03-05,33.76,34.55,33.73,34.14,4101600,0.0,1.0
2013-03-06,34.35,34.77,34.18,34.55,3583200,0.0,1.0
2013-03-07,34.53,34.945,33.96,34.28,4677900,0.0,1.0
2013-03-08,34.5,34.67,34.07,34.21,4961300,0.0,1.0
2013-03-11,34.05,34.69,34.015,34.68,4996000,0.0,1.0
2013-03-12,34.29,34.43,33.705,34.0,5155500,0.0,1.0
2013-03-13,34.09,34.27,33.66,34.19,3900400,0.0,1.0
2013-03-14,34.18,34.56,34.18,34.51,4566700,0.0,1.0
2013-03-15,34.34,34.83,34.27,34.56,5607500,0.0,1.0
2013-03-18,34.28,34.3,33.8565,34.11,6574600,0.0,1.0
2013-03-19,34.13,34.249,33.52,33.95,5887900,0.0,1.0
2013-03-20,34.2,34.43,33.98,34.15,4914500,0.0,1.0
2013-03-21,33.86,33.965,33.4201,33.77,4854300,0.0,1.0
2013-03-22,33.78,33.91,33.44,33.54,6883400,0.0,1.0
2013-03-25,33.55,33.73,33.095,33.19,4830500,0.0,1.0
2013-03-26,33.46,33.5401,33.045,33.31,3213300,0.0,1.0
2013-03-27,33.02,33.95,32.975,33.7,3964400,0.0,1.0
2013-03-28,33.59,34.215,33.3288,34.16,7173000,0.0,1.0
2013-04-01,34.07,34.4,33.7,34.06,4954000,0.0,1.0
2013-04-02,34.34,34.95,34.11,34.7,8198600,0.0,1.0
2013-04-03,34.61,34.9,34.36,34.44,5836300,0.0,1.0
2013-04-04,34.32,34.61,34.11,34.57,4060500,0.0,1.0
2013-04-05,34.13,34.145,33.19,34.0,10886500,0.0,1.0
2013-04-08,33.91,34.05,33.77,33.93,5871800,0.0,1.0
2013-04-09,34.1,34.54,34.005,34.17,8866100,0.0,1.0
2013-04-10,33.69,34.215,33.511,33.62,11516900,0.0,1.0
2013-04-11,33.59,33.61,33.11,33.47,8647600,0.0,1.0
2013-04-12,33.48,36.16,33.23,35.455,20926200,0.0,1.0
2013-04-15,35.25,35.83,34.62,34.73,8646200,0.0,1.0
2013-04-16,34.82,35.97,34.64,35.81,8142100,0.0,1.0
2013-04-17,35.5,35.52,34.6111,34.72,6196700,0.0,1.0
2013-04-18,34.86,34.96,33.68,33.78,5893100,0.0,1.0
2013-04-19,33.17,33.43,32.75,32.99,9945600,0.0,1.0
2013-04-22,33.27,34.17,33.12,34.12,6999200,0.0,1.0
2013-04-23,34.45,35.38,34.15,34.95,8393700,0.0,1.0
2013-04-24,34.81,35.25,34.73,34.86,6846100,0.0,1.0
2013-04-25,35.1,35.59,34.73,34.81,6834100,0.0,1.0
