date,open,high,low,close,volume,dividend,split
2012-11-01,40.32,41.86,40.29,41.53,2824700,0.0,1.0
2012-11-02,41.69,42.0,40.55,40.64,5362800,0.0,1.0
2012-11-05,40.47,41.15,40.41,40.95,1467700,0.0,1.0
2012-11-06,41.17,41.96,41.03,41.48,1682100,0.0,1.0
2012-11-07,40.82,40.86,40.14,40.56,2419100,0.0,1.0
2012-11-08,40.47,40.68,39.9547,40.04,1566000,0.0,1.0
2012-11-09,39.95,41.16,39.9,40.54,2017500,0.0,1.0
2012-11-12,40.75,40.75,40.25,40.4,758500,0.0,1.0
2012-11-13,39.98,40.585,39.9201,40.13,1916400,0.0,1.0
2012-11-14,40.32,40.46,39.43,39.55,1878400,0.0,1.0
2012-11-15,39.55,39.94,39.2,39.36,2004400,0.0,1.0
2012-11-16,39.32,39.75,38.83,39.43,2223400,0.0,1.0
2012-11-19,40.03,40.51,39.98,40.51,1644900,0.0,1.0
2012-11-20,40.33,40.55,39.991,40.33,1611000,0.0,1.0
2012-11-21,40.45,40.91,40.24,40.68,950700,0.0,1.0
2012-11-23,40.91,41.29,40.74,41.14,692800,0.0,1.0
2012-11-26,40.96,41.25,40.72,41.06,1172400,0.0,1.0
2012-11-27,40.92,41.31,40.42,40.47,1546100,0.0,1.0
2012-11-28,40.22,40.74,39.84,40.73,2002000,0.0,1.0
2012-11-29,41.06,41.8563,40.74,41.04,2000800,0.0,1.0
2012-11-30,41.22,41.31,40.92,41.18,1658900,0.0,1.0
2012-12-03,41.37,41.48,40.23,40.28,2294100,0.0,1.0
2012-12-04,40.28,40.98,40.27,40.74,2112100,0.0,1.0
2012-12-05,40.84,41.13,40.23,40.81,2053100,0.0,1.0
2012-12-06,40.78,40.81,40.18,40.68,1762300,0.0,1.0
2012-12-07,40.81,40.98,40.2501,40.72,1539000,0.0,1.0
2012-12-10,40.69,40.8704,40.41,40.78,1639900,0.0,1.0
2012-12-11,40.95,41.98,40.95,41.75,3327400,0.0,1.0
2012-12-12,41.86,41.98,41.11,41.22,2701400,0.0,1.0
2012-12-13,41.28,41.72,40.98,41.19,1867700,0.0,1.0
2012-12-14,41.19,42.5,41.04,42.28,3476700,0.0,1.0
2012-12-17,42.36,42.785,42.12,42.76,2567900,0.0,1.0
2012-12-18,42.44,43.86,42.44,43.64,4070900,0.0,1.0
2012-12-19,43.75,43.8,43.24,43.45,2150700,0.0,1.0
2012-12-20,43.44,43.98,43.2501,43.97,1984600,0.0,1.0
2012-12-21,43.48,43.62,43.09,43.52,3566300,0.0,1.0
2012-12-24,43.34,43.7,43.34,43.53,906800,0.0,1.0
2012-12-26,43.7,44.0,43.57,43.74,1951200,0.0,1.0
2012-12-27,43.68,43.8,42.61,43.15,2486600,0.3675,1.0
2012-12-28,42.84,43.06,42.28,42.44,2431300,0.0,1.0
2012-12-31,42.35,43.21,42.3,43.16,2423300,0.0,1.0
2013-01-02,44.1,44.9,44.09,44.78,3100400,0.0,1.0
2013-01-03,44.77,45.27,44.49,44.69,2448000,0.0,1.0
2013-01-04,44.7,45.31,44.609,45.28,1839200,0.0,1.0
2013-01-07,45.08,45.88,44.885,45.48,2484500,0.0,1.0
2013-01-08,45.41,45.57,44.711,45.01,2448000,0.0,1.0
2013-01-09,45.11,45.34,45.04,45.25,1351200,0.0,1.0
2013-01-10,45.5,45.6,45.2,45.47,1893200,0.0,1.0
2013-01-11,45.39,45.5,45.085,45.43,1442400,0.0,1.0
2013-01-14,45.49,45.99,45.27,45.53,1811700,0.0,1.0
2013-01-15,45.32,46.13,45.3,46.06,2129500,0.0,1.0
2013-01-16,45.77,46.06,45.36,45.91,2765100,0.0,1.0
2013-01-17,46.1,46.885,45.8,46.64,3114500,0.0,1.0
2013-01-18,46.76,47.69,46.55,47.52,5357800,0.0,1.0
2013-01-22,47.63,48.37,47.4,48.11,3244100,0.0,1.0
2013-01-23,48.24,48.24,47.63,47.98,2294700,0.0,1.0
2013-01-24,48.12,48.34,47.6,47.78,2651700,0.0,1.0
2013-01-25,48.0,48.0,47.18,47.68,2058600,0.0,1.0
2013-01-28,47.78,47.78,46.79,47.19,3392700,0.0,1.0
2013-01-29,47.53,47.65,46.51,47.04,2732200,0.0,1.0
2013-01-30,47.0,47.139,46.22,46.3,2672900,0.0,1.0
2013-01-31,46.32,46.39,46.0,46.01,2422200,0.0,1.0
2013-02-01,46.47,47.13,46.19,46.98,2594300,0.0,1.0
2013-02-04,46.49,46.67,46.03,46.12,2107900,0.0,1.0
2013-02-05,46.25,46.45,46.03,46.23,2141900,0.0,1.0
2013-02-06,46.13,47.28,46.06,46.96,2938100,0.0,1.0
2013-02-07,46.87,46.92,46.01,46.28,3010200,0.0,1.0
2013-02-08,46.36,46.8862,46.36,46.74,1197200,0.0,1.0
2013-02-11,46.61,47.08,46.5,46.87,1367400,0.0,1.0
2013-02-12,46.82,47.521,46.79,47.24,1516200,0.0,1.0
2013-02-13,47.21,47.615,47.0,47.47,2237600,0.0,1.0
2013-02-14,47.3,48.34,47.25,48.23,2881100,0.0,1.0
2013-02-15,48.23,48.31,47.93,48.12,1985800,0.0,1.0
2013-02-19,48.24,48.6,47.58,47.72,2253600,0.0,1.0
2013-02-20,47.55,47.73,45.84,45.95,3406600,0.0,1.0
2013-02-21,45.66,45.76,44.32,44.7,4741300,0.0,1.0
2013-02-22,45.15,45.5,44.8,45.18,2359200,0.0,1.0
2013-02-25,45.47,45.5568,43.68,43.71,3033200,0.0,1.0
2013-02-26,44.04,44.17,43.41,43.85,2945000,0.0,1.0
2013-02-27,43.8,45.075,43.78,44.93,2301400,0.0,1.0
2013-02-28,44.96,45.61,44.73,45.05,2595800,0.0,1.0
2013-03-01,44.69,44.99,44.24,44.37,2626600,0.0,1.0
2013-03-04,44.65,45.04,43.98,45.02,3116000,0.0,1.0
2013-03-05,45.61,46.11,45.3175,45.41,2767100,0.0,1.0
2013-03-06,45.66,46.87,45.59,46.49,3792600,0.0,1.0
2013-03-07,46.51,47.155,46.49,46.78,2351200,0.0,1.0
2013-03-08,46.95,47.87,46.84,47.65,2665600,0.0,1.0
2013-03-11,47.5,47.79,46.95,47.56,2985900,0.0,1.0
2013-03-12,47.55,47.99,47.13,47.34,2530600,0.0,1.0
2013-03-13,47.27,47.32,45.93,46.54,4185900,0.0,1.0
2013-03-14,46.14,46.46,45.63,46.43,4328600,0.0,1.0
2013-03-15,46.05,46.95,46.03,46.6,3527900,0.0,1.0
2013-03-18,45.82,46.5,45.82,46.25,2149400,0.0,1.0
2013-03-19,46.23,46.51,45.74,46.15,2328600,0.0,1.0
2013-03-20,46.5,46.96,46.06,46.77,2229400,0.0,1.0
2013-03-21,46.53,47.18,46.29,46.4,1697200,0.0,1.0
2013-03-22,46.49,46.62,45.97,46.15,2754700,0.0,1.0
2013-03-25,46.32,46.41,45.499,45.89,2710800,0.0,1.0
2013-03-26,45.6,46.04,45.44,45.99,3001100,0.3675,1.0
2013-03-27,45.55,46.05,45.36,46.01,1921200,0.0,1.0
2013-03-28,45.93,46.44,45.56,46.15,2570300,0.0,1.0
2013-04-01,46.16,46.24,44.9,45.14,3244400,0.0,1.0
2013-04-02,45.27,45.75,43.46,43.65,3661000,0.0,1.0
2013-04-03,43.6,44.22,42.645,43.07,3774300,0.0,1.0
2013-04-04,43.21,44.12,43.0013,43.5,2767300,0.0,1.0
2013-04-05,42.89,43.895,42.5,43.76,2504100,0.0,1.0
2013-04-08,43.72,43.95,43.26,43.94,1965200,0.0,1.0
2013-04-09,44.0,44.8,43.98,44.44,2390400,0.0,1.0
2013-04-10,44.64,45.07,44.26,44.98,2622400,0.0,1.0
2013-04-11,44.95,45.41,44.62,44.99,3074300,0.0,1.0
2013-04-12,44.88,45.12,43.93,44.31,1999100,0.0,1.0
2013-04-15,43.84,43.87,42.69,42.79,3752200,0.0,1.0
2013-04-16,43.27,43.43,42.96,43.39,1980400,0.0,1.0
2013-04-17,42.88,43.01,41.99,42.53,3082500,0.0,1.0
2013-04-18,42.79,42.93,41.605,42.23,3589200,0.0,1.0
2013-04-19,42.54,42.92,41.32,42.38,4157700,0.0,1.0
2013-04-22,42.47,42.54,41.6,42.33,2455700,0.0,1.0
2013-04-23,42.44,42.65,42.0,42.3,2398700,0.0,1.0
2013-04-24,42.48,43.83,42.41,43.68,3446700,0.0,1.0
2013-04-25,43.85,44.23,43.23,43.44,3034300,0.0,1.0
2013-04-26,43.32,43.45,42.68,42.79,1964900,0.0,1.0
2013-04-29,42.93,43.29,42.76,43.14,1817200,0.0,1.0
2013-04-30,42.88,43.64,42.43,43.62,2057100,0.0,1.0
2013-05-01,43.46,43.46,42.67,42.93,1536900,0.0,1.0
2013-05-02,43.05,43.65,42.6536,43.4,1481500,0.0,1.0
2013-05-03,43.95,45.11,43.94,44.92,2389500,0.0,1.0
2013-05-06,44.99,45.0,44.46,44.65,1462600,0.0,1.0
2013-05-07,44.78,45.115,44.6,45.06,1310400,0.0,1.0
2013-05-08,45.18,46.3299,44.97,45.87,1852100,0.0,1.0
2013-05-09,45.82,45.96,45.29,45.45,1549500,0.0,1.0
2013-05-10,45.47,45.7375,44.93,45.35,1854500,0.0,1.0
2013-05-13,45.2,45.27,44.72,44.89,984200,0.0,1.0
2013-05-14,44.77,45.595,44.64,45.34,1320500,0.0,1.0
2013-05-15,44.96,45.4,44.53,45.23,1460000,0.0,1.0
2013-05-16,45.06,46.01,44.85,44.99,2192500,0.0,1.0
2013-05-17,45.27,45.93,45.2,45.77,1379600,0.0,1.0
2013-05-20,45.67,46.38,45.48,46.15,1716600,0.0,1.0
2013-05-21,46.2,47.4,46.19,47.1,2564200,0.0,1.0
2013-05-22,47.2,47.4,45.45,46.1,3562000,0.0,1.0
2013-05-23,45.42,45.89,45.22,45.7,1841500,0.0,1.0
2013-05-24,45.34,45.7,45.06,45.22,1160800,0.0,1.0
2013-05-28,45.71,46.34,45.53,46.15,2190100,0.0,1.0
2013-05-29,45.72,46.07,45.46,45.73,1841900,0.0,1.0
2013-05-30,45.81,46.06,45.56,45.64,1228500,0.0,1.0
2013-05-31,45.42,45.785,44.51,44.51,2471800,0.0,1.0
2013-06-03,44.65,45.11,44.29,44.96,1774900,0.0,1.0
2013-06-04,44.97,45.52,44.63,45.16,1700400,0.0,1.0
2013-06-05,44.88,45.2,44.31,44.34,1307600,0.0,1.0
2013-06-06,44.37,44.59,44.0,44.48,1551500,0.0,1.0
2013-06-07,44.61,44.9531,43.9946,44.49,1534400,0.0,1.0
2013-06-10,44.42,44.71,44.13,44.37,1741100,0.0,1.0
2013-06-11,43.69,44.05,43.46,43.63,1987600,0.0,1.0
2013-06-12,43.9,44.2,43.49,43.92,2497500,0.0,1.0
2013-06-13,43.56,45.445,43.56,45.24,3576300,0.0,1.0
2013-06-14,45.3,45.415,44.33,44.7,2172200,0.0,1.0
2013-06-17,45.0,45.35,44.7,44.98,2087100,0.0,1.0
2013-06-18,44.91,45.185,44.61,44.87,2371200,0.0,1.0
2013-06-19,44.75,45.31,44.62,44.85,1684700,0.0,1.0
2013-06-20,44.23,45.25,43.78,44.0,3213600,0.0,1.0
2013-06-21,44.43,44.7,43.77,44.0,2763300,0.0,1.0
2013-06-24,43.5,43.52,42.22,43.13,2347800,0.0,1.0
2013-06-25,43.6,43.89,43.0295,43.68,1744500,0.0,1.0
2013-06-26,43.88,43.88,42.98,43.66,1656800,0.3675,1.0
2013-06-27,43.95,44.59,43.95,44.08,1353300,0.0,1.0
2013-06-28,44.08,44.17,43.29,43.32,2244700,0.0,1.0
2013-07-01,43.68,44.18,43.56,43.84,1430700,0.0,1.0
2013-07-02,43.7,44.03,43.21,43.8,1634100,0.0,1.0
2013-07-03,43.38,43.8,43.23,43.55,877600,0.0,1.0
2013-07-05,43.91,44.047,43.11,43.85,963200,0.0,1.0
2013-07-08,44.12,44.35,43.7,43.88,1337300,0.0,1.0
2013-07-09,44.3,45.03,44.3,44.79,1844100,0.0,1.0
2013-07-10,44.82,44.97,43.77,44.16,2165900,0.0,1.0
2013-07-11,45.0,45.99,44.87,45.62,2832100,0.0,1.0
2013-07-12,45.48,45.6,44.6,44.88,1930100,0.0,1.0
2013-07-15,44.72,45.48,44.67,45.28,1112400,0.0,1.0
2013-07-16,45.42,45.498,44.37,44.76,1350900,0.0,1.0
2013-07-17,45.04,45.43,44.91,45.29,1406200,0.0,1.0
2013-07-18,45.29,46.22,45.15,45.65,2243800,0.0,1.0
2013-07-19,45.77,45.87,44.84,45.64,3217100,0.0,1.0
2013-07-22,45.77,46.28,45.77,46.07,1388800,0.0,1.0
2013-07-23,46.39,46.66,46.155,46.5,1697700,0.0,1.0
2013-07-24,46.27,46.27,45.43,45.84,2414800,0.0,1.0
2013-07-25,45.76,46.65,45.62,46.6,2018500,0.0,1.0
2013-07-26,46.31,46.93,46.19,46.91,1551600,0.0,1.0
2013-07-29,46.87,47.08,46.38,46.81,1645300,0.0,1.0
2013-07-30,46.81,47.05,46.301,46.79,1321300,0.0,1.0
2013-07-31,46.82,47.34,46.73,46.78,1980100,0.0,1.0
2013-08-01,47.17,47.42,46.91,47.14,1056100,0.0,1.0
2013-08-02,47.03,47.21,46.6,47.19,1572700,0.0,1.0
2013-08-05,47.15,47.15,46.61,46.69,1176800,0.0,1.0
2013-08-06,46.63,46.78,46.37,46.5,1641500,0.0,1.0
2013-08-07,46.38,46.73,46.06,46.25,1439500,0.0,1.0
2013-08-08,46.71,47.7,46.69,47.32,2180900,0.0,1.0
2013-08-09,47.5,49.66,47.48,49.22,4299700,0.0,1.0
2013-08-12,49.14,49.69,48.42,48.64,3265100,0.0,1.0
2013-08-13,48.85,48.98,47.9,48.14,2125400,0.0,1.0
2013-08-14,48.14,48.53,47.72,47.72,1888600,0.0,1.0
2013-08-15,47.24,47.41,46.83,47.23,1782500,0.0,1.0
2013-08-16,47.06,47.35,46.73,46.92,1704000,0.0,1.0
2013-08-19,46.84,46.9,46.04,46.17,1609900,0.0,1.0
2013-08-20,46.03,46.8,45.83,46.48,1649100,0.0,1.0
2013-08-21,46.31,46.37,45.556,45.73,1197200,0.0,1.0
2013-08-22,45.95,46.87,45.88,46.46,1201100,0.0,1.0
2013-08-23,46.56,46.6966,46.14,46.32,1378100,0.0,1.0
2013-08-26,46.43,46.725,46.2,46.25,1239500,0.0,1.0
2013-08-27,45.72,45.885,45.39,45.53,2222300,0.0,1.0
2013-08-28,45.51,45.87,45.32,45.66,1555800,0.0,1.0
2013-08-29,45.46,46.12,45.34,45.72,1314500,0.0,1.0
2013-08-30,45.79,45.99,45.32,45.49,1748900,0.0,1.0
2013-09-03,46.01,46.41,45.49,45.68,1614700,0.0,1.0
2013-09-04,45.59,46.37,45.5001,46.35,1088200,0.0,1.0
2013-09-05,46.34,46.84,46.3201,46.6,1430300,0.0,1.0
2013-09-06,46.77,46.95,46.06,46.61,1761600,0.0,1.0
2013-09-09,46.84,47.78,46.81,47.68,1588300,0.0,1.0
2013-09-10,47.94,48.51,47.73,47.97,1410300,0.0,1.0
2013-09-11,47.91,48.76,47.73,48.68,1876900,0.0,1.0
2013-09-12,48.4,48.48,48.13,48.35,1688700,0.0,1.0
2013-09-13,48.32,48.46,48.04,48.3,1443000,0.0,1.0
2013-09-16,49.01,49.1725,48.83,49.09,3050000,0.0,1.0
2013-09-17,49.16,50.13,49.12,49.47,2738500,0.0,1.0
2013-09-18,49.49,51.07,49.23,50.87,3559400,0.0,1.0
2013-09-19,50.99,51.25,50.2,50.2,2707200,0.0,1.0
2013-09-20,50.19,50.54,50.12,50.37,2995000,0.0,1.0
2013-09-23,50.21,50.53,49.87,49.88,3727300,0.0,1.0
2013-09-24,49.91,50.47,49.8,50.3,2684800,0.0,1.0
2013-09-25,50.07,50.09,49.48,49.48,1735400,0.3675,1.0
2013-09-26,49.54,49.81,48.84,49.32,1721800,0.0,1.0
2013-09-27,48.97,49.02,48.36,48.8,1399000,0.0,1.0
2013-09-30,48.26,49.41,48.09,49.02,1755900,0.0,1.0
2013-10-01,48.89,49.61,48.74,48.96,1399900,0.0,1.0
2013-10-02,48.66,49.09,48.59,48.83,2198500,0.0,1.0
2013-10-03,48.83,49.11,48.18,48.44,1947400,0.0,1.0
2013-10-04,48.44,48.88,48.2,48.78,1360900,0.0,1.0
2013-10-07,48.29,48.83,48.0,48.54,1151100,0.0,1.0
2013-10-08,48.57,48.748,47.88,48.02,1334200,0.0,1.0
2013-10-09,48.2,48.2,47.37,47.58,1678600,0.0,1.0
2013-10-10,47.95,48.41,47.91,48.38,1976800,0.0,1.0
2013-10-11,48.35,49.09,48.3,48.93,1259000,0.0,1.0
2013-10-14,48.59,49.48,48.58,49.28,1302600,0.0,1.0
2013-10-15,49.24,50.29,49.24,49.48,2339200,0.0,1.0
2013-10-16,50.06,50.33,49.5,49.82,1904200,0.0,1.0
2013-10-17,49.97,50.94,49.3,50.79,2564900,0.0,1.0
2013-10-18,50.99,51.25,50.5,51.09,2703400,0.0,1.0
