date,open,high,low,close,volume,dividend,split
2012-11-01,47.86,49.53,47.85,49.17,2620700,0.0,1.0
2012-11-02,49.54,49.55,48.14,48.18,1550300,0.0,1.0
2012-11-05,48.17,48.43,48.0,48.26,975700,0.0,1.0
2012-11-06,48.34,48.835,48.18,48.66,761000,0.0,1.0
2012-11-07,48.35,48.685,47.72,48.24,1444100,0.0,1.0
2012-11-08,48.17,48.22,46.92,46.95,3101100,0.0,1.0
2012-11-09,46.66,47.4,46.52,47.01,1633900,0.0,1.0
2012-11-12,47.39,47.39,46.99,47.02,1480400,0.0,1.0
2012-11-13,46.73,47.28,46.582,46.65,3443700,0.0,1.0
2012-11-14,46.74,46.84,45.93,46.01,2289200,0.0,1.0
2012-11-15,46.05,46.38,45.11,45.62,3510000,0.0,1.0
2012-11-16,45.6,46.09,45.415,45.93,2290400,0.0,1.0
2012-11-19,46.4,46.82,46.22,46.82,2207200,0.0,1.0
2012-11-20,46.75,46.92,46.4268,46.6,1314000,0.0,1.0
2012-11-21,46.59,46.75,46.26,46.28,1117700,0.0,1.0
2012-11-23,46.41,47.52,46.39,47.46,1383500,0.0,1.0
2012-11-26,47.36,47.6,47.14,47.49,1486900,0.0,1.0
2012-11-27,47.53,48.03,47.13,47.8,2728100,0.0,1.0
2012-11-28,47.72,49.02,47.51,48.56,3185000,0.0,1.0
2012-11-29,48.7,49.33,48.58,49.15,1970300,0.0,1.0
2012-11-30,49.26,50.0,49.0,49.74,2195300,0.0,1.0
2012-12-03,49.85,49.9099,49.25,49.42,2323800,0.0,1.0
2012-12-04,49.31,49.69,49.14,49.67,1954000,0.0,1.0
2012-12-05,49.67,49.83,49.35,49.77,1836200,0.0,1.0
2012-12-06,49.79,49.86,49.49,49.64,1021700,0.0,1.0
2012-12-07,49.74,49.9,49.58,49.82,1156100,0.0,1.0
2012-12-10,49.47,49.69,49.22,49.41,1551000,0.0,1.0
2012-12-11,49.47,49.66,49.36,49.57,2143400,0.0,1.0
2012-12-12,49.45,49.67,49.16,49.51,2030300,0.3,1.0
2012-12-13,49.35,49.77,49.18,49.24,1421600,0.0,1.0
2012-12-14,49.26,49.39,49.11,49.2,1742200,0.0,1.0
2012-12-17,49.43,49.77,49.23,49.77,1347300,0.0,1.0
2012-12-18,49.78,50.9,49.73,50.53,1608900,0.0,1.0
2012-12-19,50.58,51.11,50.52,50.61,2477000,0.0,1.0
2012-12-20,50.65,50.89,50.16,50.78,1602700,0.0,1.0
2012-12-21,50.39,50.52,49.82,50.21,2297200,0.0,1.0
2012-12-24,50.19,50.22,49.53,50.0,504700,0.0,1.0
2012-12-26,50.08,50.08,48.99,49.21,1205700,0.0,1.0
2012-12-27,49.16,49.61,48.84,49.41,2102300,0.0,1.0
2012-12-28,49.0,49.79,48.96,49.16,1705900,0.0,1.0
2012-12-31,49.08,50.0,49.0,49.96,1840400,0.0,1.0
2013-01-02,50.5,51.46,50.45,51.46,2209900,0.0,1.0
2013-01-03,51.49,52.25,51.33,51.63,1743400,0.0,1.0
2013-01-04,51.81,51.89,51.39,51.47,1210400,0.0,1.0
2013-01-07,51.22,51.528,51.105,51.21,1096800,0.0,1.0
2013-01-08,50.97,51.41,50.4,51.41,2197000,0.0,1.0
2013-01-09,51.53,51.57,50.938,51.45,1527800,0.0,1.0
2013-01-10,51.74,52.05,51.62,52.05,1298500,0.0,1.0
2013-01-11,52.09,52.42,51.87,52.28,1446400,0.0,1.0
2013-01-14,52.22,52.72,51.15,52.69,1355500,0.0,1.0
2013-01-15,52.23,53.11,52.19,52.91,1401800,0.0,1.0
2013-01-16,52.55,52.97,52.44,52.73,1166700,0.0,1.0
2013-01-17,53.08,53.4,52.96,53.18,1458200,0.0,1.0
2013-01-18,53.28,53.38,52.94,53.23,1190600,0.0,1.0
2013-01-22,53.15,53.64,53.12,53.64,1315900,0.0,1.0
2013-01-23,53.54,54.04,53.33,53.94,1566000,0.0,1.0
2013-01-24,54.03,54.31,53.68,53.81,1285900,0.0,1.0
2013-01-25,53.97,54.43,53.84,54.19,1117800,0.0,1.0
2013-01-28,54.26,54.26,53.81,53.95,1032000,0.0,1.0
2013-01-29,53.84,54.45,53.83,54.39,1169800,0.0,1.0
2013-01-30,54.42,54.48,54.14,54.31,1808400,0.0,1.0
2013-01-31,54.2,54.57,54.07,54.28,1499100,0.0,1.0
2013-02-01,54.68,54.91,54.45,54.53,1233700,0.0,1.0
