date,open,high,low,close,volume,dividend,split
2012-11-01,31.2,31.52,30.93,31.48,22886100,0.0,1.0
2012-11-02,31.8,31.81,31.18,31.21,17251200,0.0,1.0
2012-11-05,30.95,31.35,30.77,31.25,13590100,0.0,1.0
2012-11-06,31.43,31.91,31.33,31.63,15018800,0.0,1.0
2012-11-07,31.3,31.35,30.76,30.79,22295700,0.0,1.0
2012-11-08,30.73,30.98,30.41,30.4201,17902800,0.0,1.0
2012-11-09,30.4,30.73,30.27,30.35,15537900,0.0,1.0
2012-11-12,30.41,30.55,30.09,30.3,10964600,0.0,1.0
2012-11-13,30.08,30.5,29.89,30.02,20901000,0.0,1.0
2012-11-14,30.1,30.15,29.52,29.58,22562900,0.0,1.0
2012-11-15,29.58,30.07,29.56,29.9501,26295000,0.0,1.0
2012-11-16,30.03,30.13,29.78,30.0,25491700,0.0,1.0
2012-11-19,30.25,30.26,29.85,30.14,22551100,0.0,1.0
2012-11-20,30.02,30.2,29.7801,30.2,17448200,0.0,1.0
2012-11-21,30.19,30.525,30.13,30.395,17423900,0.0,1.0
2012-11-23,30.65,31.06,30.575,30.92,8211500,0.0,1.0
2012-11-26,30.72,30.97,30.58,30.96,15644900,0.0,1.0
2012-11-27,31.2,31.77,31.16,31.2213,24696300,0.0,1.0
2012-11-28,31.15,31.82,30.99,31.8,21603200,0.0,1.0
2012-11-29,31.92,32.14,31.81,31.84,22205300,0.0,1.0
2012-11-30,31.85,32.24,31.745,32.175,26610600,0.0,1.0
2012-12-03,32.37,32.5,32.21,32.31,22159300,0.0,1.0
2012-12-04,32.22,32.47,32.01,32.38,17391100,0.0,1.0
2012-12-05,31.95,32.12,31.31,32.0,30775300,0.0,1.0
2012-12-06,31.99,32.11,31.9,32.03,25132600,0.0,1.0
2012-12-07,32.15,32.17,31.77,31.92,18421100,0.0,1.0
2012-12-10,31.92,32.23,31.92,32.07,20712600,0.0,1.0
2012-12-11,32.18,32.5,32.02,32.34,25716300,0.0,1.0
2012-12-12,32.21,32.38,31.83,31.94,20205300,0.18,1.0
2012-12-13,31.93,32.01,31.39,31.61,20608200,0.0,1.0
2012-12-14,31.54,32.11,31.435,31.96,21930800,0.0,1.0
2012-12-17,32.0,32.47,31.8,32.32,24047300,0.0,1.0
2012-12-18,32.49,32.95,32.35,32.88,37797600,0.0,1.0
2012-12-19,33.86,34.35,33.83,34.09,60937600,0.0,1.0
2012-12-20,34.09,34.25,33.93,33.9398,28119900,0.0,1.0
2012-12-21,33.51,33.92,33.2,33.76,45601600,0.0,1.0
2012-12-24,33.46,33.64,33.42,33.61,6451900,0.0,1.0
2012-12-26,33.67,33.85,33.34,33.61,13282100,0.0,1.0
2012-12-27,33.54,33.62,33.0,33.27,21600200,0.0,1.0
2012-12-28,33.04,33.49,33.0,33.02,16792100,0.0,1.0
2012-12-31,32.91,33.46,32.69,33.32,25320000,0.0,1.0
2013-01-02,34.08,34.74,33.93,34.69,33758400,0.0,1.0
2013-01-03,34.63,34.75,34.14,34.31,21819500,0.0,1.0
2013-01-04,34.45,34.75,34.4,34.61,21687300,0.0,1.0
2013-01-07,34.44,34.515,34.21,34.43,14008300,0.0,1.0
2013-01-08,34.15,34.51,34.06,34.44,17408900,0.0,1.0
2013-01-09,34.5,34.8,34.38,34.46,18932700,0.0,1.0
2013-01-10,34.56,34.92,34.41,34.91,17843600,0.0,1.0
2013-01-11,34.96,35.0,34.78,34.86,15105200,0.0,1.0
2013-01-14,34.83,35.0,34.6,34.96,14589400,0.0,1.0
2013-01-15,34.57,34.88,34.52,34.7,16263600,0.0,1.0
2013-01-16,34.63,34.87,34.555,34.64,17608200,0.0,1.0
2013-01-17,34.76,34.81,34.6,34.62,17827100,0.0,1.0
2013-01-18,34.59,35.13,34.41,35.11,30088900,0.0,1.0
2013-01-22,34.95,34.98,34.53,34.93,19309500,0.0,1.0
2013-01-23,34.96,35.2,34.69,34.69,17235800,0.0,1.0
2013-01-24,34.88,35.4,34.815,34.94,18662000,0.0,1.0
2013-01-25,35.0,35.4,34.88,35.38,18061300,0.0,1.0
2013-01-28,35.41,35.79,35.38,35.54,20119500,0.0,1.0
2013-01-29,35.36,35.87,35.07,35.78,18284800,0.0,1.0
2013-01-30,35.76,35.88,35.285,35.38,14249900,0.0,1.0
2013-01-31,35.27,35.69,35.25,35.51,19077700,0.0,1.0
2013-02-01,35.87,36.31,35.81,36.205,27725700,0.0,1.0
2013-02-04,35.81,36.0,35.03,35.13,23595800,0.0,1.0
2013-02-05,35.21,35.72,35.14,35.48,16662700,0.0,1.0
2013-02-06,35.31,35.42,35.01,35.1,15603500,0.0,1.0
2013-02-07,35.145,35.19,34.45,34.56,26869300,0.0,1.0
2013-02-08,34.76,34.98,34.5,34.9,19255700,0.0,1.0
2013-02-11,34.98,35.04,34.55,34.96,12648800,0.0,1.0
2013-02-12,34.89,35.25,34.85,35.11,14666300,0.0,1.0
2013-02-13,35.21,35.26,34.88,34.99,13176800,0.0,1.0
2013-02-14,34.87,35.07,34.69,34.9,15886800,0.0,1.0
2013-02-15,34.8,34.99,34.65,34.81,18406000,0.0,1.0
2013-02-19,34.93,35.41,34.82,35.4,16446000,0.0,1.0
2013-02-20,35.5,35.59,35.0,35.005,16263700,0.0,1.0
2013-02-21,34.95,34.95,34.17,34.28,20923100,0.0,1.0
2013-02-22,34.51,34.78,34.13,34.75,13754700,0.0,1.0
2013-02-25,35.07,35.43,34.27,34.28,19992900,0.0,1.0
2013-02-26,34.28,34.57,34.08,34.32,15839500,0.0,1.0
2013-02-27,34.25,34.965,34.06,34.68,15671400,0.0,1.0
2013-02-28,34.7,34.855,34.22,34.24,23816400,0.0,1.0
2013-03-01,34.12,34.83,34.0,34.63,20376000,0.0,1.0
2013-03-04,34.53,35.08,34.4001,35.05,14750500,0.0,1.0
2013-03-05,35.22,35.68,35.21,35.46,15410100,0.0,1.0
2013-03-06,35.5,35.93,35.48,35.86,21340800,0.0,1.0
2013-03-07,35.94,36.13,35.76,35.94,15098100,0.0,1.0
2013-03-08,35.94,36.09,35.67,35.71,14985000,0.0,1.0
2013-03-11,35.7,35.98,35.64,35.88,14111600,0.0,1.0
2013-03-12,35.8499,35.85,35.16,35.43,18411100,0.0,1.0
2013-03-13,35.82,35.85,35.35,35.575,21228800,0.0,1.0
2013-03-14,35.8,36.325,35.62,36.3,21040700,0.0,1.0
2013-03-15,36.11,36.43,36.1,36.34,56178100,0.0,1.0
2013-03-18,36.0999,36.415,36.0,36.04,20654800,0.0,1.0
2013-03-19,36.18,36.23,35.41,35.69,20548800,0.0,1.0
2013-03-20,35.98,36.07,35.4,35.765,41088100,0.0,1.0
2013-03-21,32.78,32.94,32.18,32.3,132669500,0.0,1.0
2013-03-22,32.4,32.5,31.64,31.98,64333500,0.0,1.0
2013-03-25,32.05,32.2,31.16,31.25,39694400,0.0,1.0
2013-03-26,31.41,31.79,31.41,31.535,29420300,0.0,1.0
2013-03-27,31.41,32.105,31.29,31.95,35028500,0.0,1.0
2013-03-28,31.89,32.39,31.79,32.33,23676700,0.0,1.0
2013-04-01,32.36,32.46,32.04,32.41,18677600,0.0,1.0
2013-04-02,32.65,32.94,32.53,32.745,22619600,0.0,1.0
2013-04-03,32.93,32.94,32.2,32.4,25545200,0.0,1.0
2013-04-04,32.36,32.51,32.23,32.365,18163800,0.0,1.0
2013-04-05,31.77,32.12,31.67,32.03,24415300,0.0,1.0
2013-04-08,32.07,32.36,31.9,32.36,14134400,0.0,1.0
2013-04-09,32.5,33.08,32.46,33.04,30087400,0.0,1.0
2013-04-10,33.15,33.95,33.15,33.73,35941000,0.0,1.0
2013-04-11,33.62,33.915,33.56,33.615,23080700,0.0,1.0
2013-04-12,33.64,33.6701,33.02,33.46,18408200,0.0,1.0
2013-04-15,33.39,33.5,32.8,32.8,19617500,0.0,1.0
2013-04-16,32.95,33.49,32.91,33.415,17310600,0.0,1.0
2013-04-17,33.1,33.13,32.45,32.485,25277000,0.0,1.0
2013-04-18,32.65,32.8,31.9,32.12,24892500,0.0,1.0
2013-04-19,31.75,32.46,31.67,32.37,30391400,0.0,1.0
2013-04-22,32.4881,32.66,32.16,32.515,18754900,0.0,1.0
2013-04-23,32.72,33.0,32.37,32.46,23964900,0.0,1.0
2013-04-24,32.49,32.8333,32.44,32.51,22601800,0.0,1.0
2013-04-25,32.56,32.575,32.21,32.27,25910200,0.0,1.0
2013-04-26,32.2,32.53,32.17,32.359,22376200,0.0,1.0
2013-04-29,32.39,32.5,32.14,32.24,31381300,0.0,1.0
2013-04-30,32.2201,32.87,32.2201,32.78,50028100,0.0,1.0
2013-05-01,32.75,33.62,32.72,33.16,32712000,0.0,1.0
2013-05-02,33.11,33.78,32.98,33.69,22992700,0.0,1.0
2013-05-03,33.93,33.95,33.28,33.38,23976800,0.0,1.0
2013-05-06,33.4399,33.51,33.08,33.51,17964500,0.0,1.0
2013-05-07,33.53,33.785,33.19,33.26,17955000,0.0,1.0
2013-05-08,33.09,33.57,33.09,33.46,21382700,0.0,1.0
2013-05-09,33.3,34.0,33.28,33.7,18722100,0.0,1.0
2013-05-10,33.83,34.03,33.65,34.02,17364100,0.0,1.0
2013-05-13,33.95,34.0,33.655,33.78,12193400,0.0,1.0
2013-05-14,33.65,34.25,33.55,33.67,23560400,0.0,1.0
2013-05-15,33.74,34.095,33.71,33.985,18360500,0.0,1.0
2013-05-16,34.09,34.61,34.09,34.37,25526300,0.0,1.0
2013-05-17,34.59,35.03,34.44,35.03,26986800,0.0,1.0
2013-05-20,34.81,35.03,34.56,34.9,18326400,0.0,1.0
2013-05-21,34.9,35.32,34.9,35.1,19682900,0.0,1.0
2013-05-22,35.07,35.15,33.92,34.12,33742400,0.0,1.0
2013-05-23,33.95,34.41,33.86,34.23,20442500,0.0,1.0
2013-05-24,33.69,34.14,33.42,34.05,22642500,0.0,1.0
2013-05-28,34.67,34.78,34.255,34.53,21432200,0.0,1.0
2013-05-29,34.4,34.56,34.12,34.4,16004800,0.0,1.0
2013-05-30,34.49,34.79,34.34,34.34,17928400,0.0,1.0
2013-05-31,34.12,34.46,33.75,33.78,24412100,0.0,1.0
2013-06-03,33.85,34.4,33.73,34.39,19782700,0.0,1.0
2013-06-04,34.34,34.75,33.955,34.16,20324900,0.0,1.0
2013-06-05,34.095,34.605,34.0,34.12,22005600,0.0,1.0
2013-06-06,33.98,33.98,33.13,33.35,29158700,0.0,1.0
2013-06-07,33.59,34.03,33.32,33.815,20548900,0.0,1.0
2013-06-10,33.98,34.09,33.8151,34.05,16901500,0.0,1.0
2013-06-11,33.66,34.15,33.495,33.57,15274500,0.0,1.0
2013-06-12,33.83,33.87,33.5,33.52,13731100,0.0,1.0
2013-06-13,33.47,34.32,33.41,34.25,15727400,0.0,1.0
2013-06-14,34.15,34.32,33.7,33.77,17551400,0.0,1.0
2013-06-17,34.03,34.63,34.0,34.27,19398200,0.0,1.0
