date,open,high,low,close,volume,dividend,split
2012-11-01,85.95,91.94,85.0,88.05,4338300,0.0,1.0
2012-11-02,88.67,91.53,87.37,88.35,1560500,0.0,1.0
2012-11-05,87.82,89.19,87.23,88.02,1695400,0.0,1.0
2012-11-06,88.29,90.08,87.76,89.7096,1347400,0.0,1.0
2012-11-07,89.38,89.8,88.12,88.37,1354200,0.0,1.0
2012-11-08,88.5,89.79,88.5,88.93,1770600,0.0,1.0
2012-11-09,88.82,91.86,88.7,89.27,2078400,0.0,1.0
2012-11-12,89.27,89.5,87.94,88.19,970900,0.0,1.0
2012-11-13,88.58,90.43,87.97,89.61,1079100,0.0,1.0
2012-11-14,89.9,90.64,88.34,88.51,1172100,0.0,1.0
2012-11-15,88.94,90.0,87.99,89.767,1055700,0.0,1.0
2012-11-16,90.26,90.26,88.72,89.97,1141000,0.0,1.0
2012-11-19,90.1,91.69,89.97,91.48,1221000,0.0,1.0
2012-11-20,91.5,92.41,90.66,91.37,865900,0.0,1.0
2012-11-21,90.84,92.08,90.48,91.55,744200,0.0,1.0
2012-11-23,91.56,93.0,91.09,92.63,463800,0.0,1.0
2012-11-26,92.33,93.21,91.64,92.46,1082500,0.0,1.0
2012-11-27,92.08,92.88,91.72,92.0,894100,0.0,1.0
2012-11-28,91.46,93.14,90.96,93.01,933000,0.0,1.0
2012-11-29,92.11,93.44,90.39,92.85,1335500,0.0,1.0
2012-11-30,93.1,94.39,93.1,94.08,1941900,0.0,1.0
2012-12-03,94.68,94.88,93.07,93.32,1046900,0.0,1.0
2012-12-04,92.7,93.32,92.051,92.9,1382900,0.0,1.0
2012-12-05,92.95,93.02,90.74,91.38,1217900,0.0,1.0
2012-12-06,91.27,91.47,90.57,90.68,1215000,0.0,1.0
2012-12-07,91.4,91.59,90.495,90.73,822700,0.0,1.0
2012-12-10,91.67,92.45,90.08,90.24,1430100,0.0,1.0
2012-12-11,90.57,92.58,90.55,91.89,1962300,0.0,1.0
2012-12-12,92.41,94.86,92.41,92.82,2791600,0.0,1.0
2012-12-13,92.55,92.96,90.6,90.79,1545800,0.0,1.0
2012-12-14,90.52,91.6,89.34,89.48,1385100,0.0,1.0
2012-12-17,89.57,90.7,89.4,90.59,2343500,0.0,1.0
2012-12-18,90.94,92.56,90.72,91.99,1312300,0.0,1.0
2012-12-19,92.09,92.57,91.15,91.39,1088600,0.0,1.0
2012-12-20,91.55,92.15,91.0,91.8,954500,0.0,1.0
2012-12-21,90.98,91.17,89.8,89.99,2693400,0.0,1.0
2012-12-24,89.76,90.45,89.0,90.0,348700,0.0,1.0
2012-12-26,90.23,90.37,88.451,88.84,672500,0.0,1.0
2012-12-27,88.97,89.255,87.32,88.71,973700,0.0,1.0
2012-12-28,88.48,88.98,87.64,88.1,751700,0.0,1.0
2012-12-31,87.85,89.48,87.76,89.42,716300,0.0,1.0
2013-01-02,90.66,90.74,88.97,89.87,1574400,0.0,1.0
2013-01-03,90.1,91.48,89.23,90.21,1151800,0.0,1.0
2013-01-04,90.53,91.86,90.2234,91.65,1048900,0.0,1.0
2013-01-07,89.41,91.3,88.76,90.05,1346500,0.0,1.0
2013-01-08,89.62,90.32,88.32,89.2,967600,0.0,1.0
2013-01-09,89.41,90.18,88.18,88.39,811200,0.0,1.0
2013-01-10,88.47,89.87,87.53,87.74,1122200,0.0,1.0
2013-01-11,88.17,88.77,87.06,88.01,1081700,0.0,1.0
2013-01-14,87.62,89.33,87.57,88.55,592200,0.0,1.0
2013-01-15,87.91,89.96,87.56,89.72,895900,0.0,1.0
2013-01-16,89.22,90.23,87.85,88.17,872900,0.0,1.0
2013-01-17,88.11,89.05,87.72,87.79,919700,0.0,1.0
2013-01-18,87.56,89.49,87.51,88.91,1092900,0.0,1.0
2013-01-22,88.77,89.72,88.06,88.7,1058900,0.0,1.0
2013-01-23,88.52,90.17,87.75,89.86,1445400,0.0,1.0
2013-01-24,90.27,92.12,90.27,91.8,1329400,0.0,1.0
2013-01-25,91.69,92.66,91.255,92.17,957600,0.0,1.0
2013-01-28,92.28,92.96,91.94,92.44,988700,0.0,1.0
2013-01-29,92.12,92.52,91.61,91.92,1012300,0.0,1.0
2013-01-30,92.08,92.95,91.63,91.74,696600,0.0,1.0
2013-01-31,91.83,92.8,91.39,92.65,1139500,0.0,1.0
2013-02-01,92.86,93.99,92.61,93.39,1092200,0.0,1.0
2013-02-04,93.31,93.59,92.21,92.63,1099300,0.0,1.0
2013-02-05,92.76,93.72,92.59,93.08,981600,0.0,1.0
2013-02-06,92.73,93.53,92.39,92.59,1389600,0.0,1.0
2013-02-07,100.0,102.77,99.1,100.04,4734900,0.0,1.0
2013-02-08,100.66,103.66,100.64,101.57,2285500,0.0,1.0
2013-02-11,101.68,102.87,101.0,102.4,1327200,0.0,1.0
2013-02-12,102.05,102.34,100.73,101.56,1080800,0.0,1.0
2013-02-13,101.59,103.15,101.29,102.0,979000,0.0,1.0
2013-02-14,101.6,102.24,101.26,101.68,1131800,0.0,1.0
2013-02-15,101.91,102.775,100.42,101.31,1039800,0.0,1.0
2013-02-19,101.5,102.31,101.33,102.16,840200,0.0,1.0
2013-02-20,102.17,102.35,101.17,101.39,839900,0.0,1.0
2013-02-21,101.05,101.928,100.61,100.77,1091800,0.0,1.0
2013-02-22,101.41,102.31,100.71,102.25,954000,0.0,1.0
2013-02-25,102.65,103.695,101.17,101.35,1577800,0.0,1.0
2013-02-26,101.35,103.0,100.55,101.76,1206000,0.0,1.0
2013-02-27,101.74,102.79,101.01,102.25,954500,0.0,1.0
2013-02-28,102.12,103.12,101.66,101.79,1537900,0.0,1.0
2013-03-01,101.68,102.86,101.126,102.62,1351800,0.0,1.0
2013-03-04,102.67,104.26,102.34,103.61,1163100,0.0,1.0
2013-03-05,104.0,104.95,103.775,104.57,1048200,0.0,1.0
2013-03-06,104.57,104.78,103.19,103.44,721100,0.0,1.0
2013-03-07,103.76,104.94,103.14,104.38,779200,0.0,1.0
2013-03-08,104.7,104.89,103.77,104.7,662100,0.0,1.0
2013-03-11,104.38,104.71,103.9,104.3,519400,0.0,1.0
2013-03-12,104.3,104.45,103.32,103.87,777600,0.0,1.0
2013-03-13,104.22,104.99,103.89,104.3,744700,0.0,1.0
2013-03-14,104.57,104.57,103.16,103.5,856200,0.0,1.0
2013-03-15,103.03,104.3425,102.94,103.76,1541900,0.0,1.0
2013-03-18,103.28,105.22,103.02,104.36,870000,0.0,1.0
2013-03-19,104.28,104.75,102.84,103.25,787100,0.0,1.0
2013-03-20,103.86,104.0,103.1,103.49,741700,0.0,1.0
2013-03-21,103.26,103.8,101.95,102.77,797900,0.0,1.0
2013-03-22,103.1,103.54,102.47,103.26,621300,0.0,1.0
2013-03-25,103.67,104.04,102.55,103.33,867300,0.0,1.0
2013-03-26,103.33,103.9,102.815,103.59,767700,0.0,1.0
2013-03-27,102.78,103.71,102.23,102.75,636700,0.0,1.0
2013-03-28,102.58,103.1,101.86,102.439,1629800,0.0,1.0
2013-04-01,103.13,103.3999,101.6,102.7,729200,0.0,1.0
2013-04-02,103.3,104.898,102.76,104.38,837300,0.0,1.0
2013-04-03,104.28,104.63,103.21,103.48,670500,0.0,1.0
2013-04-04,103.32,104.21,103.27,103.77,377400,0.0,1.0
2013-04-05,102.88,103.19,101.75,103.05,551400,0.0,1.0
2013-04-08,102.91,104.16,102.91,103.91,545900,0.0,1.0
2013-04-09,102.38,103.08,100.8,102.06,939400,0.0,1.0
2013-04-10,101.99,103.81,101.54,103.5,1269600,0.0,1.0
2013-04-11,103.79,105.4,103.51,104.01,1231700,0.0,1.0
2013-04-12,104.05,104.94,102.54,103.14,998500,0.0,1.0
2013-04-15,102.88,103.14,99.56,99.99,1272700,0.0,1.0
2013-04-16,101.02,101.11,99.8,99.99,1220600,0.0,1.0
2013-04-17,99.67,99.945,97.765,98.67,1255200,0.0,1.0
2013-04-18,99.0,99.8,98.01,98.84,840700,0.0,1.0
2013-04-19,98.56,99.82,98.37,99.36,1243300,0.0,1.0
2013-04-22,99.17,99.75,98.8,99.48,642900,0.0,1.0
2013-04-23,100.0,101.55,99.695,101.37,1366800,0.0,1.0
2013-04-24,102.15,102.57,100.91,101.12,871400,0.0,1.0
