date,open,high,low,close,volume,dividend,split
2012-11-01,79.3,80.25,78.75,79.06,6514100,0.0,1.0
2012-11-02,79.73,80.39,77.92,78.33,5759000,0.0,1.0
2012-11-05,78.14,78.5,77.67,77.83,5676400,0.0,1.0
2012-11-06,78.3,79.73,77.85,79.58,6584400,0.0,1.0
2012-11-07,78.27,78.58,76.87,77.45,6857700,0.0,1.0
2012-11-08,77.82,78.18,76.37,76.41,4898200,0.0,1.0
2012-11-09,76.27,77.67,76.15,76.65,5429300,0.0,1.0
2012-11-12,76.89,77.17,76.3,76.53,2948400,0.0,1.0
2012-11-13,75.93,76.105,74.78,74.86,6978000,0.0,1.0
2012-11-14,75.09,75.25,73.695,73.97,6238300,0.0,1.0
2012-11-15,74.34,74.95,73.48,73.92,5385500,0.0,1.0
2012-11-16,73.88,73.91,72.425,73.81,8592300,0.0,1.0
2012-11-19,74.88,75.69,74.67,75.46,5450600,0.0,1.0
2012-11-20,75.07,75.36,74.33,74.87,6058300,0.0,1.0
2012-11-21,74.86,75.36,74.26,75.11,3222900,0.0,1.0
2012-11-23,75.93,76.18,75.3755,76.17,2050700,0.0,1.0
2012-11-26,75.45,75.95,74.63,75.24,3928100,0.0,1.0
2012-11-27,74.95,75.85,74.25,75.48,5977800,0.0,1.0
2012-11-28,74.81,76.29,74.69,76.2,4642700,0.0,1.0
2012-11-29,76.58,77.0,75.93,76.26,4397500,0.0,1.0
2012-11-30,76.27,76.28,74.91,75.21,6447600,0.0,1.0
2012-12-03,75.79,75.92,73.4,73.5801,6854400,0.0,1.0
2012-12-04,73.33,73.8,72.69,73.69,5682300,0.0,1.0
2012-12-05,73.54,75.0,73.25,74.49,5367000,0.0,1.0
2012-12-06,74.14,74.56,73.42,74.52,4317800,0.54,1.0
2012-12-07,74.99,75.55,74.78,75.37,4995200,0.0,1.0
2012-12-10,75.32,75.55,74.87,75.35,3614200,0.0,1.0
2012-12-11,75.9,76.5,75.624,76.01,5092100,0.0,1.0
2012-12-12,76.31,76.91,75.79,76.42,5046700,0.0,1.0
2012-12-13,76.48,76.52,75.03,75.43,4727100,0.0,1.0
2012-12-14,75.23,76.32,75.205,76.17,3380200,0.0,1.0
2012-12-17,76.39,76.8,76.06,76.52,3827300,0.0,1.0
2012-12-18,76.67,78.63,76.48,78.47,5011800,0.0,1.0
2012-12-19,78.8,79.05,78.22,78.24,5067700,0.0,1.0
2012-12-20,78.45,79.12,78.18,79.02,4217600,0.0,1.0
2012-12-21,77.85,78.39,77.42,78.14,6937400,0.0,1.0
2012-12-24,77.84,78.21,77.34,77.52,1550000,0.0,1.0
2012-12-26,77.94,78.03,76.69,76.89,2617200,0.0,1.0
2012-12-27,77.21,77.21,76.04,76.94,2846500,0.0,1.0
2012-12-28,76.33,76.59,75.3,75.38,3289500,0.0,1.0
2012-12-31,75.17,76.685,74.815,76.61,4444700,0.0,1.0
2013-01-02,78.33,78.5,77.28,78.16,3854200,0.0,1.0
2013-01-03,78.02,79.315,77.852,78.47,3237900,0.0,1.0
2013-01-04,78.51,79.88,78.47,79.84,3775600,0.0,1.0
2013-01-07,79.56,80.17,79.26,79.88,3595900,0.0,1.0
2013-01-08,80.28,82.0,79.92,81.72,8392300,0.0,1.0
2013-01-09,81.61,82.45,81.6,82.11,5419500,0.0,1.0
2013-01-10,82.98,83.17,82.23,83.01,5150100,0.0,1.0
2013-01-11,82.93,83.17,82.59,83.08,3470800,0.0,1.0
2013-01-14,83.1,83.5,82.21,82.67,3077700,0.0,1.0
2013-01-15,82.33,82.82,82.2,82.49,2594200,0.0,1.0
2013-01-16,82.39,82.56,82.07,82.29,3071600,0.0,1.0
2013-01-17,82.73,82.986,82.38,82.39,3392000,0.0,1.0
2013-01-18,82.44,82.58,81.606,82.58,4782000,0.0,1.0
2013-01-22,82.39,83.66,82.17,83.6,5006300,0.0,1.0
2013-01-23,83.6,83.72,82.7,82.92,4144000,0.0,1.0
2013-01-24,83.05,83.83,83.05,83.4,3312000,0.0,1.0
2013-01-25,83.61,84.14,83.23,84.06,3374900,0.0,1.0
2013-01-28,84.53,84.58,83.02,83.84,3355700,0.0,1.0
2013-01-29,84.03,85.25,83.81,85.11,4201400,0.0,1.0
2013-01-30,85.27,86.34,85.04,85.32,6012000,0.0,1.0
2013-01-31,86.05,88.59,85.65,88.27,13890800,0.0,1.0
2013-02-01,88.51,88.51,87.16,87.68,7258300,0.0,1.0
2013-02-04,87.73,88.52,87.5,87.99,6808800,0.0,1.0
2013-02-05,88.52,88.74,87.81,88.41,4771900,0.0,1.0
2013-02-06,87.85,88.72,87.51,88.68,4098900,0.0,1.0
2013-02-07,88.62,88.738,87.75,88.17,4147300,0.0,1.0
2013-02-08,88.16,88.599,88.1,88.36,3173100,0.0,1.0
2013-02-11,88.24,88.25,87.09,87.21,3413800,0.0,1.0
2013-02-12,87.31,87.5,86.49,86.93,3520600,0.0,1.0
2013-02-13,87.1,87.38,86.57,86.94,2388200,0.0,1.0
2013-02-14,86.74,87.31,86.45,86.91,4147200,0.0,1.0
2013-02-15,87.2,87.25,84.62,84.71,9407000,0.0,1.0
2013-02-19,85.1,86.3,85.1,85.8,5789800,0.0,1.0
2013-02-20,85.76,86.16,84.42,84.51,5808500,0.0,1.0
2013-02-21,84.0,84.28,83.09,83.43,4187300,0.0,1.0
2013-02-22,84.0,84.0,83.3623,83.61,3755200,0.0,1.0
2013-02-25,85.03,85.55,82.11,82.13,6381200,0.0,1.0
2013-02-26,82.51,82.818,81.11,81.78,5508800,0.0,1.0
2013-02-27,81.65,82.63,81.47,82.23,5078900,0.0,1.0
2013-02-28,82.24,82.55,81.9175,82.33,4912800,0.0,1.0
2013-03-01,81.86,82.8599,81.21,82.65,3568800,0.0,1.0
2013-03-04,82.39,82.48,80.93,81.64,3796300,0.0,1.0
2013-03-05,82.17,82.83,81.93,82.45,3681200,0.0,1.0
2013-03-06,82.61,82.61,81.37,81.89,3737200,0.64,1.0
2013-03-07,82.03,82.21,81.61,81.69,4042700,0.0,1.0
2013-03-08,82.06,82.539,81.84,82.4,3999300,0.0,1.0
2013-03-11,82.24,83.328,81.94,82.88,2985800,0.0,1.0
2013-03-12,83.11,84.2399,83.02,83.59,3807900,0.0,1.0
2013-03-13,83.63,83.96,83.2,83.28,4668000,0.0,1.0
2013-03-14,83.59,84.6955,83.43,84.4,5322800,0.0,1.0
2013-03-15,84.02,84.51,83.31,83.67,7630700,0.0,1.0
2013-03-18,82.7,83.28,82.255,82.5,4761200,0.0,1.0
2013-03-19,81.82,81.94,79.3,80.18,8114300,0.0,1.0
2013-03-20,80.77,80.9,78.5,78.63,7706800,0.0,1.0
