date,open,high,low,close,volume,dividend,split
2012-11-01,32.56,33.47,32.53,33.45,7625470,0.0,1.0
2012-11-02,33.79,34.11,33.16,33.21,7940259,0.0,1.0
2012-11-05,33.93,34.34,33.79,34.01,6482780,0.0,1.0
2012-11-06,34.05,34.51,33.78,34.43,7008258,0.0,1.0
2012-11-07,34.18,34.42,33.59,34.0,11140763,0.0,1.0
2012-11-08,35.37,35.63,34.19,34.36,12881659,0.0,1.0
2012-11-09,34.15,35.15,33.99,34.88,8006206,0.0,1.0
2012-11-12,34.99,35.6,34.46,34.53,4626076,0.0,1.0
2012-11-13,34.13,35.09,34.13,34.37,5568800,0.0,1.0
2012-11-14,34.49,34.72,33.21,33.34,8186178,0.0,1.0
2012-11-15,33.39,33.87,33.23,33.38,6342789,0.0,1.0
2012-11-16,33.45,33.8,33.04,33.6,4126195,0.0,1.0
2012-11-19,34.06,34.5,34.05,34.49,8148514,0.0,1.0
2012-11-20,34.5,35.06,34.46,34.78,5126473,0.0,1.0
2012-11-21,34.81,35.06,34.58,34.81,3608386,0.0,1.0
2012-11-23,35.04,35.86,34.94,35.85,2729876,0.0,1.0
2012-11-26,35.62,35.75,35.235,35.53,3977488,0.0,1.0
2012-11-27,35.5,35.52,34.74,34.77,4942527,0.0,1.0
2012-11-28,34.59,35.43,34.32,35.31,6322777,0.0,1.0
2012-11-29,35.57,35.9,35.21,35.5,6305174,0.0,1.0
2012-11-30,35.32,36.07,35.32,35.98,7469604,0.0,1.0
2012-12-03,36.21,36.63,35.61,35.62,6885619,0.0,1.0
2012-12-04,35.59,35.95,35.2801,35.84,7331284,0.0,1.0
2012-12-05,35.89,35.9625,35.295,35.47,6968001,0.0,1.0
2012-12-06,35.46,35.81,35.295,35.65,4715664,0.0,1.0
2012-12-07,36.02,36.02,35.39,35.94,4388110,0.12,1.0
2012-12-10,35.79,36.08,35.62,35.88,2344559,0.0,1.0
2012-12-11,36.0,36.17,35.69,35.84,3373999,0.0,1.0
2012-12-12,36.0,36.45,35.93,36.11,4360379,0.0,1.0
2012-12-13,36.06,36.18,35.15,35.46,4871234,0.0,1.0
2012-12-14,35.26,35.43,34.72,34.83,5126832,0.0,1.0
2012-12-17,34.91,35.75,34.88,35.73,5377650,0.0,1.0
2012-12-18,35.77,36.56,35.37,36.4,8745533,0.0,1.0
2012-12-19,36.39,36.83,36.15,36.43,5575487,0.0,1.0
2012-12-20,36.78,37.63,36.55,37.52,10041226,0.0,1.0
2012-12-21,37.12,37.44,36.66,37.28,8823720,0.0,1.0
2012-12-24,37.15,37.83,37.09,37.47,3044044,0.0,1.0
2012-12-26,37.45,37.61,37.01,37.33,6857556,0.0,1.0
2012-12-27,37.27,37.5175,36.7,37.28,4750093,0.0,1.0
2012-12-28,36.98,37.46,36.8,36.85,4499224,0.0,1.0
2012-12-31,36.72,38.1,36.69,38.05,7391241,0.0,1.0
2013-01-02,38.82,39.77,38.59,39.3,8202430,0.0,1.0
2013-01-03,39.28,39.45,38.93,39.06,8486011,0.0,1.0
2013-01-04,39.14,39.16,38.21,38.65,11319092,0.0,1.0
2013-01-07,38.43,38.45,38.1,38.24,8793165,0.0,1.0
2013-01-08,38.05,38.16,37.43,37.52,9579882,0.0,1.0
2013-01-09,37.79,38.28,37.75,37.95,7304633,0.0,1.0
2013-01-10,38.33,38.64,38.06,38.54,6332973,0.0,1.0
2013-01-11,38.63,38.9,38.39,38.57,4990195,0.0,1.0
