date,open,high,low,close,volume,dividend,split
2012-11-01,43.5,45.56,43.214,45.32,4794600,0.0,1.0
2012-11-02,45.35,45.68,44.315,45.01,5440600,0.0,1.0
2012-11-05,44.8,45.27,44.67,45.05,2499700,0.0,1.0
2012-11-06,45.07,45.54,45.04,45.12,2733500,0.0,1.0
2012-11-07,44.69,45.07,43.59,43.61,3716500,0.0,1.0
2012-11-08,43.49,44.0,43.14,43.21,2383800,0.0,1.0
2012-11-09,43.3,43.52,42.955,43.01,1907700,0.0,1.0
2012-11-12,43.22,43.3,42.83,43.04,1247300,0.0,1.0
2012-11-13,42.67,43.47,42.58,42.789,1589900,0.0,1.0
2012-11-14,42.88,42.99,41.48,41.57,2587000,0.2,1.0
2012-11-15,41.61,41.95,41.17,41.78,2875100,0.0,1.0
2012-11-16,41.75,42.07,41.355,41.84,3144700,0.0,1.0
2012-11-19,42.34,42.5199,41.96,42.33,2125800,0.0,1.0
2012-11-20,42.08,42.47,41.98,42.36,1558700,0.0,1.0
2012-11-21,42.36,42.83,42.06,42.55,1715400,0.0,1.0
2012-11-23,42.79,43.21,42.32,43.05,914200,0.0,1.0
2012-11-26,42.94,43.411,42.85,43.27,1560400,0.0,1.0
2012-11-27,43.05,43.69,43.01,43.17,1810900,0.0,1.0
2012-11-28,42.85,44.15,42.84,44.14,1951200,0.0,1.0
2012-11-29,44.27,44.49,44.015,44.18,1462200,0.0,1.0
2012-11-30,44.22,44.27,43.8,43.94,1786500,0.0,1.0
2012-12-03,44.11,44.25,43.33,43.48,1873100,0.0,1.0
2012-12-04,43.59,43.91,42.87,43.425,3513900,0.0,1.0
2012-12-05,43.54,44.535,43.32,44.04,2866300,0.0,1.0
2012-12-06,44.02,44.05,43.29,43.2921,3043700,0.0,1.0
2012-12-07,43.59,43.91,43.45,43.84,1771200,0.0,1.0
2012-12-10,43.79,44.56,43.74,44.51,1479100,0.0,1.0
2012-12-11,44.88,45.34,44.61,45.25,2392400,0.0,1.0
2012-12-12,44.57,45.13,44.41,44.64,1714600,0.8,1.0
2012-12-13,44.63,44.81,43.84,43.9,2048300,0.0,1.0
2012-12-14,44.01,44.45,43.86,43.91,1974800,0.0,1.0
2012-12-17,44.17,44.35,43.84,44.31,1964300,0.0,1.0
2012-12-18,44.45,45.0,44.29,44.98,2025300,0.0,1.0
2012-12-19,44.9,45.44,44.67,44.94,2348600,0.0,1.0
2012-12-20,45.04,45.04,44.55,44.98,1895400,0.0,1.0
2012-12-21,43.89,44.87,43.67,44.84,4044300,0.0,1.0
2012-12-24,44.91,44.95,44.3449,44.67,537400,0.0,1.0
2012-12-26,44.71,45.15,44.7,44.77,1297900,0.0,1.0
2012-12-27,44.78,44.8888,43.78,44.62,1677500,0.0,1.0
2012-12-28,44.25,44.84,44.15,44.43,1679600,0.0,1.0
2012-12-31,44.34,45.21,44.22,45.21,1914300,0.0,1.0
2013-01-02,46.22,47.16,46.16,46.54,2772900,0.0,1.0
2013-01-03,45.96,46.85,45.96,46.33,2403200,0.0,1.0
2013-01-04,46.58,46.96,46.3713,46.8,1854900,0.0,1.0
2013-01-07,46.49,46.65,46.18,46.29,1292600,0.0,1.0
2013-01-08,46.14,46.1601,45.49,45.89,1598400,0.0,1.0
2013-01-09,45.57,45.79,45.42,45.63,2106000,0.0,1.0
2013-01-10,45.92,46.04,45.48,46.01,1961700,0.0,1.0
2013-01-11,46.06,46.41,45.62,46.03,1394400,0.0,1.0
2013-01-14,46.03,46.22,45.71,46.19,1394400,0.0,1.0
2013-01-15,45.78,46.17,45.6,46.1,1277400,0.0,1.0
2013-01-16,45.9,45.98,45.52,45.74,1293200,0.0,1.0
2013-01-17,45.73,46.59,45.73,46.45,1309700,0.0,1.0
2013-01-18,46.35,46.49,45.88,46.37,1550100,0.0,1.0
2013-01-22,46.16,46.5,46.13,46.47,1279100,0.0,1.0
2013-01-23,46.56,46.7,46.0,46.19,1326800,0.0,1.0
2013-01-24,46.46,48.5,46.23,47.77,4306400,0.0,1.0
2013-01-25,47.86,48.29,47.73,48.23,2081400,0.0,1.0
2013-01-28,48.41,48.64,48.105,48.17,2037900,0.0,1.0
2013-01-29,48.28,48.645,47.78,48.55,1970300,0.0,1.0
2013-01-30,48.18,48.57,47.95,48.15,2529500,0.0,1.0
2013-01-31,47.79,48.7499,46.94,47.06,3739800,0.0,1.0
2013-02-01,47.52,47.91,47.31,47.55,3137100,0.0,1.0
2013-02-04,47.36,47.94,46.86,46.97,2476700,0.0,1.0
2013-02-05,47.41,47.82,47.09,47.6,2004000,0.0,1.0
2013-02-06,47.38,48.32,47.37,47.81,1869800,0.0,1.0
2013-02-07,47.03,47.59,46.51,47.16,2282500,0.0,1.0
2013-02-08,47.41,47.765,47.11,47.5,1166500,0.0,1.0
2013-02-11,47.63,47.81,47.27,47.79,1041800,0.0,1.0
2013-02-12,47.98,48.07,47.72,47.93,1118200,0.0,1.0
2013-02-13,48.01,48.1457,47.53,48.04,1194500,0.2,1.0
2013-02-14,47.81,48.19,47.44,48.17,1141900,0.0,1.0
2013-02-15,48.06,48.32,47.875,48.09,1920400,0.0,1.0
2013-02-19,48.26,48.7,48.1,48.46,1413300,0.0,1.0
2013-02-20,48.42,48.425,47.2,47.32,2272200,0.0,1.0
2013-02-21,47.14,47.2,46.27,46.69,1963000,0.0,1.0
2013-02-22,46.89,47.16,46.67,46.86,1233000,0.0,1.0
2013-02-25,47.18,47.34,46.18,46.2,1772700,0.0,1.0
2013-02-26,46.39,46.74,45.81,46.58,1767100,0.0,1.0
2013-02-27,46.54,47.69,46.51,47.44,1332400,0.0,1.0
2013-02-28,47.46,48.02,47.39,47.45,1543400,0.0,1.0
2013-03-01,47.23,47.34,46.65,46.97,2036000,0.0,1.0
2013-03-04,46.9,46.91,45.87,46.84,2720600,0.0,1.0
2013-03-05,47.28,48.64,47.28,48.36,2768600,0.0,1.0
2013-03-06,48.5,49.14,48.3099,48.48,1871900,0.0,1.0
2013-03-07,48.74,49.74,48.68,49.4,2839800,0.0,1.0
2013-03-08,49.71,50.46,49.5,50.46,2787500,0.0,1.0
2013-03-11,50.28,50.935,50.28,50.87,1646100,0.0,1.0
2013-03-12,50.71,50.94,49.84,50.2,1781600,0.0,1.0
