date,open,high,low,close,volume,dividend,split
2012-11-01,44.22,44.22,43.31,43.42,3787900,0.5,1.0
2012-11-02,43.76,44.13,43.59,43.89,2806900,0.0,1.0
2012-11-05,43.71,43.83,43.35,43.49,2699600,0.0,1.0
2012-11-06,43.72,44.09,43.68,43.98,2249600,0.0,1.0
2012-11-07,43.65,44.63,43.65,44.33,3745300,0.0,1.0
2012-11-08,44.27,44.28,43.95,43.97,3369600,0.0,1.0
2012-11-09,43.95,44.42,43.69,44.15,1919700,0.0,1.0
2012-11-12,44.22,44.49,43.99,44.36,1223300,0.0,1.0
2012-11-13,44.16,44.97,44.11,44.75,2193100,0.0,1.0
2012-11-14,44.75,44.82,43.75,43.86,3301000,0.0,1.0
2012-11-15,43.91,44.17,43.55,43.78,2134000,0.0,1.0
2012-11-16,43.93,44.73,43.8365,44.56,3134700,0.0,1.0
2012-11-19,44.99,45.37,44.88,45.29,2534300,0.0,1.0
2012-11-20,45.4,45.64,45.17,45.63,2794600,0.0,1.0
2012-11-21,45.64,45.73,45.11,45.37,2262600,0.0,1.0
2012-11-23,45.52,45.72,45.33,45.69,623700,0.0,1.0
2012-11-26,45.53,46.155,45.36,45.79,2342100,0.0,1.0
2012-11-27,45.47,45.53,44.6,45.1,3757300,0.0,1.0
2012-11-28,45.06,45.06,44.56,44.97,2922700,0.0,1.0
2012-11-29,45.1,45.12,44.38,44.97,3086000,0.0,1.0
2012-11-30,45.11,45.41,44.91,45.05,3452100,0.0,1.0
2012-12-03,45.23,45.46,44.83,44.97,2409800,0.0,1.0
2012-12-04,45.02,45.13,44.71,45.0,3464000,0.0,1.0
2012-12-05,45.0,45.09,44.66,44.82,2265200,0.0,1.0
2012-12-06,44.99,45.25,44.89,45.04,2131000,0.0,1.0
2012-12-07,45.11,45.405,44.99,45.37,1608900,0.0,1.0
2012-12-10,45.34,45.584,45.2,45.37,1635400,0.0,1.0
2012-12-11,45.53,45.63,45.265,45.4,2032500,0.0,1.0
2012-12-12,45.44,45.44,44.97,45.21,1816700,0.0,1.0
2012-12-13,45.18,45.36,44.27,44.49,2358400,0.0,1.0
2012-12-14,44.64,44.65,44.09,44.19,2641800,0.0,1.0
2012-12-17,44.58,44.58,43.9,44.14,3184700,0.0,1.0
2012-12-18,44.23,44.72,44.12,44.71,2972900,0.0,1.0
2012-12-19,44.82,44.97,44.51,44.51,2081700,0.0,1.0
2012-12-20,44.59,45.045,44.55,45.0,2475400,0.0,1.0
2012-12-21,44.99,45.04,44.59,44.78,5184400,0.0,1.0
2012-12-24,44.65,45.29,44.58,45.12,1061500,0.0,1.0
2012-12-26,45.2,45.26,44.77,44.94,1644400,0.0,1.0
2012-12-27,44.92,45.21,44.59,45.14,1563400,0.0,1.0
2012-12-28,44.86,45.2,44.74,44.84,1543000,0.0,1.0
2012-12-31,44.7,45.18,44.6,45.16,2083800,0.0,1.0
2013-01-02,45.75,45.84,45.25,45.54,2392400,0.0,1.0
2013-01-03,45.56,45.68,45.215,45.6,2703800,0.0,1.0
2013-01-04,45.6,45.82,45.45,45.78,1730100,0.0,1.0
2013-01-07,45.6,45.91,45.455,45.5,1184900,0.0,1.0
2013-01-08,45.44,45.76,45.41,45.68,1448200,0.0,1.0
2013-01-09,45.84,45.84,45.57,45.58,1367600,0.0,1.0
2013-01-10,45.74,46.07,45.59,45.95,2570400,0.0,1.0
2013-01-11,45.89,46.0,45.61,46.0,1397700,0.0,1.0
2013-01-14,45.96,46.12,45.93,46.12,956400,0.0,1.0
2013-01-15,45.98,46.21,45.705,46.16,1927200,0.0,1.0
2013-01-16,45.95,46.1,45.75,45.97,1361500,0.0,1.0
2013-01-17,46.1,46.39,45.97,46.25,1958400,0.0,1.0
2013-01-18,46.32,46.5,46.0,46.48,2552100,0.0,1.0
2013-01-22,46.35,46.74,46.3,46.6,1702400,0.0,1.0
2013-01-23,46.43,46.56,46.25,46.46,1322200,0.0,1.0
2013-01-24,46.56,46.585,46.35,46.51,1706600,0.0,1.0
2013-01-25,46.67,47.01,46.477,47.0,1882700,0.0,1.0
