date,open,high,low,close,volume,dividend,split
2012-11-01,24.82,24.82,24.39,24.55,54437000,0.0,1.0
2012-11-02,24.71,24.87,24.55,24.55,31113600,0.0,1.0
2012-11-05,24.42,24.72,24.42,24.58,20428300,0.0,1.0
2012-11-06,24.61,24.96,24.57,24.71,29795300,0.0,1.0
2012-11-07,24.46,24.62,23.99,24.17,49394000,0.22,1.0
2012-11-08,24.16,24.4,24.02,24.16,35681400,0.0,1.0
2012-11-09,24.06,24.42,24.02,24.17,32500000,0.0,1.0
2012-11-12,24.15,24.38,24.02,24.11,23503800,0.0,1.0
2012-11-13,24.0,24.33,23.85,24.05,26120300,0.0,1.0
2012-11-14,24.04,24.1,23.74,23.81,31377700,0.0,1.0
2012-11-15,23.71,23.92,23.55,23.6602,27409100,0.0,1.0
2012-11-16,23.63,23.88,23.61,23.86,41918300,0.0,1.0
2012-11-19,24.03,24.24,23.87,24.14,35763900,0.0,1.0
2012-11-20,24.12,24.28,23.93,24.28,27184700,0.0,1.0
2012-11-21,24.37,24.38,24.2,24.35,27960900,0.0,1.0
2012-11-23,24.41,24.53,24.365,24.53,25226200,0.0,1.0
2012-11-26,24.34,24.52,24.31,24.485,35772100,0.0,1.0
2012-11-27,24.26,24.45,24.215,24.25,30872700,0.0,1.0
2012-11-28,24.23,24.69,24.1501,24.67,29565700,0.0,1.0
2012-11-29,24.71,24.93,24.71,24.85,31644100,0.0,1.0
2012-11-30,24.91,25.08,24.72,25.02,37192500,0.0,1.0
2012-12-03,25.04,25.3,25.0,25.09,28282100,0.0,1.0
2012-12-04,25.04,25.27,25.02,25.165,30320100,0.0,1.0
2012-12-05,25.14,25.785,25.14,25.64,45533900,0.0,1.0
2012-12-06,25.55,25.78,25.52,25.61,31459600,0.0,1.0
2012-12-07,25.53,25.61,25.16,25.56,30767400,0.0,1.0
2012-12-10,25.42,25.6,25.36,25.41,26888800,0.0,1.0
2012-12-11,25.53,25.78,25.52,25.64,30687800,0.0,1.0
2012-12-12,25.62,25.75,25.44,25.51,29837500,0.0,1.0
2012-12-13,25.43,25.65,25.325,25.33,26458100,0.0,1.0
2012-12-14,25.22,25.37,25.15,25.18,25918800,0.0,1.0
2012-12-17,25.17,25.47,25.15,25.355,28599700,0.0,1.0
2012-12-18,25.35,25.7,25.27,25.64,33083400,0.0,1.0
2012-12-19,25.63,25.79,25.32,25.35,29285300,0.0,1.0
2012-12-20,25.32,25.44,25.25,25.43,25675000,0.0,1.0
2012-12-21,25.39,25.52,25.05,25.08,61677900,0.0,1.0
2012-12-24,25.01,25.21,25.0,25.08,10851400,0.0,1.0
2012-12-26,25.05,25.33,25.04,25.24,21858000,0.0,1.0
2012-12-27,25.17,25.22,24.81,25.14,24681700,0.0,1.0
2012-12-28,25.0,25.18,24.88,24.89,21611800,0.0,1.0
2012-12-31,24.67,25.1,24.63,25.0793,33722800,0.0,1.0
2013-01-02,25.53,25.91,25.33,25.91,33522200,0.0,1.0
2013-01-03,25.98,25.99,25.56,25.85,33757400,0.0,1.0
2013-01-04,25.85,25.99,25.76,25.96,28604900,0.0,1.0
2013-01-07,25.91,26.05,25.77,25.98,25779900,0.0,1.0
2013-01-08,26.0,26.25,25.98,26.02,31057000,0.0,1.0
2013-01-09,26.22,26.56,26.19,26.47,34210200,0.0,1.0
2013-01-10,26.52,26.77,26.39,26.76,34085800,0.0,1.0
2013-01-11,26.74,26.825,26.5,26.52,27817700,0.0,1.0
2013-01-14,26.61,26.88,26.55,26.74,24032600,0.0,1.0
2013-01-15,26.59,26.64,26.5,26.62,29937300,0.0,1.0
2013-01-16,26.53,26.62,26.5,26.61,28510300,0.0,1.0
2013-01-17,26.75,26.96,26.63,26.83,37118000,0.0,1.0
2013-01-18,26.58,26.67,26.34,26.54,54782000,0.0,1.0
2013-01-22,26.57,26.68,26.415,26.68,32268800,0.0,1.0
2013-01-23,26.52,26.74,26.45,26.65,31156500,0.0,1.0
2013-01-24,26.87,27.3,26.84,26.85,44445000,0.0,1.0
2013-01-25,26.98,27.0,26.76,27.0,52136500,0.0,1.0
2013-01-28,27.1,27.14,26.84,26.84,45757300,0.0,1.0
2013-01-29,26.94,27.84,26.84,27.7,75998400,0.0,1.0
2013-01-30,27.53,27.67,27.39,27.51,45197400,0.24,1.0
2013-01-31,27.42,27.57,27.28,27.28,32967100,0.0,1.0
2013-02-01,27.58,27.8,27.37,27.63,34797900,0.0,1.0
2013-02-04,27.37,27.48,27.17,27.17,30855600,0.0,1.0
2013-02-05,27.24,27.6,27.23,27.51,27403900,0.0,1.0
2013-02-06,27.42,27.5,27.29,27.32,27738900,0.0,1.0
2013-02-07,27.33,27.36,26.93,26.96,38418100,0.0,1.0
2013-02-08,26.96,27.03,26.79,26.88,37444600,0.0,1.0
2013-02-11,26.89,27.23,26.89,27.14,26302000,0.0,1.0
2013-02-12,27.14,27.18,26.99,26.99,21160400,0.0,1.0
2013-02-13,27.01,27.19,26.83,27.0,23904000,0.0,1.0
2013-02-14,26.91,27.14,26.81,27.06,24209900,0.0,1.0
2013-02-15,27.15,27.43,27.12,27.29,29580300,0.0,1.0
2013-02-19,27.4,27.71,27.38,27.71,28422000,0.0,1.0
2013-02-20,27.65,27.75,27.55,27.57,26058200,0.0,1.0
2013-02-21,27.41,27.54,27.23,27.41,24517000,0.0,1.0
2013-02-22,27.48,27.5,27.13,27.38,29726900,0.0,1.0
2013-02-25,27.21,27.35,26.84,26.84,35539400,0.0,1.0
2013-02-26,26.89,27.1,26.82,27.03,29986000,0.0,1.0
2013-02-27,26.93,27.54,26.92,27.41,24383100,0.0,1.0
2013-02-28,27.37,27.639,27.36,27.37,30095200,0.0,1.0
2013-03-01,27.18,27.45,27.15,27.39,29066700,0.0,1.0
2013-03-04,27.31,27.7,27.26,27.69,24929100,0.0,1.0
2013-03-05,27.77,28.2,27.77,28.07,31100300,0.0,1.0
2013-03-06,28.1,28.21,27.93,28.12,27121300,0.0,1.0
2013-03-07,28.18,28.38,28.12,28.27,27694800,0.0,1.0
2013-03-08,28.33,28.36,28.04,28.19,27029600,0.0,1.0
2013-03-11,28.16,28.31,28.1,28.25,25491300,0.0,1.0
2013-03-12,28.23,28.23,27.88,27.94,29711400,0.0,1.0
2013-03-13,27.93,28.08,27.8,28.02,24736200,0.0,1.0
2013-03-14,28.04,28.11,27.88,28.11,27784200,0.0,1.0
2013-03-15,27.84,28.06,27.755,28.02,63138400,0.0,1.0
2013-03-18,27.74,28.24,27.74,28.04,29323100,0.0,1.0
2013-03-19,28.1,28.23,27.9,27.99,27108700,0.0,1.0
2013-03-20,28.17,28.4,28.11,28.29,30696400,0.0,1.0
2013-03-21,28.17,28.32,28.025,28.11,23583200,0.0,1.0
2013-03-22,28.12,28.39,28.11,28.38,23099000,0.0,1.0
2013-03-25,28.45,28.51,27.98,28.16,30717600,0.0,1.0
2013-03-26,28.26,28.66,28.23,28.6,31847700,0.0,1.0
2013-03-27,28.52,28.66,28.45,28.64,23575900,0.0,1.0
2013-03-28,28.66,28.9,28.62,28.86,27941100,0.0,1.0
2013-04-01,28.75,28.84,28.68,28.84,19279600,0.0,1.0
2013-04-02,28.97,29.32,28.94,29.23,24424900,0.0,1.0
2013-04-03,29.23,29.34,28.88,29.03,34534800,0.0,1.0
2013-04-04,29.18,29.44,29.04,29.16,30534100,0.0,1.0
2013-04-05,28.96,29.2,28.92,29.1,30439900,0.0,1.0
2013-04-08,28.98,29.17,28.64,29.16,25957300,0.0,1.0
2013-04-09,29.03,29.35,28.95,29.11,27543400,0.0,1.0
2013-04-10,29.49,30.0,29.45,29.92,40979400,0.0,1.0
2013-04-11,29.93,30.82,29.92,30.64,54658400,0.0,1.0
2013-04-12,30.45,30.88,30.45,30.67,39061100,0.0,1.0
2013-04-15,30.61,30.99,30.45,30.45,46916500,0.0,1.0
2013-04-16,30.54,30.99,30.48,30.94,31459600,0.0,1.0
2013-04-17,30.8,30.94,30.525,30.87,32243500,0.0,1.0
2013-04-18,30.85,30.94,30.48,30.59,31787700,0.0,1.0
2013-04-19,30.73,31.06,30.6049,31.06,29233000,0.0,1.0
