date,open,high,low,close,volume,dividend,split
2012-11-01,27.63,28.36,27.6,28.29,1884500,0.0,1.0
2012-11-02,28.58,28.6,27.91,28.17,1748000,0.0,1.0
2012-11-05,27.9,28.26,27.79,28.17,757600,0.0,1.0
2012-11-06,28.4,28.48,28.25,28.3,1371900,0.0,1.0
2012-11-07,27.77,27.96,26.96,26.99,2060600,0.0,1.0
2012-11-08,26.79,27.29,26.5,26.5,1412500,0.0,1.0
2012-11-09,26.34,27.02,26.25,26.6,1436600,0.0,1.0
2012-11-12,26.55,26.75,26.29,26.63,1393600,0.0,1.0
2012-11-13,26.37,26.89,26.29,26.5,1592300,0.0,1.0
2012-11-14,26.57,26.71,26.09,26.17,1253800,0.0,1.0
2012-11-15,26.23,26.47,26.02,26.23,1146200,0.0,1.0
2012-11-16,26.2,26.37,25.83,26.32,1337000,0.0,1.0
2012-11-19,26.67,26.9,26.56,26.7,1574500,0.0,1.0
2012-11-20,26.58,26.77,26.41,26.75,2083700,0.0,1.0
2012-11-21,26.82,26.82,26.55,26.76,864500,0.0,1.0
2012-11-23,26.93,27.33,26.78,27.33,537100,0.0,1.0
2012-11-26,27.08,27.6,26.99,27.59,1601600,0.0,1.0
2012-11-27,27.49,27.63,27.26,27.32,2048400,0.0,1.0
2012-11-28,26.67,26.83,26.1533,26.8,3303800,0.0,1.0
2012-11-29,26.92,27.01,26.74,26.92,1450800,0.0,1.0
2012-11-30,26.94,27.2,26.78,27.15,2200500,0.0,1.0
2012-12-03,27.28,27.43,27.16,27.35,2361900,0.0,1.0
2012-12-04,27.32,27.68,27.3,27.67,4232300,0.0,1.0
2012-12-05,27.69,27.99,27.604,27.88,2430800,0.0,1.0
2012-12-06,27.66,27.77,27.58,27.69,970700,0.21,1.0
2012-12-07,27.8,27.86,27.64,27.66,1101800,0.0,1.0
2012-12-10,27.53,27.82,27.45,27.73,1362700,0.0,1.0
2012-12-11,27.86,27.952,27.68,27.72,1994500,0.0,1.0
2012-12-12,27.91,28.29,27.85,28.0,1432100,0.0,1.0
2012-12-13,27.95,28.09,27.6,27.62,1744500,0.0,1.0
2012-12-14,27.59,27.68,27.44,27.51,1146500,0.0,1.0
2012-12-17,27.69,27.85,27.63,27.85,1132300,0.0,1.0
2012-12-18,28.01,28.71,27.91,28.7,2187800,0.0,1.0
2012-12-19,27.94,28.53,27.94,28.13,1867400,0.0,1.0
2012-12-20,28.12,28.44,28.02,28.42,923600,0.0,1.0
2012-12-21,28.05,28.31,27.87,28.05,1692400,0.0,1.0
2012-12-24,27.99,28.2876,27.99,28.09,496400,0.0,1.0
2012-12-26,28.14,28.28,28.06,28.13,884400,0.0,1.0
2012-12-27,28.11,28.19,27.89,28.11,1366200,0.0,1.0
2012-12-28,27.83,28.2,27.82,28.08,1378800,0.0,1.0
2012-12-31,27.95,28.525,27.91,28.52,1715600,0.0,1.0
2013-01-02,29.08,29.24,28.76,29.09,1780500,0.0,1.0
2013-01-03,29.02,29.19,28.76,28.87,1864100,0.0,1.0
2013-01-04,28.9,29.4,28.89,29.33,1728900,0.0,1.0
2013-01-07,29.13,29.19,28.895,29.07,1485900,0.0,1.0
2013-01-08,28.94,29.2,28.93,29.2,1197300,0.0,1.0
2013-01-09,29.24,29.57,29.21,29.37,1421900,0.0,1.0
2013-01-10,29.48,29.67,29.35,29.67,1214100,0.0,1.0
2013-01-11,29.38,29.38,28.97,29.2,2164300,0.0,1.0
2013-01-14,29.18,29.21,28.94,29.17,1441500,0.0,1.0
2013-01-15,28.81,29.19,28.75,29.15,1330900,0.0,1.0
2013-01-16,29.12,29.12,28.88,29.04,1018200,0.0,1.0
2013-01-17,29.21,29.68,29.05,29.51,1694400,0.0,1.0
2013-01-18,29.6,29.61,29.4,29.51,1721500,0.0,1.0
2013-01-22,29.51,30.3,29.41,30.3,1604800,0.0,1.0
2013-01-23,30.19,30.43,30.1225,30.36,1531000,0.0,1.0
2013-01-24,30.36,30.74,30.28,30.56,1496400,0.0,1.0
2013-01-25,30.69,30.85,30.42,30.78,1556200,0.0,1.0
2013-01-28,30.88,31.11,30.76,30.79,1857800,0.0,1.0
2013-01-29,30.77,30.99,30.61,30.9,2584800,0.0,1.0
2013-01-30,30.8,30.88,30.59,30.73,2397200,0.0,1.0
2013-01-31,30.67,31.03,30.4901,31.01,2057300,0.0,1.0
2013-02-01,31.41,31.59,30.51,30.52,4400200,0.0,1.0
2013-02-04,30.31,30.45,30.13,30.33,3116500,0.0,1.0
2013-02-05,30.58,30.82,30.55,30.75,1754700,0.0,1.0
2013-02-06,30.47,30.72,30.31,30.62,1357000,0.0,1.0
2013-02-07,30.67,30.7,30.19,30.52,1627400,0.0,1.0
2013-02-08,30.64,30.96,30.44,30.9,1622900,0.0,1.0
2013-02-11,30.86,31.17,30.775,31.06,1247200,0.0,1.0
2013-02-12,31.08,31.35,31.05,31.18,1225300,0.0,1.0
2013-02-13,31.27,31.48,31.16,31.46,1550000,0.0,1.0
2013-02-14,31.26,31.7,31.12,31.62,1753100,0.0,1.0
2013-02-15,31.7,31.74,31.575,31.69,1917100,0.0,1.0
2013-02-19,31.73,32.29,31.53,32.28,2207800,0.0,1.0
2013-02-20,32.24,32.25,31.54,31.6,2994200,0.0,1.0
2013-02-21,31.41,31.48,30.77,30.91,2551700,0.0,1.0
2013-02-22,31.08,31.62,31.08,31.61,1726900,0.0,1.0
2013-02-25,31.7,31.84,30.68,30.7,4141700,0.0,1.0
2013-02-26,30.84,30.92,30.49,30.84,3023900,0.0,1.0
2013-02-27,30.81,31.7,30.77,31.64,1843500,0.0,1.0
2013-02-28,31.7,31.945,31.54,31.61,1932000,0.0,1.0
2013-03-01,31.4,31.71,31.05,31.55,1649700,0.0,1.0
2013-03-04,31.4,32.0,31.37,31.89,1853800,0.0,1.0
2013-03-05,32.09,32.66,32.09,32.42,1373800,0.0,1.0
2013-03-06,32.63,32.755,32.5,32.58,990400,0.0,1.0
2013-03-07,32.33,32.795,32.24,32.65,1332200,0.23,1.0
2013-03-08,32.9,33.49,32.88,33.42,1801600,0.0,1.0
2013-03-11,33.39,34.0,33.36,33.88,1597000,0.0,1.0
2013-03-12,33.89,33.92,33.67,33.82,1365900,0.0,1.0
2013-03-13,33.91,34.18,33.74,34.15,1360100,0.0,1.0
2013-03-14,34.27,34.58,34.24,34.38,1383600,0.0,1.0
2013-03-15,34.23,34.38,33.86,34.09,2006300,0.0,1.0
2013-03-18,33.55,34.01,33.47,33.65,1573400,0.0,1.0
2013-03-19,33.73,33.87,33.21,33.49,1647800,0.0,1.0
2013-03-20,33.76,33.97,33.58,33.65,1893500,0.0,1.0
2013-03-21,33.42,33.66,33.21,33.35,1350300,0.0,1.0
2013-03-22,33.53,33.639,33.25,33.53,1353300,0.0,1.0
2013-03-25,33.74,33.81,33.13,33.34,1027900,0.0,1.0
2013-03-26,33.58,33.895,33.48,33.77,1192100,0.0,1.0
2013-03-27,33.52,33.65,33.3,33.59,860800,0.0,1.0
2013-03-28,33.64,34.05,33.56,34.03,1361600,0.0,1.0
2013-04-01,33.98,34.041,33.56,33.64,1259200,0.0,1.0
2013-04-02,33.95,34.17,33.84,33.93,2051600,0.0,1.0
2013-04-03,33.95,34.03,33.2599,33.34,2072400,0.0,1.0
2013-04-04,33.35,33.71,33.31,33.66,1075100,0.0,1.0
2013-04-05,33.0,33.52,32.59,33.47,1678300,0.0,1.0
2013-04-08,33.44,33.65,33.18,33.65,1632800,0.0,1.0
2013-04-09,33.82,34.27,33.7297,34.09,1333700,0.0,1.0
2013-04-10,34.05,34.875,34.04,34.81,1768200,0.0,1.0
2013-04-11,34.89,35.475,34.82,35.45,2408500,0.0,1.0
2013-04-12,35.21,35.47,35.1,35.45,1304800,0.0,1.0
2013-04-15,35.38,35.38,34.285,34.36,1481500,0.0,1.0
2013-04-16,34.74,34.95,34.57,34.92,1195300,0.0,1.0
2013-04-17,34.66,34.67,33.88,34.15,1583400,0.0,1.0
2013-04-18,34.25,34.25,33.43,33.58,2084300,0.0,1.0
2013-04-19,33.78,34.42,33.71,34.34,1384800,0.0,1.0
2013-04-22,34.48,34.56,33.9,34.51,844000,0.0,1.0
2013-04-23,34.76,35.39,34.64,35.26,1492300,0.0,1.0
2013-04-24,35.37,35.74,35.2301,35.6,1358200,0.0,1.0
2013-04-25,35.69,36.3698,35.46,35.78,2286900,0.0,1.0
2013-04-26,35.81,35.98,35.39,35.74,1257100,0.0,1.0
2013-04-29,35.84,35.95,35.6201,35.82,751100,0.0,1.0
2013-04-30,35.85,36.16,35.52,36.1,1271300,0.0,1.0
2013-05-01,36.11,36.25,35.58,35.62,1196800,0.0,1.0
2013-05-02,35.72,36.185,35.51,35.99,1076300,0.0,1.0
2013-05-03,36.47,37.13,36.41,36.72,1459100,0.0,1.0
2013-05-06,36.47,37.09,36.38,36.99,886400,0.0,1.0
2013-05-07,37.03,37.26,36.95,37.26,1249300,0.0,1.0
2013-05-08,37.2,37.41,36.98,37.29,1354800,0.0,1.0
2013-05-09,37.22,37.34,36.75,36.89,1167300,0.0,1.0
2013-05-10,36.92,37.12,36.85,37.05,806200,0.0,1.0
2013-05-13,36.92,37.17,36.69,37.15,1041300,0.0,1.0
2013-05-14,37.15,37.88,37.12,37.87,1173000,0.0,1.0
2013-05-15,37.77,38.21,37.7,38.1,1026200,0.0,1.0
2013-05-16,37.92,38.14,37.56,37.64,934900,0.0,1.0
2013-05-17,37.76,38.17,37.7,38.14,1531500,0.0,1.0
2013-05-20,37.99,38.3399,37.91,38.04,1467700,0.0,1.0
2013-05-21,38.04,38.3,37.8799,38.14,1236300,0.0,1.0
2013-05-22,38.12,38.6,37.39,37.58,1363900,0.0,1.0
2013-05-23,37.11,37.35,36.77,37.26,1286600,0.0,1.0
2013-05-24,36.92,37.23,36.51,37.22,1014300,0.0,1.0
2013-05-28,37.71,38.4,37.675,38.01,1279000,0.0,1.0
2013-05-29,37.75,38.44,37.61,38.15,1405100,0.0,1.0
2013-05-30,37.97,38.75,37.96,38.51,1204000,0.23,1.0
2013-05-31,38.31,38.56,37.82,37.85,1757400,0.0,1.0
2013-06-03,37.99,38.14,37.15,37.7,1838100,0.0,1.0
2013-06-04,37.72,38.14,37.35,37.64,1635000,0.0,1.0
2013-06-05,37.62,37.68,36.86,37.25,2165300,0.0,1.0
2013-06-06,37.27,37.81,36.96,37.8,1301000,0.0,1.0
2013-06-07,38.12,38.68,38.01,38.58,1317800,0.0,1.0
2013-06-10,38.72,38.95,38.59,38.72,946300,0.0,1.0
2013-06-11,38.39,38.66,37.77,38.01,1646200,0.0,1.0
2013-06-12,38.31,38.46,37.97,38.03,1381800,0.0,1.0
2013-06-13,38.02,38.77,37.89,38.67,1167900,0.0,1.0
2013-06-14,38.66,38.68,37.77,38.04,1212700,0.0,1.0
2013-06-17,38.31,38.9,38.31,38.75,1001400,0.0,1.0
2013-06-18,38.83,39.05,38.7,38.88,1005700,0.0,1.0
2013-06-19,38.77,39.04,38.19,38.2,1832600,0.0,1.0
2013-06-20,37.82,38.01,37.065,37.23,2651700,0.0,1.0
2013-06-21,37.56,37.7,36.44,36.8,2945100,0.0,1.0
2013-06-24,36.27,36.39,35.65,36.12,2002800,0.0,1.0
2013-06-25,36.57,37.16,36.34,36.99,1315500,0.0,1.0
2013-06-26,36.95,37.62,36.9,37.46,1673900,0.0,1.0
2013-06-27,37.71,38.04,37.62,37.97,834100,0.0,1.0
2013-06-28,37.86,37.86,37.4,37.45,2034800,0.0,1.0
2013-07-01,37.74,37.97,37.58,37.82,1535100,0.0,1.0
2013-07-02,37.7,37.89,37.03,37.29,2360100,0.0,1.0
2013-07-03,36.98,37.07,36.75,36.97,1027200,0.0,1.0
2013-07-05,37.16,37.93,37.16,37.91,1453700,0.0,1.0
2013-07-08,38.11,38.62,38.05,38.32,2066500,0.0,1.0
2013-07-09,38.65,38.8,38.16,38.66,1467900,0.0,1.0
2013-07-10,38.56,38.7,38.19,38.41,1760500,0.0,1.0
2013-07-11,38.93,39.0,38.43,38.85,1395100,0.0,1.0
2013-07-12,38.78,38.94,38.615,38.9,911500,0.0,1.0
2013-07-15,38.58,39.0995,38.49,38.75,1308600,0.0,1.0
2013-07-16,38.85,39.08,38.6,38.79,1617700,0.0,1.0
2013-07-17,38.95,39.55,38.82,39.46,1779500,0.0,1.0
2013-07-18,39.61,39.98,39.55,39.83,1342000,0.0,1.0
2013-07-19,39.92,39.92,39.44,39.68,958400,0.0,1.0
2013-07-22,39.69,40.73,39.59,40.73,1552100,0.0,1.0
2013-07-23,40.93,40.99,40.39,40.41,1059600,0.0,1.0
2013-07-24,40.51,40.72,40.06,40.09,1215200,0.0,1.0
2013-07-25,39.88,40.525,39.8,40.46,1362000,0.0,1.0
2013-07-26,42.01,43.18,42.0,42.99,4615100,0.0,1.0
2013-07-29,42.88,43.33,42.46,42.52,1395200,0.0,1.0
2013-07-30,42.82,43.04,42.54,42.65,1093900,0.0,1.0
2013-07-31,42.84,43.82,42.84,43.36,2533400,0.0,1.0
2013-08-01,43.82,44.94,43.82,44.85,2271100,0.0,1.0
2013-08-02,44.59,44.67,44.17,44.37,1492600,0.0,1.0
2013-08-05,44.18,44.31,43.67,43.83,1773000,0.0,1.0
2013-08-06,43.68,43.775,43.17,43.41,1855000,0.0,1.0
2013-08-07,43.23,43.31,42.89,43.05,1540500,0.0,1.0
2013-08-08,43.37,43.675,42.91,43.11,1203100,0.0,1.0
2013-08-09,43.06,43.37,42.83,42.89,1072500,0.0,1.0
2013-08-12,42.52,42.8608,42.32,42.56,978100,0.0,1.0
2013-08-13,42.7,43.0,42.48,42.95,787100,0.0,1.0
2013-08-14,42.86,43.12,42.75,42.83,655200,0.0,1.0
2013-08-15,42.37,42.52,41.91,41.97,715000,0.0,1.0
2013-08-16,41.855,42.68,41.81,42.48,1015100,0.0,1.0
2013-08-19,42.4,42.49,41.84,41.89,937200,0.0,1.0
2013-08-20,41.82,42.45,41.73,42.28,742400,0.0,1.0
2013-08-21,42.16,42.39,41.59,42.01,1044300,0.0,1.0
2013-08-22,42.15,42.86,42.07,42.45,864900,0.0,1.0
2013-08-23,42.48,42.55,42.05,42.31,861800,0.0,1.0
2013-08-26,42.3,42.64,42.12,42.14,912200,0.0,1.0
2013-08-27,41.5,41.52,40.59,40.6,1692500,0.0,1.0
2013-08-28,40.57,40.935,40.29,40.79,1496900,0.0,1.0
2013-08-29,40.76,41.68,40.53,41.16,1180800,0.0,1.0
2013-08-30,41.19,41.31,40.56,40.92,1123300,0.0,1.0
2013-09-03,41.22,41.73,41.05,41.38,2062800,0.26,1.0
2013-09-04,41.42,42.41,41.36,41.84,1791400,0.0,1.0
2013-09-05,42.0,42.46,41.92,42.08,998400,0.0,1.0
2013-09-06,42.23,42.4,41.38,42.04,1132200,0.0,1.0
2013-09-09,42.09,42.705,41.92,42.68,1132300,0.0,1.0
2013-09-10,43.11,43.8499,42.97,43.75,1327800,0.0,1.0
2013-09-11,43.7,43.86,43.32,43.83,940600,0.0,1.0
2013-09-12,43.77,43.82,43.3,43.44,923500,0.0,1.0
2013-09-13,43.41,43.72,42.99,43.09,1665100,0.0,1.0
2013-09-16,43.8,44.125,43.585,43.84,1321100,0.0,1.0
2013-09-17,43.81,44.0,43.57,43.9,1401900,0.0,1.0
2013-09-18,43.94,44.23,43.64,43.97,2074200,0.0,1.0
2013-09-19,44.07,44.11,43.14,43.2,1783900,0.0,1.0
