date,open,high,low,close,volume,dividend,split
2012-11-01,69.16,69.51,69.14,69.25,7703800,0.0,1.0
2012-11-02,69.74,69.77,69.06,69.19,6963100,0.0,1.0
2012-11-05,69.22,69.22,68.35,68.67,6525700,0.0,1.0
2012-11-06,68.6,69.0,68.36,68.93,6639800,0.0,1.0
2012-11-07,68.82,68.87,67.7901,68.06,8849600,0.0,1.0
2012-11-08,67.98,68.09,66.9,66.91,7917700,0.0,1.0
2012-11-09,66.83,67.46,66.761,67.01,8147700,0.0,1.0
2012-11-12,67.15,67.3999,66.91,67.08,4371300,0.0,1.0
2012-11-13,66.77,67.6,66.77,66.85,6769100,0.0,1.0
2012-11-14,66.89,67.06,66.29,66.53,9680100,0.0,1.0
2012-11-15,66.76,67.0,65.83,66.32,9290000,0.0,1.0
2012-11-16,66.36,66.97,66.14,66.82,11354200,0.0,1.0
2012-11-19,66.99,67.92,66.86,67.92,8741400,0.0,1.0
2012-11-20,67.81,68.49,67.76,68.3,7611600,0.0,1.0
2012-11-21,68.16,68.5,67.97,68.47,6201400,0.0,1.0
2012-11-23,68.75,69.61,68.71,69.59,4598200,0.0,1.0
2012-11-26,69.14,69.565,69.05,69.48,7493600,0.0,1.0
2012-11-27,69.2,69.48,68.91,68.99,8154300,0.0,1.0
2012-11-28,69.0,69.74,68.9,69.44,11255800,0.0,1.0
2012-11-29,69.41,69.8,69.13,69.5,8783800,0.0,1.0
2012-11-30,69.37,69.89,69.37,69.83,8886800,0.0,1.0
2012-12-03,69.84,69.93,69.5,69.58,7404600,0.0,1.0
2012-12-04,69.5,69.85,69.07,69.31,6634900,0.0,1.0
2012-12-05,69.48,69.88,69.08,69.41,7623400,0.0,1.0
2012-12-06,69.48,70.24,69.44,69.95,10686900,0.0,1.0
2012-12-07,69.85,70.66,69.85,70.29,11590900,0.0,1.0
2012-12-10,70.12,70.42,70.03,70.22,8124100,0.0,1.0
2012-12-11,70.29,70.97,70.14,70.66,9298000,0.0,1.0
2012-12-12,70.76,70.99,70.61,70.76,8405900,0.0,1.0
2012-12-13,70.55,70.64,69.9,70.13,8478200,0.0,1.0
2012-12-14,69.92,70.47,69.78,69.93,8997600,0.0,1.0
2012-12-17,69.95,70.147,69.62,69.93,8791500,0.0,1.0
2012-12-18,69.89,70.28,69.43,69.97,13568900,0.0,1.0
2012-12-19,69.76,69.99,68.77,69.34,10304800,0.0,1.0
2012-12-20,69.3,70.25,69.3,69.82,10218200,0.0,1.0
2012-12-21,69.43,69.82,68.38,68.72,17746900,0.0,1.0
2012-12-24,68.67,68.69,68.24,68.52,3578800,0.0,1.0
2012-12-26,68.57,68.59,67.7,68.0,6937000,0.0,1.0
2012-12-27,67.88,68.16,67.41,67.97,7648800,0.0,1.0
2012-12-28,67.73,67.91,67.06,67.15,6463300,0.0,1.0
2012-12-31,67.0,67.97,66.83,67.89,9061900,0.0,1.0
2013-01-02,68.65,69.39,68.35,69.39,9987000,0.0,1.0
2013-01-03,69.44,69.5,68.94,68.95,7741900,0.0,1.0
2013-01-04,69.01,69.17,68.675,69.09,5853700,0.0,1.0
2013-01-07,68.92,68.92,68.38,68.62,5269800,0.0,1.0
2013-01-08,68.52,68.73,68.4,68.51,7362000,0.0,1.0
2013-01-09,68.77,69.11,68.61,68.88,5762900,0.0,1.0
2013-01-10,68.98,69.29,68.685,69.27,12855000,0.0,1.0
2013-01-11,69.3,69.3,69.01,69.22,12193500,0.0,1.0
2013-01-14,69.31,69.975,69.23,69.63,11570700,0.0,1.0
2013-01-15,69.16,69.96,69.15,69.88,7563400,0.0,1.0
2013-01-16,69.42,69.7,69.11,69.34,7061000,0.562,1.0
2013-01-17,69.56,69.96,69.34,69.67,6263300,0.0,1.0
2013-01-18,69.69,69.995,69.671,69.94,10610800,0.0,1.0
2013-01-22,69.86,69.98,69.75,69.95,8313600,0.0,1.0
2013-01-23,69.84,70.7,69.8,70.69,10588600,0.0,1.0
2013-01-24,70.68,70.85,70.2,70.42,8877200,0.0,1.0
2013-01-25,71.75,73.25,71.75,73.25,28760300,0.0,1.0
2013-01-28,73.73,74.23,73.19,73.77,14010000,0.0,1.0
2013-01-29,73.55,75.31,73.52,75.0,17576700,0.0,1.0
2013-01-30,74.75,75.48,74.67,75.08,12677800,0.0,1.0
2013-01-31,74.83,75.26,74.67,75.16,11661500,0.0,1.0
2013-02-01,75.3,75.97,75.17,75.92,12204000,0.0,1.0
2013-02-04,75.69,75.8,74.9498,75.25,11086000,0.0,1.0
2013-02-05,75.44,76.69,75.32,75.7,14851700,0.0,1.0
2013-02-06,75.32,76.19,75.04,76.15,17015800,0.0,1.0
2013-02-07,75.98,76.42,75.79,76.15,9897000,0.0,1.0
2013-02-08,76.15,76.48,75.56,75.75,9130700,0.0,1.0
2013-02-11,75.41,75.92,75.12,75.81,6928200,0.0,1.0
2013-02-12,75.96,76.31,75.81,75.98,6281000,0.0,1.0
2013-02-13,76.01,76.58,75.98,76.56,7113300,0.0,1.0
2013-02-14,76.3,76.97,76.25,76.78,10049400,0.0,1.0
2013-02-15,76.72,76.96,76.215,76.54,11165600,0.0,1.0
2013-02-19,76.56,77.765,76.49,77.38,11783500,0.0,1.0
2013-02-20,77.27,77.52,76.92,77.08,9275400,0.0,1.0
2013-02-21,76.28,77.2,75.9,77.04,10305200,0.0,1.0
2013-02-22,77.05,77.19,76.753,76.99,8433200,0.0,1.0
2013-02-25,77.06,77.67,75.92,75.92,9970400,0.0,1.0
2013-02-26,75.99,76.38,75.77,76.08,8378900,0.0,1.0
2013-02-27,75.95,76.95,75.7,76.75,7567800,0.0,1.0
2013-02-28,76.66,76.91,76.17,76.18,10466900,0.0,1.0
2013-03-01,75.7,76.72,75.56,76.49,9599700,0.0,1.0
2013-03-04,76.25,76.68,75.97,76.68,7631000,0.0,1.0
2013-03-05,76.78,77.395,76.72,77.05,9716200,0.0,1.0
2013-03-06,77.01,77.45,76.81,77.2,7194700,0.0,1.0
2013-03-07,77.22,77.49,76.78,76.9,7111400,0.0,1.0
2013-03-08,77.01,77.2,76.46,77.18,7252800,0.0,1.0
2013-03-11,77.02,77.39,76.9,77.35,6621000,0.0,1.0
2013-03-12,77.19,77.45,77.0,77.17,7016700,0.0,1.0
2013-03-13,77.07,77.1,76.52,76.8,6340300,0.0,1.0
2013-03-14,76.87,77.475,76.83,77.39,8079100,0.0,1.0
2013-03-15,77.08,77.38,76.34,76.34,15237000,0.0,1.0
2013-03-18,75.9,76.55,75.8,76.16,7081800,0.0,1.0
2013-03-19,76.14,77.18,76.11,77.11,9326400,0.0,1.0
2013-03-20,77.29,77.82,77.271,77.58,8615800,0.0,1.0
2013-03-21,77.42,77.67,77.14,77.21,6319500,0.0,1.0
2013-03-22,77.18,77.45,77.005,77.27,5868400,0.0,1.0
2013-03-25,77.27,77.62,76.44,76.68,6843600,0.0,1.0
2013-03-26,77.02,77.5,76.891,77.4,5386000,0.0,1.0
