date,open,high,low,close,volume,dividend,split
2012-11-01,22.42,22.7,22.26,22.39,5819700,0.0,1.0
2012-11-02,22.13,22.59,21.97,22.07,11359100,0.0,1.0
2012-11-05,21.95,22.24,21.83,22.19,3901300,0.0,1.0
2012-11-06,22.31,22.44,22.17,22.41,3813700,0.0,1.0
2012-11-07,22.21,22.27,21.93,22.09,3556700,0.0,1.0
2012-11-08,22.12,22.43,21.95,22.09,15124600,0.0,1.0
2012-11-09,22.05,22.48,21.97,22.35,16046100,0.0,1.0
2012-11-12,22.37,22.38,22.15,22.26,16932200,0.0,1.0
2012-11-13,22.07,22.4175,22.03,22.21,7101700,0.0,1.0
2012-11-14,22.35,22.61,21.97,22.36,12872900,0.0,1.0
2012-11-15,22.45,22.56,22.13,22.23,6346700,0.0,1.0
2012-11-16,22.24,22.57,22.11,22.55,5501300,0.0,1.0
2012-11-19,21.72,21.86,21.34,21.47,8338900,1.0,1.0
2012-11-20,21.42,21.66,21.41,21.6,4883900,0.0,1.0
2012-11-21,21.63,21.685,21.505,21.59,3779400,0.0,1.0
2012-11-23,21.74,21.87,21.63,21.82,1750600,0.0,1.0
2012-11-26,21.79,21.85,21.6,21.67,2844400,0.0,1.0
2012-11-27,21.6,21.7,21.35,21.39,4710400,0.0,1.0
2012-11-28,21.27,21.39,21.1,21.38,6380900,0.0,1.0
2012-11-29,21.48,21.635,21.34,21.59,8318100,0.0,1.0
2012-11-30,21.54,21.55,21.2,21.25,5848800,0.0,1.0
2012-12-03,21.4,21.45,21.11,21.16,3956100,0.0,1.0
2012-12-04,21.2,21.38,21.13,21.13,5352900,0.0,1.0
2012-12-05,21.18,21.63,21.14,21.53,4709400,0.0,1.0
2012-12-06,21.54,21.59,21.38,21.43,4329300,0.0,1.0
2012-12-07,21.49,21.58,21.4,21.48,4277900,0.0,1.0
2012-12-10,21.42,21.765,21.39,21.66,3634000,0.0,1.0
2012-12-11,21.75,21.76,21.46,21.48,5489400,0.0,1.0
2012-12-12,21.56,21.7699,21.38,21.42,5450500,0.0,1.0
2012-12-13,21.38,21.43,21.13,21.16,4111100,0.0,1.0
2012-12-14,21.18,21.21,20.96,20.99,4204400,0.0,1.0
2012-12-17,21.07,21.28,21.03,21.27,5608600,0.0,1.0
2012-12-18,21.27,21.49,21.196,21.45,16281600,0.0,1.0
2012-12-19,21.46,21.62,21.35,21.39,6036400,0.0,1.0
2012-12-20,21.37,21.55,21.27,21.52,5092100,0.0,1.0
2012-12-21,21.34,21.59,21.055,21.2,6695500,0.0,1.0
2012-12-24,21.11,21.29,21.05,21.23,1148600,0.0,1.0
2012-12-26,21.25,21.3,21.15,21.22,2548600,0.0,1.0
2012-12-27,21.21,21.2104,20.81,20.97,3529100,0.0,1.0
2012-12-28,20.87,21.0,20.8001,20.85,2220500,0.0,1.0
2012-12-31,20.8,21.11,20.685,21.1,4025100,0.0,1.0
2013-01-02,21.45,21.69,21.36,21.69,16179600,0.0,1.0
2013-01-03,21.71,22.11,21.59,22.03,5517100,0.0,1.0
2013-01-04,22.03,22.3,22.01,22.27,3785900,0.0,1.0
2013-01-07,22.16,22.24,21.87,22.02,3145700,0.0,1.0
2013-01-08,21.98,22.08,21.9,21.98,2396900,0.0,1.0
2013-01-09,21.98,22.19,21.925,22.0,1827800,0.0,1.0
2013-01-10,22.11,22.38,22.06,22.38,10668700,0.0,1.0
2013-01-11,22.46,22.49,22.3,22.34,10371400,0.0,1.0
2013-01-14,22.33,22.62,22.25,22.55,11352900,0.0,1.0
2013-01-15,22.44,22.67,22.41,22.65,2927200,0.0,1.0
2013-01-16,22.52,22.72,22.44,22.59,3264100,0.0,1.0
