date,open,high,low,close,volume,dividend,split
2012-11-01,78.73,81.16,78.55,80.87,2810200,0.0,1.0
2012-11-02,81.29,81.864,79.32,79.43,1420600,0.0,1.0
2012-11-05,78.73,80.12,78.12,79.96,1246600,0.0,1.0
2012-11-06,80.42,81.03,80.075,80.42,911000,0.0,1.0
2012-11-07,79.29,79.29,77.37,77.45,1982600,0.41,1.0
2012-11-08,78.42,79.81,78.18,78.52,2594300,0.0,1.0
2012-11-09,78.18,79.68,77.5,79.09,2253400,0.0,1.0
2012-11-12,79.03,79.65,78.41,79.14,846400,0.0,1.0
2012-11-13,78.17,79.62,78.03,78.23,1054200,0.0,1.0
2012-11-14,78.64,79.28,77.34,77.53,1728400,0.0,1.0
2012-11-15,77.76,79.5,77.5,78.59,1775100,0.0,1.0
2012-11-16,78.74,80.16,78.3619,80.01,1991100,0.0,1.0
2012-11-19,80.7,81.5,80.35,81.05,1169700,0.0,1.0
2012-11-20,80.76,80.94,79.064,79.71,1471300,0.0,1.0
2012-11-21,79.84,80.69,79.45,80.1,1057600,0.0,1.0
2012-11-23,80.59,81.73,79.982,81.43,381000,0.0,1.0
2012-11-26,80.99,82.12,80.69,81.41,1214400,0.0,1.0
2012-11-27,81.18,82.0775,80.01,81.07,1010600,0.0,1.0
2012-11-28,80.69,82.86,80.29,82.64,1310300,0.0,1.0
2012-11-29,83.17,83.6,82.7,83.39,1350500,0.0,1.0
2012-11-30,83.26,83.37,81.6,82.15,2209700,0.0,1.0
2012-12-03,82.75,82.7799,80.27,80.3,1497300,0.0,1.0
2012-12-04,80.47,81.44,80.15,81.18,964400,0.0,1.0
2012-12-05,81.27,83.09,81.04,82.9,1522800,0.0,1.0
2012-12-06,82.61,82.94,81.58,82.33,1213900,0.0,1.0
2012-12-07,82.79,83.88,82.67,83.81,975500,0.0,1.0
2012-12-10,83.83,84.4,83.48,83.93,1049100,0.0,1.0
2012-12-11,84.2,84.49,83.15,83.4,1336500,0.0,1.0
2012-12-12,83.91,84.42,83.04,83.12,883300,0.0,1.0
2012-12-13,82.93,83.65,82.65,83.24,1060500,0.0,1.0
2012-12-14,83.0,84.41,83.0,83.49,1055400,0.0,1.0
2012-12-17,83.73,84.08,83.18,83.59,1089700,0.0,1.0
2012-12-18,83.88,87.04,83.722,86.65,2241500,0.0,1.0
2012-12-19,86.52,86.72,85.92,86.21,1366400,0.0,1.0
2012-12-20,86.08,86.62,85.71,86.55,1055200,0.0,1.0
2012-12-21,85.16,85.58,84.0,85.15,2423600,0.0,1.0
2012-12-24,85.07,86.0,84.72,84.87,315500,0.0,1.0
2012-12-26,85.23,85.23,84.52,84.67,497700,0.0,1.0
2012-12-27,84.68,85.07,83.39,84.49,599500,0.0,1.0
2012-12-28,83.74,84.8,83.688,83.86,491400,0.0,1.0
2012-12-31,83.53,85.17,83.16,85.06,831700,0.0,1.0
2013-01-02,87.45,88.58,86.51,87.66,1962800,0.0,1.0
2013-01-03,87.6,88.73,87.45,88.34,1336100,0.0,1.0
2013-01-04,88.65,88.92,88.3,88.82,775700,0.0,1.0
2013-01-07,88.08,88.35,87.26,88.25,1447300,0.0,1.0
2013-01-08,88.67,88.98,87.51,88.32,1242600,0.0,1.0
2013-01-09,88.62,90.25,88.59,90.17,1482500,0.0,1.0
2013-01-10,90.64,90.73,88.64,89.6,1636500,0.0,1.0
2013-01-11,89.52,89.52,88.35,89.04,903000,0.0,1.0
