date,open,high,low,close,volume,dividend,split
2012-11-01,17.43,18.035,17.43,17.78,13100900,0.0,1.0
2012-11-02,17.97,18.1,17.35,17.37,8888700,0.0,1.0
2012-11-05,17.25,17.99,17.18,17.84,7279200,0.0,1.0
2012-11-06,17.92,18.27,17.74,17.89,10677000,0.0,1.0
2012-11-07,17.66,18.18,17.38,17.76,12204700,0.0,1.0
2012-11-08,17.8,17.84,17.05,17.37,8535500,0.0,1.0
2012-11-09,17.25,17.4,16.3,16.8,18865000,0.0,1.0
2012-11-12,16.86,17.24,16.22,16.25,12837900,0.0,1.0
2012-11-13,16.05,16.67,15.82,16.17,13126900,0.0,1.0
2012-11-14,16.28,16.38,15.15,15.235,16869800,0.0,1.0
2012-11-15,15.23,15.93,14.55,15.24,21099400,0.0,1.0
2012-11-16,15.23,15.975,15.14,15.68,15878800,0.0,1.0
2012-11-19,15.99,16.48,15.72,15.9,14490800,0.0,1.0
2012-11-20,16.2,16.95,16.2,16.75,16168000,0.0,1.0
2012-11-21,16.85,17.16,16.48,16.83,12197000,0.0,1.0
2012-11-23,16.94,17.15,16.66,17.03,4183600,0.0,1.0
2012-11-26,16.95,17.14,16.71,17.08,11399700,0.0,1.0
2012-11-27,17.07,17.49,16.89,17.11,11255600,0.0,1.0
2012-11-28,17.05,17.15,16.33,17.0,11198000,0.0,1.0
2012-11-29,17.08,17.46,16.96,17.13,12662600,0.0,1.0
2012-11-30,17.06,17.13,16.41,16.81,24124200,0.0,1.0
2012-12-03,16.96,17.18,16.7328,16.95,8180400,0.0,1.0
2012-12-04,17.24,17.37,16.76,17.09,11215800,0.0,1.0
2012-12-05,17.11,17.1999,16.15,16.2,13681800,0.0,1.0
2012-12-06,16.15,16.42,15.81,16.28,9315500,0.0,1.0
2012-12-07,16.36,16.64,16.12,16.45,7492000,0.0,1.0
2012-12-10,16.47,16.7,16.28,16.4,5085400,0.0,1.0
2012-12-11,16.5,16.66,16.34,16.48,5940000,0.0,1.0
2012-12-12,16.55,17.34,16.46,17.11,11700400,0.0,1.0
2012-12-13,17.06,17.5,16.97,17.16,7897400,0.0,1.0
2012-12-14,17.14,17.27,16.97,17.14,5002400,0.0,1.0
2012-12-17,17.17,18.1,17.17,18.04,13359700,0.0,1.0
2012-12-18,18.12,18.71,18.11,18.61,12338600,0.0,1.0
2012-12-19,18.72,18.86,18.13,18.46,9756100,0.0,1.0
2012-12-20,18.33,18.66,18.11,18.49,8679100,0.0,1.0
2012-12-21,18.19,18.235,17.89,18.19,9440100,0.0,1.0
2012-12-24,18.15,18.4,18.1,18.15,1991000,0.0,1.0
2012-12-26,18.2,18.35,17.79,17.79,6168500,0.0,1.0
2012-12-27,17.76,17.93,17.3,17.76,9672300,0.0,1.0
2012-12-28,17.64,17.85,17.5,17.6,5733700,0.0,1.0
2012-12-31,17.54,18.23,17.38,18.16,9665200,0.0,1.0
2013-01-02,18.88,19.01,18.4,18.6,9998200,0.0,1.0
2013-01-03,18.64,18.9,18.32,18.57,7803000,0.0,1.0
2013-01-04,18.6,19.14,18.44,19.06,8670500,0.0,1.0
2013-01-07,18.99,19.47,18.91,19.31,8318600,0.0,1.0
2013-01-08,19.39,19.51,19.09,19.5,7994900,0.0,1.0
2013-01-09,19.62,19.8,19.32,19.49,9398300,0.0,1.0
2013-01-10,19.63,19.6499,18.97,19.41,6878500,0.0,1.0
2013-01-11,19.54,19.7,19.2,19.34,7516600,0.0,1.0
2013-01-14,19.48,19.59,19.01,19.1,8673600,0.0,1.0
2013-01-15,18.94,19.47,18.932,19.47,7983500,0.0,1.0
2013-01-16,19.39,19.57,19.175,19.34,5527400,0.0,1.0
2013-01-17,19.6,20.54,19.58,20.37,14491700,0.0,1.0
2013-01-18,20.43,20.54,20.15,20.49,7975100,0.0,1.0
2013-01-22,20.56,20.65,20.22,20.55,7227400,0.0,1.0
2013-01-23,20.55,21.15,20.47,20.84,11261100,0.0,1.0
2013-01-24,20.99,21.48,20.71,20.98,11280200,0.0,1.0
2013-01-25,21.11,21.67,20.87,21.67,9664700,0.0,1.0
2013-01-28,21.72,21.97,20.76,20.96,10126900,0.0,1.0
2013-01-29,21.17,21.49,20.82,21.11,11243300,0.0,1.0
2013-01-30,21.22,21.43,20.82,21.05,10237200,0.0,1.0
2013-01-31,20.23,20.77,19.11,20.74,17688600,0.0,1.0
2013-02-01,20.84,21.24,20.3,20.35,11047600,0.0,1.0
2013-02-04,20.14,20.46,19.67,19.68,12384700,0.0,1.0
2013-02-05,19.8,20.03,19.01,19.74,14856000,0.0,1.0
2013-02-06,19.67,19.95,19.5,19.69,10486200,0.0,1.0
2013-02-07,19.72,19.81,19.03,19.4,10530200,0.0,1.0
2013-02-08,19.42,19.54,19.12,19.47,7336000,0.0,1.0
2013-02-11,19.4,19.71,19.17,19.3,7828200,0.0,1.0
2013-02-12,19.32,20.65,19.32,20.32,16711000,0.0,1.0
2013-02-13,20.22,20.55,20.03,20.23,6664200,0.0,1.0
2013-02-14,20.18,20.4,20.12,20.27,6464300,0.0,1.0
2013-02-15,20.22,20.62,20.22,20.31,6649700,0.0,1.0
2013-02-19,20.32,20.6,19.53,19.95,9445900,0.0,1.0
2013-02-20,19.69,19.72,18.45,18.6,12943100,0.0,1.0
2013-02-21,18.52,19.09,17.98,18.75,13351200,0.0,1.0
2013-02-22,18.93,19.0,18.63,18.9,6158400,0.0,1.0
2013-02-25,19.02,19.1,18.01,18.02,11077500,0.0,1.0
