date,open,high,low,close,volume,dividend,split
2012-11-01,34.28,34.56,34.14,34.26,2316700,0.0,1.0
2012-11-02,34.6,34.72,34.345,34.37,2758000,0.0,1.0
2012-11-05,34.32,34.4,33.68,34.18,2000900,0.0,1.0
2012-11-06,34.25,34.56,34.01,34.4,1877100,0.0,1.0
2012-11-07,34.03,34.28,33.94,34.15,3899500,0.0,1.0
2012-11-08,34.08,34.28,33.57,33.59,2716000,0.0,1.0
2012-11-09,33.49,33.8,33.28,33.39,1846700,0.0,1.0
2012-11-12,33.48,33.72,33.19,33.34,1353000,0.0,1.0
2012-11-13,33.13,33.62,33.08,33.37,1833500,0.0,1.0
2012-11-14,33.5,33.58,32.68,32.85,2705000,0.0,1.0
2012-11-15,32.89,33.06,32.32,32.6,1951600,0.0,1.0
2012-11-16,32.64,32.83,32.31,32.68,2871000,0.0,1.0
2012-11-19,33.14,33.53,32.97,33.34,2613400,0.0,1.0
2012-11-20,33.22,33.42,33.05,33.4,2625400,0.0,1.0
2012-11-21,33.48,33.95,33.39,33.9,2105700,0.0,1.0
2012-11-23,33.98,34.14,33.79,34.09,901700,0.0,1.0
2012-11-26,33.89,34.42,33.89,34.3,2852900,0.0,1.0
2012-11-27,34.03,34.035,33.64,33.95,3836600,0.0,1.0
2012-11-28,33.81,33.91,33.44,33.86,2857400,0.0,1.0
2012-11-29,34.06,34.195,33.8,34.02,3046700,0.0,1.0
2012-11-30,34.11,34.295,33.88,33.94,3232700,0.0,1.0
2012-12-03,34.14,34.3,33.8401,33.96,2404400,0.0,1.0
2012-12-04,33.91,34.495,33.55,34.26,2054800,0.0,1.0
2012-12-05,34.3,34.475,34.05,34.3,3087900,0.0,1.0
2012-12-06,34.31,34.91,34.29,34.91,3057500,0.0,1.0
2012-12-07,34.94,35.26,34.79,35.24,3455000,0.0,1.0
2012-12-10,35.24,35.36,35.095,35.18,2692200,0.0,1.0
2012-12-11,35.28,35.42,35.165,35.23,1727200,0.0,1.0
2012-12-12,35.31,35.43,34.96,35.27,2068000,0.0,1.0
2012-12-13,35.17,35.17,34.91,35.02,3625400,0.28,1.0
2012-12-14,35.01,35.44,34.91,35.1,2041600,0.0,1.0
2012-12-17,35.26,35.33,34.98,35.24,2442000,0.0,1.0
2012-12-18,35.24,35.85,35.24,35.83,2655500,0.0,1.0
2012-12-19,35.86,35.96,35.62,35.64,2988200,0.0,1.0
2012-12-20,35.7,36.8,35.65,36.58,3745300,0.0,1.0
2012-12-21,36.29,36.58,36.06,36.46,5272700,0.0,1.0
2012-12-24,36.28,36.645,36.18,36.52,918100,0.0,1.0
2012-12-26,36.62,36.62,35.86,36.07,2062800,0.0,1.0
2012-12-27,36.07,36.365,35.6,36.28,2299000,0.0,1.0
2012-12-28,36.05,36.41,35.755,35.77,1730700,0.0,1.0
2012-12-31,35.7,36.58,35.57,36.49,2711400,0.0,1.0
2013-01-02,37.24,37.5,37.04,37.35,3483200,0.0,1.0
2013-01-03,37.44,37.615,37.27,37.4,3071600,0.0,1.0
2013-01-04,37.42,37.75,37.29,37.71,2621400,0.0,1.0
2013-01-07,37.58,38.17,37.58,37.96,2527900,0.0,1.0
2013-01-08,37.95,38.0,37.64,37.84,2428900,0.0,1.0
2013-01-09,37.95,38.275,37.76,38.22,2599500,0.0,1.0
2013-01-10,38.43,38.43,37.79,38.04,2825800,0.0,1.0
2013-01-11,38.06,38.29,37.99,38.28,1801100,0.0,1.0
2013-01-14,38.3,38.32,38.06,38.3,1355300,0.0,1.0
2013-01-15,38.0,38.5,37.73,38.47,2014800,0.0,1.0
2013-01-16,38.27,38.49,38.1,38.45,2057400,0.0,1.0
2013-01-17,38.56,38.82,38.52,38.72,2696200,0.0,1.0
2013-01-18,38.88,39.55,38.71,39.5,3945000,0.0,1.0
2013-01-22,39.38,39.57,39.12,39.32,3090200,0.0,1.0
2013-01-23,39.23,39.68,39.09,39.64,2067800,0.0,1.0
2013-01-24,39.73,40.22,39.7,40.18,3664500,0.0,1.0
2013-01-25,40.29,40.64,40.015,40.64,3003400,0.0,1.0
2013-01-28,40.76,40.995,40.65,40.93,2755700,0.0,1.0
2013-01-29,40.93,41.0199,40.71,40.74,3197800,0.0,1.0
2013-01-30,40.41,40.69,39.9,40.05,5438000,0.0,1.0
2013-01-31,39.87,40.12,39.47,39.9,5749100,0.0,1.0
2013-02-01,40.21,41.01,39.93,40.48,3918500,0.0,1.0
2013-02-04,40.11,40.63,40.0,40.26,3789200,0.0,1.0
2013-02-05,40.51,40.55,40.13,40.28,2427000,0.0,1.0
2013-02-06,39.9,40.1,39.44,39.91,3076300,0.0,1.0
2013-02-07,39.92,39.94,39.4,39.42,2338100,0.0,1.0
2013-02-08,39.41,39.545,39.12,39.47,2590800,0.0,1.0
2013-02-11,39.51,39.59,39.1,39.33,2433100,0.0,1.0
2013-02-12,39.4,39.73,39.4,39.6,1655000,0.0,1.0
2013-02-13,39.68,39.89,39.42,39.47,1554400,0.0,1.0
2013-02-14,39.32,39.38,39.06,39.21,2736500,0.0,1.0
2013-02-15,39.3,39.32,38.62,38.84,3790300,0.0,1.0
2013-02-19,39.02,39.7,38.99,39.66,2848500,0.0,1.0
2013-02-20,39.61,39.8,39.15,39.18,1845100,0.0,1.0
2013-02-21,39.47,39.47,38.62,38.78,2232600,0.0,1.0
2013-02-22,38.93,39.43,38.84,39.42,1844000,0.0,1.0
2013-02-25,39.6,39.66,38.32,38.32,2727000,0.0,1.0
2013-02-26,38.44,38.75,38.13,38.37,2345500,0.0,1.0
