date,open,high,low,close,volume,dividend,split
2012-11-01,88.97,89.43,87.56,87.59,5298000,0.0,1.0
2012-11-02,87.65,88.47,86.87,86.93,9707000,0.0,1.0
2012-11-05,86.61,87.45,85.66,86.79,4741200,0.0,1.0
2012-11-06,87.0,87.86,86.92,87.39,4059800,0.0,1.0
2012-11-07,87.16,87.59,86.34,86.35,5175400,0.0,1.0
2012-11-08,86.42,87.22,85.52,85.55,4271600,0.0,1.0
2012-11-09,84.77,86.48,84.53,85.42,3982600,0.0,1.0
2012-11-12,85.32,86.21,84.9,84.98,3493200,0.0,1.0
2012-11-13,84.59,85.55,84.35,84.42,5288800,0.0,1.0
2012-11-14,84.4,85.17,82.24,82.39,8158500,0.0,1.0
2012-11-15,82.2,84.03,82.1,83.97,7166800,0.0,1.0
2012-11-16,84.21,85.2,83.89,84.93,6501000,0.0,1.0
2012-11-19,85.59,86.86,85.535,86.86,5035500,0.0,1.0
2012-11-20,86.93,88.13,86.86,88.1,5853300,0.0,1.0
2012-11-21,88.18,88.88,88.01,88.72,3296700,0.0,1.0
2012-11-23,89.0,90.43,88.9,90.41,2169500,0.0,1.0
2012-11-26,89.84,90.0,89.14,89.87,3384100,0.0,1.0
2012-11-27,90.52,90.52,89.07,89.13,4474400,0.0,1.0
2012-11-28,89.0,90.04,88.2499,89.91,5520800,0.0,1.0
2012-11-29,89.9701,90.84,89.49,90.33,5658300,0.0,1.0
2012-11-30,89.93,90.4,89.56,89.88,7562500,0.0,1.0
2012-12-03,90.01,90.49,89.73,89.8,3848200,0.0,1.0
2012-12-04,89.81,89.945,88.95,88.95,4145400,0.0,1.0
2012-12-05,89.07,89.42,88.18,88.53,6070300,0.0,1.0
2012-12-06,88.65,89.57,88.38,88.67,4198900,0.0,1.0
2012-12-07,88.67,89.7,88.67,89.47,3897500,0.0,1.0
2012-12-10,89.16,89.96,88.99,89.07,3619300,0.0,1.0
2012-12-11,89.49,89.72,88.17,88.46,4918500,0.0,1.0
2012-12-12,88.9,89.7,88.51,88.78,4600700,0.0,1.0
2012-12-13,88.69,89.2,87.91,88.2,3898500,0.0,1.0
2012-12-14,87.51,88.3,87.51,87.75,4875800,0.0,1.0
2012-12-17,87.95,88.47,87.11,87.39,5717300,0.0,1.0
