date,open,high,low,close,volume,dividend,split
2012-11-01,58.16,59.33,57.77,59.25,3956300,0.0,1.0
2012-11-02,59.73,59.75,59.0,59.19,3094000,0.0,1.0
2012-11-05,58.93,58.93,57.695,58.73,3011800,0.0,1.0
2012-11-06,58.88,59.65,58.81,59.08,4008000,0.0,1.0
2012-11-07,58.25,58.329,56.41,56.6,7921500,0.0,1.0
2012-11-08,56.75,57.65,56.25,56.25,3646400,0.0,1.0
2012-11-09,56.11,56.81,56.02,56.26,2661500,0.0,1.0
2012-11-12,56.51,56.74,56.12,56.31,1507200,0.0,1.0
2012-11-13,55.89,56.33,54.87,54.96,5579100,0.0,1.0
2012-11-14,55.15,55.25,53.4,53.69,7488400,0.0,1.0
2012-11-15,53.82,54.8,53.75,54.37,5109900,0.0,1.0
2012-11-16,54.47,54.57,53.36,54.34,6198100,0.0,1.0
2012-11-19,55.07,55.41,54.64,54.91,3257800,0.0,1.0
2012-11-20,54.88,55.465,54.655,54.8,3798200,0.0,1.0
2012-11-21,54.83,54.98,54.265,54.81,2915200,0.0,1.0
2012-11-23,55.01,55.78,54.84,55.75,1734800,0.0,1.0
2012-11-26,55.49,55.66,55.04,55.55,2861500,0.0,1.0
2012-11-27,55.47,55.93,54.96,55.03,2947700,0.0,1.0
2012-11-28,54.75,55.38,54.37,55.35,3136200,0.0,1.0
2012-11-29,55.48,55.74,55.21,55.35,2294500,0.0,1.0
2012-11-30,55.46,56.36,55.25,56.14,4378900,0.0,1.0
2012-12-03,56.38,56.46,55.14,55.31,4484500,0.0,1.0
2012-12-04,55.17,55.56,54.34,55.08,4250700,0.0,1.0
2012-12-05,55.42,56.38,55.366,55.89,4416200,0.0,1.0
2012-12-06,55.9,55.94,55.02,55.33,3861100,0.0,1.0
2012-12-07,55.71,55.86,55.33,55.8,4521500,0.0,1.0
2012-12-10,55.7,56.02,55.49,55.88,3364900,0.0,1.0
2012-12-11,55.92,56.67,55.77,56.24,3711000,0.0,1.0
2012-12-12,56.35,56.99,56.2,56.7,4329300,0.0,1.0
2012-12-13,56.56,56.81,56.37,56.54,3851800,0.0,1.0
2012-12-14,56.36,56.81,55.75,55.85,3557900,0.0,1.0
2012-12-17,56.2,57.92,56.06,57.87,3844400,0.0,1.0
2012-12-18,57.9,59.58,57.57,59.52,9490300,0.0,1.0
2012-12-19,59.88,59.88,58.63,58.6311,4391800,0.0,1.0
2012-12-20,58.63,59.21,58.55,59.17,3746800,0.0,1.0
2012-12-21,58.11,58.7,57.71,58.31,5403700,0.0,1.0
2012-12-24,58.23,58.6799,58.12,58.57,1315600,0.0,1.0
2012-12-26,58.62,58.77,57.66,58.05,2169200,0.0,1.0
2012-12-27,58.06,58.28,57.37,57.95,2467100,0.0,1.0
2012-12-28,57.4,58.15,57.39,57.46,1729100,0.0,1.0
2012-12-31,57.42,58.32,57.2,58.31,2640400,0.0,1.0
2013-01-02,59.51,59.64,58.96,59.54,4558700,0.0,1.0
2013-01-03,59.54,59.92,59.23,59.75,3822200,0.0,1.0
2013-01-04,59.93,60.57,59.54,60.48,2859900,0.0,1.0
2013-01-07,60.25,61.2,60.08,61.03,3987900,0.0,1.0
2013-01-08,60.81,60.88,60.05,60.25,2875300,0.0,1.0
2013-01-09,59.0,60.56,58.96,60.17,6196700,0.0,1.0
2013-01-10,60.5,61.15,60.25,61.14,3386000,0.0,1.0
2013-01-11,60.97,60.97,59.77,60.05,2770300,0.4,1.0
2013-01-14,59.93,60.09,59.22,59.45,3241200,0.0,1.0
