date,open,high,low,close,volume,dividend,split
2012-11-01,118.68,121.94,117.38,121.8,938900,0.0,1.0
2012-11-02,122.93,128.42,119.87,119.92,677800,0.0,1.0
2012-11-05,119.84,121.89,119.27,121.78,497200,0.0,1.0
2012-11-06,122.08,123.75,121.72,123.19,1227600,0.0,1.0
2012-11-07,122.54,122.59,119.69,120.64,658600,0.59,1.0
2012-11-08,120.66,121.3599,117.58,117.61,826200,0.0,1.0
2012-11-09,117.37,118.55,116.77,117.38,669300,0.0,1.0
2012-11-12,117.84,118.61,116.75,117.47,932700,0.0,1.0
2012-11-13,116.48,118.51,116.29,117.45,537300,0.0,1.0
2012-11-14,117.83,118.12,115.99,116.31,894900,0.0,1.0
2012-11-15,116.26,117.06,114.21,115.25,754000,0.0,1.0
2012-11-16,115.37,115.76,113.81,115.62,752300,0.0,1.0
2012-11-19,117.28,120.525,117.28,120.05,970300,0.0,1.0
2012-11-20,119.83,121.59,119.05,121.55,974900,0.0,1.0
2012-11-21,121.53,121.94,120.89,121.75,617400,0.0,1.0
2012-11-23,122.52,123.45,122.07,123.37,215200,0.0,1.0
2012-11-26,122.52,123.2,122.16,123.01,714400,0.0,1.0
2012-11-27,122.73,123.11,122.0,122.39,1317800,0.0,1.0
2012-11-28,121.17,122.18,119.95,121.9,1428900,0.0,1.0
2012-11-29,122.41,123.1,121.4,122.64,960400,0.0,1.0
2012-11-30,122.62,124.87,121.95,124.27,1561100,0.0,1.0
2012-12-03,124.99,125.0,120.7701,120.94,1592000,0.0,1.0
2012-12-04,121.0,121.8377,119.4,120.31,1293300,0.0,1.0
2012-12-05,120.21,121.2,119.03,119.46,1516800,0.0,1.0
2012-12-06,119.67,123.35,118.75,123.21,1413500,0.0,1.0
2012-12-07,122.55,123.346,120.12,121.37,1591500,0.0,1.0
2012-12-10,121.17,124.38,121.0313,123.84,1108100,0.0,1.0
2012-12-11,124.25,125.695,123.72,125.04,1359200,0.0,1.0
2012-12-12,125.76,125.76,124.2,124.55,1381700,0.0,1.0
2012-12-13,124.72,125.85,124.25,125.21,1481400,0.0,1.0
2012-12-14,129.05,132.88,128.1,129.93,3486800,0.0,1.0
2012-12-17,130.56,131.8,128.72,130.2,2149000,0.0,1.0
2012-12-18,130.77,133.255,130.23,132.47,2066800,0.0,1.0
2012-12-19,132.37,132.72,131.155,131.21,1284000,0.0,1.0
2012-12-20,132.01,134.5,131.89,134.39,1302700,0.0,1.0
2012-12-21,132.81,134.25,132.33,133.26,3380500,0.0,1.0
2012-12-24,132.9,135.51,132.4,135.24,941800,0.0,1.0
2012-12-26,136.2,136.22,134.72,134.74,1358200,0.0,1.0
2012-12-27,134.45,136.79,131.45,133.12,3384300,0.0,1.0
2012-12-28,132.18,133.73,131.001,132.7,2614500,0.0,1.0
2012-12-31,132.29,135.89,132.14,135.35,2239700,0.0,1.0
2013-01-02,138.34,140.41,137.42,138.55,3188800,0.0,1.0
2013-01-03,138.69,138.97,137.18,137.75,2635700,0.0,1.0
2013-01-04,138.0,139.6099,137.25,139.47,1951200,0.0,1.0
2013-01-07,139.14,139.27,137.08,138.26,2674500,0.0,1.0
2013-01-08,138.29,140.48,136.2,140.23,4553500,0.0,1.0
2013-01-09,140.69,142.735,140.48,141.4,3486700,0.0,1.0
2013-01-10,142.26,142.3799,139.99,141.77,3156200,0.0,1.0
2013-01-11,141.83,142.87,140.92,142.1,2850200,0.0,1.0
2013-01-14,140.5,142.75,140.0,141.03,2935300,0.0,1.0
2013-01-15,139.88,141.5,139.3,140.14,2436400,0.0,1.0
2013-01-16,139.44,139.69,137.0,139.13,4828300,0.0,1.0
2013-01-17,139.53,142.75,139.12,141.98,4282500,0.0,1.0
2013-01-18,141.47,143.4999,137.75,142.73,5588400,0.0,1.0
2013-01-22,142.79,143.74,141.04,142.77,5836600,0.0,1.0
2013-01-23,142.36,143.77,141.86,143.41,11796200,0.0,1.0
2013-01-24,143.0,146.11,142.53,143.98,10460000,0.0,1.0
2013-01-25,145.0,147.9885,142.67,144.21,13008900,0.0,1.0
2013-01-28,138.7,141.75,137.17,140.0,8192300,0.0,1.0
2013-01-29,140.0,141.3,139.13,141.06,5175900,0.0,1.0
2013-01-30,140.79,142.906,139.76,140.23,2004800,0.0,1.0
2013-01-31,139.17,140.197,137.77,137.87,2417400,0.0,1.0
2013-02-01,139.35,140.92,137.95,140.56,10083700,0.0,1.0
2013-02-04,139.74,140.29,138.36,138.94,5811000,0.0,1.0
2013-02-05,139.43,140.44,137.0,138.37,6171500,0.0,1.0
2013-02-06,137.93,138.87,136.86,138.33,4672500,0.0,1.0
2013-02-07,138.77,139.0,136.031,137.97,7747000,0.0,1.0
2013-02-08,137.99,139.28,137.39,138.88,4359700,0.0,1.0
2013-02-11,139.15,139.7,138.15,139.35,4025800,0.0,1.0
2013-02-12,138.39,138.39,135.452,136.45,4474100,0.0,1.0
2013-02-13,137.02,139.77,136.95,139.11,3813000,0.0,1.0
2013-02-14,138.66,139.36,137.91,139.0,2413100,0.0,1.0
2013-02-15,139.78,140.07,138.5,139.39,1738800,0.0,1.0
2013-02-19,138.68,139.2499,135.53,135.71,2968600,0.0,1.0
2013-02-20,135.28,135.5,131.49,131.51,2590600,0.59,1.0
2013-02-21,130.65,130.65,128.2,130.08,2199200,0.0,1.0
2013-02-22,130.37,132.37,130.1,132.32,1644900,0.0,1.0
2013-02-25,132.85,133.78,130.28,130.3,1985800,0.0,1.0
2013-02-26,130.63,133.06,130.63,132.68,1728400,0.0,1.0
2013-02-27,132.11,135.42,131.86,134.66,1044400,0.0,1.0
2013-02-28,134.92,135.88,134.61,134.66,1350300,0.0,1.0
2013-03-01,133.64,135.42,132.711,134.81,927100,0.0,1.0
2013-03-04,134.6,135.65,134.18,135.59,787300,0.0,1.0
2013-03-05,136.0,136.95,135.79,136.22,836900,0.0,1.0
2013-03-06,136.56,136.91,134.76,135.45,1299200,0.0,1.0
2013-03-07,135.72,135.96,134.91,135.47,966400,0.0,1.0
2013-03-08,136.21,137.54,135.48,137.34,1051900,0.0,1.0
2013-03-11,136.91,137.96,136.91,137.78,870400,0.0,1.0
2013-03-12,137.55,139.29,137.55,139.14,1298800,0.0,1.0
2013-03-13,139.06,141.66,138.96,141.52,1324000,0.0,1.0
2013-03-14,141.8,143.23,141.61,142.23,974700,0.0,1.0
2013-03-15,142.12,143.5,139.11,141.3,1592600,0.0,1.0
2013-03-18,139.01,141.86,138.72,141.1,668600,0.0,1.0
2013-03-19,141.69,141.71,139.545,140.87,866100,0.0,1.0
2013-03-20,141.36,142.16,140.84,141.01,864500,0.0,1.0
2013-03-21,139.13,140.06,137.27,137.29,1016400,0.0,1.0
2013-03-22,136.99,138.24,135.6,135.97,734400,0.0,1.0
2013-03-25,136.31,136.47,132.64,133.89,1155400,0.0,1.0
2013-03-26,134.69,135.9,133.83,134.04,1194100,0.0,1.0
2013-03-27,133.07,133.695,131.951,133.42,936500,0.0,1.0
2013-03-28,133.33,134.09,132.87,133.94,1053400,0.0,1.0
2013-04-01,133.65,134.47,133.2,134.16,1658400,0.0,1.0
2013-04-02,134.76,134.99,133.19,133.69,841000,0.0,1.0
2013-04-03,134.05,134.05,132.2,132.72,1368100,0.0,1.0
2013-04-04,133.04,134.89,132.5,133.9,915300,0.0,1.0
2013-04-05,131.73,132.75,130.63,131.73,884300,0.0,1.0
2013-04-08,131.6,132.06,130.56,131.45,1015900,0.0,1.0
2013-04-09,131.52,132.95,131.38,132.65,1280900,0.0,1.0
2013-04-10,133.11,134.88,132.82,134.66,1041100,0.0,1.0
2013-04-11,134.69,138.13,134.62,137.61,1087000,0.0,1.0
2013-04-12,136.95,137.44,135.52,136.25,690000,0.0,1.0
2013-04-15,135.17,135.46,131.39,131.44,1238700,0.0,1.0
2013-04-16,132.71,134.67,132.11,134.55,1311500,0.0,1.0
2013-04-17,133.39,133.976,131.75,132.4,1099300,0.0,1.0
2013-04-18,135.66,142.0,135.66,140.65,2390500,0.0,1.0
2013-04-19,140.66,142.23,139.6,141.59,1803500,0.0,1.0
2013-04-22,141.62,144.05,140.81,143.55,1105700,0.0,1.0
2013-04-23,143.95,144.88,143.12,144.8,796700,0.0,1.0
2013-04-24,145.0,145.85,144.35,144.98,891900,0.0,1.0
2013-04-25,146.0,148.56,145.46,146.91,967900,0.0,1.0
2013-04-26,146.76,146.85,144.25,144.93,572400,0.0,1.0
2013-04-29,145.64,147.21,144.88,147.02,556200,0.0,1.0
2013-04-30,147.1,147.357,145.631,147.14,817900,0.0,1.0
2013-05-01,145.82,147.09,145.11,145.2,1072200,0.0,1.0
2013-05-02,145.88,148.88,145.31,148.48,823500,0.0,1.0
2013-05-03,150.6,152.58,150.01,152.28,1020600,0.0,1.0
2013-05-06,152.13,152.13,150.61,151.76,572100,0.0,1.0
2013-05-07,151.88,153.38,151.78,153.22,508800,0.0,1.0
2013-05-08,152.96,155.18,152.38,155.14,966200,0.61,1.0
2013-05-09,154.66,155.1299,153.58,153.92,886000,0.0,1.0
2013-05-10,153.79,154.6,153.11,154.13,540800,0.0,1.0
2013-05-13,153.65,153.97,152.4301,153.21,381700,0.0,1.0
2013-05-14,153.49,156.86,153.34,156.81,624300,0.0,1.0
2013-05-15,156.06,157.85,155.574,156.47,824300,0.0,1.0
2013-05-16,156.07,157.3999,155.4,155.55,495500,0.0,1.0
2013-05-17,156.71,158.89,155.89,158.84,572400,0.0,1.0
2013-05-20,158.36,158.475,155.8,157.06,646500,0.0,1.0
2013-05-21,157.54,159.43,157.02,158.94,705200,0.0,1.0
2013-05-22,158.89,160.83,156.591,157.55,646300,0.0,1.0
2013-05-23,155.43,157.898,154.36,156.86,558800,0.0,1.0
2013-05-24,155.64,157.43,154.33,156.83,550300,0.0,1.0
2013-05-28,158.89,159.5,156.08,157.33,568500,0.0,1.0
2013-05-29,156.21,157.92,155.58,157.1,383900,0.0,1.0
2013-05-30,157.39,157.63,155.72,156.31,404800,0.0,1.0
2013-05-31,155.63,156.54,153.61,153.61,550300,0.0,1.0
2013-06-03,154.47,155.29,152.2,155.14,661600,0.0,1.0
2013-06-04,154.89,156.21,152.8475,153.56,566000,0.0,1.0
2013-06-05,153.06,153.45,149.93,149.99,573100,0.0,1.0
2013-06-06,149.15,151.58,149.04,151.27,444100,0.0,1.0
2013-06-07,153.09,155.34,152.52,154.92,683500,0.0,1.0
2013-06-10,155.99,155.99,153.1,154.27,318300,0.0,1.0
2013-06-11,151.79,153.83,151.01,151.9,440600,0.0,1.0
2013-06-12,153.35,153.69,150.68,150.95,409300,0.0,1.0
2013-06-13,150.46,155.9,150.46,155.27,827600,0.0,1.0
2013-06-14,154.37,155.72,153.11,153.83,459700,0.0,1.0
2013-06-17,155.0,156.94,154.36,156.11,557800,0.0,1.0
2013-06-18,156.04,156.75,155.11,156.57,516200,0.0,1.0
2013-06-19,156.32,157.22,154.09,154.17,501000,0.0,1.0
2013-06-20,152.25,152.76,149.61,150.08,1065200,0.0,1.0
2013-06-21,151.91,152.04,147.63,148.9,1046300,0.0,1.0
2013-06-24,148.83,148.87,145.21,146.68,769200,0.0,1.0
2013-06-25,149.18,150.235,146.77,147.83,650200,0.0,1.0
2013-06-26,148.69,149.96,146.9,149.0,762300,0.0,1.0
2013-06-27,150.1,150.52,148.34,149.03,779900,0.0,1.0
2013-06-28,147.92,148.24,146.0,146.41,2336000,0.0,1.0
2013-07-01,147.05,150.19,146.56,148.44,681500,0.0,1.0
2013-07-02,147.85,149.82,147.74,149.08,701900,0.0,1.0
2013-07-03,147.14,149.94,144.58,149.59,369200,0.0,1.0
2013-07-05,150.57,152.7,150.57,152.42,644600,0.0,1.0
2013-07-08,153.3,153.65,151.31,153.23,601500,0.0,1.0
2013-07-09,154.53,156.79,153.035,156.53,858000,0.0,1.0
2013-07-10,156.58,157.0,155.36,156.04,582200,0.0,1.0
2013-07-11,159.12,159.51,157.13,158.03,885500,0.0,1.0
2013-07-12,157.91,158.13,156.19,157.73,792300,0.0,1.0
2013-07-15,157.98,158.04,156.71,156.99,425300,0.0,1.0
2013-07-16,157.04,157.09,154.135,154.84,569700,0.0,1.0
2013-07-17,155.64,156.93,155.38,156.86,647000,0.0,1.0
2013-07-18,156.79,161.47,156.18,160.0,1368400,0.0,1.0
2013-07-19,160.07,160.94,159.02,159.16,878400,0.0,1.0
2013-07-22,159.01,161.13,158.915,159.73,1008500,0.0,1.0
2013-07-23,160.77,161.34,158.94,159.13,671100,0.0,1.0
2013-07-24,159.56,159.87,156.175,157.08,852000,0.0,1.0
2013-07-25,157.09,158.79,156.94,158.73,563800,0.0,1.0
2013-07-26,158.5,158.5,156.38,157.11,522200,0.0,1.0
2013-07-29,158.23,161.48,157.42,161.17,774200,0.0,1.0
2013-07-30,161.09,161.64,160.0,161.05,653500,0.0,1.0
2013-07-31,161.5,162.26,160.01,160.44,631500,0.0,1.0
2013-08-01,156.26,165.64,156.26,162.76,476800,0.0,1.0
2013-08-02,162.49,163.54,160.45,162.36,499000,0.0,1.0
2013-08-05,161.62,162.54,160.68,161.89,723500,0.0,1.0
2013-08-06,161.57,161.646,159.54,161.42,661200,0.0,1.0
2013-08-07,160.94,161.93,160.1,161.09,526600,0.0,1.0
2013-08-08,162.03,162.72,160.385,161.83,796300,0.61,1.0
2013-08-09,161.47,162.726,160.81,161.69,412900,0.0,1.0
2013-08-12,161.02,161.91,160.272,161.34,750600,0.0,1.0
2013-08-13,160.87,163.3,160.405,162.76,663900,0.0,1.0
2013-08-14,162.96,163.43,161.96,162.37,664300,0.0,1.0
2013-08-15,161.0,161.0,158.29,158.77,578700,0.0,1.0
2013-08-16,158.06,159.38,157.57,158.59,688900,0.0,1.0
2013-08-19,158.15,159.33,156.52,156.81,525800,0.0,1.0
2013-08-20,156.95,160.052,156.81,158.97,806800,0.0,1.0
2013-08-21,158.81,160.56,157.7975,159.11,443700,0.0,1.0
2013-08-22,159.43,160.48,157.86,160.15,330300,0.0,1.0
2013-08-23,160.46,162.42,158.69,162.24,700900,0.0,1.0
2013-08-26,162.64,162.85,159.76,160.27,429200,0.0,1.0
2013-08-27,158.28,159.0,157.0,157.76,536000,0.0,1.0
2013-08-28,156.94,157.7,155.6,155.76,819200,0.0,1.0
2013-08-29,155.29,157.24,155.27,156.19,706200,0.0,1.0
2013-08-30,156.54,157.25,155.7,156.21,374200,0.0,1.0
2013-09-03,158.54,159.92,156.47,157.21,496100,0.0,1.0
2013-09-04,156.9,159.43,156.35,158.94,565100,0.0,1.0
2013-09-05,158.85,161.34,158.34,160.57,319500,0.0,1.0
2013-09-06,160.98,161.18,157.58,159.25,645100,0.0,1.0
2013-09-09,159.54,161.96,159.54,161.64,417300,0.0,1.0
2013-09-10,162.83,163.71,162.21,163.71,620100,0.0,1.0
2013-09-11,163.58,164.71,163.14,164.42,403000,0.0,1.0
2013-09-12,164.19,165.52,162.31,162.87,445600,0.0,1.0
2013-09-13,163.31,163.98,162.17,162.44,456900,0.0,1.0
2013-09-16,165.2,165.89,164.35,165.2,429200,0.0,1.0
2013-09-17,165.2,165.53,164.24,165.36,439200,0.0,1.0
2013-09-18,164.65,167.98,163.62,167.81,555200,0.0,1.0
2013-09-19,167.79,168.97,167.2,167.99,460200,0.0,1.0
2013-09-20,167.99,172.21,166.16,166.28,707700,0.0,1.0
2013-09-23,166.16,166.16,163.33,163.42,938200,0.0,1.0
