date,open,high,low,close,volume,dividend,split
2012-11-01,29.67,29.75,29.33,29.43,3068600,0.0,1.0
2012-11-02,29.49,29.58,29.18,29.19,6639000,0.0,1.0
2012-11-05,29.07,29.15,28.75,28.78,4225600,0.0,1.0
2012-11-06,28.77,29.02,28.75,28.81,3722300,0.0,1.0
2012-11-07,28.69,28.75,28.16,28.3,5956600,0.0,1.0
2012-11-08,28.38,29.15,28.37,28.73,8071900,0.0,1.0
2012-11-09,28.61,28.9,28.52,28.68,5669200,0.0,1.0
2012-11-12,28.64,28.65,28.17,28.26,3075600,0.0,1.0
2012-11-13,28.2,28.59,28.12,28.32,3377000,0.0,1.0
2012-11-14,28.35,28.41,27.94,27.98,3770100,0.0,1.0
2012-11-15,27.98,28.16,27.74,27.95,4660100,0.0,1.0
2012-11-16,27.96,28.56,27.8,28.54,6214200,0.0,1.0
2012-11-19,28.67,28.68,28.22,28.37,4394900,0.0,1.0
2012-11-20,28.38,28.49,28.0668,28.33,3145500,0.0,1.0
2012-11-21,28.36,28.3775,28.01,28.23,3211500,0.0,1.0
2012-11-23,28.24,28.3,27.91,28.08,1765300,0.0,1.0
2012-11-26,28.12,28.57,28.1,28.44,3554900,0.0,1.0
2012-11-27,28.52,28.9165,28.52,28.81,4263800,0.0,1.0
2012-11-28,28.81,28.94,28.71,28.94,2743700,0.0,1.0
2012-11-29,29.0,29.11,28.86,29.06,2682800,0.0,1.0
2012-11-30,29.02,29.39,29.0,29.35,3713000,0.0,1.0
2012-12-03,29.36,29.39,29.01,29.07,3751700,0.0,1.0
2012-12-04,29.12,29.1901,28.91,28.96,2229000,0.0,1.0
2012-12-05,28.99,29.5,28.9,29.35,4057300,0.0,1.0
2012-12-06,29.07,29.09,28.85,29.0,4470800,0.36,1.0
2012-12-07,28.99,29.07,28.84,28.98,2793100,0.0,1.0
2012-12-10,28.95,29.12,28.9,29.0,2933600,0.0,1.0
2012-12-11,29.05,29.2,28.92,28.98,4181300,0.0,1.0
2012-12-12,29.01,29.29,28.96,29.06,5038400,0.0,1.0
2012-12-13,29.04,29.14,28.91,29.1,7284400,0.0,1.0
2012-12-14,29.06,29.1,28.71,28.79,3275100,0.0,1.0
2012-12-17,28.82,29.28,28.82,29.27,4306300,0.0,1.0
2012-12-18,29.32,29.54,29.21,29.45,7291400,0.0,1.0
2012-12-19,29.5,29.5,29.12,29.14,3172000,0.0,1.0
2012-12-20,29.23,29.26,28.97,29.11,3580600,0.0,1.0
2012-12-21,29.17,29.18,28.79,28.92,5602900,0.0,1.0
2012-12-24,28.88,28.96,28.7,28.92,1181300,0.0,1.0
2012-12-26,28.95,28.993,28.62,28.62,2540600,0.0,1.0
2012-12-27,28.57,28.69,28.22,28.52,3779400,0.0,1.0
2012-12-28,28.4,28.535,28.1725,28.18,2425100,0.0,1.0
2012-12-31,28.11,28.65,28.04,28.63,3355700,0.0,1.0
2013-01-02,28.99,29.16,28.77,29.09,4728800,0.0,1.0
2013-01-03,29.14,29.34,29.08,29.2,3617200,0.0,1.0
2013-01-04,29.27,29.32,29.08,29.21,3768500,0.0,1.0
2013-01-07,29.14,29.21,28.87,28.92,4434200,0.0,1.0
2013-01-08,28.9,28.98,28.75,28.79,2926200,0.0,1.0
2013-01-09,28.98,29.04,28.82,28.96,3516300,0.0,1.0
