date,open,high,low,close,volume,dividend,split
2012-11-01,57.05,58.17,56.33,57.69,4001800,0.0,1.0
2012-11-02,58.07,58.25,57.12,57.24,6261800,0.0,1.0
2012-11-05,57.0,57.17,56.64,56.99,2577700,0.0,1.0
2012-11-06,57.06,58.25,56.865,58.03,3068300,0.0,1.0
2012-11-07,56.96,57.01,55.37,55.39,6371800,0.0,1.0
2012-11-08,54.35,56.0,52.61,52.76,13407100,0.0,1.0
2012-11-09,52.39,53.69,52.22,52.71,12858100,0.0,1.0
2012-11-12,52.97,52.97,52.155,52.19,5450000,0.0,1.0
2012-11-13,51.76,52.4,50.91,50.93,5111100,0.0,1.0
2012-11-14,51.03,51.44,49.76,49.95,6228400,0.0,1.0
2012-11-15,50.27,50.79,49.72,50.42,5612300,0.0,1.0
2012-11-16,49.0,49.03,48.17,48.74,5849200,1.6,1.0
2012-11-19,49.52,50.11,49.34,49.81,4142700,0.0,1.0
2012-11-20,49.58,50.8,49.39,50.78,5845300,0.0,1.0
2012-11-21,50.97,51.26,50.64,51.13,3312400,0.0,1.0
2012-11-23,51.51,52.02,51.26,52.02,1078400,0.0,1.0
2012-11-26,51.53,51.83,51.33,51.78,2126700,0.0,1.0
2012-11-27,51.54,51.88,50.8,50.83,3627200,0.0,1.0
2012-11-28,50.38,51.65,50.3,51.6,2773400,0.0,1.0
2012-11-29,51.97,52.225,51.635,51.83,2964300,0.0,1.0
2012-11-30,51.8,52.38,51.65,52.12,3221600,0.0,1.0
2012-12-03,52.4,52.55,51.79,51.96,2659600,0.0,1.0
2012-12-04,51.7,52.2629,51.51,52.06,2772900,0.0,1.0
2012-12-05,52.23,52.82,51.89,52.61,3261800,0.0,1.0
2012-12-06,52.62,52.72,52.13,52.63,2366200,0.0,1.0
2012-12-07,52.44,52.7499,52.0,52.47,2059500,0.0,1.0
2012-12-10,52.19,52.63,51.76,52.5,1848200,0.0,1.0
2012-12-11,52.9,52.95,52.275,52.42,2349200,0.0,1.0
2012-12-12,52.77,53.65,52.63,52.67,3450100,0.0,1.0
2012-12-13,52.76,53.5,51.69,51.76,3995500,0.0,1.0
2012-12-14,51.7,51.87,50.89,50.92,4217500,0.0,1.0
2012-12-17,51.22,52.1,51.18,52.0,4191900,0.0,1.0
2012-12-18,52.0,53.2,51.79,53.12,8491200,0.0,1.0
2012-12-19,53.34,53.99,53.171,53.25,2659100,0.0,1.0
2012-12-20,53.35,54.5,53.26,54.48,3279800,0.0,1.0
2012-12-21,53.93,54.18,53.04,53.43,6512500,0.0,1.0
2012-12-24,53.13,53.4532,53.02,53.22,683600,0.0,1.0
2012-12-26,53.28,53.6,52.925,53.08,1151900,0.0,1.0
