date,open,high,low,close,volume,dividend,split
2012-11-01,139.21,140.53,139.21,139.88,841600,0.0,1.0
2012-11-02,139.54,142.04,139.54,140.3,522500,0.0,1.0
2012-11-05,140.13,140.8,138.65,140.04,413900,0.0,1.0
2012-11-06,140.16,141.57,140.06,141.03,1117400,0.0,1.0
2012-11-07,140.64,144.83,140.31,143.34,1410800,0.0,1.0
2012-11-08,142.51,143.51,141.62,141.92,1013300,0.0,1.0
2012-11-09,141.63,147.3,141.1001,145.7,1155400,0.0,1.0
2012-11-12,145.75,146.2,144.62,145.28,523800,0.0,1.0
2012-11-13,144.64,148.17,144.55,146.85,958800,0.0,1.0
2012-11-14,146.95,147.4,144.48,145.0,816600,0.0,1.0
2012-11-15,145.19,146.14,143.47,144.25,840700,0.0,1.0
2012-11-16,144.4,144.75,142.52,143.86,1383400,0.0,1.0
2012-11-19,145.04,146.73,144.44,144.94,678300,0.0,1.0
2012-11-20,144.42,144.62,143.0522,144.53,934500,0.0,1.0
2012-11-21,144.87,144.97,143.66,144.29,432200,0.0,1.0
2012-11-23,144.89,145.63,144.095,145.27,183500,0.0,1.0
2012-11-26,144.69,145.976,143.69,145.3,477000,0.0,1.0
2012-11-27,143.85,143.85,141.59,142.72,985800,0.0,1.0
2012-11-28,142.58,142.97,141.22,142.33,650700,0.0,1.0
2012-11-29,143.6,143.74,140.35,141.28,1116500,0.0,1.0
2012-11-30,141.48,142.71,140.63,140.64,1583200,0.0,1.0
2012-12-03,141.09,143.05,141.02,142.52,800100,0.0,1.0
2012-12-04,143.08,144.11,142.35,142.5,766200,0.0,1.0
2012-12-05,142.59,142.59,141.27,141.55,609700,0.0,1.0
2012-12-06,141.61,142.38,141.25,141.66,614500,0.0,1.0
2012-12-07,141.62,142.7,141.291,142.32,674300,0.0,1.0
2012-12-10,140.75,142.15,140.495,141.01,515400,1.1,1.0
2012-12-11,141.33,141.98,140.81,141.36,630600,0.0,1.0
2012-12-12,141.66,141.7099,139.9,140.88,532800,0.0,1.0
2012-12-13,140.84,140.885,138.655,139.53,806800,0.0,1.0
2012-12-14,140.61,140.61,139.31,140.1,585300,0.0,1.0
2012-12-17,140.63,142.42,140.224,142.4,801000,0.0,1.0
2012-12-18,142.02,143.79,141.71,143.78,1145000,0.0,1.0
2012-12-19,143.46,144.7188,143.297,143.91,840800,0.0,1.0
2012-12-20,143.97,146.23,143.64,146.14,761500,0.0,1.0
2012-12-21,146.22,146.61,145.07,145.23,1067900,0.0,1.0
2012-12-24,145.17,146.75,144.51,145.87,258500,0.0,1.0
2012-12-26,146.02,146.1,143.96,144.38,543800,0.0,1.0
2012-12-27,144.16,144.91,142.79,144.37,460400,0.0,1.0
2012-12-28,143.76,144.8,143.15,143.46,346900,0.0,1.0
2012-12-31,143.16,145.04,142.9,144.96,407600,0.0,1.0
2013-01-02,146.58,146.58,144.8,146.09,636300,0.0,1.0
2013-01-03,145.99,146.96,145.3,145.55,568600,0.0,1.0
2013-01-04,145.41,146.41,145.174,146.22,444100,0.0,1.0
2013-01-07,145.85,146.63,145.68,145.95,442300,0.0,1.0
2013-01-08,145.88,146.02,144.35,144.96,446000,0.0,1.0
2013-01-09,145.35,145.52,144.69,145.49,411400,0.0,1.0
2013-01-10,145.82,146.29,145.04,146.28,561200,0.0,1.0
2013-01-11,146.75,147.06,145.77,147.05,515100,0.0,1.0
2013-01-14,147.06,147.47,146.05,146.31,731900,0.0,1.0
2013-01-15,146.7,147.87,145.79,147.67,572300,0.0,1.0
2013-01-16,147.23,148.1,146.68,147.96,585800,0.0,1.0
2013-01-17,148.42,148.725,147.78,148.09,596400,0.0,1.0
2013-01-18,149.09,150.41,148.39,150.26,899700,0.0,1.0
2013-01-22,149.88,150.96,149.8,150.92,725100,0.0,1.0
2013-01-23,150.46,151.17,150.23,150.82,579300,0.0,1.0
2013-01-24,151.0,151.87,150.64,151.73,631200,0.0,1.0
2013-01-25,152.0,152.91,151.4,152.7,703500,0.0,1.0
2013-01-28,153.0,153.92,152.178,153.44,651200,0.0,1.0
2013-01-29,153.05,154.38,152.6875,154.22,608400,0.0,1.0
2013-01-30,153.71,154.42,152.92,153.82,703200,0.0,1.0
2013-01-31,153.8,154.2,152.87,153.93,925000,0.0,1.0
2013-02-01,154.2,155.87,153.93,155.5,864200,0.0,1.0
2013-02-04,154.85,156.99,154.825,156.39,1088800,0.0,1.0
2013-02-05,157.17,157.41,156.23,156.94,764500,0.0,1.0
2013-02-06,156.35,157.69,155.98,157.02,1115200,0.0,1.0
2013-02-07,157.26,157.65,155.58,156.04,638200,0.0,1.0
2013-02-08,155.5,157.59,155.5,157.4,379700,0.0,1.0
2013-02-11,157.46,157.95,156.7,156.85,421400,0.0,1.0
2013-02-12,157.04,157.68,156.38,157.13,794500,0.0,1.0
2013-02-13,157.22,157.33,155.54,156.08,737000,0.0,1.0
2013-02-14,155.66,155.89,154.1,154.2,889800,0.0,1.0
2013-02-15,152.83,152.83,150.0,151.26,1676000,0.0,1.0
2013-02-19,150.86,152.75,150.86,152.72,694200,0.0,1.0
2013-02-20,152.39,154.36,152.39,152.46,634800,0.0,1.0
2013-02-21,152.56,152.74,151.21,152.01,642600,0.0,1.0
2013-02-22,152.57,153.85,152.02,152.41,531000,0.0,1.0
2013-02-25,152.89,153.12,149.98,149.98,461600,0.0,1.0
2013-02-26,150.76,151.4,149.79,151.14,562800,0.0,1.0
2013-02-27,150.91,153.04,150.61,151.84,514000,0.0,1.0
2013-02-28,152.18,152.74,150.99,151.21,1259100,0.0,1.0
2013-03-01,150.94,152.31,150.43,151.95,428700,0.0,1.0
2013-03-04,151.705,153.39,151.7,152.75,579400,0.0,1.0
2013-03-05,153.15,154.18,152.65,153.98,494900,0.0,1.0
2013-03-06,154.32,154.62,152.17,152.59,434300,0.0,1.0
2013-03-07,152.5,152.77,150.2475,150.46,899900,0.0,1.0
2013-03-08,150.56,150.72,148.77,150.47,749800,0.0,1.0
2013-03-11,149.13,149.68,148.75,148.91,602900,1.25,1.0
2013-03-12,148.89,149.2,146.93,147.0,975100,0.0,1.0
2013-03-13,147.03,147.21,146.12,146.68,767100,0.0,1.0
2013-03-14,146.83,147.59,146.79,147.25,776900,0.0,1.0
2013-03-15,147.11,148.32,146.45,148.25,1713000,0.0,1.0
2013-03-18,147.73,148.75,147.5,148.39,860400,0.0,1.0
2013-03-19,148.66,150.5,148.28,149.85,960400,0.0,1.0
2013-03-20,150.08,151.18,149.55,151.09,529200,0.0,1.0
2013-03-21,150.64,152.52,150.33,150.77,653800,0.0,1.0
2013-03-22,151.0,151.5,150.07,150.71,593200,0.0,1.0
2013-03-25,151.14,151.73,149.94,150.25,490000,0.0,1.0
2013-03-26,150.84,151.99,150.642,151.45,375400,0.0,1.0
2013-03-27,150.52,151.38,150.31,151.2,366400,0.0,1.0
2013-03-28,151.47,152.44,150.905,152.32,484400,0.0,1.0
2013-04-01,152.18,152.4599,151.11,152.39,400500,0.0,1.0
2013-04-02,152.88,153.43,152.36,152.92,579700,0.0,1.0
2013-04-03,153.38,153.72,151.83,152.22,595000,0.0,1.0
2013-04-04,152.49,154.54,151.94,154.38,611200,0.0,1.0
2013-04-05,153.06,155.43,152.91,155.1,500500,0.0,1.0
2013-04-08,154.96,156.86,154.42,156.73,646500,0.0,1.0
2013-04-09,156.19,157.36,155.7133,157.15,541100,0.0,1.0
