date,open,high,low,close,volume,dividend,split
2012-11-01,26.08,26.34,25.34,25.72,4019400,0.0,1.0
2012-11-02,25.97,26.06,25.39,25.45,2087700,0.0,1.0
2012-11-05,25.33,26.1,25.19,25.98,1801800,0.0,1.0
2012-11-06,26.12,26.66,26.045,26.4,2842900,0.0,1.0
2012-11-07,26.05,26.69,25.64,26.65,3247700,0.0,1.0
2012-11-08,26.6,26.6,26.01,26.04,1946300,0.0,1.0
2012-11-09,26.07,26.52,26.05,26.09,1920600,0.0,1.0
2012-11-12,26.09,26.25,25.61,25.85,1967700,0.0,1.0
2012-11-13,25.65,26.0,25.49,25.5,2223500,0.0,1.0
2012-11-14,25.59,25.64,24.97,25.03,2281400,0.0,1.0
2012-11-15,25.06,25.26,24.77,24.98,1823900,0.0,1.0
2012-11-16,25.0,25.18,24.73,25.1,1879400,0.0,1.0
2012-11-19,25.35,25.43,25.08,25.29,1825900,0.0,1.0
2012-11-20,25.37,25.62,24.9527,25.14,2689600,0.0,1.0
2012-11-21,25.15,25.44,25.015,25.2,1352200,0.0,1.0
2012-11-23,25.29,25.47,25.13,25.47,497900,0.0,1.0
2012-11-26,25.3,25.76,25.27,25.65,1666400,0.0,1.0
2012-11-27,25.57,25.66,25.08,25.11,1576900,0.0,1.0
2012-11-28,25.09,25.2,24.695,25.1,1442900,0.0,1.0
2012-11-29,25.17,25.47,25.13,25.4,1868800,0.0,1.0
2012-11-30,25.9,26.28,25.76,25.86,4051600,0.0,1.0
2012-12-03,26.01,26.14,25.64,25.81,1299000,0.0,1.0
2012-12-04,25.83,26.1725,25.83,26.11,2079300,0.0,1.0
2012-12-05,26.06,26.17,25.62,25.93,2133700,0.0,1.0
2012-12-06,25.91,25.95,25.52,25.7,1540800,0.0,1.0
2012-12-07,25.84,26.04,25.7,26.02,1541800,0.0,1.0
2012-12-10,26.06,27.05,26.06,26.92,3383900,0.0,1.0
2012-12-11,26.93,27.05,26.64,26.97,2227800,0.0,1.0
2012-12-12,27.16,27.7,27.08,27.38,2856200,0.0,1.0
2012-12-13,27.38,27.41,26.905,27.05,1740700,0.0,1.0
2012-12-14,27.02,27.22,26.98,27.09,1241800,0.0,1.0
2012-12-17,27.15,27.26,26.92,27.26,1565300,0.0,1.0
2012-12-18,27.36,27.72,27.28,27.59,2226100,0.0,1.0
2012-12-19,27.96,27.96,27.27,27.27,1484300,0.0,1.0
2012-12-20,27.23,27.61,27.18,27.6,1496600,0.0,1.0
2012-12-21,27.31,27.53,27.12,27.21,2261000,0.0,1.0
2012-12-24,27.31,27.46,27.0601,27.19,557100,0.0,1.0
2012-12-26,27.17,27.25,26.95,27.04,1143900,0.0,1.0
2012-12-27,27.01,27.04,26.511,26.99,1355400,0.0,1.0
2012-12-28,26.83,26.89,26.45,26.48,1108000,0.0,1.0
2012-12-31,26.4,27.31,26.4,27.29,1672300,0.0,1.0
2013-01-02,27.845,27.99,27.62,27.91,1869000,0.0,1.0
2013-01-03,27.91,27.95,27.57,27.67,1829200,0.0,1.0
2013-01-04,27.77,28.21,27.745,27.96,1875200,0.0,1.0
2013-01-07,27.85,28.46,27.82,28.25,2499700,0.0,1.0
2013-01-08,28.28,28.51,28.12,28.47,1853200,0.0,1.0
2013-01-09,28.51,28.95,28.345,28.82,1748200,0.0,1.0
2013-01-10,28.94,29.21,28.84,29.19,2043200,0.0,1.0
