date,open,high,low,close,volume,dividend,split
2012-11-01,103.15,110.49,101.8,109.34,3318200,0.0,1.0
2012-11-02,108.66,109.99,105.48,105.96,1897900,0.0,1.0
2012-11-05,105.81,108.0,104.94,107.77,901200,0.0,1.0
2012-11-06,108.31,110.67,108.07,109.1,1821700,0.0,1.0
2012-11-07,107.47,107.47,103.76,105.56,1761400,0.0,1.0
2012-11-08,105.12,105.56,102.33,102.35,1714600,0.0,1.0
2012-11-09,102.28,106.72,101.67,103.9,1732400,0.0,1.0
2012-11-12,104.6,104.65,102.61,102.74,897800,0.0,1.0
2012-11-13,102.22,105.3,101.41,103.63,1350900,0.0,1.0
2012-11-14,104.18,104.68,101.51,101.79,4551100,0.0,1.0
2012-11-15,107.0,107.0,101.16,102.82,1795900,0.0,1.0
2012-11-16,102.57,104.57,100.48,102.78,1617200,0.0,1.0
2012-11-19,103.82,106.49,103.82,105.15,1552900,0.0,1.0
2012-11-20,104.42,105.53,103.28,105.52,1859100,0.0,1.0
2012-11-21,103.04,107.27,103.04,106.22,1003500,0.0,1.0
2012-11-23,106.71,108.01,106.11,107.99,460800,0.0,1.0
2012-11-26,106.49,106.74,104.79,106.35,1032900,0.0,1.0
2012-11-27,105.99,106.54,104.7,104.83,1230200,0.0,1.0
2012-11-28,103.94,104.86,102.57,104.74,1769000,0.0,1.0
2012-11-29,105.96,107.21,105.41,106.64,1202200,0.0,1.0
2012-11-30,106.37,108.09,105.15,107.0,1247200,0.0,1.0
2012-12-03,107.74,108.8,104.56,104.83,1685200,0.0,1.0
2012-12-04,104.5,104.87,102.1,102.39,1484800,0.0,1.0
2012-12-05,102.6,105.05,101.97,104.85,1539600,0.0,1.0
2012-12-06,104.49,105.13,102.66,103.25,1312900,0.0,1.0
2012-12-07,103.01,104.19,102.55,102.95,1040200,0.0,1.0
2012-12-10,102.81,103.2,101.09,101.7,1285700,0.0,1.0
2012-12-11,102.25,105.41,101.7,104.23,1523600,0.0,1.0
2012-12-12,104.29,106.74,103.8,105.6,1620700,0.0,1.0
2012-12-13,105.34,105.46,102.51,103.18,1066300,0.0,1.0
2012-12-14,102.91,103.85,102.265,102.95,898800,0.0,1.0
2012-12-17,103.4,104.688,102.7,104.52,801000,0.0,1.0
2012-12-18,104.53,108.47,104.09,107.75,1139500,0.0,1.0
2012-12-19,107.7,109.0,107.0,107.22,870400,0.0,1.0
2012-12-20,107.51,109.22,107.279,108.79,787600,0.0,1.0
2012-12-21,107.14,108.72,106.43,108.52,1438000,0.0,1.0
2012-12-24,107.69,109.19,106.37,107.63,464000,0.0,1.0
2012-12-26,108.19,109.77,106.14,106.3,618900,0.0,1.0
2012-12-27,106.28,106.49,103.48,104.95,798900,0.0,1.0
2012-12-28,103.97,104.47,102.03,102.41,1192600,0.0,1.0
2012-12-31,101.88,106.75,101.88,106.59,1149000,0.0,1.0
2013-01-02,109.43,110.08,107.29,109.75,1623300,0.0,1.0
2013-01-03,109.3,112.95,108.31,111.3168,1447200,0.0,1.0
2013-01-04,111.42,114.36,111.35,113.17,1259500,0.0,1.0
2013-01-07,112.04,113.355,110.7,112.13,796200,0.0,1.0
2013-01-08,112.04,112.905,110.88,112.41,1050200,0.0,1.0
2013-01-09,112.83,113.73,110.89,111.2,1148800,0.0,1.0
2013-01-10,112.21,113.25,111.09,112.56,1336600,0.0,1.0
2013-01-11,112.68,113.57,110.58,111.85,1115100,0.0,1.0
2013-01-14,111.74,112.34,110.36,111.74,780200,0.0,1.0
2013-01-15,111.01,111.37,110.06,110.86,1279500,0.0,1.0
2013-01-16,110.65,113.01,110.01,113.0,1242900,0.0,1.0
2013-01-17,114.25,115.005,112.77,114.14,1631200,0.0,1.0
2013-01-18,114.03,114.7398,111.6,113.73,1630500,0.0,1.0
2013-01-22,114.13,114.58,112.04,114.41,1305700,0.0,1.0
2013-01-23,113.9,114.4,111.65,112.0,1358400,0.0,1.0
2013-01-24,112.71,114.56,111.32,113.87,1813600,0.0,1.0
2013-01-25,113.37,116.296,113.37,115.61,1395400,0.0,1.0
2013-01-28,115.94,116.99,114.33,114.99,1258200,0.0,1.0
2013-01-29,115.11,117.61,114.44,117.37,1341200,0.0,1.0
2013-01-30,120.0,123.86,116.0,116.21,4706800,0.0,1.0
2013-01-31,115.2,118.4,113.57,117.54,1893100,0.0,1.0
2013-02-01,118.28,120.0,117.741,119.92,1404500,0.0,1.0
2013-02-04,117.99,120.57,117.79,119.67,1308700,0.0,1.0
2013-02-05,120.96,121.82,119.46,121.62,1073400,0.0,1.0
2013-02-06,121.15,125.12,120.97,125.11,1992300,0.0,1.0
2013-02-07,125.12,125.37,123.06,124.54,1352000,0.0,1.0
2013-02-08,125.0,129.25,124.58,128.97,2054200,0.0,1.0
2013-02-11,128.97,129.26,125.75,128.55,2148200,0.0,1.0
2013-02-12,128.93,130.36,128.09,128.5,1618500,0.0,1.0
2013-02-13,130.8,130.8,125.92,126.76,3095300,0.0,1.0
2013-02-14,122.43,133.68,120.03,130.05,5504200,0.0,1.0
2013-02-15,128.99,131.75,128.6,130.56,9337900,0.0,1.0
2013-02-19,131.42,132.87,131.13,132.45,1757100,0.0,1.0
2013-02-20,132.2,132.2,127.65,127.84,2928800,0.0,1.0
2013-02-21,127.7,127.99,123.27,125.52,2216700,0.0,1.0
2013-02-22,126.83,128.25,124.635,127.0,2369300,0.0,1.0
2013-02-25,128.06,128.38,121.02,121.09,2362100,0.0,1.0
2013-02-26,122.17,124.69,119.83,124.28,2076900,0.0,1.0
2013-02-27,124.12,126.6674,123.95,126.1,1376800,0.0,1.0
2013-02-28,125.96,126.85,124.53,125.81,1705500,0.0,1.0
2013-03-01,124.75,124.84,122.45,123.69,1564000,0.0,1.0
2013-03-04,123.3,123.99,120.95,123.0,1496600,0.0,1.0
2013-03-05,124.28,126.19,122.96,125.23,1311600,0.0,1.0
2013-03-06,126.07,126.07,124.45,125.11,999600,0.0,1.0
2013-03-07,124.88,128.0,123.25,127.65,3153400,0.0,1.0
2013-03-08,128.26,129.39,126.92,127.64,1811100,0.0,1.0
2013-03-11,127.28,128.095,126.18,127.67,744400,0.0,1.0
2013-03-12,128.09,128.13,126.17,127.11,972100,0.0,1.0
2013-03-13,126.89,127.119,125.58,126.29,1239200,0.0,1.0
2013-03-14,126.61,127.82,125.11,127.62,1741700,0.0,1.0
