date,open,high,low,close,volume,dividend,split
2012-11-01,6.54,6.68,6.44,6.68,23302400,0.0,1.0
2012-11-02,6.75,6.78,6.62,6.66,24937700,0.0,1.0
2012-11-05,6.59,6.63,6.53,6.58,17183800,0.0,1.0
2012-11-06,6.6,6.82,6.59,6.8,19538800,0.0,1.0
2012-11-07,6.67,6.7,6.52,6.53,26524100,0.0,1.0
2012-11-08,6.55,6.66,6.38,6.38,27716700,0.0,1.0
2012-11-09,6.36,6.55,6.35,6.45,14840500,0.0,1.0
2012-11-12,6.49,6.59,6.41,6.53,15816400,0.0,1.0
2012-11-13,6.48,6.61,6.44,6.45,18309400,0.0,1.0
2012-11-14,6.48,6.515,6.24,6.25,23220300,0.0,1.0
2012-11-15,6.23,6.41,6.19,6.3,25281900,0.0,1.0
2012-11-16,6.38,6.42,6.185,6.32,26944600,0.0,1.0
2012-11-19,6.43,6.52,6.395,6.47,13808300,0.0,1.0
2012-11-20,6.48,6.627,6.41,6.61,19592600,0.0,1.0
2012-11-21,6.62,6.63,6.49,6.58,7115800,0.0,1.0
2012-11-23,6.61,6.69,6.56,6.69,4336100,0.0,1.0
2012-11-26,6.68,6.68,6.55,6.65,12192200,0.0,1.0
2012-11-27,6.68,6.7262,6.59,6.59,16357400,0.0,1.0
2012-11-28,6.55,6.64,6.49,6.62,11786100,0.0,1.0
2012-11-29,6.65,6.72,6.63,6.67,13022900,0.0,1.0
2012-11-30,6.68,6.72,6.6,6.67,14760800,0.0,1.0
2012-12-03,6.69,6.73,6.56,6.58,11320800,0.0,1.0
2012-12-04,6.56,6.58,6.4,6.45,19936000,0.0,1.0
2012-12-05,6.48,6.6,6.41,6.57,23887200,0.0,1.0
2012-12-06,6.64,6.65,6.48,6.54,10795600,0.0,1.0
2012-12-07,6.54,6.65,6.54,6.64,9829800,0.0,1.0
2012-12-10,6.62,6.7757,6.58,6.71,11709500,0.0,1.0
2012-12-11,6.75,6.82,6.71,6.76,10245600,0.0,1.0
2012-12-12,6.8,6.895,6.74,6.78,17598900,0.01,1.0
2012-12-13,6.76,6.8,6.68,6.73,11013200,0.0,1.0
2012-12-14,6.73,6.755,6.695,6.7,8104500,0.0,1.0
2012-12-17,6.76,6.92,6.72,6.91,12274700,0.0,1.0
2012-12-18,7.01,7.09,6.93,7.05,26744500,0.0,1.0
2012-12-19,7.19,7.19,7.03,7.05,25171800,0.0,1.0
2012-12-20,7.05,7.19,7.04,7.18,13758300,0.0,1.0
2012-12-21,7.1,7.18,7.02,7.11,27942100,0.0,1.0
2012-12-24,7.03,7.09,6.94,6.99,8580900,0.0,1.0
2012-12-26,7.01,7.08,6.99,7.02,7859900,0.0,1.0
2012-12-27,7.03,7.07,6.9,6.99,10721100,0.0,1.0
2012-12-28,6.93,7.005,6.92,6.93,7146900,0.0,1.0
2012-12-31,6.89,7.14,6.88,7.13,13624400,0.0,1.0
2013-01-02,7.32,7.37,7.165,7.31,17693800,0.0,1.0
2013-01-03,7.3,7.37,7.2,7.33,22191900,0.0,1.0
2013-01-04,7.37,7.59,7.37,7.59,22613400,0.0,1.0
2013-01-07,7.59,7.59,7.41,7.46,13545500,0.0,1.0
2013-01-08,7.44,7.48,7.28,7.4,14243500,0.0,1.0
2013-01-09,7.42,7.455,7.27,7.3,15827800,0.0,1.0
2013-01-10,7.33,7.385,7.24,7.35,17753800,0.0,1.0
2013-01-11,7.36,7.36,7.15,7.24,18322100,0.0,1.0
2013-01-14,7.24,7.28,7.155,7.19,13721500,0.0,1.0
2013-01-15,7.15,7.32,7.13,7.29,19088600,0.0,1.0
2013-01-16,7.33,7.45,7.3,7.38,21398100,0.0,1.0
2013-01-17,7.41,7.55,7.35,7.45,20294300,0.0,1.0
2013-01-18,7.47,7.57,7.35,7.43,18960500,0.0,1.0
2013-01-22,7.47,7.81,7.45,7.76,37498500,0.0,1.0
2013-01-23,7.75,7.85,7.64,7.66,22621500,0.0,1.0
2013-01-24,7.66,7.73,7.63,7.67,12471000,0.0,1.0
2013-01-25,7.73,7.77,7.63,7.69,12567700,0.0,1.0
2013-01-28,7.67,7.75,7.59,7.71,11641200,0.0,1.0
2013-01-29,7.68,7.745,7.67,7.71,19986400,0.0,1.0
2013-01-30,7.71,7.88,7.65,7.81,23375700,0.0,1.0
2013-01-31,7.61,7.81,7.56,7.78,26415700,0.0,1.0
2013-02-01,7.84,7.96,7.8,7.88,17800100,0.0,1.0
2013-02-04,7.82,7.87,7.75,7.81,10836800,0.0,1.0
2013-02-05,7.87,7.97,7.81,7.93,15305000,0.0,1.0
2013-02-06,7.9,7.99,7.86,7.94,16963200,0.0,1.0
2013-02-07,7.96,8.0,7.87,7.96,13759800,0.0,1.0
2013-02-08,7.96,7.96,7.9,7.93,8908400,0.0,1.0
2013-02-11,7.95,7.97,7.87,7.94,17158600,0.0,1.0
2013-02-12,7.96,7.97,7.87,7.93,11306400,0.0,1.0
2013-02-13,7.96,7.97,7.84,7.85,18352200,0.0,1.0
2013-02-14,7.82,7.91,7.81,7.91,12751900,0.0,1.0
2013-02-15,7.92,7.95,7.82,7.85,10253700,0.0,1.0
2013-02-19,7.86,7.97,7.85,7.96,12233800,0.0,1.0
2013-02-20,7.92,7.94,7.7,7.71,14877000,0.0,1.0
2013-02-21,7.68,7.75,7.54,7.59,23973600,0.0,1.0
2013-02-22,7.66,7.78,7.63,7.77,15388000,0.0,1.0
2013-02-25,7.83,7.855,7.48,7.48,18348500,0.0,1.0
2013-02-26,7.53,7.57,7.42,7.5,15518100,0.0,1.0
2013-02-27,7.495,7.66,7.47,7.62,11430600,0.0,1.0
2013-02-28,7.64,7.72,7.56,7.65,11554400,0.0,1.0
2013-03-01,7.6,7.72,7.55,7.71,17651400,0.0,1.0
2013-03-04,7.67,7.88,7.65,7.85,18824200,0.0,1.0
2013-03-05,7.92,8.0,7.88,7.92,17692800,0.0,1.0
2013-03-06,7.98,8.2,7.97,8.04,28197600,0.0,1.0
2013-03-07,8.07,8.24,8.0495,8.22,14117700,0.0,1.0
2013-03-08,8.31,8.36,8.05,8.15,23946100,0.0,1.0
2013-03-11,8.15,8.345,8.14,8.31,12761300,0.0,1.0
2013-03-12,8.28,8.33,8.12,8.13,16614700,0.0,1.0
2013-03-13,8.14,8.27,8.05,8.25,15792200,0.01,1.0
2013-03-14,8.29,8.34,8.16,8.31,22810100,0.0,1.0
