date,open,high,low,close,volume,dividend,split
2012-11-01,26.94,27.74,26.94,27.69,1909500,0.0,1.0
2012-11-02,27.98,28.0,27.38,27.62,1586800,0.0,1.0
2012-11-05,27.48,27.67,27.28,27.52,1038900,0.0,1.0
2012-11-06,27.71,28.04,27.6,27.98,1217600,0.0,1.0
2012-11-07,27.65,27.79,27.04,27.27,1290400,0.0,1.0
2012-11-08,27.33,27.46,26.96,26.96,1196100,0.0,1.0
2012-11-09,26.82,26.99,26.21,26.74,2037800,0.0,1.0
2012-11-12,26.87,26.87,26.45,26.68,904100,0.0,1.0
2012-11-13,26.53,27.185,26.53,27.0,1219000,0.0,1.0
2012-11-14,27.05,27.13,26.59,26.74,1705800,0.0,1.0
2012-11-15,26.65,26.88,26.54,26.82,1647700,0.0,1.0
2012-11-16,26.96,27.015,26.28,26.63,1373000,0.0,1.0
2012-11-19,26.93,27.06,26.78,27.06,818100,0.0,1.0
2012-11-20,26.97,27.16,26.86,26.99,678700,0.0,1.0
2012-11-21,26.96,27.23,26.8,27.23,638300,0.15,1.0
2012-11-23,27.24,27.47,27.141,27.46,334200,0.0,1.0
2012-11-26,27.34,28.01,27.29,27.96,1577400,0.0,1.0
2012-11-27,27.99,28.07,27.67,27.72,1679300,0.0,1.0
2012-11-28,27.6,27.87,27.34,27.85,1227800,0.0,1.0
2012-11-29,27.95,28.03,27.8,27.88,1264900,0.0,1.0
2012-11-30,27.85,28.34,27.81,28.26,1806200,0.0,1.0
2012-12-03,28.52,28.57,28.095,28.28,1686200,0.0,1.0
2012-12-04,28.28,28.47,27.99,28.4,1309000,0.0,1.0
2012-12-05,28.39,28.57,28.05,28.33,1077900,0.0,1.0
2012-12-06,28.32,28.65,28.27,28.62,1004700,0.0,1.0
2012-12-07,28.7,29.645,28.67,29.26,1946300,0.0,1.0
2012-12-10,29.69,30.115,29.25,29.42,1895800,0.0,1.0
2012-12-11,29.59,30.06,29.58,29.72,1465500,0.0,1.0
2012-12-12,29.77,29.89,29.54,29.62,976200,0.0,1.0
2012-12-13,29.62,29.76,29.46,29.52,850200,0.0,1.0
2012-12-14,29.5,29.86,29.39,29.74,1032500,0.0,1.0
2012-12-17,29.73,30.03,29.68,29.86,3123700,0.0,1.0
2012-12-18,29.8,30.5,29.655,30.46,3172500,0.0,1.0
2012-12-19,30.49,31.22,30.32,30.99,2189800,0.0,1.0
2012-12-20,30.97,31.52,30.75,31.51,2313700,0.0,1.0
2012-12-21,31.24,31.71,31.2,31.58,2692000,0.0,1.0
2012-12-24,31.41,31.54,31.265,31.46,446500,0.0,1.0
2012-12-26,31.5,31.75,31.4,31.62,1137100,0.0,1.0
2012-12-27,31.57,31.755,31.35,31.67,1643500,0.0,1.0
2012-12-28,31.43,31.66,31.33,31.44,1131800,0.0,1.0
2012-12-31,31.4,31.84,31.15,31.82,1642000,0.0,1.0
2013-01-02,32.24,32.65,32.22,32.56,1754800,0.0,1.0
2013-01-03,32.5,33.06,32.42,32.88,1707500,0.0,1.0
2013-01-04,32.99,33.41,32.89,33.41,1313200,0.0,1.0
2013-01-07,33.17,33.2196,32.62,32.66,1984200,0.0,1.0
2013-01-08,32.59,32.8,32.3,32.62,1728100,0.0,1.0
2013-01-09,32.74,32.97,32.62,32.78,1068900,0.0,1.0
2013-01-10,32.94,32.94,32.65,32.74,1374400,0.0,1.0
2013-01-11,32.78,32.95,32.7,32.88,818500,0.0,1.0
2013-01-14,32.83,33.3,32.83,33.26,988600,0.0,1.0
2013-01-15,33.16,33.71,32.9,33.53,1544100,0.0,1.0
2013-01-16,33.4,33.42,33.06,33.17,1750700,0.0,1.0
2013-01-17,33.41,33.78,33.31,33.71,720000,0.0,1.0
2013-01-18,34.01,34.139,33.58,34.0,2006300,0.0,1.0
2013-01-22,34.0,34.11,33.76,34.0,1259300,0.0,1.0
2013-01-23,33.94,34.0,33.53,33.57,1728700,0.0,1.0
2013-01-24,33.58,34.23,33.57,34.0,3167500,0.0,1.0
2013-01-25,34.08,34.175,33.67,33.67,3340900,0.0,1.0
2013-01-28,33.86,34.03,33.635,33.87,2096100,0.0,1.0
2013-01-29,33.61,34.0,33.37,33.53,2516900,0.0,1.0
2013-01-30,33.55,35.75,33.55,35.74,6628500,0.0,1.0
2013-01-31,35.58,35.62,34.98,35.24,3361300,0.0,1.0
2013-02-01,35.17,35.53,34.8,35.49,4800100,0.0,1.0
2013-02-04,35.23,35.34,34.59,34.84,1662700,0.0,1.0
2013-02-05,35.08,35.78,35.08,35.61,1602000,0.0,1.0
2013-02-06,35.5,35.93,35.4401,35.86,1481200,0.0,1.0
2013-02-07,35.71,35.84,35.28,35.55,1787800,0.0,1.0
2013-02-08,35.64,35.73,35.3,35.46,957700,0.0,1.0
2013-02-11,35.5,35.57,35.32,35.36,850300,0.0,1.0
2013-02-12,35.38,35.4799,35.19,35.31,1021600,0.0,1.0
2013-02-13,35.48,35.61,35.13,35.2,988800,0.0,1.0
2013-02-14,35.05,35.25,34.91,35.2,1317900,0.0,1.0
2013-02-15,35.28,35.98,35.194,35.52,974500,0.0,1.0
2013-02-19,35.54,37.15,35.54,36.73,2893600,0.0,1.0
2013-02-20,36.73,36.83,35.46,35.46,1423400,0.0,1.0
