date,open,high,low,close,volume,dividend,split
2012-11-01,155.0,159.465,153.19,159.04,1099900,0.0,1.0
2012-11-02,163.24,164.7699,159.68,160.75,1511200,0.0,1.0
2012-11-05,159.61,161.66,158.94,161.23,519400,0.0,1.0
2012-11-06,160.79,161.56,159.37,160.44,578900,0.0,1.0
2012-11-07,158.95,158.95,154.63,155.91,788700,0.0,1.0
2012-11-08,155.87,155.87,150.27,150.3,789400,0.0,1.0
2012-11-09,151.67,153.18,149.03,151.27,800300,0.0,1.0
2012-11-12,151.64,152.7,150.72,151.89,439400,0.0,1.0
2012-11-13,148.18,153.891,148.18,152.51,681700,0.0,1.0
2012-11-14,153.5,153.79,148.75,149.13,842100,0.0,1.0
2012-11-15,149.56,151.22,148.62,149.85,714800,0.0,1.0
2012-11-16,148.61,151.83,148.61,151.38,800100,0.0,1.0
2012-11-19,154.0,156.55,153.55,156.54,875300,0.0,1.0
2012-11-20,156.13,156.62,155.09,156.51,434000,0.0,1.0
2012-11-21,156.47,157.7599,154.76,156.5,445200,0.0,1.0
2012-11-23,158.03,159.97,157.41,159.9,292700,0.0,1.0
2012-11-26,159.29,159.95,157.28,158.97,584700,0.0,1.0
2012-11-27,158.27,160.31,157.59,159.12,786500,0.0,1.0
2012-11-28,159.05,163.62,158.84,162.55,943100,0.0,1.0
2012-11-29,162.5,162.5,159.14,160.4,958100,0.0,1.0
2012-11-30,160.46,160.49,156.79,157.09,924200,0.0,1.0
2012-12-03,158.18,159.46,157.39,157.46,409200,0.0,1.0
2012-12-04,157.96,158.142,153.27,154.51,606900,0.0,1.0
2012-12-05,154.96,155.4,151.26,152.74,511200,0.0,1.0
2012-12-06,152.25,154.05,151.23,153.76,635800,0.0,1.0
2012-12-07,154.23,155.8,153.15,155.35,865200,0.0,1.0
2012-12-10,155.49,155.91,151.43,151.98,787600,0.0,1.0
2012-12-11,152.61,154.22,150.65,154.16,726700,0.0,1.0
2012-12-12,154.46,154.9,150.24,150.5,885300,0.0,1.0
2012-12-13,150.73,152.03,148.49,148.77,569800,0.4,1.0
2012-12-14,149.3,151.15,149.3,150.09,797200,0.0,1.0
2012-12-17,150.42,153.62,148.96,153.6,1045100,0.0,1.0
2012-12-18,153.36,154.63,152.22,152.58,861800,0.0,1.0
2012-12-19,152.86,154.65,151.59,153.3,809600,0.0,1.0
2012-12-20,153.19,153.19,149.04,151.36,724500,0.0,1.0
2012-12-21,149.76,151.56,147.53,151.26,973300,0.0,1.0
2012-12-24,153.74,153.74,150.1,151.08,252000,0.0,1.0
2012-12-26,151.46,151.46,144.14,146.03,1158000,0.0,1.0
2012-12-27,145.74,149.09,145.64,148.34,1063900,0.0,1.0
2012-12-28,148.72,149.48,146.4,147.01,678300,0.0,1.0
2012-12-31,146.58,150.125,146.58,149.92,516600,0.0,1.0
2013-01-02,152.75,152.79,149.25,152.1,1483700,0.0,1.0
2013-01-03,152.75,158.6799,152.75,157.21,1618700,0.0,1.0
2013-01-04,157.1,159.61,156.4705,159.39,1102700,0.0,1.0
2013-01-07,159.76,162.84,159.56,161.52,1447900,0.0,1.0
2013-01-08,161.56,163.6,161.05,162.25,965000,0.0,1.0
2013-01-09,163.86,165.7,161.8609,165.58,1262700,0.0,1.0
2013-01-10,163.74,167.99,163.18,167.48,1140900,0.0,1.0
2013-01-11,167.34,167.85,165.0,165.93,1140000,0.0,1.0
2013-01-14,166.02,167.49,165.62,166.34,631200,0.0,1.0
2013-01-15,165.85,167.74,165.46,166.95,743300,0.0,1.0
2013-01-16,166.1,166.91,165.81,166.75,760200,0.0,1.0
2013-01-17,167.07,168.55,165.015,168.06,771000,0.0,1.0
2013-01-18,168.21,168.79,166.57,167.7,635600,0.0,1.0
2013-01-22,168.11,168.11,163.45,165.32,1007700,0.0,1.0
2013-01-23,161.96,164.48,160.91,164.19,1494100,0.0,1.0
2013-01-24,164.56,165.89,163.792,165.38,738200,0.0,1.0
2013-01-25,164.84,170.32,164.84,170.08,952900,0.0,1.0
2013-01-28,169.98,170.13,168.02,168.83,566600,0.0,1.0
2013-01-29,168.5,168.71,166.71,167.95,603300,0.0,1.0
2013-01-30,167.8,168.1,166.42,167.42,987700,0.0,1.0
2013-01-31,165.4,166.94,163.76,166.48,1413600,0.0,1.0
2013-02-01,165.79,167.2,161.06,161.54,2181600,0.0,1.0
2013-02-04,161.6,164.465,160.71,162.38,1039400,0.0,1.0
2013-02-05,162.86,165.15,162.86,164.91,1487700,0.0,1.0
2013-02-06,175.01,179.9,173.992,174.63,3722100,0.0,1.0
2013-02-07,174.14,178.1,173.16,178.06,1681000,0.0,1.0
2013-02-08,176.74,179.11,176.66,177.56,1457000,0.0,1.0
2013-02-11,177.5,178.45,176.2,177.01,893000,0.0,1.0
2013-02-12,177.36,178.34,176.53,176.79,522200,0.0,1.0
2013-02-13,176.99,177.76,175.32,175.63,557800,0.0,1.0
2013-02-14,175.32,175.41,173.23,174.86,835300,0.0,1.0
2013-02-15,175.82,177.44,175.12,176.07,903900,0.0,1.0
2013-02-19,176.29,177.62,175.56,177.04,633600,0.0,1.0
2013-02-20,176.07,176.98,173.27,173.51,618700,0.0,1.0
2013-02-21,172.49,173.06,170.11,170.62,567100,0.0,1.0
2013-02-22,170.88,172.18,170.36,171.12,614100,0.0,1.0
2013-02-25,171.96,173.78,168.87,168.88,617200,0.0,1.0
2013-02-26,170.08,172.64,168.47,170.12,585200,0.0,1.0
2013-02-27,170.53,173.77,170.38,173.31,483100,0.0,1.0
2013-02-28,173.09,174.79,172.11,173.47,503100,0.0,1.0
2013-03-01,172.55,174.65,171.63,174.17,685200,0.0,1.0
2013-03-04,173.23,174.81,172.76,174.4,670000,0.0,1.0
2013-03-05,175.0,177.21,174.51,177.09,630300,0.0,1.0
2013-03-06,176.43,178.38,176.43,177.42,606400,0.0,1.0
2013-03-07,177.81,178.69,176.78,177.18,603000,0.0,1.0
2013-03-08,178.0,178.0,176.2701,177.46,319600,0.0,1.0
2013-03-11,176.87,177.44,176.29,176.5,451700,0.0,1.0
2013-03-12,175.85,176.58,174.35,174.41,426900,0.0,1.0
2013-03-13,175.07,175.57,172.65,173.03,879100,0.0,1.0
2013-03-14,173.66,174.22,172.6101,173.16,671700,0.0,1.0
2013-03-15,172.32,174.295,171.19,171.3,625100,0.0,1.0
2013-03-18,169.67,171.278,168.87,169.22,700600,0.0,1.0
2013-03-19,169.66,170.26,165.77,167.2,772500,0.0,1.0
2013-03-20,168.55,171.11,167.28,170.51,883200,0.0,1.0
2013-03-21,169.15,170.71,168.23,168.59,644200,0.0,1.0
2013-03-22,169.72,170.49,167.64,168.41,706200,0.0,1.0
2013-03-25,168.86,169.3299,165.9,167.44,751900,0.0,1.0
2013-03-26,167.42,167.9,165.87,167.57,538100,0.4,1.0
2013-03-27,166.97,170.03,165.91,169.71,725700,0.0,1.0
2013-03-28,169.27,169.6,167.91,169.31,558800,0.0,1.0
2013-04-01,169.12,169.6,166.29,166.75,748400,0.0,1.0
2013-04-02,167.02,169.0199,166.9,167.93,559700,0.0,1.0
2013-04-03,168.38,170.47,167.35,168.73,676100,0.0,1.0
2013-04-04,168.7,169.64,168.31,169.62,313100,0.0,1.0
2013-04-05,166.89,169.2,165.33,168.73,481700,0.0,1.0
2013-04-08,168.52,169.87,167.5,169.6,293400,0.0,1.0
2013-04-09,169.65,170.82,168.82,170.08,264600,0.0,1.0
2013-04-10,170.68,173.15,170.23,172.6,280000,0.0,1.0
2013-04-11,172.99,175.94,172.51,174.99,426300,0.0,1.0
2013-04-12,174.22,174.69,172.33,174.02,350500,0.0,1.0
2013-04-15,173.26,174.91,170.76,170.85,602300,0.0,1.0
2013-04-16,172.0,172.3,169.21,171.28,391900,0.0,1.0
2013-04-17,169.81,169.91,167.344,168.57,514100,0.0,1.0
2013-04-18,168.95,169.05,166.34,167.35,381400,0.0,1.0
2013-04-19,168.24,169.96,167.97,169.14,446100,0.0,1.0
2013-04-22,169.01,169.46,165.38,165.93,779600,0.0,1.0
2013-04-23,167.51,171.1197,167.51,170.75,865000,0.0,1.0
2013-04-24,171.07,171.95,169.86,171.44,494000,0.0,1.0
2013-04-25,171.88,176.08,171.88,175.38,501400,0.0,1.0
2013-04-26,174.97,175.71,173.85,175.6,349600,0.0,1.0
2013-04-29,175.72,177.34,174.57,177.0,589100,0.0,1.0
2013-04-30,176.92,181.83,176.5,181.58,1117800,0.0,1.0
2013-05-01,181.31,181.42,178.17,178.57,605300,0.0,1.0
2013-05-02,179.17,179.75,176.64,177.54,544100,0.0,1.0
2013-05-03,178.73,180.85,178.73,179.26,320300,0.0,1.0
2013-05-06,179.29,181.805,178.6,180.92,474300,0.0,1.0
2013-05-07,181.3,185.09,181.3,185.01,613200,0.0,1.0
