date,open,high,low,close,volume,dividend,split
2012-11-01,59.75,59.75,56.11,57.13,6798600,0.0,1.0
2012-11-02,57.49,57.86,56.68,56.87,3649000,0.0,1.0
2012-11-05,57.0,57.95,56.69,57.83,1947600,0.0,1.0
2012-11-06,57.75,57.88,57.1343,57.35,2025200,0.0,1.0
2012-11-07,56.81,57.41,56.19,56.26,1633500,0.0,1.0
2012-11-08,56.09,56.66,55.54,55.67,1777200,0.0,1.0
2012-11-09,55.41,55.71,54.82,55.22,2249200,0.0,1.0
2012-11-12,55.25,55.45,54.95,55.19,1848500,0.0,1.0
2012-11-13,55.13,57.03,55.0501,56.58,3740900,0.0,1.0
2012-11-14,56.79,56.95,55.05,55.135,2297300,0.0,1.0
2012-11-15,53.83,54.65,52.25,54.44,5104700,0.0,1.0
2012-11-16,53.97,54.42,53.4,53.74,3810000,0.0,1.0
2012-11-19,54.11,55.6,54.03,55.55,3378400,0.0,1.0
2012-11-20,55.52,55.82,54.53,55.32,2236400,0.0,1.0
2012-11-21,55.48,55.915,55.3503,55.59,1783900,0.0,1.0
2012-11-23,55.98,56.03,55.49,55.91,1012300,0.0,1.0
2012-11-26,55.91,56.86,55.8,56.84,2980500,0.0,1.0
2012-11-27,57.4,57.67,56.7,57.05,3562400,0.0,1.0
2012-11-28,57.07,57.63,56.52,57.57,2225500,0.0,1.0
2012-11-29,57.55,57.88,57.1772,57.57,2390100,0.0,1.0
2012-11-30,57.62,57.69,56.9172,57.076,5579400,0.0,1.0
2012-12-03,57.41,57.62,56.32,56.37,2495300,0.14,1.0
2012-12-04,56.48,56.74,55.39,55.41,2328600,0.0,1.0
2012-12-05,55.72,55.93,55.04,55.3504,2025500,0.0,1.0
2012-12-06,55.16,55.56,54.84,55.22,2265600,0.0,1.0
2012-12-07,55.38,55.7,55.13,55.49,1879800,0.0,1.0
2012-12-10,55.62,55.96,55.26,55.28,1679600,0.0,1.0
2012-12-11,55.56,55.74,54.58,54.7,1778800,0.0,1.0
2012-12-12,54.77,54.97,53.92,54.41,2149400,0.0,1.0
2012-12-13,54.41,54.8,53.49,53.54,2079200,0.0,1.0
2012-12-14,53.33,53.67,53.14,53.2,1946300,0.0,1.0
2012-12-17,53.29,54.69,53.2199,54.66,2111600,0.0,1.0
2012-12-18,54.86,54.89,54.22,54.41,2467300,0.0,1.0
2012-12-19,54.26,55.54,53.54,53.7949,2560200,0.0,1.0
2012-12-20,54.05,54.2193,52.93,53.26,2397100,0.0,1.0
2012-12-21,52.59,54.19,52.16,53.93,3355300,0.0,1.0
2012-12-24,53.74,53.92,53.25,53.77,745100,0.0,1.0
2012-12-26,53.7,53.89,52.34,52.39,1831100,0.0,1.0
2012-12-27,52.5,53.285,52.01,53.14,2218100,0.0,1.0
2012-12-28,52.91,53.92,52.9,53.21,1406400,0.0,1.0
2012-12-31,52.95,54.24,52.89,54.09,2029500,0.0,1.0
2013-01-02,54.27,54.55,53.04,54.44,3560800,0.0,1.0
2013-01-03,56.73,59.12,56.7,58.78,7174100,0.0,1.0
2013-01-04,58.79,58.82,57.76,57.95,2219400,0.0,1.0
2013-01-07,57.7,57.96,57.24,57.5651,1791800,0.0,1.0
2013-01-08,57.28,57.7,56.78,56.82,2410500,0.0,1.0
2013-01-09,57.88,58.34,56.52,56.9,2609200,0.0,1.0
2013-01-10,56.96,57.41,56.37,57.3,1701300,0.0,1.0
2013-01-11,57.31,57.51,56.48,56.57,1357400,0.0,1.0
2013-01-14,56.56,56.9,56.11,56.25,1337800,0.0,1.0
