date,open,high,low,close,volume,dividend,split
2012-11-01,28.35,28.5182,27.96,28.31,2764500,0.0,1.0
2012-11-02,27.44,27.46,26.3,26.48,6996900,0.0,1.0
2012-11-05,26.42,26.93,26.25,26.85,2448600,0.0,1.0
2012-11-06,26.92,27.18,26.85,27.04,2609500,0.0,1.0
2012-11-07,26.9,27.02,26.81,26.9,3996100,0.0,1.0
2012-11-08,26.83,27.07,26.8,26.84,2899700,0.0,1.0
2012-11-09,26.74,26.9401,26.7,26.75,1898300,0.0,1.0
2012-11-12,26.73,26.8199,26.6001,26.75,2010200,0.0,1.0
2012-11-13,26.66,26.82,26.62,26.73,12808100,0.0,1.0
2012-11-14,26.75,26.78,26.48,26.54,3026800,0.0,1.0
2012-11-15,26.49,26.66,26.4505,26.62,3309800,0.0,1.0
2012-11-16,26.68,27.05,26.6,27.01,3014300,0.0,1.0
2012-11-19,27.2,27.5,27.0209,27.32,4561100,0.0,1.0
2012-11-20,27.32,27.49,27.27,27.48,1505300,0.0,1.0
2012-11-21,27.5,27.65,27.39,27.65,1038100,0.0,1.0
2012-11-23,27.72,27.93,27.6,27.93,422500,0.0,1.0
2012-11-26,27.73,28.12,27.73,28.1,1631300,0.0,1.0
2012-11-27,28.09,28.22,27.805,28.07,1857400,0.0,1.0
2012-11-28,27.99,28.28,27.92,28.25,1526400,0.0,1.0
2012-11-29,28.35,28.36,28.11,28.24,1174000,0.0,1.0
2012-11-30,28.27,28.47,28.07,28.47,3561000,0.0,1.0
2012-12-03,28.54,28.58,28.27,28.41,2106600,0.0,1.0
2012-12-04,28.42,28.69,28.37,28.59,1648900,0.0,1.0
2012-12-05,28.71,29.26,28.67,29.13,2650300,0.0,1.0
2012-12-06,29.16,29.19,28.86,29.11,1725800,0.0,1.0
2012-12-07,29.2,29.2299,28.98,29.1,1865700,0.0,1.0
2012-12-10,29.07,29.13,28.97,29.03,2700500,0.0,1.0
2012-12-11,29.08,29.1,28.8,28.86,2321600,0.0,1.0
2012-12-12,28.96,29.17,28.86,28.91,2213300,0.0,1.0
2012-12-13,28.98,29.21,28.86,29.13,2226900,0.0,1.0
2012-12-14,29.06,29.28,29.04,29.13,1264100,0.0,1.0
2012-12-17,29.13,29.33,29.09,29.28,1536300,0.0,1.0
2012-12-18,29.35,29.745,29.0,29.74,1543200,0.0,1.0
2012-12-19,29.82,29.97,29.64,29.96,1776600,0.0,1.0
2012-12-20,29.91,29.93,29.64,29.92,1476300,0.0,1.0
2012-12-21,29.77,29.88,29.54,29.79,2105300,0.0,1.0
2012-12-24,29.74,29.83,29.46,29.74,392500,0.0,1.0
2012-12-26,29.71,29.79,29.49,29.56,995000,0.0,1.0
2012-12-27,29.57,29.58,29.231,29.51,1073400,0.0,1.0
2012-12-28,29.32,29.32,28.99,29.01,884200,0.235,1.0
2012-12-31,29.0,29.35,28.815,29.33,1137400,0.24,1.0
2013-01-02,29.61,29.75,29.34,29.53,2366000,0.0,1.0
2013-01-03,29.57,29.95,29.51,29.73,1617300,0.0,1.0
2013-01-04,29.82,29.94,29.73,29.86,1417500,0.0,1.0
2013-01-07,29.72,29.83,29.545,29.72,1121500,0.0,1.0
2013-01-08,29.72,29.84,29.66,29.78,1045300,0.0,1.0
2013-01-09,29.8,30.025,29.68,30.0,1362900,0.0,1.0
2013-01-10,30.04,30.22,29.99,30.19,1636600,0.0,1.0
2013-01-11,30.17,30.26,30.14,30.19,992900,0.0,1.0
2013-01-14,30.25,30.41,30.19,30.24,1328500,0.0,1.0
2013-01-15,30.24,30.33,30.08,30.31,900700,0.0,1.0
2013-01-16,30.31,30.33,30.005,30.25,1386800,0.0,1.0
2013-01-17,30.26,30.5,30.22,30.39,1254400,0.0,1.0
2013-01-18,30.4,30.6,30.34,30.6,1124700,0.0,1.0
2013-01-22,30.54,30.89,30.47,30.87,1170000,0.0,1.0
2013-01-23,30.8,30.91,30.65,30.87,1085700,0.0,1.0
2013-01-24,30.91,30.95,30.76,30.8,1618800,0.0,1.0
2013-01-25,30.8,31.14,30.72,31.11,1258200,0.0,1.0
2013-01-28,31.34,32.4,31.34,31.78,4893600,0.0,1.0
2013-01-29,31.78,31.94,31.7,31.82,1375300,0.0,1.0
2013-01-30,31.85,31.89,31.5,31.54,2220900,0.0,1.0
2013-01-31,31.45,31.99,31.345,31.89,2987300,0.0,1.0
