date,open,high,low,close,volume,dividend,split
2012-11-01,78.46,80.39,78.12,79.06,6020600,0.0,1.0
2012-11-02,79.29,79.9,78.03,78.07,4894500,0.0,1.0
2012-11-05,78.0,78.33,77.71,77.9,3515000,0.0,1.0
2012-11-06,78.06,80.26,77.9,79.97,4598100,0.0,1.0
2012-11-07,79.16,79.16,76.91,77.68,5179500,0.0,1.0
2012-11-08,77.44,77.7,76.15,76.16,3399800,0.0,1.0
2012-11-09,76.01,76.6,75.64,75.84,3855100,0.0,1.0
2012-11-12,76.17,77.19,75.76,76.95,3057200,0.0,1.0
2012-11-13,76.38,77.79,76.26,77.0,3731300,0.0,1.0
2012-11-14,76.79,76.798,74.44,74.65,4274400,0.535,1.0
2012-11-15,74.87,75.33,74.55,74.84,3624900,0.0,1.0
2012-11-16,74.97,75.69,74.47,75.25,4284500,0.0,1.0
2012-11-19,76.08,76.73,75.6,76.58,3814900,0.0,1.0
2012-11-20,76.22,76.815,75.92,76.69,2818400,0.0,1.0
2012-11-21,76.81,77.84,76.46,77.33,2911500,0.0,1.0
2012-11-23,77.82,78.66,77.615,78.61,1426300,0.0,1.0
2012-11-26,77.77,78.76,77.77,78.68,2940400,0.0,1.0
2012-11-27,78.44,79.0,77.9,78.83,5260900,0.0,1.0
2012-11-28,78.5,80.0,78.37,79.8,4268800,0.0,1.0
2012-11-29,79.86,80.2,79.11,79.76,4208600,0.0,1.0
2012-11-30,79.96,80.36,79.62,80.11,7833700,0.0,1.0
2012-12-03,80.73,81.35,79.74,79.8,3313400,0.0,1.0
2012-12-04,79.97,80.72,79.55,80.14,3912100,0.0,1.0
2012-12-05,80.34,80.75,79.34,80.23,4158800,0.0,1.0
2012-12-06,80.3,80.9,79.93,80.87,3156700,0.0,1.0
2012-12-07,81.04,81.36,80.28,80.99,3774700,0.0,1.0
2012-12-10,80.99,81.33,80.81,81.01,2841200,0.0,1.0
2012-12-11,81.45,81.66,80.95,81.19,3744900,0.0,1.0
