date,open,high,low,close,volume,dividend,split
2012-11-01,30.92,31.69,30.6025,31.63,893300,0.0,1.0
2012-11-02,31.67,31.84,31.22,31.28,469600,0.0,1.0
2012-11-05,31.0,31.53,30.9,31.48,767800,0.0,1.0
2012-11-06,31.42,31.8,31.29,31.42,612400,0.0,1.0
2012-11-07,31.33,31.55,30.84,31.18,782800,0.0,1.0
2012-11-08,31.23,31.33,30.67,30.67,637300,0.0,1.0
2012-11-09,30.55,30.9,30.361,30.71,575500,0.0,1.0
2012-11-12,30.84,30.84,30.26,30.46,1104200,0.0,1.0
2012-11-13,30.34,30.86,30.1,30.52,718400,0.0,1.0
2012-11-14,30.56,30.66,30.02,30.14,876600,0.0,1.0
2012-11-15,30.1,30.26,29.76,30.06,760600,0.0,1.0
2012-11-16,30.1,30.32,29.79,30.19,641500,0.0,1.0
2012-11-19,30.53,30.68,30.31,30.58,529300,0.0,1.0
2012-11-20,30.51,31.035,30.39,30.9,670800,0.0,1.0
2012-11-21,30.89,31.03,30.68,30.9,440500,0.0,1.0
2012-11-23,31.0,31.5,30.8,31.48,186200,0.0,1.0
2012-11-26,31.36,31.59,30.875,31.19,584300,0.0,1.0
2012-11-27,31.31,31.6,30.86,30.96,642100,0.0,1.0
2012-11-28,30.95,31.3005,30.63,31.18,793700,0.0,1.0
2012-11-29,31.34,31.585,31.1,31.42,760800,0.0,1.0
2012-11-30,31.48,31.72,31.22,31.65,655700,0.0,1.0
2012-12-03,31.8,31.92,31.15,31.41,606400,0.0,1.0
2012-12-04,31.37,31.5,31.04,31.26,646400,0.0,1.0
2012-12-05,31.28,31.47,31.02,31.1,552900,0.0,1.0
2012-12-06,31.03,31.15,30.61,30.89,1260600,0.0,1.0
2012-12-07,31.02,31.04,30.38,30.78,1065100,0.0,1.0
2012-12-10,30.84,31.32,30.7,31.18,1147600,0.0,1.0
2012-12-11,31.39,31.715,31.24,31.64,802900,0.0,1.0
2012-12-12,31.56,31.85,31.36,31.42,417700,0.0,1.0
2012-12-13,31.35,31.45,31.05,31.39,788100,0.0,1.0
2012-12-14,31.37,31.6,31.28,31.43,794200,0.0,1.0
2012-12-17,31.5,31.95,31.3506,31.91,702900,0.0,1.0
2012-12-18,31.89,32.41,31.82,32.29,908500,0.0,1.0
2012-12-19,32.32,32.36,31.79,31.79,602600,0.0,1.0
2012-12-20,31.83,32.05,31.7513,32.05,471600,0.0,1.0
2012-12-21,31.65,31.78,31.36,31.52,927600,0.0,1.0
2012-12-24,31.5,31.69,31.433,31.63,135200,0.0,1.0
2012-12-26,31.64,31.84,31.14,31.35,341800,0.0,1.0
2012-12-27,31.31,31.56,30.96,31.4,607700,0.0,1.0
2012-12-28,31.12,31.29,30.98,31.03,389100,0.0,1.0
2012-12-31,31.03,31.81,30.87,31.74,495000,0.0,1.0
2013-01-02,32.41,32.55,31.84,32.09,1176900,0.0,1.0
2013-01-03,32.01,32.18,31.87,32.0,560200,0.0,1.0
2013-01-04,32.2,33.535,32.2,33.17,2316100,0.0,1.0
2013-01-07,33.08,33.42,32.98,33.07,776900,0.0,1.0
2013-01-08,32.96,33.31,32.82,33.02,828700,0.0,1.0
2013-01-09,33.16,34.56,33.1521,34.36,1624800,0.0,1.0
2013-01-10,34.57,34.92,34.38,34.7,1353900,0.0,1.0
2013-01-11,34.82,34.82,34.39,34.45,1471400,0.0,1.0
2013-01-14,34.33,34.64,34.15,34.21,1105700,0.0,1.0
2013-01-15,34.0,34.23,33.84,34.16,1608800,0.0,1.0
2013-01-16,34.01,34.1,33.805,34.0,840700,0.07,1.0
2013-01-17,34.45,34.8,34.29,34.5,2056600,0.0,1.0
2013-01-18,34.81,35.18,34.44,35.15,1183400,0.0,1.0
