date,open,high,low,close,volume,dividend,split
2012-11-01,45.74,46.74,45.39,46.6197,12541200,0.0,1.0
2012-11-02,50.52,51.94,50.4,50.84,27482700,0.0,1.0
2012-11-05,50.8,51.29,50.7,51.01,10126900,0.0,1.0
2012-11-06,51.09,52.2,50.89,51.7101,8080800,0.0,1.0
2012-11-07,51.24,52.3,51.09,51.8097,9766000,0.0,1.0
2012-11-08,51.64,51.7399,50.83,50.86,7719000,0.0,1.0
2012-11-09,50.94,51.5,50.67,50.96,7178200,0.0,1.0
2012-11-12,50.96,51.36,50.66,50.68,4843900,0.0,1.0
2012-11-13,50.42,51.02,50.05,50.31,4911200,0.21,1.0
2012-11-14,50.0,50.48,48.8,48.84,11012200,0.0,1.0
2012-11-15,49.0,49.07,48.16,48.43,7889000,0.0,1.0
2012-11-16,48.83,49.0,47.85,48.76,9302200,0.0,1.0
2012-11-19,48.97,50.0,48.95,49.74,6333300,0.0,1.0
2012-11-20,49.58,50.33,49.43,50.06,5485800,0.0,1.0
2012-11-21,49.95,50.64,49.91,50.51,4045200,0.0,1.0
2012-11-23,50.55,51.32,50.55,51.19,2474700,0.0,1.0
2012-11-26,50.85,51.03,50.49,50.89,3900500,0.0,1.0
2012-11-27,50.88,51.46,50.13,50.2102,5400300,0.0,1.0
2012-11-28,50.19,51.4,49.895,51.37,5451500,0.0,1.0
2012-11-29,51.78,52.305,51.5,51.8,6414500,0.0,1.0
2012-11-30,51.42,52.01,51.04,51.87,5998700,0.0,1.0
2012-12-03,52.14,52.27,51.5,51.7892,6888000,0.0,1.0
2012-12-04,51.65,51.98,50.94,51.12,6119500,0.0,1.0
2012-12-05,52.0,52.14,49.56,50.79,13820100,0.0,1.0
2012-12-06,51.5,53.85,51.19,53.7,24931000,0.0,1.0
2012-12-07,53.43,54.0,53.14,53.64,10622100,0.0,1.0
2012-12-10,53.52,53.7,52.8,52.96,7422200,0.0,1.0
2012-12-11,53.33,53.5,53.0,53.19,7505700,0.0,1.0
2012-12-12,53.47,54.19,53.15,53.5983,9276500,0.0,1.0
2012-12-13,53.5,54.31,52.95,53.18,7180300,0.0,1.0
2012-12-14,53.2,53.75,53.06,53.36,4828100,0.0,1.0
2012-12-17,53.51,54.67,53.5,54.58,8057400,0.0,1.0
2012-12-18,54.67,54.9,54.275,54.34,7690400,0.0,1.0
2012-12-19,54.4,54.85,54.13,54.27,7118600,0.0,1.0
2012-12-20,54.53,54.608,53.7,54.21,4898900,0.0,1.0
2012-12-21,53.05,53.69,52.59,53.6,11076800,0.0,1.0
2012-12-24,53.37,54.0,53.33,53.69,1702900,0.0,1.0
2012-12-26,53.62,53.79,52.882,53.13,3047100,0.0,1.0
2012-12-27,53.09,53.64,52.71,53.24,4583600,0.0,1.0
2012-12-28,52.98,53.27,52.62,52.64,3395700,0.0,1.0
2012-12-31,52.41,53.67,52.39,53.63,4623500,0.0,1.0
2013-01-02,54.59,55.0,54.26,55.0,6633800,0.0,1.0
2013-01-03,55.07,55.61,55.0,55.37,7335200,0.0,1.0
2013-01-04,55.53,56.0,55.31,55.69,5455700,0.0,1.0
2013-01-07,55.4,55.79,55.01,55.7204,4360000,0.0,1.0
2013-01-08,55.58,55.72,55.071,55.62,4806700,0.0,1.0
2013-01-09,55.89,55.9,54.33,54.63,8339200,0.0,1.0
2013-01-10,54.76,55.17,54.3,54.54,7183800,0.0,1.0
2013-01-11,55.11,55.24,54.44,55.01,6651300,0.0,1.0
2013-01-14,55.09,55.5,54.54,54.67,5798200,0.0,1.0
2013-01-15,54.63,54.785,53.68,54.48,6573900,0.0,1.0
2013-01-16,54.09,54.42,53.96,54.35,4459500,0.0,1.0
2013-01-17,54.79,54.9,54.225,54.5,4506500,0.0,1.0
2013-01-18,54.52,55.03,54.145,54.81,6545800,0.0,1.0
2013-01-22,55.07,55.07,54.5,54.99,5982500,0.0,1.0
2013-01-23,54.88,54.93,54.2,54.46,5450400,0.0,1.0
2013-01-24,54.735,54.9,54.06,54.57,11736800,0.0,1.0
2013-01-25,56.68,57.27,56.37,56.81,15398600,0.0,1.0
2013-01-28,56.84,57.15,55.85,56.02,6612400,0.0,1.0
2013-01-29,55.62,56.01,55.29,55.6,6046300,0.0,1.0
2013-01-30,55.76,56.2,55.381,56.0,6573800,0.0,1.0
2013-01-31,55.88,56.49,55.75,56.12,5291500,0.0,1.0
2013-02-01,56.57,57.1,56.55,56.86,4803100,0.0,1.0
2013-02-04,56.35,56.71,55.91,56.09,3963200,0.0,1.0
2013-02-05,56.24,56.45,55.91,56.2,4075700,0.21,1.0
2013-02-06,55.9,56.29,55.72,56.05,3724500,0.0,1.0
2013-02-07,56.05,56.06,55.15,55.86,4561800,0.0,1.0
2013-02-08,55.84,56.65,55.84,56.37,3573200,0.0,1.0
2013-02-11,56.52,56.52,55.86,56.14,2728700,0.0,1.0
2013-02-12,56.0,56.55,55.95,56.26,4332800,0.0,1.0
2013-02-13,56.46,56.46,55.5,55.83,3511400,0.0,1.0
2013-02-14,55.53,55.81,55.35,55.55,4449700,0.0,1.0
2013-02-15,55.61,55.7,54.17,54.34,9097900,0.0,1.0
2013-02-19,54.36,54.61,54.02,54.45,5880500,0.0,1.0
2013-02-20,54.6,54.84,53.18,53.31,6236500,0.0,1.0
2013-02-21,53.07,53.64,52.52,53.35,6948700,0.0,1.0
2013-02-22,53.7,54.21,53.28,54.17,5743700,0.0,1.0
2013-02-25,54.4,54.71,53.2,53.21,6167000,0.0,1.0
2013-02-26,53.43,53.86,52.85,53.28,5305700,0.0,1.0
2013-02-27,53.25,54.975,53.08,54.57,6028200,0.0,1.0
2013-02-28,54.65,55.17,54.45,54.85,5218200,0.0,1.0
2013-03-01,54.63,54.93,54.0,54.87,4225900,0.0,1.0
2013-03-04,54.77,55.72,54.66,55.7,5097500,0.0,1.0
2013-03-05,56.0,56.8,56.0,56.51,6466000,0.0,1.0
2013-03-06,56.76,57.49,56.65,57.1,7462600,0.0,1.0
2013-03-07,57.1,58.5,57.09,58.25,9118600,0.0,1.0
2013-03-08,58.67,58.97,58.145,58.67,7108900,0.0,1.0
2013-03-11,58.4,58.93,58.33,58.61,4949000,0.0,1.0
2013-03-12,58.45,58.55,57.98,58.28,5835100,0.0,1.0
2013-03-13,58.33,58.8,58.28,58.585,3717700,0.0,1.0
2013-03-14,58.52,58.75,57.41,57.68,7361600,0.0,1.0
2013-03-15,57.36,57.86,57.26,57.66,7551500,0.0,1.0
2013-03-18,57.06,57.42,56.75,56.93,5260600,0.0,1.0
2013-03-19,56.51,56.98,55.96,56.83,6668700,0.0,1.0
2013-03-20,57.22,57.61,57.0,57.43,4811300,0.0,1.0
2013-03-21,57.3,57.42,56.75,57.05,4153700,0.0,1.0
2013-03-22,57.3,57.75,57.16,57.38,4373800,0.0,1.0
2013-03-25,57.53,57.83,56.15,56.69,5290700,0.0,1.0
2013-03-26,56.99,57.16,56.71,57.05,3064300,0.0,1.0
2013-03-27,56.86,56.95,56.21,56.91,3728500,0.0,1.0
2013-03-28,56.93,57.26,56.86,56.95,3810200,0.0,1.0
2013-04-01,57.13,57.34,56.65,56.87,3504900,0.0,1.0
2013-04-02,57.19,58.33,57.15,58.26,6747900,0.0,1.0
2013-04-03,58.4,58.9,57.38,57.7,5636400,0.0,1.0
2013-04-04,57.61,58.31,57.61,58.11,3784300,0.0,1.0
2013-04-05,57.21,57.8764,56.7184,57.8,4496800,0.0,1.0
2013-04-08,57.83,58.12,57.46,58.12,3672000,0.0,1.0
2013-04-09,57.96,58.0,57.18,57.41,4180600,0.0,1.0
2013-04-10,57.64,58.31,57.609,57.8,4288700,0.0,1.0
2013-04-11,57.95,58.99,57.8,58.575,5208500,0.0,1.0
2013-04-12,58.71,59.71,58.6,59.09,5209200,0.0,1.0
2013-04-15,58.66,59.44,57.6,57.71,5350200,0.0,1.0
2013-04-16,57.94,58.94,57.72,58.56,4424700,0.0,1.0
2013-04-17,58.03,58.55,57.65,58.17,3603700,0.0,1.0
2013-04-18,58.36,58.48,57.5,57.72,4460300,0.0,1.0
2013-04-19,57.58,58.58,57.54,58.405,4302800,0.0,1.0
2013-04-22,58.42,58.87,57.98,58.64,2773700,0.0,1.0
2013-04-23,58.84,59.9,58.7799,59.39,5662000,0.0,1.0
2013-04-24,59.69,59.97,59.13,59.83,5206700,0.0,1.0
