date,open,high,low,close,volume,dividend,split
2012-11-01,13.58,13.65,13.495,13.64,9765600,0.0,1.0
2012-11-02,13.77,13.81,13.65,13.74,13064100,0.0,1.0
2012-11-05,13.72,14.0,13.64,13.89,14230100,0.0,1.0
2012-11-06,13.92,13.9925,13.85,13.89,7789000,0.0,1.0
2012-11-07,13.69,13.71,13.11,13.32,23243400,0.06,1.0
2012-11-08,13.3,13.43,13.19,13.2,16768000,0.0,1.0
2012-11-09,13.17,13.33,13.04,13.06,10920800,0.0,1.0
2012-11-12,13.065,13.11,12.88,12.95,12690600,0.0,1.0
2012-11-13,12.9,13.0,12.68,12.68,14582500,0.0,1.0
2012-11-14,12.73,12.89,12.47,12.5,15862600,0.0,1.0
2012-11-15,12.54,12.78,12.47,12.73,16890400,0.0,1.0
2012-11-16,12.7,12.8,12.54,12.78,12144900,0.0,1.0
2012-11-19,12.93,12.98,12.74,12.89,8934200,0.0,1.0
2012-11-20,12.86,12.98,12.76,12.97,6944300,0.0,1.0
2012-11-21,12.98,13.06,12.82,13.06,4202400,0.0,1.0
2012-11-23,13.07,13.24,13.07,13.23,2162000,0.0,1.0
2012-11-26,13.13,13.23,13.065,13.15,8217300,0.0,1.0
2012-11-27,13.16,13.16,12.96,13.03,12364200,0.0,1.0
2012-11-28,12.97,13.175,12.92,13.14,12238200,0.0,1.0
2012-11-29,13.16,13.27,13.03,13.09,8294700,0.0,1.0
2012-11-30,13.09,13.17,13.03,13.1,7429800,0.0,1.0
2012-12-03,13.12,13.23,12.96,12.99,9524100,0.0,1.0
2012-12-04,13.0,13.07,12.82,12.88,9360700,0.0,1.0
2012-12-05,12.92,13.05,12.87,12.93,11681100,0.0,1.0
2012-12-06,13.0,13.07,12.88,13.06,5773300,0.0,1.0
2012-12-07,13.1,13.42,13.0804,13.415,7642400,0.0,1.0
2012-12-10,13.37,13.46,13.14,13.37,7528000,0.0,1.0
2012-12-11,13.45,13.71,13.44,13.67,9028200,0.0,1.0
2012-12-12,13.71,13.83,13.62,13.67,10462900,0.0,1.0
2012-12-13,13.68,13.82,13.63,13.75,8083100,0.0,1.0
2012-12-14,13.58,13.74,13.43,13.7,10440000,0.0,1.0
2012-12-17,13.76,13.89,13.65,13.865,8355000,0.0,1.0
2012-12-18,13.88,14.23,13.78,14.21,8818300,0.0,1.0
2012-12-19,14.26,14.66,14.2,14.47,20338700,0.0,1.0
