date,open,high,low,close,volume,dividend,split
2012-11-01,16.27,16.8,16.19,16.68,2854500,0.0,1.0
2012-11-02,16.7,16.81,16.01,16.67,5245700,0.0,1.0
2012-11-05,16.68,17.06,16.68,16.85,2577200,0.0,1.0
2012-11-06,16.91,16.99,16.79,16.85,4163000,0.0,1.0
2012-11-07,16.7,16.85,16.5,16.64,4138600,0.0,1.0
2012-11-08,16.58,16.88,16.55,16.57,2905600,0.0,1.0
2012-11-09,16.49,16.81,16.4,16.68,2864800,0.0,1.0
2012-11-12,16.75,16.87,16.57,16.77,1714200,0.0,1.0
2012-11-13,16.62,17.44,16.59,17.2,4324200,0.0,1.0
2012-11-14,16.99,17.18,16.59,16.63,11777800,0.0,1.0
2012-11-15,16.66,16.77,16.425,16.49,3042700,0.0,1.0
2012-11-16,16.46,16.47,16.075,16.39,2338900,0.0,1.0
2012-11-19,16.65,16.81,16.59,16.75,3107200,0.0,1.0
2012-11-20,16.69,16.94,16.67,16.74,2245800,0.0,1.0
2012-11-21,16.75,16.91,16.72,16.79,2145600,0.0,1.0
2012-11-23,16.89,17.16,16.84,17.16,977000,0.0,1.0
2012-11-26,17.11,17.305,17.005,17.18,2908400,0.0,1.0
2012-11-27,17.1,17.17,16.88,16.91,2426900,0.0,1.0
2012-11-28,16.93,17.02,16.705,16.94,2533000,0.13,1.0
2012-11-29,17.02,17.0375,16.7,16.8,2011500,0.0,1.0
2012-11-30,16.8,16.9,16.74,16.82,2634500,0.0,1.0
2012-12-03,16.89,16.9,16.5,16.54,2663400,0.0,1.0
2012-12-04,16.52,16.635,16.355,16.45,2338300,0.0,1.0
2012-12-05,16.41,16.59,16.38,16.44,2391800,0.0,1.0
2012-12-06,16.49,16.76,16.49,16.7,1780700,0.0,1.0
2012-12-07,16.75,16.88,16.41,16.51,3340400,0.0,1.0
2012-12-10,16.52,16.725,16.5001,16.57,3530900,0.0,1.0
2012-12-11,16.62,16.77,16.48,16.49,13339200,0.0,1.0
