date,open,high,low,close,volume,dividend,split
2012-11-01,142.99,144.41,141.76,143.59,922800,0.0,1.0
2012-11-02,144.0,144.88,141.92,142.0,749400,0.0,1.0
2012-11-05,141.51,144.14,140.65,144.0,795400,0.0,1.0
2012-11-06,144.4,144.78,142.84,143.32,704400,0.0,1.0
2012-11-07,142.65,144.75,140.94,143.87,1211200,0.0,1.0
2012-11-08,143.56,144.03,141.92,141.97,672200,0.0,1.0
2012-11-09,141.73,142.7899,140.12,140.84,697500,0.0,1.0
2012-11-12,144.78,151.76,143.6,149.06,3098300,0.0,1.0
2012-11-13,149.53,154.356,148.1,152.05,2174600,0.0,1.0
2012-11-14,151.52,151.83,148.99,149.51,1005100,0.39,1.0
2012-11-15,149.28,151.08,147.21,148.91,1190600,0.0,1.0
2012-11-16,148.62,153.24,147.7,151.57,1996600,0.0,1.0
2012-11-19,152.34,157.08,152.14,157.01,1301300,0.0,1.0
2012-11-20,156.41,158.64,156.0,157.97,899500,0.0,1.0
2012-11-21,158.25,159.7999,156.97,157.44,770800,0.0,1.0
2012-11-23,158.16,159.0,157.34,158.59,381200,0.0,1.0
2012-11-26,158.6,159.0,157.34,157.99,1018300,0.0,1.0
2012-11-27,157.59,158.51,157.1,157.15,857000,0.0,1.0
2012-11-28,155.32,157.03,153.34,156.55,1304000,0.0,1.0
2012-11-29,157.14,157.14,153.48,153.68,1639100,0.0,1.0
2012-11-30,153.62,155.42,152.52,152.52,2687800,0.0,1.0
2012-12-03,152.79,154.22,150.53,152.21,1104500,0.0,1.0
2012-12-04,152.68,153.728,151.02,151.15,871100,0.0,1.0
2012-12-05,151.27,151.6199,148.2903,149.91,984400,0.0,1.0
2012-12-06,150.01,151.46,148.46,151.22,933800,0.0,1.0
2012-12-07,151.65,151.85,147.34,148.94,1108600,0.0,1.0
2012-12-10,148.21,150.51,147.95,149.78,693600,0.0,1.0
2012-12-11,149.99,150.99,149.49,149.88,753400,0.0,1.0
2012-12-12,150.04,150.475,147.38,147.87,896000,0.0,1.0
2012-12-13,147.63,149.67,146.49,147.27,897000,0.0,1.0
2012-12-14,147.03,148.64,146.99,148.23,881200,0.0,1.0
2012-12-17,149.57,153.51,148.5,153.43,1272900,0.0,1.0
2012-12-18,154.08,154.18,151.03,152.23,1118200,0.0,1.0
2012-12-19,152.65,152.65,149.88,149.93,1164800,0.0,1.0
2012-12-20,150.3,152.44,148.87,152.42,1103600,0.0,1.0
2012-12-21,149.95,152.47,149.95,151.53,1148300,0.0,1.0
2012-12-24,151.24,153.23,150.847,152.67,353700,0.0,1.0
2012-12-26,152.66,153.54,151.632,152.6,584600,0.0,1.0
2012-12-27,152.99,153.19,150.33,152.73,611700,0.0,1.0
2012-12-28,151.61,152.76,150.85,151.04,576700,0.0,1.0
2012-12-31,150.38,154.6,150.317,153.82,841800,0.0,1.0
2013-01-02,155.99,157.4,154.74,156.68,1731800,0.0,1.0
2013-01-03,156.67,158.47,154.8,155.14,946000,0.0,1.0
2013-01-04,156.24,161.74,156.24,158.8,1109300,0.0,1.0
2013-01-07,158.24,158.63,157.17,158.49,718900,0.0,1.0
2013-01-08,158.59,160.96,158.23,160.96,1153700,0.0,1.0
2013-01-09,161.28,163.14,159.87,162.17,1105300,0.0,1.0
2013-01-10,162.5,162.58,160.347,162.36,980100,0.0,1.0
2013-01-11,161.33,161.43,160.31,161.28,872100,0.0,1.0
2013-01-14,161.46,162.34,160.79,161.18,584900,0.0,1.0
2013-01-15,160.93,161.32,160.3,161.02,458100,0.0,1.0
2013-01-16,160.7,161.87,160.57,161.44,528100,0.0,1.0
2013-01-17,162.17,163.09,161.97,162.84,522000,0.0,1.0
2013-01-18,163.24,164.23,161.784,164.02,950500,0.0,1.0
2013-01-22,164.26,164.47,162.92,163.7,843800,0.0,1.0
2013-01-23,163.39,164.85,163.39,164.81,723700,0.0,1.0
2013-01-24,165.0,167.24,164.82,165.79,916200,0.0,1.0
2013-01-25,166.38,166.85,165.1,165.51,785200,0.0,1.0
2013-01-28,165.18,165.61,163.26,164.09,727800,0.0,1.0
2013-01-29,163.81,164.3,162.26,163.16,773700,0.0,1.0
2013-01-30,163.59,164.6,161.55,162.31,1212300,0.0,1.0
2013-01-31,160.25,164.74,159.81,162.14,1840000,0.0,1.0
2013-02-01,162.7,164.7,162.25,163.84,842700,0.0,1.0
2013-02-04,162.75,164.16,162.5,163.24,963600,0.0,1.0
2013-02-05,163.83,164.19,161.761,163.16,733200,0.0,1.0
2013-02-06,163.0,163.75,161.64,163.01,710800,0.0,1.0
2013-02-07,162.77,163.37,160.75,162.89,538900,0.0,1.0
2013-02-08,163.14,164.0,162.68,163.77,379700,0.0,1.0
2013-02-11,163.44,164.69,162.65,164.5,559600,0.0,1.0
2013-02-12,162.9,165.0,162.26,164.67,701800,0.0,1.0
2013-02-13,165.0,165.7,164.57,165.45,452300,0.0,1.0
2013-02-14,165.17,165.49,163.1425,163.67,694400,0.0,1.0
2013-02-15,164.33,167.27,164.33,166.7,999600,0.0,1.0
2013-02-19,166.2,166.5,162.21,164.1,873800,0.0,1.0
2013-02-20,164.1,164.1,159.23,159.33,926400,0.0,1.0
2013-02-21,158.5,158.77,154.67,155.91,1239400,0.5,1.0
2013-02-22,157.0,157.98,154.8,157.85,1069400,0.0,1.0
2013-02-25,158.49,159.42,154.27,154.34,985000,0.0,1.0
2013-02-26,154.37,156.65,153.94,155.94,981300,0.0,1.0
2013-02-27,156.27,161.82,156.1,161.23,1104200,0.0,1.0
2013-02-28,161.23,163.46,161.1,161.59,1449500,0.0,1.0
2013-03-01,160.49,163.73,159.734,162.48,934600,0.0,1.0
2013-03-04,161.95,165.38,161.81,165.38,826200,0.0,1.0
2013-03-05,166.25,167.5,164.41,164.86,759800,0.0,1.0
2013-03-06,165.69,166.34,163.01,163.77,705800,0.0,1.0
2013-03-07,164.14,165.49,163.92,164.84,508500,0.0,1.0
2013-03-08,165.53,166.37,163.92,165.88,458100,0.0,1.0
2013-03-11,166.16,167.89,166.005,167.73,537000,0.0,1.0
2013-03-12,168.16,169.0,166.95,167.63,691700,0.0,1.0
2013-03-13,167.04,170.16,166.97,169.1,773400,0.0,1.0
2013-03-14,169.55,171.25,168.66,169.07,814300,0.0,1.0
2013-03-15,168.61,170.09,168.38,168.68,1172900,0.0,1.0
2013-03-18,167.97,170.55,166.75,169.89,546400,0.0,1.0
2013-03-19,170.13,170.83,168.15,169.48,439000,0.0,1.0
2013-03-20,170.03,172.405,169.86,172.12,468900,0.0,1.0
2013-03-21,171.13,171.99,168.87,168.91,623800,0.0,1.0
2013-03-22,169.26,170.71,167.87,168.17,506400,0.0,1.0
2013-03-25,169.04,170.15,167.34,168.21,455500,0.0,1.0
2013-03-26,169.72,170.08,168.432,169.41,555800,0.0,1.0
2013-03-27,168.5,169.46,167.63,169.28,433100,0.0,1.0
2013-03-28,169.2,170.0,168.03,168.89,547100,0.0,1.0
2013-04-01,168.37,169.49,167.02,167.57,626900,0.0,1.0
2013-04-02,168.53,168.53,166.93,167.91,448900,0.0,1.0
2013-04-03,168.27,168.48,162.22,164.95,902100,0.0,1.0
2013-04-04,165.34,166.45,164.2,165.62,530600,0.0,1.0
2013-04-05,163.49,165.88,162.64,165.82,573200,0.0,1.0
2013-04-08,165.62,166.455,164.05,165.83,519000,0.0,1.0
2013-04-09,166.26,166.66,164.39,166.34,480000,0.0,1.0
2013-04-10,166.46,168.44,165.72,168.27,498000,0.0,1.0
2013-04-11,168.17,171.64,167.635,171.02,751700,0.0,1.0
2013-04-12,170.26,171.8,169.46,170.74,619000,0.0,1.0
2013-04-15,172.61,174.87,168.37,168.61,1259700,0.0,1.0
2013-04-16,169.75,175.46,169.75,174.53,1574000,0.0,1.0
2013-04-17,173.8,174.84,170.48,170.89,1632200,0.0,1.0
2013-04-18,169.99,177.01,168.61,174.88,1886200,0.0,1.0
2013-04-19,175.0,179.81,174.58,179.04,1541000,0.0,1.0
2013-04-22,177.93,181.27,176.75,180.69,710300,0.0,1.0
2013-04-23,181.1,182.34,179.827,181.45,1070700,0.0,1.0
2013-04-24,181.8,182.61,180.61,181.03,501600,0.0,1.0
2013-04-25,182.1,184.78,181.7,184.23,894100,0.0,1.0
2013-04-26,184.28,184.55,181.23,183.22,674300,0.0,1.0
2013-04-29,183.37,183.57,181.88,182.71,520300,0.0,1.0
2013-04-30,182.23,183.13,180.84,183.11,575500,0.0,1.0
2013-05-01,182.5,183.21,180.98,181.1,498400,0.0,1.0
