date,open,high,low,close,volume,dividend,split
2012-11-01,85.68,85.845,85.04,85.41,467500,0.0,1.0
2012-11-02,85.93,86.06,84.89,85.06,542500,0.0,1.0
2012-11-05,84.72,85.08,84.47,84.86,389100,0.0,1.0
2012-11-06,85.23,86.14,84.96,85.77,410900,0.0,1.0
2012-11-07,85.63,85.69,84.276,84.59,447000,0.0,1.0
2012-11-08,84.35,84.95,83.82,83.82,495100,0.0,1.0
2012-11-09,83.56,84.76,83.12,84.33,366100,0.0,1.0
2012-11-12,84.32,85.46,84.0401,85.36,456400,0.0,1.0
2012-11-13,84.79,87.44,84.78,87.05,1014500,0.0,1.0
2012-11-14,86.67,87.09,85.43,85.7,1064000,0.52,1.0
2012-11-15,85.46,85.76,84.15,85.38,606800,0.0,1.0
2012-11-16,83.87,84.06,81.6,83.86,1498300,0.0,1.0
2012-11-19,84.2,85.65,84.0,84.49,965800,0.0,1.0
2012-11-20,84.64,85.37,84.29,84.67,904500,0.0,1.0
2012-11-21,84.57,85.18,84.47,84.57,358100,0.0,1.0
2012-11-23,85.17,86.1,84.96,86.05,279500,0.0,1.0
2012-11-26,85.87,86.54,85.62,86.03,451200,0.0,1.0
2012-11-27,86.45,86.79,85.85,86.13,694700,0.0,1.0
2012-11-28,85.93,87.18,85.87,87.16,628700,0.0,1.0
2012-11-29,87.41,87.9499,86.84,87.62,369100,0.0,1.0
2012-11-30,87.77,88.46,87.48,88.46,581400,0.0,1.0
2012-12-03,88.18,89.39,87.14,88.73,778500,0.0,1.0
2012-12-04,88.91,89.3,88.12,88.92,595700,0.0,1.0
2012-12-05,89.08,89.08,87.845,88.29,604100,0.0,1.0
2012-12-06,88.3,88.4,87.54,87.96,510000,0.0,1.0
2012-12-07,88.25,88.73,87.48,87.8,464500,0.0,1.0
2012-12-10,87.7,87.98,87.26,87.78,607100,0.0,1.0
2012-12-11,88.01,88.1,87.53,87.73,676300,0.0,1.0
2012-12-12,88.01,88.31,87.57,87.83,727700,0.0,1.0
2012-12-13,87.81,88.085,86.81,87.34,440300,0.0,1.0
2012-12-14,87.29,87.7,86.81,86.96,531800,0.0,1.0
2012-12-17,87.36,87.61,86.56,87.52,541700,0.0,1.0
2012-12-18,87.84,87.92,86.78,87.35,285200,0.0,1.0
2012-12-19,87.27,87.61,85.93,85.96,605000,0.0,1.0
2012-12-20,86.07,87.09,85.87,86.93,444600,0.0,1.0
2012-12-21,86.59,87.33,85.66,86.61,679000,0.0,1.0
2012-12-24,86.27,86.72,85.94,86.33,150700,0.0,1.0
2012-12-26,86.32,86.48,85.03,85.29,319600,0.0,1.0
2012-12-27,85.29,85.62,84.85,85.53,395300,0.0,1.0
2012-12-28,85.29,85.81,85.21,85.25,388100,0.0,1.0
2012-12-31,85.13,86.26,84.57,86.24,306200,0.0,1.0
2013-01-02,86.4769,89.67,86.4769,89.66,815900,0.0,1.0
2013-01-03,89.65,89.65,88.894,89.18,488900,0.0,1.0
2013-01-04,89.23,90.24,89.23,90.2,512300,0.0,1.0
2013-01-07,89.83,90.12,89.26,89.89,517300,0.0,1.0
2013-01-08,90.23,90.23,88.97,89.09,669300,0.0,1.0
2013-01-09,89.69,90.04,89.25,89.59,758200,0.0,1.0
2013-01-10,89.9,90.0,89.57,89.84,742100,0.0,1.0
2013-01-11,89.17,89.47,87.97,88.22,736300,0.0,1.0
2013-01-14,88.22,88.83,88.05,88.3,714100,0.0,1.0
2013-01-15,88.31,88.85,88.21,88.36,579600,0.0,1.0
2013-01-16,88.34,88.66,88.28,88.59,471000,0.0,1.0
2013-01-17,88.82,89.81,88.72,89.59,275500,0.0,1.0
2013-01-18,89.75,89.9,88.95,89.56,391900,0.0,1.0
2013-01-22,89.53,89.88,88.91,89.88,433100,0.0,1.0
2013-01-23,89.91,90.1875,89.46,89.76,360600,0.0,1.0
2013-01-24,89.81,90.31,89.71,90.14,644400,0.0,1.0
2013-01-25,90.18,90.3,89.08,89.26,611100,0.0,1.0
2013-01-28,89.58,90.11,88.21,88.8,543500,0.0,1.0
2013-01-29,88.64,88.96,88.278,88.65,616200,0.0,1.0
2013-01-30,88.65,89.17,88.6,88.88,602700,0.0,1.0
2013-01-31,88.87,89.01,88.63,88.63,744000,0.0,1.0
2013-02-01,89.19,90.4,89.075,89.79,496300,0.0,1.0
2013-02-04,89.8999,89.98,88.73,88.86,372600,0.0,1.0
2013-02-05,89.35,89.735,89.11,89.48,277400,0.0,1.0
2013-02-06,89.12,89.41,88.61,89.09,725000,0.0,1.0
2013-02-07,88.95,89.66,88.38,88.9,597500,0.0,1.0
2013-02-08,89.04,89.48,88.91,89.16,555000,0.0,1.0
2013-02-11,89.09,89.48,88.45,88.75,839300,0.0,1.0
2013-02-12,89.92,91.0,89.395,90.92,1241300,0.0,1.0
2013-02-13,90.83,90.83,89.84,90.33,726600,0.52,1.0
2013-02-14,90.81,92.66,90.57,92.16,1623000,0.0,1.0
2013-02-15,92.22,94.99,91.86,92.4,1560000,0.0,1.0
2013-02-19,92.53,93.4,91.47,91.75,1163000,0.0,1.0
2013-02-20,91.77,92.41,91.62,91.7,1512800,0.0,1.0
