date,open,high,low,close,volume,dividend,split
2012-11-01,69.77,70.25,68.6,70.15,6532500,0.0,1.0
2012-11-02,70.6,70.85,68.59,68.77,6240100,0.0,1.0
2012-11-05,68.65,70.18,68.63,69.95,5648200,0.0,1.0
2012-11-06,70.26,71.359,70.0255,71.15,6442400,0.0,1.0
2012-11-07,69.98,70.5615,69.32,70.13,7556900,0.0,1.0
2012-11-08,69.95,70.29,67.7,67.77,10199900,0.0,1.0
2012-11-09,67.5,69.46,67.32,68.37,6409800,0.0,1.0
2012-11-12,68.47,69.46,68.1,68.48,2780300,0.0,1.0
2012-11-13,67.71,70.0,67.5,69.07,7922200,0.0,1.0
2012-11-14,69.34,69.47,67.62,67.83,8248100,0.0,1.0
2012-11-15,67.8,69.45,67.69,69.16,7414700,0.0,1.0
2012-11-16,69.33,69.34,66.85,68.22,10051900,0.0,1.0
2012-11-19,68.95,70.7,68.84,70.69,6742500,0.0,1.0
2012-11-20,70.43,70.64,69.64,70.02,5425600,0.0,1.0
2012-11-21,70.33,70.5,69.73,70.21,3021400,0.0,1.0
2012-11-23,70.76,71.21,70.29,71.18,1730800,0.0,1.0
2012-11-26,70.21,70.57,69.93,70.43,3490100,0.0,1.0
2012-11-27,70.1,70.37,69.55,69.87,6397500,0.0,1.0
2012-11-28,69.47,70.8,68.91,70.73,6187500,0.0,1.0
2012-11-29,70.96,71.35,70.39,70.6,4465700,0.275,1.0
2012-11-30,70.54,71.89,70.4201,71.62,6505500,0.0,1.0
2012-12-03,72.0,72.489,70.87,71.02,6352300,0.0,1.0
2012-12-04,70.92,71.9745,70.74,71.22,4302000,0.0,1.0
2012-12-05,71.47,72.11,71.17,71.32,5416700,0.0,1.0
2012-12-06,71.11,71.61,70.71,71.5,4154300,0.0,1.0
2012-12-07,71.8,72.0,71.28,71.83,4348500,0.0,1.0
2012-12-10,71.72,72.3,71.55,72.0,3963500,0.0,1.0
2012-12-11,72.35,72.8,71.98,72.6,7017700,0.0,1.0
2012-12-12,73.13,73.51,72.49,72.79,9634100,0.0,1.0
2012-12-13,72.04,72.99,72.04,72.56,7116600,0.0,1.0
2012-12-14,69.9,70.0,67.6,68.91,27755400,0.0,1.0
2012-12-17,69.23,69.92,69.02,69.68,7851600,0.0,1.0
2012-12-18,69.46,71.78,69.3,71.35,8909600,0.0,1.0
2012-12-19,71.74,72.0,70.61,70.66,5797500,0.0,1.0
2012-12-20,70.14,71.53,70.0,71.1,5973900,0.0,1.0
2012-12-21,70.22,70.55,68.92,69.69,12506400,0.0,1.0
2012-12-24,69.55,69.89,68.95,69.28,2272100,0.0,1.0
2012-12-26,69.74,69.89,68.92,69.1,3373000,0.0,1.0
