date,open,high,low,close,volume,dividend,split
2012-11-01,76.79,79.54,76.79,79.17,325700,0.0,1.0
2012-11-02,79.58,79.58,78.54,78.75,301800,0.0,1.0
2012-11-05,78.37,79.59,78.37,79.41,137800,0.0,1.0
2012-11-06,79.36,80.4498,78.82,79.86,244800,0.0,1.0
2012-11-07,79.11,79.36,76.985,77.5,250800,0.0,1.0
2012-11-08,77.39,77.91,77.04,77.04,212800,0.0,1.0
2012-11-09,76.84,77.719,76.53,77.17,164200,0.0,1.0
2012-11-12,77.38,77.84,77.0,77.19,222000,0.0,1.0
2012-11-13,76.77,77.64,76.42,76.5,392400,0.0,1.0
2012-11-14,76.95,77.085,74.45,74.45,714700,0.0,1.0
2012-11-15,74.4,75.042,74.0,74.15,487900,0.38,1.0
2012-11-16,74.1,74.89,73.99,74.76,296300,0.0,1.0
2012-11-19,75.54,76.82,75.5,76.8,350400,0.0,1.0
2012-11-20,76.82,77.79,76.4175,77.76,469800,0.0,1.0
2012-11-21,77.8,78.41,77.225,77.7,233500,0.0,1.0
2012-11-23,77.87,78.0,77.22,77.83,123100,0.0,1.0
2012-11-26,77.6,78.39,77.28,78.21,233100,0.0,1.0
2012-11-27,78.11,78.59,77.63,77.69,128000,0.0,1.0
2012-11-28,77.38,78.61,77.01,78.56,341800,0.0,1.0
2012-11-29,78.91,80.06,78.78,80.03,226400,0.0,1.0
2012-11-30,80.14,80.2,78.98,79.44,277600,0.0,1.0
2012-12-03,80.0,80.28,78.78,78.94,144600,0.0,1.0
2012-12-04,78.85,79.45,78.22,78.65,147300,0.0,1.0
2012-12-05,78.76,78.76,77.05,78.34,290600,0.0,1.0
2012-12-06,78.27,79.15,77.79,78.53,190300,0.0,1.0
2012-12-07,78.61,78.91,77.75,78.06,259600,0.0,1.0
2012-12-10,78.09,79.81,77.7,79.72,310200,0.0,1.0
2012-12-11,80.05,80.05,78.74,79.31,306700,0.0,1.0
2012-12-12,79.71,80.11,79.22,80.0,328100,0.0,1.0
2012-12-13,79.88,80.12,78.82,79.0,131300,0.0,1.0
2012-12-14,79.03,79.11,77.7832,77.89,246600,0.0,1.0
2012-12-17,78.19,79.18,78.02,79.11,164600,0.0,1.0
2012-12-18,79.21,79.81,78.71,79.79,187700,0.0,1.0
2012-12-19,80.15,80.15,78.84,78.87,276000,0.0,1.0
2012-12-20,78.99,79.13,78.47,79.13,291200,0.0,1.0
2012-12-21,78.58,79.15,78.12,78.22,566400,0.0,1.0
2012-12-24,78.55,79.04,78.05,78.61,90400,0.0,1.0
2012-12-26,78.86,78.86,77.78,77.96,120900,0.0,1.0
2012-12-27,77.85,78.28,77.21,78.14,149700,0.0,1.0
2012-12-28,77.63,78.34,77.26,77.34,129300,0.0,1.0
2012-12-31,76.99,79.29,76.92,78.99,270500,0.0,1.0
2013-01-02,80.72,81.85,79.88,80.86,458500,0.0,1.0
2013-01-03,80.9,81.21,80.22,80.58,407400,0.0,1.0
2013-01-04,80.98,81.08,79.42,79.97,395000,0.0,1.0
2013-01-07,79.77,80.03,79.63,79.65,285000,0.0,1.0
2013-01-08,79.49,79.66,78.62,79.2,342600,0.0,1.0
2013-01-09,79.26,80.31,79.09,79.67,242700,0.0,1.0
2013-01-10,80.12,80.288,79.21,79.5,177100,0.0,1.0
2013-01-11,79.44,79.81,79.3,79.6,157800,0.0,1.0
2013-01-14,79.31,79.925,79.31,79.72,181600,0.0,1.0
2013-01-15,79.41,80.4068,79.41,80.35,161200,0.0,1.0
2013-01-16,80.03,80.47,79.76,80.33,104500,0.0,1.0
2013-01-17,80.67,81.314,80.63,80.89,275700,0.0,1.0
2013-01-18,81.13,81.37,80.75,81.04,200100,0.0,1.0
2013-01-22,80.85,81.31,80.48,81.31,162100,0.0,1.0
2013-01-23,81.0,81.26,80.37,81.22,160100,0.0,1.0
2013-01-24,81.37,82.0928,81.05,81.6,202600,0.0,1.0
2013-01-25,81.6,81.95,80.7902,81.72,173000,0.0,1.0
2013-01-28,81.66,81.7,80.53,80.89,182200,0.0,1.0
2013-01-29,80.82,82.5599,80.5401,82.51,232700,0.0,1.0
2013-01-30,82.48,82.48,81.59,81.63,211800,0.0,1.0
2013-01-31,81.43,81.64,80.74,81.02,261400,0.0,1.0
2013-02-01,81.82,82.54,81.38,82.08,274100,0.0,1.0
2013-02-04,81.71,81.71,80.64,80.88,300500,0.0,1.0
