date,open,high,low,close,volume,dividend,split
2012-11-01,46.7,46.7,45.99,46.02,5159800,0.49,1.0
2012-11-02,46.27,46.4,45.76,45.77,8239800,0.0,1.0
2012-11-05,45.52,45.52,44.51,44.62,5788600,0.0,1.0
2012-11-06,44.62,44.79,44.01,44.14,6185000,0.0,1.0
2012-11-07,44.0,44.08,42.7,42.8,7283900,0.0,1.0
2012-11-08,43.19,43.85,43.02,43.26,7306600,0.0,1.0
2012-11-09,43.1,43.34,42.82,43.03,4430900,0.0,1.0
2012-11-12,43.02,43.07,42.48,42.58,2918400,0.0,1.0
2012-11-13,42.45,43.035,42.41,42.95,5488700,0.0,1.0
2012-11-14,42.99,43.02,42.57,42.88,5157400,0.0,1.0
2012-11-15,42.87,43.27,42.28,42.54,6475900,0.0,1.0
2012-11-16,42.52,42.76,42.25,42.69,6760400,0.0,1.0
2012-11-19,42.87,42.9,42.41,42.77,5212800,0.0,1.0
2012-11-20,42.66,42.72,42.04,42.43,7856700,0.0,1.0
2012-11-21,42.45,42.66,41.78,42.28,5465200,0.0,1.0
2012-11-23,42.27,42.37,41.75,42.03,2863500,0.0,1.0
2012-11-26,41.88,42.74,41.85,42.63,5116400,0.0,1.0
2012-11-27,42.61,42.9,42.54,42.79,4185400,0.0,1.0
2012-11-28,42.7,42.83,42.33,42.76,4596000,0.0,1.0
2012-11-29,42.76,43.31,42.49,43.29,5465200,0.0,1.0
2012-11-30,43.2,43.56,43.01,43.55,6124200,0.0,1.0
2012-12-03,43.57,43.6,42.99,43.17,3674100,0.0,1.0
2012-12-04,43.18,43.25,42.84,42.9,3099300,0.0,1.0
2012-12-05,42.93,43.73,42.81,43.46,4884300,0.0,1.0
2012-12-06,43.95,44.0,43.54,43.73,5398400,0.0,1.0
2012-12-07,43.74,43.95,43.4319,43.73,3858700,0.0,1.0
2012-12-10,43.73,43.86,43.52,43.68,3400900,0.0,1.0
2012-12-11,43.68,43.84,43.46,43.6,3966700,0.0,1.0
2012-12-12,43.58,43.78,43.3,43.38,4996900,0.0,1.0
2012-12-13,43.33,43.38,43.01,43.15,3571400,0.0,1.0
2012-12-14,43.02,43.1393,42.74,42.95,6417300,0.0,1.0
2012-12-17,42.93,43.77,42.93,43.74,4587000,0.0,1.0
2012-12-18,43.74,44.14,43.66,43.88,9073600,0.0,1.0
2012-12-19,43.98,43.98,43.32,43.32,5621400,0.0,1.0
2012-12-20,43.46,43.56,43.1,43.51,4362400,0.0,1.0
2012-12-21,43.43,43.48,42.97,43.32,6883900,0.0,1.0
2012-12-24,43.49,43.49,42.909,43.11,1576100,0.0,1.0
2012-12-26,43.17,43.42,42.75,42.82,3109800,0.0,1.0
2012-12-27,42.74,42.88,42.25,42.68,4079800,0.0,1.0
2012-12-28,42.44,42.97,42.24,42.33,3799700,0.0,1.0
2012-12-31,42.22,42.85,42.04,42.81,4581500,0.0,1.0
2013-01-02,43.34,43.78,43.19,43.78,4568400,0.0,1.0
2013-01-03,43.76,43.9,43.66,43.77,3847700,0.0,1.0
2013-01-04,43.82,44.21,43.0459,44.16,4448200,0.0,1.0
2013-01-07,44.0,44.09,43.275,43.39,6904300,0.0,1.0
2013-01-08,43.34,43.49,43.03,43.27,3109800,0.0,1.0
2013-01-09,43.29,43.31,42.9445,43.06,4477000,0.0,1.0
2013-01-10,43.14,43.25,43.01,43.22,5915700,0.0,1.0
2013-01-11,43.28,43.37,43.07,43.16,4185000,0.0,1.0
2013-01-14,43.18,43.3,43.02,43.05,4425300,0.0,1.0
2013-01-15,43.03,43.07,42.83,42.99,4309200,0.0,1.0
2013-01-16,42.89,43.059,42.82,42.91,5123400,0.0,1.0
2013-01-17,43.05,43.05,42.82,43.0,5378400,0.0,1.0
2013-01-18,43.15,43.49,43.09,43.49,4893100,0.0,1.0
2013-01-22,43.45,43.87,43.43,43.85,4570600,0.0,1.0
2013-01-23,43.8,43.88,43.63,43.87,3780700,0.0,1.0
2013-01-24,43.95,44.3,43.95,44.21,3750900,0.0,1.0
2013-01-25,44.3,44.84,44.19,44.45,14997700,0.0,1.0
2013-01-28,44.23,44.54,44.13,44.35,14596300,0.0,1.0
2013-01-29,44.36,44.74,44.33,44.62,15103600,0.0,1.0
