date,open,high,low,close,volume,dividend,split
2012-11-01,152.16,153.3293,150.85,152.55,1025100,0.0,1.0
2012-11-02,154.45,156.43,154.45,155.75,1908400,0.0,1.0
2012-11-05,154.42,155.665,153.52,154.73,1072700,0.0,1.0
2012-11-06,155.0,155.88,154.39,155.49,902200,0.0,1.0
2012-11-07,154.77,156.05,154.09,155.7,1777500,0.0,1.0
2012-11-08,155.36,156.07,154.16,154.16,1534100,0.0,1.0
2012-11-09,153.03,153.93,151.76,152.0,1350800,0.0,1.0
2012-11-12,152.31,152.84,151.1,152.13,974700,0.0,1.0
2012-11-13,151.44,152.96,151.43,151.81,690800,0.0,1.0
2012-11-14,151.57,151.72,147.55,148.15,1341100,1.1,1.0
2012-11-15,148.29,149.515,146.0724,146.73,1011100,0.0,1.0
2012-11-16,146.7,147.18,145.21,146.92,1976100,0.0,1.0
2012-11-19,148.36,149.18,147.58,148.95,1130200,0.0,1.0
2012-11-20,149.18,150.39,147.94,150.38,1055900,0.0,1.0
2012-11-21,150.49,150.8,149.29,150.21,994400,0.0,1.0
2012-11-23,150.78,151.85,150.47,151.62,360000,0.0,1.0
2012-11-26,150.83,153.0,150.83,152.15,1219200,0.0,1.0
2012-11-27,151.47,151.92,149.24,151.02,1722400,0.0,1.0
2012-11-28,150.74,151.11,149.69,150.24,1568900,0.0,1.0
2012-11-29,150.71,151.75,149.64,151.25,1450700,0.0,1.0
2012-11-30,151.74,153.11,151.141,152.13,2044000,0.0,1.0
2012-12-03,152.57,154.0,152.32,152.83,1273300,0.0,1.0
2012-12-04,152.51,154.0,151.97,152.55,881400,0.0,1.0
2012-12-05,152.84,152.84,151.13,152.27,1089100,0.0,1.0
2012-12-06,153.28,154.75,153.26,154.41,1272400,0.0,1.0
2012-12-07,155.0,155.78,154.402,155.65,1137800,0.0,1.0
2012-12-10,155.71,156.52,155.025,156.04,1310600,0.0,1.0
2012-12-11,158.97,159.59,155.71,156.72,1453900,0.0,1.0
2012-12-12,156.58,157.23,155.41,156.4,1200200,0.0,1.0
2012-12-13,154.19,155.2,153.41,153.99,2542200,0.0,1.0
2012-12-14,154.28,154.98,153.56,154.05,1067600,0.0,1.0
2012-12-17,155.61,156.42,154.47,155.47,1584400,0.0,1.0
2012-12-18,155.58,157.02,155.16,156.83,1611600,0.0,1.0
2012-12-19,156.82,157.12,156.01,156.39,1237600,0.0,1.0
2012-12-20,156.4,158.35,156.12,158.07,1166500,0.0,1.0
2012-12-21,156.73,158.43,156.2,157.8,2927700,0.0,1.0
2012-12-24,157.83,160.7,156.92,157.94,614900,0.0,1.0
2012-12-26,158.24,158.54,156.64,156.96,824300,0.0,1.0
2012-12-27,156.89,158.26,156.08,157.93,746400,0.0,1.0
2012-12-28,156.82,158.18,155.98,156.02,836700,0.0,1.0
2012-12-31,155.73,158.11,155.485,158.09,1094300,0.0,1.0
2013-01-02,160.19,160.73,158.46,159.8,1455000,0.0,1.0
2013-01-03,160.16,160.52,158.02,158.52,1400300,0.0,1.0
2013-01-04,158.65,159.21,157.8,158.59,1330200,0.0,1.0
2013-01-07,158.12,159.89,158.07,159.72,953800,0.0,1.0
2013-01-08,159.8,159.88,158.36,159.14,802300,0.0,1.0
2013-01-09,159.52,160.09,159.12,159.92,735500,0.0,1.0
2013-01-10,160.12,160.65,158.995,159.9,983500,0.0,1.0
2013-01-11,159.9,160.27,159.422,159.98,806800,0.0,1.0
2013-01-14,159.97,159.97,159.0,159.44,598600,0.0,1.0
2013-01-15,158.99,160.45,158.81,160.19,1300700,0.0,1.0
2013-01-16,159.55,160.3,159.13,159.72,1203700,0.0,1.0
2013-01-17,160.49,160.49,159.49,159.9,742100,0.0,1.0
2013-01-18,159.71,160.03,158.83,159.89,1555900,0.0,1.0
2013-01-22,159.87,161.2,159.63,160.95,1003000,0.0,1.0
2013-01-23,160.59,161.8,160.12,161.5,890000,0.0,1.0
2013-01-24,161.89,162.47,161.23,162.16,903500,0.0,1.0
2013-01-25,162.47,162.83,161.52,162.35,932100,0.0,1.0
2013-01-28,163.69,163.69,161.72,162.71,888500,0.0,1.0
2013-01-29,162.44,163.05,162.02,162.79,644000,0.0,1.0
2013-01-30,162.36,162.82,160.75,161.38,922100,0.0,1.0
2013-01-31,161.22,161.32,160.16,160.18,1369300,0.0,1.0
2013-02-01,161.3,163.02,160.47,161.97,1225600,0.0,1.0
2013-02-04,161.2,163.45,161.2,162.51,1296800,0.0,1.0
2013-02-05,163.54,164.32,161.51,161.76,1734000,0.0,1.0
2013-02-06,160.86,162.4,160.77,161.7,1212300,0.0,1.0
2013-02-07,161.9,162.04,160.79,160.79,981200,0.0,1.0
2013-02-08,161.06,162.81,160.79,162.76,1114700,0.0,1.0
2013-02-11,162.85,163.51,162.49,163.5,920100,0.0,1.0
2013-02-12,162.43,163.41,161.214,162.97,868400,1.15,1.0
2013-02-13,163.15,163.33,161.53,162.05,754500,0.0,1.0
2013-02-14,161.7,161.88,160.35,160.57,1187600,0.0,1.0
2013-02-15,159.84,160.45,158.72,159.9,2178800,0.0,1.0
2013-02-19,159.86,160.6,159.84,160.5,1294300,0.0,1.0
2013-02-20,160.12,161.24,159.41,159.52,1269700,0.0,1.0
2013-02-21,159.05,159.29,157.36,158.02,1257300,0.0,1.0
2013-02-22,158.34,159.86,158.28,159.72,1100700,0.0,1.0
2013-02-25,160.66,160.73,157.31,157.37,1228500,0.0,1.0
2013-02-26,157.82,159.15,156.7,157.88,1172900,0.0,1.0
2013-02-27,157.9,159.53,157.36,159.2,1022200,0.0,1.0
2013-02-28,159.4,159.96,158.63,158.86,1793000,0.0,1.0
2013-03-01,158.58,160.15,157.93,159.99,1279700,0.0,1.0
2013-03-04,159.87,162.31,159.52,161.46,1074400,0.0,1.0
2013-03-05,162.05,162.9499,161.04,162.61,896200,0.0,1.0
2013-03-06,163.42,163.42,161.46,161.92,717700,0.0,1.0
2013-03-07,162.06,162.4,159.73,160.08,1654100,0.0,1.0
2013-03-08,160.33,160.34,158.02,160.0,1667600,0.0,1.0
2013-03-11,159.99,161.03,159.33,161.0,1284500,0.0,1.0
2013-03-12,160.72,160.92,159.29,159.52,1337600,0.0,1.0
2013-03-13,159.89,160.3999,158.97,159.3,763400,0.0,1.0
2013-03-14,159.24,160.47,159.11,159.88,855600,0.0,1.0
2013-03-15,159.21,159.81,158.66,159.6,2655000,0.0,1.0
2013-03-18,158.48,159.34,157.67,158.73,1312600,0.0,1.0
2013-03-19,158.7,158.845,156.076,157.1,1810300,0.0,1.0
2013-03-20,157.95,158.47,157.5,158.47,1195800,0.0,1.0
2013-03-21,158.0,159.08,157.61,158.06,1085300,0.0,1.0
2013-03-22,158.46,159.46,158.06,159.14,800800,0.0,1.0
2013-03-25,160.2,160.46,158.96,159.36,940300,0.0,1.0
2013-03-26,160.28,160.39,158.99,159.33,1405600,0.0,1.0
2013-03-27,158.47,159.56,158.32,159.2,820900,0.0,1.0
2013-03-28,159.2,160.0,157.67,158.56,1596000,0.0,1.0
2013-04-01,158.58,159.32,158.2,159.32,1539600,0.0,1.0
2013-04-02,160.21,161.015,160.0,160.97,1006000,0.0,1.0
2013-04-03,161.73,162.0,160.74,162.0,1264800,0.0,1.0
2013-04-04,162.0,163.95,161.82,163.6,1328000,0.0,1.0
2013-04-05,162.39,166.3,162.39,166.23,2077700,0.0,1.0
2013-04-08,165.57,169.1,165.52,169.1,2261000,0.0,1.0
2013-04-09,169.3,170.0,167.85,169.11,1489500,0.0,1.0
2013-04-10,168.77,171.25,168.68,170.77,1541300,0.0,1.0
2013-04-11,171.08,174.43,170.82,174.27,2558800,0.0,1.0
2013-04-12,173.91,174.37,172.485,173.66,1210300,0.0,1.0
2013-04-15,172.35,174.07,170.4,170.44,1780700,0.0,1.0
2013-04-16,171.27,175.12,170.15,174.48,1817300,0.0,1.0
2013-04-17,173.6,173.71,171.34,172.8,1307500,0.0,1.0
2013-04-18,173.07,173.36,171.75,172.91,1109700,0.0,1.0
2013-04-19,173.25,176.11,173.08,176.11,1739900,0.0,1.0
2013-04-22,176.41,176.69,174.49,175.5,1071300,0.0,1.0
2013-04-23,176.28,176.67,174.95,176.04,1067100,0.0,1.0
2013-04-24,176.25,176.94,175.52,176.84,999200,0.0,1.0
2013-04-25,176.7,176.89,175.45,176.01,984200,0.0,1.0
2013-04-26,175.48,177.24,174.5,175.62,1004500,0.0,1.0
2013-04-29,176.29,176.62,175.45,175.99,877000,0.0,1.0
2013-04-30,176.3,178.1,175.78,178.07,1679000,0.0,1.0
2013-05-01,177.85,178.28,176.51,176.57,1380600,0.0,1.0
2013-05-02,177.18,178.97,176.32,178.03,1080800,0.0,1.0
2013-05-03,179.08,180.12,178.6301,179.44,1067000,0.0,1.0
2013-05-06,179.29,180.35,178.88,179.37,890500,0.0,1.0
2013-05-07,179.28,179.28,177.88,178.87,860700,0.0,1.0
2013-05-08,178.82,180.77,177.78,180.34,1670600,0.0,1.0
2013-05-09,180.75,180.85,178.64,178.9,1567300,0.0,1.0
2013-05-10,179.16,179.6,178.67,179.37,868300,0.0,1.0
2013-05-13,179.37,180.476,179.1,179.96,1008700,0.0,1.0
2013-05-14,180.57,180.67,178.7,179.23,1189200,0.0,1.0
2013-05-15,178.24,179.64,177.44,179.62,1549000,1.15,1.0
2013-05-16,178.88,180.29,177.13,177.56,1520000,0.0,1.0
2013-05-17,178.35,179.91,177.73,179.85,1379500,0.0,1.0
2013-05-20,179.56,180.02,178.13,178.96,794900,0.0,1.0
2013-05-21,179.1,181.3,179.1,180.23,987800,0.0,1.0
2013-05-22,179.23,182.45,174.78,176.04,1868600,0.0,1.0
2013-05-23,175.13,175.35,172.81,173.59,1485500,0.0,1.0
2013-05-24,171.99,175.05,171.51,174.47,1225400,0.0,1.0
2013-05-28,176.4,177.74,173.58,175.44,1787100,0.0,1.0
2013-05-29,174.19,174.31,169.08,171.87,1979300,0.0,1.0
2013-05-30,172.18,173.13,169.97,170.0,1418300,0.0,1.0
2013-05-31,169.23,170.92,166.39,166.44,2578900,0.0,1.0
2013-06-03,166.33,167.58,164.6698,166.68,1932900,0.0,1.0
2013-06-04,166.92,167.37,165.2,165.66,1418800,0.0,1.0
2013-06-05,165.04,165.95,163.39,163.92,1206100,0.0,1.0
2013-06-06,163.69,166.73,162.7,166.56,1303500,0.0,1.0
2013-06-07,167.49,167.83,164.39,167.26,1433000,0.0,1.0
2013-06-10,167.3,167.86,164.88,165.27,986900,0.0,1.0
2013-06-11,163.83,165.15,162.21,162.22,1395200,0.0,1.0
2013-06-12,163.14,163.25,159.02,159.67,1763800,0.0,1.0
2013-06-13,159.8,165.75,158.86,165.1,1979000,0.0,1.0
2013-06-14,165.1,168.29,164.31,166.05,1581100,0.0,1.0
2013-06-17,167.22,168.96,165.97,168.5,1912200,0.0,1.0
2013-06-18,168.36,168.64,166.82,167.3,1528100,0.0,1.0
2013-06-19,167.41,167.88,160.4,162.52,2212400,0.0,1.0
2013-06-20,160.81,160.91,153.68,154.58,3090500,0.0,1.0
2013-06-21,155.81,158.81,154.39,156.58,2928900,0.0,1.0
2013-06-24,154.84,159.06,152.02,154.98,2998800,0.0,1.0
2013-06-25,156.21,157.81,155.0,156.83,2259800,0.0,1.0
2013-06-26,158.25,159.94,157.51,158.27,1701700,0.0,1.0
2013-06-27,159.19,160.87,159.13,160.68,1796300,0.0,1.0
2013-06-28,161.12,164.63,157.92,157.92,2160800,0.0,1.0
2013-07-01,159.2,160.06,157.33,157.65,1374200,0.0,1.0
2013-07-02,157.66,162.68,157.65,162.63,2555300,0.0,1.0
2013-07-03,161.04,161.04,157.88,158.98,1251600,0.0,1.0
2013-07-05,159.0,159.74,156.365,159.47,1304500,0.0,1.0
2013-07-08,159.86,161.22,159.03,159.22,1289900,0.0,1.0
2013-07-09,160.46,162.05,159.32,161.72,1254500,0.0,1.0
2013-07-10,161.72,161.72,159.04,160.8,974100,0.0,1.0
2013-07-11,163.94,165.05,163.07,164.07,1499900,0.0,1.0
2013-07-12,164.4,164.9825,162.2,163.0,1057600,0.0,1.0
2013-07-15,162.6,163.73,162.22,162.9,911600,0.0,1.0
2013-07-16,162.92,163.66,162.3,163.0,1329800,0.0,1.0
2013-07-17,163.25,163.46,162.05,162.8,820900,0.0,1.0
