date,open,high,low,close,volume,dividend,split
2012-11-01,55.63,56.7,55.45,56.5,2318955,0.0,1.0
2012-11-02,56.75,56.75,54.27,54.43,2172797,0.0,1.0
2012-11-05,54.37,54.37,50.56,52.24,5674655,0.0,1.0
2012-11-06,51.4,53.15,51.4,52.85,2402490,0.0,1.0
2012-11-07,52.53,52.64,51.67,51.9,2710028,0.0,1.0
2012-11-08,51.84,52.04,51.08,51.11,2680737,0.0,1.0
2012-11-09,50.88,51.39,50.28,50.77,2823390,0.0,1.0
2012-11-12,50.95,51.34,50.59,51.26,1979356,0.0,1.0
2012-11-13,51.13,51.91,51.01,51.27,1409598,0.0,1.0
2012-11-14,51.33,51.3899,50.12,50.24,1300600,0.0,1.0
2012-11-15,50.36,50.88,49.88,50.15,1112384,0.0,1.0
2012-11-16,50.17,51.07,49.56,50.73,1763007,0.0,1.0
2012-11-19,51.35,51.35,50.65,50.97,1273407,0.0,1.0
2012-11-20,50.92,51.44,50.76,51.32,1153518,0.0,1.0
2012-11-21,51.29,51.44,51.0014,51.35,704088,0.0,1.0
2012-11-23,51.4,51.95,51.04,51.94,436350,0.0,1.0
2012-11-26,51.37,53.6,51.2575,51.89,4758927,0.255,1.0
2012-11-27,51.82,52.145,51.7,51.77,2469737,0.0,1.0
2012-11-28,51.71,51.77,51.295,51.41,3030911,0.0,1.0
2012-11-29,51.68,51.84,51.26,51.71,4057623,0.0,1.0
2012-11-30,51.69,53.27,51.6,53.11,2854444,0.0,1.0
2012-12-03,53.21,53.7,52.93,53.44,3585403,0.0,1.0
2012-12-04,53.15,53.44,52.93,53.21,2248825,0.0,1.0
2012-12-05,53.27,53.59,53.14,53.51,1647540,0.0,1.0
2012-12-06,53.56,54.31,53.52,54.27,1340503,0.0,1.0
2012-12-07,54.52,56.83,54.52,56.53,9297788,0.0,1.0
2012-12-10,55.03,57.39,54.52,56.56,10666850,0.0,1.0
2012-12-11,57.0,57.44,56.25,56.65,4334527,0.0,1.0
2012-12-12,56.82,57.15,55.86,56.05,3320044,0.0,1.0
2012-12-13,56.13,56.5,54.705,54.94,6748338,0.0,1.0
2012-12-14,53.08,54.39,53.08,53.98,2491694,2.5,1.0
2012-12-17,54.06,54.65,53.71,54.59,2466305,0.0,1.0
2012-12-18,54.66,54.7,53.75,54.52,2312766,0.0,1.0
2012-12-19,54.71,54.78,54.28,54.57,2977074,0.0,1.0
2012-12-20,54.58,54.93,54.494,54.9,2840380,0.0,1.0
2012-12-21,54.35,55.02,54.0,54.04,3324310,0.0,1.0
2012-12-24,54.14,54.43,53.77,53.9,534465,0.0,1.0
2012-12-26,53.92,54.01,53.46,53.79,836231,0.0,1.0
2012-12-27,53.77,54.07,53.23,53.61,1070495,0.0,1.0
2012-12-28,53.29,54.03,53.16,53.23,1128787,0.0,1.0
2012-12-31,53.11,54.68,53.11,54.67,1682144,0.0,1.0
2013-01-02,55.63,55.845,55.29,55.72,1442798,0.0,1.0
2013-01-03,55.75,55.75,55.08,55.28,1131340,0.0,1.0
2013-01-04,55.34,55.41,54.73,55.1,1440317,0.0,1.0
2013-01-07,54.83,55.36,54.56,55.18,2247899,0.0,1.0
2013-01-08,55.03,55.21,54.52,54.9,2545931,0.0,1.0
2013-01-09,54.91,55.17,54.57,54.75,903846,0.0,1.0
2013-01-10,54.92,54.92,54.25,54.3,2132285,0.0,1.0
2013-01-11,54.27,54.305,53.46,53.87,2669231,0.0,1.0
2013-01-14,53.87,54.81,53.87,54.59,1751268,0.0,1.0
2013-01-15,54.21,54.77,54.1,54.52,1967933,0.0,1.0
2013-01-16,54.14,54.49,53.59,53.71,2079687,0.0,1.0
2013-01-17,53.96,54.32,53.91,54.0,2355055,0.0,1.0
2013-01-18,54.16,54.46,54.1,54.34,2372543,0.0,1.0
2013-01-22,54.2,54.39,53.88,54.28,1827290,0.0,1.0
2013-01-23,54.28,55.7,54.22,55.69,2190392,0.0,1.0
2013-01-24,55.56,56.97,55.56,56.94,2602673,0.0,1.0
2013-01-25,56.96,57.25,56.84,56.98,1755483,0.0,1.0
2013-01-28,56.97,57.01,56.46,56.87,1088552,0.0,1.0
2013-01-29,56.64,57.3,56.3,57.18,1220441,0.0,1.0
2013-01-30,57.24,57.49,56.81,57.38,1445649,0.0,1.0
2013-01-31,57.11,57.86,57.11,57.52,6010104,0.0,1.0
2013-02-01,57.78,58.62,57.78,58.34,2144785,0.0,1.0
2013-02-04,58.04,58.39,49.26,50.3,18721277,0.0,1.0
2013-02-05,50.29,50.4,43.33,44.92,33620756,0.0,1.0
2013-02-06,46.38,46.4,44.17,44.61,15390859,0.0,1.0
2013-02-07,44.5,44.9909,43.3,43.81,9578364,0.0,1.0
2013-02-08,43.92,43.96,42.07,42.67,7888705,0.0,1.0
2013-02-11,42.79,44.69,42.52,44.28,9586165,0.0,1.0
2013-02-12,43.67,45.16,43.63,44.03,6457410,0.0,1.0
2013-02-13,44.19,44.5,43.91,44.33,5095137,0.0,1.0
2013-02-14,44.14,45.0,44.07,44.86,5003102,0.0,1.0
2013-02-15,44.82,45.3,44.2,44.95,4422029,0.0,1.0
2013-02-19,44.85,46.055,44.75,46.02,5092975,0.0,1.0
2013-02-20,45.25,46.12,45.05,45.9,4387833,0.0,1.0
2013-02-21,45.61,46.204,45.2,45.85,3500961,0.0,1.0
2013-02-22,45.84,46.11,45.67,46.04,2356324,0.28,1.0
2013-02-25,46.08,46.73,45.55,45.55,2801282,0.0,1.0
2013-02-26,45.7,46.01,44.93,45.87,2595326,0.0,1.0
2013-02-27,45.85,46.78,45.79,46.72,1951895,0.0,1.0
2013-02-28,46.51,46.95,46.19,46.55,2853013,0.0,1.0
2013-03-01,46.53,47.47,46.38,47.26,1942479,0.0,1.0
2013-03-04,47.35,47.38,46.985,47.14,1888023,0.0,1.0
2013-03-05,47.19,48.44,46.562,48.19,2982127,0.0,1.0
2013-03-06,48.18,48.57,47.6,47.93,2639656,0.0,1.0
2013-03-07,47.89,48.44,47.62,47.73,1601120,0.0,1.0
2013-03-08,47.91,48.075,47.37,47.56,2397188,0.0,1.0
2013-03-11,47.71,49.5,47.52,48.59,4403683,0.0,1.0
2013-03-12,48.46,48.68,47.7,48.45,2537958,0.0,1.0
2013-03-13,48.32,49.46,48.02,49.35,3243764,0.0,1.0
2013-03-14,49.43,49.68,48.62,48.87,1750903,0.0,1.0
2013-03-15,48.71,49.17,48.64,48.9,2382827,0.0,1.0
2013-03-18,48.33,48.515,48.0,48.39,1587564,0.0,1.0
2013-03-19,48.6,48.695,47.565,47.79,1318796,0.0,1.0
2013-03-20,47.99,48.73,47.99,48.53,1243985,0.0,1.0
2013-03-21,48.23,48.91,48.14,48.59,1343690,0.0,1.0
2013-03-22,48.7,49.1,48.19,48.37,1270918,0.0,1.0
2013-03-25,49.01,50.18,49.01,50.03,3543377,0.0,1.0
2013-03-26,50.26,50.53,49.78,50.34,2521010,0.0,1.0
2013-03-27,49.93,50.6,48.93,50.46,2403157,0.0,1.0
2013-03-28,50.51,52.38,50.33,52.08,3289065,0.0,1.0
2013-04-01,51.87,52.27,51.3,51.55,2287938,0.0,1.0
2013-04-02,51.63,52.09,51.45,51.82,1864547,0.0,1.0
2013-04-03,51.85,52.11,51.18,51.27,2191341,0.0,1.0
2013-04-04,51.12,52.03,51.02,51.37,1535687,0.0,1.0
