date,open,high,low,close,volume,dividend,split
2012-11-01,69.17,69.26,68.6,68.99,1204800,0.0,1.0
2012-11-02,69.31,69.74,69.04,69.13,1798300,0.0,1.0
2012-11-05,68.93,68.99,68.15,68.24,852600,0.0,1.0
2012-11-06,68.45,69.86,68.11,68.76,1198300,0.0,1.0
2012-11-07,68.39,68.39,66.57,67.0,1179600,0.0,1.0
2012-11-08,66.96,67.34,66.06,66.06,1066500,0.0,1.0
2012-11-09,65.8,66.2,65.53,65.79,771000,0.0,1.0
2012-11-12,65.78,66.08,65.4601,65.77,597100,0.0,1.0
2012-11-13,65.46,66.5,65.39,66.19,806000,0.0,1.0
2012-11-14,66.17,66.29,65.42,65.7,1297300,0.0,1.0
2012-11-15,65.76,66.1,65.0,65.19,1084500,0.0,1.0
2012-11-16,64.96,66.4,64.96,66.08,955400,0.0,1.0
2012-11-19,66.32,66.43,65.57,65.91,745300,0.0,1.0
2012-11-20,66.02,66.57,65.7711,66.57,1422300,0.0,1.0
2012-11-21,66.69,66.72,65.44,66.3,946500,0.0,1.0
2012-11-23,66.5,66.55,65.77,66.05,450300,0.0,1.0
2012-11-26,65.74,66.89,65.74,66.78,715500,0.0,1.0
2012-11-27,66.53,67.35,66.53,66.61,887000,0.0,1.0
2012-11-28,66.57,67.53,66.27,67.48,1116400,0.0,1.0
2012-11-29,67.61,67.87,67.2075,67.78,598500,0.0,1.0
2012-11-30,67.66,68.46,67.64,68.42,1218700,0.0,1.0
2012-12-03,68.41,69.08,68.04,68.66,1624200,0.0,1.0
2012-12-04,68.75,68.785,68.16,68.24,978000,0.0,1.0
2012-12-05,68.42,71.13,68.12,70.3,2037500,0.0,1.0
2012-12-06,70.43,71.57,70.26,71.5,1751700,0.0,1.0
2012-12-07,71.62,71.8,70.92,71.34,1614300,0.0,1.0
2012-12-10,71.22,71.71,70.93,71.22,877200,0.0,1.0
2012-12-11,71.25,71.85,71.16,71.53,1179000,0.0,1.0
2012-12-12,71.43,72.01,71.27,71.36,1320300,0.0,1.0
2012-12-13,71.46,71.73,71.07,71.44,915700,0.0,1.0
2012-12-14,71.48,71.87,71.36,71.5,956400,0.0,1.0
2012-12-17,71.57,72.79,71.51,72.74,1184700,0.0,1.0
2012-12-18,72.62,72.87,72.262,72.65,1527900,0.0,1.0
2012-12-19,72.53,72.71,72.14,72.26,831100,0.0,1.0
2012-12-20,71.99,72.39,71.73,71.95,1264900,0.0,1.0
2012-12-21,71.58,72.45,71.58,71.96,2040900,0.0,1.0
2012-12-24,71.84,71.96,71.32,71.71,294300,0.0,1.0
2012-12-26,71.59,71.82,70.93,70.99,629400,0.6,1.0
2012-12-27,70.92,71.24,69.85,70.74,715700,0.0,1.0
2012-12-28,70.48,70.95,70.07,70.19,901200,0.0,1.0
2012-12-31,69.98,71.0,69.69,70.94,1106400,0.0,1.0
2013-01-02,71.98,72.35,71.59,72.18,1187200,0.0,1.0
2013-01-03,72.21,72.62,71.75,71.96,579000,0.0,1.0
2013-01-04,72.07,72.27,71.75,72.0,901500,0.0,1.0
2013-01-07,72.02,72.25,71.67,71.85,749900,0.0,1.0
2013-01-08,71.63,71.85,70.61,70.84,1623400,0.0,1.0
2013-01-09,71.07,71.58,70.93,71.37,1049800,0.0,1.0
2013-01-10,71.65,72.1698,71.58,71.86,830800,0.0,1.0
2013-01-11,72.09,72.15,71.36,71.83,1050100,0.0,1.0
2013-01-14,71.86,72.52,71.71,72.25,918700,0.0,1.0
2013-01-15,72.22,72.89,71.59,72.7,1102500,0.0,1.0
2013-01-16,72.43,72.56,71.94,72.22,665900,0.0,1.0
2013-01-17,72.41,72.91,72.06,72.67,741800,0.0,1.0
2013-01-18,72.74,73.22,72.53,73.19,826600,0.0,1.0
2013-01-22,73.19,74.13,72.46,74.01,843300,0.0,1.0
2013-01-23,73.73,73.84,73.165,73.69,912900,0.0,1.0
2013-01-24,73.8,74.47,73.77,73.97,568900,0.0,1.0
2013-01-25,74.03,74.44,73.57,74.36,654900,0.0,1.0
2013-01-28,74.37,74.81,74.12,74.58,661900,0.0,1.0
2013-01-29,74.64,74.97,74.6,74.92,715500,0.0,1.0
2013-01-30,74.92,75.33,74.74,75.08,618700,0.0,1.0
2013-01-31,74.89,75.4,74.805,75.05,841000,0.0,1.0
2013-02-01,75.22,75.81,75.2,75.73,650000,0.0,1.0
2013-02-04,75.81,76.32,75.39,75.5,939000,0.0,1.0
2013-02-05,75.97,76.4475,75.67,75.79,614000,0.0,1.0
2013-02-06,75.5,75.89,75.35,75.74,559800,0.0,1.0
2013-02-07,75.75,76.24,75.37,75.68,843500,0.0,1.0
2013-02-08,75.6,76.19,75.4,76.14,767200,0.0,1.0
2013-02-11,76.02,76.138,75.57,75.76,600000,0.0,1.0
2013-02-12,75.77,75.94,75.49,75.83,750900,0.0,1.0
2013-02-13,75.8,76.39,75.58,76.33,608200,0.0,1.0
2013-02-14,76.2,76.5,75.31,75.35,1249000,0.0,1.0
2013-02-15,75.41,75.71,75.2575,75.62,1025600,0.0,1.0
2013-02-19,75.89,76.97,75.78,76.46,1147300,0.0,1.0
2013-02-20,76.41,76.98,75.94,75.97,909900,0.0,1.0
2013-02-21,76.04,76.3,75.69,75.83,792900,0.0,1.0
2013-02-22,75.9,76.87,75.9,76.79,1023500,0.0,1.0
2013-02-25,77.13,78.18,75.72,75.73,1108900,0.0,1.0
2013-02-26,77.25,77.55,75.24,77.05,1826300,0.0,1.0
2013-02-27,77.07,78.01,76.78,77.7,983700,0.0,1.0
2013-02-28,77.13,78.15,77.08,77.76,1248300,0.0,1.0
2013-03-01,77.56,78.48,77.03,78.45,1266500,0.0,1.0
2013-03-04,78.39,79.26,78.08,78.98,1121300,0.0,1.0
2013-03-05,79.29,79.65,79.2,79.53,864300,0.0,1.0
2013-03-06,79.57,79.75,78.98,79.23,633400,0.0,1.0
2013-03-07,79.33,79.33,78.45,78.48,878000,0.0,1.0
2013-03-08,78.78,78.86,78.105,78.65,1007000,0.0,1.0
2013-03-11,78.54,79.425,78.45,79.22,643500,0.0,1.0
2013-03-12,79.01,79.3275,78.52,78.8,740600,0.0,1.0
2013-03-13,78.45,79.34,78.1,78.92,927400,0.0,1.0
2013-03-14,78.94,79.27,78.74,79.24,691500,0.0,1.0
