date,open,high,low,close,volume,dividend,split
2012-11-01,44.68,45.32,43.84,45.05,2774800,0.0,1.0
2012-11-02,45.39,45.46,44.68,44.72,3127100,0.0,1.0
2012-11-05,45.23,46.19,45.05,45.93,4616500,0.0,1.0
2012-11-06,46.0,46.65,45.87,46.33,4424800,0.0,1.0
2012-11-07,45.68,45.85,44.63,44.72,6872700,0.0,1.0
2012-11-08,44.8,45.48,44.37,44.38,4848500,0.0,1.0
2012-11-09,44.3,44.94,44.235,44.31,4461800,0.0,1.0
2012-11-12,44.37,44.73,44.23,44.39,2628900,0.0,1.0
2012-11-13,44.14,44.77,44.0,44.28,3437500,0.0,1.0
2012-11-14,44.38,44.71,43.87,43.98,4845000,0.0,1.0
2012-11-15,43.99,44.37,43.895,44.14,4461900,0.0,1.0
2012-11-16,44.6,44.94,43.6,44.21,4634100,0.0,1.0
2012-11-19,44.69,45.5,44.69,45.29,4171700,0.0,1.0
2012-11-20,45.13,45.529,44.92,45.29,2847200,0.0,1.0
2012-11-21,45.26,45.58,45.02,45.4,2676200,0.0,1.0
2012-11-23,45.66,45.81,45.578,45.78,1479300,0.0,1.0
2012-11-26,45.38,45.4,44.66,44.9,3650600,0.0,1.0
2012-11-27,44.81,45.22,44.52,44.54,4364600,0.0,1.0
2012-11-28,44.34,44.76,44.3,44.66,3691500,0.0,1.0
2012-11-29,44.93,45.06,44.45,44.6,3283300,0.0,1.0
2012-11-30,44.56,44.76,44.31,44.44,3693500,0.0,1.0
2012-12-03,44.62,45.07,44.41,44.71,4634900,0.0,1.0
2012-12-04,44.76,45.05,44.285,44.4,5091800,0.0,1.0
2012-12-05,44.42,44.95,44.42,44.63,5065000,0.0,1.0
2012-12-06,44.62,44.7,44.05,44.57,3473400,0.0,1.0
2012-12-07,44.66,45.16,44.61,45.15,4882700,0.0,1.0
2012-12-10,45.47,45.47,44.6,44.94,2804900,0.0,1.0
2012-12-11,45.05,45.41,44.885,45.35,3470500,0.0,1.0
2012-12-12,45.49,45.98,45.22,45.41,3963700,0.0,1.0
2012-12-13,45.41,45.6,45.24,45.35,2613900,0.0,1.0
2012-12-14,45.31,45.73,45.24,45.45,3154800,0.0,1.0
2012-12-17,45.68,46.45,45.57,46.43,3343600,0.0,1.0
2012-12-18,46.41,47.3,46.25,46.97,4532700,0.0,1.0
2012-12-19,47.01,47.04,46.45,46.5,4836600,0.0,1.0
2012-12-20,46.53,46.6,46.24,46.55,3136400,0.0,1.0
2012-12-21,45.97,46.44,45.6,46.41,7871900,0.0,1.0
2012-12-24,46.4,46.65,46.24,46.38,1491000,0.0,1.0
2012-12-26,46.5,46.68,46.23,46.47,2720700,0.0,1.0
2012-12-27,46.51,46.54,45.76,46.32,3816300,0.0,1.0
2012-12-28,45.71,46.31,45.64,46.05,2820800,0.24,1.0
2012-12-31,46.0,47.06,45.86,47.01,3904600,0.0,1.0
2013-01-02,48.0,48.435,47.71,48.32,4812300,0.0,1.0
2013-01-03,48.13,48.21,47.77,48.06,4213200,0.0,1.0
2013-01-04,48.1,49.47,48.05,49.39,3500100,0.0,1.0
2013-01-07,49.18,49.48,48.82,49.44,4899100,0.0,1.0
2013-01-08,49.36,49.36,48.72,49.11,3433800,0.0,1.0
2013-01-09,49.29,49.74,49.25,49.51,4023800,0.0,1.0
2013-01-10,49.9,50.3786,49.77,50.25,5841800,0.0,1.0
2013-01-11,50.2,50.665,50.1,50.58,4191100,0.0,1.0
2013-01-14,50.56,51.07,50.36,51.01,3876900,0.0,1.0
2013-01-15,50.79,51.33,50.58,50.8,5313900,0.0,1.0
2013-01-16,50.4,50.4,49.42,49.85,6710700,0.0,1.0
2013-01-17,50.11,50.75,50.06,50.38,5741500,0.0,1.0
2013-01-18,51.52,54.17,51.52,53.36,10615700,0.0,1.0
2013-01-22,53.42,55.88,53.24,55.25,10575000,0.0,1.0
2013-01-23,54.97,55.48,54.61,55.33,5413800,0.0,1.0
2013-01-24,55.33,55.88,55.19,55.52,4184100,0.0,1.0
2013-01-25,55.51,56.61,55.22,56.45,5530100,0.0,1.0
2013-01-28,55.96,56.565,55.79,56.39,5895800,0.0,1.0
2013-01-29,56.29,56.41,55.73,56.04,5826400,0.0,1.0
2013-01-30,56.05,56.33,55.87,55.92,4680000,0.0,1.0
2013-01-31,55.78,56.0,55.6066,55.65,5534200,0.0,1.0
2013-02-01,56.1,56.59,55.91,56.36,3954100,0.0,1.0
2013-02-04,55.91,56.19,55.78,55.94,3836600,0.0,1.0
2013-02-05,55.94,56.5,55.59,56.17,3172500,0.0,1.0
2013-02-06,55.83,56.5,55.78,56.38,3091600,0.0,1.0
2013-02-07,56.5,56.84,55.94,56.23,4188900,0.0,1.0
2013-02-08,56.43,56.69,56.25,56.55,4450600,0.0,1.0
2013-02-11,56.6,57.64,56.24,56.6,7277300,0.0,1.0
2013-02-12,56.78,57.1,56.61,56.93,3501400,0.0,1.0
2013-02-13,57.0,57.13,56.79,57.07,2373900,0.0,1.0
2013-02-14,56.85,57.3701,56.63,57.2,2288900,0.0,1.0
2013-02-15,57.35,57.72,57.0,57.24,3335100,0.0,1.0
2013-02-19,56.69,57.6,56.27,57.54,3678200,0.0,1.0
2013-02-20,57.26,57.575,56.69,56.73,3697200,0.0,1.0
2013-02-21,56.51,56.7,55.83,56.09,3406600,0.0,1.0
2013-02-22,56.81,57.25,56.66,57.19,4580300,0.0,1.0
2013-02-25,57.19,58.15,56.2,56.2,6055600,0.0,1.0
2013-02-26,56.57,57.01,56.17,56.9,4067500,0.0,1.0
2013-02-27,56.93,57.2,56.525,56.97,4318700,0.0,1.0
2013-02-28,56.87,57.35,56.52,56.59,5290800,0.0,1.0
2013-03-01,56.24,56.76,55.76,56.31,3773800,0.0,1.0
2013-03-04,56.29,57.19,56.26,57.1,2398900,0.0,1.0
2013-03-05,57.32,58.02,57.32,57.5,3838900,0.0,1.0
2013-03-06,57.89,59.23,57.755,58.66,5271500,0.0,1.0
2013-03-07,58.69,58.92,58.26,58.66,3355200,0.0,1.0
2013-03-08,59.07,59.72,58.95,59.2,3499000,0.0,1.0
2013-03-11,58.96,59.45,58.6,59.38,2189800,0.0,1.0
2013-03-12,59.33,59.56,58.85,59.13,1842300,0.0,1.0
2013-03-13,59.17,59.85,59.1,59.81,2061000,0.0,1.0
2013-03-14,59.91,60.11,59.78,59.95,2564600,0.0,1.0
2013-03-15,59.93,60.29,59.7,60.03,6325800,0.0,1.0
2013-03-18,59.31,59.64,59.01,59.31,2410800,0.0,1.0
2013-03-19,59.56,59.81,58.74,59.26,2780600,0.0,1.0
2013-03-20,59.64,60.65,59.53,60.53,4200800,0.0,1.0
2013-03-21,60.23,60.24,58.82,59.0,2894300,0.0,1.0
2013-03-22,59.3,59.78,59.0,59.77,2652500,0.0,1.0
2013-03-25,60.16,60.2,59.04,59.32,2534100,0.0,1.0
2013-03-26,59.74,60.08,59.4,59.76,2599000,0.0,1.0
2013-03-27,59.06,59.44,58.71,59.41,3159800,0.26,1.0
2013-03-28,59.46,59.66,59.04,59.09,3358600,0.0,1.0
2013-04-01,59.14,59.29,58.15,58.23,2355100,0.0,1.0
2013-04-02,58.54,58.9,58.25,58.71,2386200,0.0,1.0
2013-04-03,58.72,58.81,56.76,56.91,4053800,0.0,1.0
2013-04-04,57.0,57.51,56.73,57.17,3342600,0.0,1.0
2013-04-05,56.17,57.62,55.8832,57.57,4296800,0.0,1.0
2013-04-08,57.62,57.96,57.1,57.96,2499800,0.0,1.0
2013-04-09,58.18,58.875,57.95,58.48,2971000,0.0,1.0
2013-04-10,58.76,60.1,58.616,59.94,3645000,0.0,1.0
2013-04-11,60.06,60.78,59.95,60.48,3448400,0.0,1.0
2013-04-12,60.08,60.3099,59.39,59.75,2444500,0.0,1.0
2013-04-15,59.52,59.59,57.66,57.66,3080700,0.0,1.0
2013-04-16,58.28,58.47,57.75,58.31,2549800,0.0,1.0
2013-04-17,57.66,57.91,56.67,57.29,3119300,0.0,1.0
2013-04-18,57.45,57.58,56.16,56.51,3457000,0.0,1.0
2013-04-19,56.11,56.96,54.57,56.93,6026600,0.0,1.0
2013-04-22,56.98,57.31,56.29,57.25,2980500,0.0,1.0
2013-04-23,57.59,58.29,57.4,58.26,2663100,0.0,1.0
2013-04-24,58.41,58.66,57.95,58.27,1843400,0.0,1.0
2013-04-25,58.47,58.64,58.07,58.3,1878800,0.0,1.0
2013-04-26,58.15,58.455,57.51,57.86,1714300,0.0,1.0
2013-04-29,58.07,58.285,57.75,58.15,1339100,0.0,1.0
2013-04-30,58.28,58.545,58.07,58.47,2018300,0.0,1.0
2013-05-01,58.3,58.75,57.39,57.47,2292000,0.0,1.0
2013-05-02,57.63,58.0,57.37,57.6,2371800,0.0,1.0
2013-05-03,58.24,59.71,58.11,59.45,3609500,0.0,1.0
2013-05-06,59.22,59.79,59.14,59.53,2131300,0.0,1.0
2013-05-07,59.82,59.88,59.105,59.68,1700800,0.0,1.0
2013-05-08,59.64,60.57,59.3677,60.56,2183600,0.0,1.0
2013-05-09,60.37,60.575,59.95,60.22,2149200,0.0,1.0
2013-05-10,60.2,60.45,59.7501,60.33,2089200,0.0,1.0
2013-05-13,60.34,61.8168,60.25,61.67,2506600,0.0,1.0
2013-05-14,61.7,63.75,61.6,63.59,4061000,0.0,1.0
2013-05-15,63.37,63.64,62.86,63.61,4032900,0.0,1.0
2013-05-16,63.4,64.04,63.08,63.81,3484200,0.0,1.0
2013-05-17,64.07,65.35,63.96,65.16,3522100,0.0,1.0
2013-05-20,65.03,65.27,64.57,65.19,2517100,0.0,1.0
2013-05-21,65.21,65.81,65.09,65.09,2973900,0.0,1.0
2013-05-22,65.26,66.48,65.0,65.16,5451500,0.0,1.0
2013-05-23,64.35,65.0,63.93,64.6,2593400,0.0,1.0
2013-05-24,64.1,64.54,63.681,64.49,2750300,0.0,1.0
2013-05-28,65.57,67.4,65.57,67.15,4985900,0.0,1.0
2013-05-29,66.77,68.175,66.77,66.85,6080100,0.0,1.0
2013-05-30,66.85,67.501,66.58,67.19,4161600,0.0,1.0
2013-05-31,67.06,67.795,66.18,66.18,3581500,0.0,1.0
2013-06-03,66.5,67.07,65.22,66.31,3654700,0.0,1.0
2013-06-04,66.36,67.14,66.02,66.15,3272200,0.0,1.0
2013-06-05,66.02,66.33,64.72,64.88,4228400,0.0,1.0
2013-06-06,64.79,65.53,64.23,65.53,2664900,0.0,1.0
2013-06-07,66.02,67.53,65.84,67.44,3090600,0.0,1.0
2013-06-10,67.64,67.88,67.12,67.36,2966800,0.0,1.0
2013-06-11,66.44,67.14,66.12,66.12,3410100,0.0,1.0
2013-06-12,66.67,66.67,64.83,64.91,3226700,0.0,1.0
2013-06-13,64.74,66.475,64.66,66.41,3715200,0.0,1.0
2013-06-14,66.35,66.71,65.85,66.06,3654300,0.0,1.0
2013-06-17,66.5,67.22,66.47,66.85,2937200,0.0,1.0
2013-06-18,67.11,67.43,66.58,67.32,2206400,0.0,1.0
2013-06-19,67.42,67.86,66.68,66.68,3443100,0.0,1.0
2013-06-20,66.15,66.78,65.76,65.97,4898200,0.0,1.0
2013-06-21,66.75,66.75,64.07,64.95,5697100,0.0,1.0
2013-06-24,64.27,64.815,63.23,64.09,3637400,0.0,1.0
