date,open,high,low,close,volume,dividend,split
2012-11-01,35.42,36.17,35.2,35.78,1848600,0.0,1.0
2012-11-02,36.01,36.09,35.71,35.81,1328700,0.0,1.0
2012-11-05,35.62,35.78,35.34,35.72,1331300,0.0,1.0
2012-11-06,35.81,36.61,35.73,36.36,1323800,0.0,1.0
2012-11-07,35.93,36.15,35.7,35.77,1302400,0.0,1.0
2012-11-08,35.64,35.97,34.75,34.86,1818500,0.0,1.0
2012-11-09,34.79,35.82,34.7875,35.42,1346800,0.0,1.0
2012-11-12,35.42,35.42,34.87,34.92,1815900,0.0,1.0
2012-11-13,34.79,35.07,34.24,34.29,2547600,0.0,1.0
2012-11-14,34.36,34.54,33.73,33.83,2003400,0.0,1.0
2012-11-15,33.88,33.9,33.455,33.56,1918100,0.0,1.0
2012-11-16,33.63,34.21,33.495,34.14,2403900,0.0,1.0
2012-11-19,34.5,34.7,34.11,34.62,1771100,0.0,1.0
2012-11-20,34.64,34.77,34.38,34.67,1029400,0.0,1.0
2012-11-21,34.67,34.78,34.35,34.39,944500,0.0,1.0
2012-11-23,34.66,35.11,34.62,35.11,382600,0.0,1.0
2012-11-26,34.84,34.95,34.4,34.4,1136100,0.0,1.0
2012-11-27,34.44,35.16,34.37,34.82,1828900,0.0,1.0
2012-11-28,34.7,35.49,34.57,35.36,934600,0.0,1.0
2012-11-29,35.5,35.82,35.39,35.76,1048800,0.0,1.0
2012-11-30,35.82,36.09,35.54,35.88,2474300,0.0,1.0
2012-12-03,35.98,36.1,35.7,35.93,1326600,0.0,1.0
2012-12-04,35.88,35.948,35.54,35.86,949300,0.0,1.0
2012-12-05,35.97,35.97,35.28,35.63,969500,0.0,1.0
2012-12-06,35.63,36.12,35.61,36.0,843600,0.0,1.0
2012-12-07,35.83,36.02,35.77,36.0,1009000,0.0,1.0
2012-12-10,35.99,35.99,35.51,35.75,2050700,0.0,1.0
2012-12-11,35.87,36.05,35.62,35.76,1029700,0.0,1.0
2012-12-12,35.93,36.145,35.54,35.63,1318200,0.0,1.0
2012-12-13,35.71,35.87,35.1,35.2,1207100,0.0,1.0
2012-12-14,35.11,35.52,34.93,35.3,1233000,0.0,1.0
2012-12-17,35.43,35.63,35.27,35.55,1081400,0.0,1.0
2012-12-18,35.52,35.8,35.38,35.74,1163000,0.0,1.0
2012-12-19,35.69,35.8,35.42,35.44,936600,0.0,1.0
2012-12-20,35.46,36.13,35.36,35.89,1599500,0.0,1.0
2012-12-21,35.59,35.66,34.98,35.2,2612000,0.0,1.0
2012-12-24,35.0,35.31,34.6,35.07,576600,0.0,1.0
2012-12-26,35.05,35.13,34.6,34.79,1066000,0.0,1.0
2012-12-27,34.76,34.98,34.55,34.84,1050400,0.0,1.0
