date,open,high,low,close,volume,dividend,split
2012-11-01,69.56,70.42,69.21,70.13,1562900,0.0,1.0
2012-11-02,70.54,70.62,69.81,69.87,1083200,0.0,1.0
2012-11-05,69.67,70.58,69.38,70.44,802800,0.0,1.0
2012-11-06,70.51,71.82,70.36,71.6,1365200,0.0,1.0
2012-11-07,70.9,70.91,68.8,69.37,1604400,0.0,1.0
2012-11-08,69.55,70.47,68.62,68.72,1400300,0.0,1.0
2012-11-09,68.29,69.54,67.72,68.73,1880000,0.0,1.0
2012-11-12,68.94,69.33,68.19,68.67,1035100,0.0,1.0
2012-11-13,68.14,69.89,68.14,69.36,1313700,0.0,1.0
2012-11-14,69.54,69.65,67.06,67.21,2072100,0.0,1.0
2012-11-15,67.22,67.73,66.18,66.77,1262700,0.0,1.0
2012-11-16,66.81,67.82,66.79,67.41,1413400,0.0,1.0
2012-11-19,68.43,69.86,68.15,69.86,1384500,0.0,1.0
2012-11-20,69.91,70.31,69.4501,70.06,1073000,0.0,1.0
2012-11-21,70.03,70.42,69.89,70.03,547800,0.0,1.0
2012-11-23,70.15,71.4,70.15,71.39,295100,0.0,1.0
2012-11-26,71.07,71.47,70.67,71.42,1214900,0.0,1.0
2012-11-27,71.45,71.55,70.23,70.36,1044400,0.0,1.0
2012-11-28,70.17,72.8,70.12,72.47,1916400,0.0,1.0
2012-11-29,72.92,73.87,72.82,73.3,1433800,0.0,1.0
2012-11-30,72.19,72.7,71.75,71.91,931200,0.0,1.0
2012-12-03,72.25,72.66,70.76,70.78,913900,0.0,1.0
2012-12-04,70.77,70.9,69.7,70.01,1731700,0.0,1.0
2012-12-05,69.95,70.9,68.8701,70.68,1183800,0.49,1.0
2012-12-06,70.63,71.09,70.13,71.05,944400,0.0,1.0
2012-12-07,71.32,71.6126,70.82,71.19,881000,0.0,1.0
2012-12-10,71.16,72.01,70.92,71.84,1028200,0.0,1.0
2012-12-11,72.34,72.65,71.75,72.31,1348800,0.0,1.0
2012-12-12,72.65,73.87,72.35,72.99,1314100,0.0,1.0
2012-12-13,73.01,73.07,71.78,71.99,1465300,0.0,1.0
2012-12-14,72.0,72.22,71.2,71.31,1246200,0.0,1.0
2012-12-17,71.65,72.32,71.39,72.15,1347200,0.0,1.0
2012-12-18,72.43,75.09,72.35,74.51,2285000,0.0,1.0
2012-12-19,74.46,74.62,73.91,73.95,1340100,0.0,1.0
2012-12-20,73.9,74.42,73.46,74.4,762100,0.0,1.0
2012-12-21,73.54,74.06,72.95,73.44,1420600,0.0,1.0
2012-12-24,74.99,74.99,73.1,73.43,300400,0.0,1.0
2012-12-26,73.58,73.64,72.5,72.76,526400,0.0,1.0
2012-12-27,72.89,73.05,72.01,72.67,963500,0.0,1.0
2012-12-28,72.1,72.96,72.01,72.06,732100,0.0,1.0
2012-12-31,72.01,74.03,71.78,73.97,977400,0.0,1.0
2013-01-02,75.23,75.96,74.47,75.44,1523500,0.0,1.0
2013-01-03,75.46,75.46,73.88,74.05,1853400,0.0,1.0
2013-01-04,74.3,75.3,73.98,74.76,1216600,0.0,1.0
2013-01-07,74.17,75.41,74.17,75.09,1630800,0.0,1.0
2013-01-08,74.57,75.42,74.53,75.42,1449200,0.0,1.0
2013-01-09,75.71,75.71,74.51,75.11,1150300,0.0,1.0
2013-01-10,75.39,75.83,74.965,75.83,1134600,0.0,1.0
2013-01-11,75.75,75.8,74.86,75.21,1552600,0.0,1.0
2013-01-14,75.22,75.55,74.98,75.29,954800,0.0,1.0
2013-01-15,76.38,76.89,75.41,76.14,1111200,0.0,1.0
2013-01-16,75.75,76.2099,75.56,76.05,869800,0.0,1.0
2013-01-17,76.38,77.75,76.324,77.28,1727200,0.0,1.0
2013-01-18,77.5,77.69,76.53,76.95,1348800,0.0,1.0
2013-01-22,76.87,77.961,76.51,77.89,2148700,0.0,1.0
2013-01-23,77.7,78.39,76.72,77.96,2373800,0.0,1.0
2013-01-24,77.93,78.08,75.6,77.22,3066500,0.0,1.0
2013-01-25,77.3,77.4,75.95,76.87,2071100,0.0,1.0
2013-01-28,76.82,76.87,76.03,76.58,2029300,0.0,1.0
2013-01-29,75.93,77.11,75.83,76.86,1789400,0.0,1.0
2013-01-30,76.91,77.99,76.85,77.05,1783200,0.0,1.0
2013-01-31,76.81,77.59,76.67,76.83,1400500,0.0,1.0
2013-02-01,77.48,77.84,77.04,77.37,1059200,0.0,1.0
2013-02-04,76.56,76.87,76.09,76.24,1163500,0.0,1.0
2013-02-05,76.65,77.76,76.61,77.47,1329700,0.0,1.0
2013-02-06,77.12,77.66,77.08,77.31,1709600,0.0,1.0
2013-02-07,77.5,77.5,76.18,76.3,1128100,0.0,1.0
2013-02-08,76.36,76.74,76.13,76.24,861800,0.0,1.0
2013-02-11,76.13,76.24,75.8,75.93,979100,0.0,1.0
2013-02-12,76.13,77.87,75.96,77.49,1825700,0.0,1.0
2013-02-13,77.56,77.64,77.05,77.48,1083500,0.0,1.0
2013-02-14,77.17,78.23,76.94,77.81,1459900,0.0,1.0
2013-02-15,77.91,79.06,77.65,78.46,1336100,0.0,1.0
2013-02-19,78.64,79.5,78.64,79.17,1791300,0.0,1.0
