date,open,high,low,close,volume,dividend,split
2012-11-01,52.6,53.26,52.469,53.07,1574200,0.0,1.0
2012-11-02,53.44,53.57,52.55,52.64,1300800,0.0,1.0
2012-11-05,52.57,52.81,52.16,52.71,1018900,0.0,1.0
2012-11-06,52.77,53.52,52.5,53.46,1718000,0.0,1.0
2012-11-07,53.06,53.11,52.06,52.61,2060500,0.0,1.0
2012-11-08,52.47,52.82,52.22,52.42,2282200,0.0,1.0
2012-11-09,52.3,52.98,52.23,52.53,1356800,0.0,1.0
2012-11-12,52.74,53.12,52.3,53.05,1310400,0.0,1.0
2012-11-13,52.79,53.17,52.6,52.68,1682000,0.0,1.0
2012-11-14,52.78,53.01,52.23,52.32,1804900,0.0,1.0
2012-11-15,52.33,52.53,51.87,52.0,1750300,0.0,1.0
2012-11-16,52.55,52.56,51.81,52.1,3704900,0.0,1.0
2012-11-19,52.57,53.125,52.49,53.0,2340400,0.0,1.0
2012-11-20,53.05,53.89,52.8,53.6,2361400,0.0,1.0
2012-11-21,53.62,53.8118,53.42,53.5,2009800,0.0,1.0
2012-11-23,53.66,54.53,53.61,54.52,738100,0.0,1.0
2012-11-26,54.26,54.53,53.86,54.53,1766700,0.0,1.0
2012-11-27,54.38,54.67,54.18,54.22,1362600,0.0,1.0
2012-11-28,54.08,54.61,53.59,54.6,1161400,0.0,1.0
2012-11-29,54.82,55.08,53.86,54.05,2455200,0.0,1.0
2012-11-30,54.07,54.29,53.78,54.16,2311500,0.0,1.0
2012-12-03,54.48,55.08,54.095,54.44,2977200,0.0,1.0
2012-12-04,54.5,54.71,54.04,54.35,2157700,0.0,1.0
2012-12-05,54.33,54.53,54.0,54.36,2153800,0.0,1.0
2012-12-06,54.22,54.45,53.93,54.35,1986000,0.0,1.0
2012-12-07,54.47,54.63,54.09,54.57,1437000,0.0,1.0
2012-12-10,54.38,54.82,54.37,54.79,1567200,0.0,1.0
2012-12-11,55.23,56.0,55.1,55.81,2254300,0.0,1.0
2012-12-12,55.78,56.62,55.74,56.13,1843300,0.0,1.0
2012-12-13,56.08,56.3,55.87,56.19,2265200,0.0,1.0
2012-12-14,56.0,56.295,55.74,55.78,2587400,0.0,1.0
2012-12-17,55.83,56.21,55.79,56.16,1456000,0.0,1.0
2012-12-18,56.18,56.75,55.97,56.35,2553600,0.0,1.0
2012-12-19,56.42,56.49,55.9,55.96,1677400,0.0,1.0
2012-12-20,56.03,56.58,55.779,56.57,1273700,0.0,1.0
2012-12-21,56.46,56.74,55.62,55.87,3226700,0.0,1.0
2012-12-24,55.8,55.99,55.73,55.87,703800,0.0,1.0
2012-12-26,55.88,55.99,55.27,55.43,932300,0.0,1.0
2012-12-27,55.25,55.4,54.55,55.16,1132600,0.265,1.0
2012-12-28,54.8,55.05,54.41,54.45,1094000,0.0,1.0
2012-12-31,54.34,54.82,54.07,54.82,1780100,0.0,1.0
2013-01-02,55.54,55.89,55.24,55.88,2118400,0.0,1.0
2013-01-03,55.9,56.25,55.82,56.14,1384600,0.0,1.0
2013-01-04,56.32,57.0,56.11,56.73,2471000,0.0,1.0
2013-01-07,56.65,57.22,56.6,57.07,1762600,0.0,1.0
2013-01-08,56.93,57.07,56.52,56.97,1854100,0.0,1.0
2013-01-09,57.21,58.74,57.14,58.38,2828300,0.0,1.0
2013-01-10,58.71,58.84,58.3,58.84,1815200,0.0,1.0
2013-01-11,58.82,58.9,58.48,58.84,1477800,0.0,1.0
2013-01-14,58.55,58.88,58.26,58.87,1375700,0.0,1.0
2013-01-15,58.76,59.73,58.57,59.56,2212100,0.0,1.0
2013-01-16,59.45,59.72,59.3,59.43,1170200,0.0,1.0
2013-01-17,59.72,61.17,59.71,60.62,2379400,0.0,1.0
2013-01-18,60.73,61.59,60.48,61.55,3599100,0.0,1.0
2013-01-22,61.5,61.72,61.185,61.71,1725400,0.0,1.0
2013-01-23,61.63,61.92,61.25,61.87,2350900,0.0,1.0
2013-01-24,62.01,63.65,61.6,63.45,2491300,0.0,1.0
2013-01-25,63.75,63.92,63.33,63.55,2077100,0.0,1.0
2013-01-28,63.68,63.85,63.23,63.78,1624700,0.0,1.0
2013-01-29,63.67,63.99,63.46,63.8,1189800,0.0,1.0
2013-01-30,63.69,63.81,63.33,63.38,2071800,0.0,1.0
2013-01-31,63.3,63.38,62.551,62.65,2714500,0.0,1.0
2013-02-01,62.35,63.17,61.53,63.04,2558200,0.0,1.0
2013-02-04,62.66,62.66,62.01,62.3,1855100,0.0,1.0
2013-02-05,62.3,62.86,62.27,62.8,1893100,0.0,1.0
2013-02-06,62.57,63.12,62.46,63.06,1404800,0.0,1.0
2013-02-07,62.72,63.075,62.29,63.05,1808500,0.0,1.0
2013-02-08,63.19,63.93,63.0,63.78,1083500,0.0,1.0
2013-02-11,63.67,63.9,63.35,63.9,1173200,0.0,1.0
2013-02-12,63.86,64.1,63.54,64.01,1098300,0.0,1.0
2013-02-13,64.14,64.456,63.615,63.88,847100,0.0,1.0
2013-02-14,63.76,64.14,63.59,64.02,1215900,0.0,1.0
2013-02-15,63.98,63.98,63.26,63.85,2206600,0.0,1.0
2013-02-19,63.75,63.85,63.19,63.69,2019100,0.0,1.0
2013-02-20,63.74,63.79,63.04,63.08,1561600,0.0,1.0
2013-02-21,62.75,62.77,61.59,62.17,2143000,0.0,1.0
2013-02-22,62.5,62.7,62.12,62.7,1233000,0.0,1.0
2013-02-25,62.82,63.17,62.09,62.09,1614900,0.0,1.0
2013-02-26,62.47,63.17,62.4,62.77,1975500,0.0,1.0
2013-02-27,62.8,63.84,62.7,63.66,1332100,0.0,1.0
2013-02-28,63.56,64.28,63.5,63.88,1633300,0.0,1.0
2013-03-01,63.73,65.0,63.18,64.9,2487100,0.0,1.0
2013-03-04,64.66,65.08,64.54,65.07,1414300,0.0,1.0
2013-03-05,65.06,66.37,65.06,66.0,1748400,0.0,1.0
2013-03-06,66.05,66.57,65.8,65.96,1748900,0.0,1.0
2013-03-07,66.0,66.162,65.25,65.4,1444500,0.0,1.0
2013-03-08,65.77,66.0,65.52,65.72,1499900,0.0,1.0
2013-03-11,65.83,66.265,65.68,66.22,1103900,0.0,1.0
2013-03-12,65.98,66.79,65.85,66.79,1302500,0.0,1.0
2013-03-13,66.71,66.73,66.17,66.68,1182500,0.0,1.0
2013-03-14,66.91,66.92,66.29,66.81,1158900,0.0,1.0
2013-03-15,66.58,66.72,65.72,65.93,2464200,0.0,1.0
2013-03-18,65.43,65.43,64.43,64.78,2328900,0.0,1.0
2013-03-19,65.04,65.2,64.29,64.77,1979100,0.0,1.0
2013-03-20,65.15,65.56,65.08,65.37,1277100,0.0,1.0
2013-03-21,65.15,65.36,64.15,64.54,2089000,0.0,1.0
2013-03-22,64.56,64.63,64.2263,64.57,1636900,0.0,1.0
2013-03-25,64.84,64.85,64.17,64.54,1175900,0.0,1.0
2013-03-26,64.55,64.88,64.36,64.86,869700,0.265,1.0
2013-03-27,64.59,64.92,64.19,64.87,1016400,0.0,1.0
2013-03-28,64.67,65.33,64.4,65.24,1216900,0.0,1.0
2013-04-01,65.1,65.6,64.99,65.33,1233100,0.0,1.0
2013-04-02,65.57,65.74,65.27,65.56,1185100,0.0,1.0
2013-04-03,65.62,65.64,64.8,65.25,2014600,0.0,1.0
2013-04-04,65.73,66.06,65.35,65.59,2513200,0.0,1.0
2013-04-05,64.83,65.2,64.67,65.0,2543600,0.0,1.0
2013-04-08,65.04,65.5,64.91,65.38,1646600,0.0,1.0
2013-04-09,66.02,66.48,65.75,66.34,2468000,0.0,1.0
2013-04-10,66.35,67.0,65.94,66.74,1945800,0.0,1.0
2013-04-11,66.81,67.15,66.67,66.85,1280800,0.0,1.0
2013-04-12,66.52,66.685,65.98,66.5,1121000,0.0,1.0
2013-04-15,65.98,66.3965,65.29,65.29,1546100,0.0,1.0
2013-04-16,65.27,65.27,64.16,65.08,2258500,0.0,1.0
2013-04-17,64.77,65.06,64.19,64.4,1748600,0.0,1.0
2013-04-18,64.56,64.59,63.35,63.7,1841500,0.0,1.0
2013-04-19,63.96,64.68,63.5,64.68,2109300,0.0,1.0
2013-04-22,64.71,64.8,63.81,64.15,1403900,0.0,1.0
2013-04-23,64.47,65.11,64.1,64.94,1329700,0.0,1.0
2013-04-24,64.79,65.22,64.59,64.73,1685100,0.0,1.0
2013-04-25,64.5,66.28,64.46,65.64,2300000,0.0,1.0
2013-04-26,65.5,65.5,64.75,65.06,1123900,0.0,1.0
2013-04-29,65.2,65.8,65.11,65.66,1247000,0.0,1.0
2013-04-30,65.57,65.61,64.7,65.58,1284700,0.0,1.0
2013-05-01,65.49,65.91,65.12,65.3,1171700,0.0,1.0
2013-05-02,65.53,66.5,65.33,65.78,1407300,0.0,1.0
2013-05-03,66.1,66.7,66.09,66.33,945100,0.0,1.0
2013-05-06,66.24,66.58,66.04,66.28,1044400,0.0,1.0
2013-05-07,66.27,66.44,65.95,66.39,788600,0.0,1.0
2013-05-08,66.3,66.61,66.07,66.45,1293100,0.0,1.0
2013-05-09,66.45,67.48,66.32,67.01,1190900,0.0,1.0
2013-05-10,67.0,68.23,66.83,68.21,1776700,0.0,1.0
2013-05-13,67.99,68.8601,67.85,68.6,1168800,0.0,1.0
2013-05-14,68.52,69.3,68.38,69.21,1076400,0.0,1.0
2013-05-15,69.12,69.81,69.11,69.43,1538400,0.0,1.0
2013-05-16,69.12,69.27,68.66,69.06,1920500,0.0,1.0
2013-05-17,68.61,68.97,68.28,68.9,3311400,0.0,1.0
2013-05-20,68.64,69.14,68.52,68.73,1211100,0.0,1.0
2013-05-21,69.01,69.33,68.83,69.24,1321400,0.0,1.0
2013-05-22,69.31,70.0,67.355,67.7,1948800,0.0,1.0
2013-05-23,67.17,67.74,66.95,67.24,1631500,0.0,1.0
2013-05-24,67.0,67.43,66.58,66.99,1085500,0.0,1.0
2013-05-28,67.41,68.37,67.38,67.91,977300,0.0,1.0
