date,open,high,low,close,volume,dividend,split
2012-11-01,31.09,31.66,31.0,31.57,3849800,0.0,1.0
2012-11-02,31.73,31.78,31.28,31.34,6192200,0.0,1.0
2012-11-05,30.7,30.88,30.45,30.78,4599800,0.0,1.0
2012-11-06,30.83,30.96,30.59,30.61,3348500,0.0,1.0
2012-11-07,30.51,30.57,30.2,30.24,3131100,0.0,1.0
2012-11-08,30.16,30.29,29.88,29.89,3334900,0.0,1.0
2012-11-09,29.78,30.15,29.75,30.0,2959600,0.0,1.0
2012-11-12,29.96,30.07,29.9,29.96,2480800,0.0,1.0
2012-11-13,29.86,30.14,29.83,29.96,3411300,0.0,1.0
2012-11-14,30.0,30.26,29.95,29.99,3157800,0.0,1.0
2012-11-15,29.92,30.06,29.75,29.92,3288700,0.0,1.0
2012-11-16,30.02,30.16,29.83,30.03,4175500,0.0,1.0
2012-11-19,30.22,30.47,30.08,30.47,2704700,0.0,1.0
2012-11-20,30.49,30.51,30.23,30.46,2152500,0.0,1.0
2012-11-21,30.38,30.5,30.24,30.48,2810800,0.0,1.0
2012-11-23,30.53,31.0,30.53,31.0,1263300,0.0,1.0
2012-11-26,30.84,31.0425,30.76,31.04,2744900,0.0,1.0
2012-11-27,31.0,31.5,30.9,31.27,4053400,0.0,1.0
2012-11-28,31.16,31.59,31.01,31.59,3617600,0.0,1.0
2012-11-29,31.69,31.75,31.47,31.5,2654800,0.0,1.0
2012-11-30,31.52,31.705,31.4433,31.65,2582100,0.0,1.0
2012-12-03,31.67,31.86,31.53,31.53,2436400,0.0,1.0
2012-12-04,31.49,31.6068,31.16,31.23,3438700,0.0,1.0
2012-12-05,31.32,31.74,31.25,31.67,3160900,0.0,1.0
2012-12-06,31.71,31.89,31.6425,31.87,2951800,0.0,1.0
2012-12-07,31.89,31.9,31.71,31.83,2544500,0.0,1.0
2012-12-10,31.76,31.785,31.62,31.73,1917400,0.0,1.0
2012-12-11,31.74,32.0,31.72,31.86,2443900,0.0,1.0
2012-12-12,31.94,32.09,31.77,32.04,4041100,0.0,1.0
2012-12-13,32.03,32.06,31.84,31.88,2165900,0.0,1.0
2012-12-14,31.83,32.005,31.72,31.76,1913900,0.0,1.0
2012-12-17,31.71,32.04,31.6,31.94,2159800,0.0,1.0
2012-12-18,31.94,32.25,31.86,32.24,5667300,0.0,1.0
2012-12-19,32.25,32.25,31.965,31.99,2225600,0.0,1.0
2012-12-20,32.03,32.4,31.96,32.39,3035500,0.0,1.0
2012-12-21,32.21,32.39,31.86,31.96,4923800,0.0,1.0
2012-12-24,31.87,31.98,31.78,31.93,924600,0.0,1.0
2012-12-26,31.92,31.97,31.525,31.68,1725400,0.0,1.0
2012-12-27,31.68,31.87,31.34,31.71,2765600,0.0,1.0
2012-12-28,31.56,31.69,31.38,31.41,1830100,0.0,1.0
2012-12-31,31.22,31.68,31.2,31.66,2573900,0.0,1.0
2013-01-02,31.98,31.99,31.68,31.9,3824400,0.28,1.0
2013-01-03,31.91,32.0,31.665,31.76,3259800,0.0,1.0
2013-01-04,31.79,31.9,31.7,31.85,2398800,0.0,1.0
2013-01-07,31.82,31.93,31.71,31.76,3840800,0.0,1.0
2013-01-08,31.75,31.8,31.385,31.44,1927300,0.0,1.0
2013-01-09,31.09,31.14,30.55,30.88,6508600,0.0,1.0
2013-01-10,30.93,31.15,30.8,30.95,3949100,0.0,1.0
2013-01-11,31.14,31.14,30.76,30.91,2489600,0.0,1.0
2013-01-14,30.93,31.07,30.88,31.07,2371400,0.0,1.0
2013-01-15,30.95,31.21,30.88,31.21,2424100,0.0,1.0
2013-01-16,31.16,31.21,31.08,31.15,2240400,0.0,1.0
2013-01-17,31.17,31.41,31.07,31.28,2246000,0.0,1.0
2013-01-18,31.34,31.52,31.19,31.47,2899800,0.0,1.0
2013-01-22,31.42,31.58,31.35,31.58,2072500,0.0,1.0
2013-01-23,31.49,31.865,31.44,31.72,3617100,0.0,1.0
2013-01-24,31.76,31.85,31.54,31.55,2634100,0.0,1.0
2013-01-25,31.7,31.87,31.5891,31.83,2627200,0.0,1.0
2013-01-28,31.79,31.85,31.48,31.7,2886500,0.0,1.0
2013-01-29,31.6,31.9,31.58,31.77,1887100,0.0,1.0
2013-01-30,31.65,31.72,31.45,31.62,3797100,0.0,1.0
2013-01-31,31.58,31.89,31.57,31.77,2555100,0.0,1.0
2013-02-01,31.87,32.27,31.77,32.09,4993300,0.0,1.0
2013-02-04,31.86,31.93,30.63,31.23,1872969,0.0,1.0
2013-02-05,31.4,31.65,31.25,31.37,3868300,0.0,1.0
2013-02-06,31.25,31.48,31.13,31.43,6954600,0.0,1.0
2013-02-07,31.4,31.6,31.37,31.53,2722900,0.0,1.0
2013-02-08,31.52,31.62,31.39,31.61,2429600,0.0,1.0
2013-02-11,31.65,31.82,31.56,31.56,1825200,0.0,1.0
2013-02-12,31.6,31.7,31.37,31.56,2434500,0.0,1.0
2013-02-13,31.65,31.86,31.61,31.78,3107800,0.0,1.0
2013-02-14,31.72,32.1404,31.71,32.03,4527800,0.0,1.0
2013-02-15,32.04,32.25,31.96,32.07,3102000,0.0,1.0
2013-02-19,32.04,32.4,32.04,32.29,3757700,0.0,1.0
2013-02-20,32.33,32.68,32.27,32.53,4392300,0.0,1.0
2013-02-21,32.48,32.79,32.475,32.66,4243900,0.0,1.0
2013-02-22,32.64,32.75,32.58,32.75,3582200,0.0,1.0
2013-02-25,32.8,32.86,31.99,31.99,5202600,0.0,1.0
2013-02-26,32.07,32.11,31.77,31.88,4217100,0.0,1.0
2013-02-27,31.84,32.21,31.8,32.14,3214400,0.0,1.0
2013-02-28,32.16,32.38,32.13,32.16,3161000,0.0,1.0
2013-03-01,32.15,32.48,31.95,32.48,4574600,0.0,1.0
2013-03-04,32.46,33.0,32.39,32.78,3622800,0.0,1.0
2013-03-05,32.83,32.95,32.61,32.84,4062900,0.0,1.0
2013-03-06,32.84,32.87,32.615,32.83,3720600,0.0,1.0
2013-03-07,32.81,32.92,32.53,32.67,2843600,0.0,1.0
2013-03-08,32.8,33.37,32.73,33.27,5490100,0.0,1.0
2013-03-11,33.06,33.73,33.05,33.59,5106700,0.0,1.0
2013-03-12,33.54,33.61,33.245,33.6,3617900,0.0,1.0
2013-03-13,33.6,33.78,33.49,33.76,2642200,0.0,1.0
2013-03-14,33.79,33.85,33.6,33.78,3490500,0.0,1.0
2013-03-15,33.64,33.88,33.55,33.86,3997500,0.0,1.0
2013-03-18,33.66,33.92,33.58,33.78,3470600,0.0,1.0
2013-03-19,33.82,34.52,33.82,34.42,6722800,0.0,1.0
2013-03-20,34.45,34.58,34.34,34.53,3878400,0.0,1.0
2013-03-21,34.45,34.58,34.31,34.44,2615700,0.0,1.0
2013-03-22,34.49,34.92,34.47,34.9,4249500,0.0,1.0
2013-03-25,34.88,35.09,34.74,35.02,4153000,0.0,1.0
2013-03-26,35.16,35.62,34.93,35.0,5774600,0.0,1.0
2013-03-27,34.95,35.085,34.73,35.01,4279600,0.0,1.0
2013-03-28,35.06,35.345,35.03,35.17,3920400,0.0,1.0
2013-04-01,34.95,35.31,34.95,35.24,4258400,0.0,1.0
2013-04-02,35.35,35.4,34.935,35.06,3819800,0.0,1.0
2013-04-03,34.73,34.92,34.5,34.5,3482400,0.28,1.0
2013-04-04,34.43,34.75,34.25,34.37,4131900,0.0,1.0
2013-04-05,34.17,34.53,34.14,34.38,3414200,0.0,1.0
2013-04-08,34.03,34.21,33.55,34.16,5331500,0.0,1.0
2013-04-09,34.26,34.41,34.1,34.33,4318100,0.0,1.0
2013-04-10,34.47,34.77,34.44,34.75,2507400,0.0,1.0
2013-04-11,34.79,34.85,34.535,34.63,3658700,0.0,1.0
2013-04-12,34.57,34.915,34.57,34.62,2774500,0.0,1.0
2013-04-15,34.56,34.67,33.8,33.8,3916100,0.0,1.0
2013-04-16,33.98,34.47,33.86,34.46,2826200,0.0,1.0
2013-04-17,34.38,34.44,34.086,34.23,1842500,0.0,1.0
2013-04-18,34.28,34.43,34.08,34.22,2685800,0.0,1.0
2013-04-19,34.38,34.82,34.265,34.71,3967600,0.0,1.0
