date,open,high,low,close,volume,dividend,split
2012-11-01,43.26,43.46,43.09,43.2,1185500,0.0,1.0
2012-11-02,43.45,43.71,43.26,43.31,1556600,0.0,1.0
2012-11-05,43.05,43.2489,42.79,42.94,725100,0.0,1.0
2012-11-06,43.04,43.62,42.95,43.2,2106700,0.0,1.0
2012-11-07,42.62,42.73,41.44,41.6,2350000,0.0,1.0
2012-11-08,41.2,41.85,40.9,40.9,1235400,0.0,1.0
2012-11-09,40.8,41.62,40.78,41.18,1260800,0.0,1.0
2012-11-12,41.19,41.23,40.66,40.77,1101600,0.0,1.0
2012-11-13,40.68,40.9,40.365,40.42,808700,0.0,1.0
2012-11-14,40.55,40.55,39.46,39.59,1822500,0.0,1.0
2012-11-15,39.56,40.04,39.46,39.7,1218200,0.0,1.0
2012-11-16,39.73,40.1,39.51,39.83,2511800,0.0,1.0
2012-11-19,40.15,40.45,40.1,40.28,1188900,0.0,1.0
2012-11-20,40.34,40.34,39.91,40.16,1144600,0.0,1.0
2012-11-21,40.21,40.21,39.885,40.08,1212000,0.0,1.0
2012-11-23,40.26,40.54,40.09,40.51,1060300,0.0,1.0
2012-11-26,40.47,40.5799,40.27,40.49,1513600,0.0,1.0
2012-11-27,40.42,40.55,40.18,40.23,1021800,0.0,1.0
2012-11-28,39.85,40.42,39.85,40.35,1312900,0.32,1.0
2012-11-29,40.38,41.05,40.35,41.05,3010400,0.0,1.0
2012-11-30,41.04,41.46,40.91,41.46,4764700,0.0,1.0
2012-12-03,41.66,41.81,41.32,41.52,1481200,0.0,1.0
2012-12-04,41.63,41.89,41.41,41.75,1544900,0.0,1.0
2012-12-05,41.73,42.41,41.69,42.4,1993700,0.0,1.0
2012-12-06,42.39,42.56,42.13,42.5,1431400,0.0,1.0
2012-12-07,42.55,43.045,42.54,43.01,1077400,0.0,1.0
2012-12-10,43.48,43.48,42.92,43.4,1092300,0.0,1.0
2012-12-11,43.38,43.81,43.28,43.63,1012200,0.0,1.0
2012-12-12,43.58,43.69,42.97,43.11,1444800,0.0,1.0
2012-12-13,43.27,43.48,42.99,43.15,880600,0.0,1.0
2012-12-14,43.15,43.18,42.95,43.04,1028000,0.0,1.0
2012-12-17,43.1,43.67,42.99,43.49,1141100,0.0,1.0
2012-12-18,43.51,43.99,43.45,43.86,1153300,0.0,1.0
2012-12-19,43.96,44.0,43.45,43.45,611300,0.0,1.0
2012-12-20,43.6,43.65,43.3,43.51,741100,0.0,1.0
2012-12-21,43.1,43.53,43.1,43.36,1299000,0.0,1.0
2012-12-24,43.19,43.48,43.0,43.28,247200,0.0,1.0
2012-12-26,43.3,43.42,43.1,43.2,482400,0.0,1.0
2012-12-27,43.2,43.36,42.765,43.16,723100,0.0,1.0
2012-12-28,42.92,43.04,42.68,42.71,671500,0.0,1.0
2012-12-31,42.63,42.79,42.17,42.79,996100,0.0,1.0
2013-01-02,43.42,43.54,43.11,43.54,1390800,0.0,1.0
2013-01-03,43.43,43.43,42.725,42.94,2186400,0.0,1.0
2013-01-04,42.96,43.03,42.555,42.75,1444000,0.0,1.0
2013-01-07,42.71,42.94,41.86,41.96,1989300,0.0,1.0
2013-01-08,41.77,42.04,41.26,41.83,1710800,0.0,1.0
2013-01-09,41.98,42.185,41.78,42.11,857300,0.0,1.0
2013-01-10,42.34,42.5,42.09,42.34,907800,0.0,1.0
2013-01-11,42.56,43.23,42.46,42.69,927700,0.0,1.0
2013-01-14,42.65,42.9,42.31,42.9,738500,0.0,1.0
2013-01-15,42.75,43.12,42.58,43.08,665400,0.0,1.0
2013-01-16,43.09,43.56,43.0,43.49,1038000,0.0,1.0
2013-01-17,43.77,44.24,43.48,44.21,1047100,0.0,1.0
2013-01-18,44.27,44.89,44.03,44.84,1219200,0.0,1.0
2013-01-22,44.86,45.58,44.67,45.28,1742400,0.0,1.0
2013-01-23,45.17,45.4,44.7,44.86,1103600,0.0,1.0
2013-01-24,44.93,45.67,44.93,45.47,1013100,0.0,1.0
2013-01-25,45.49,45.53,44.88,45.12,1161100,0.0,1.0
2013-01-28,45.17,45.17,44.85,45.14,760600,0.0,1.0
2013-01-29,45.08,45.54,45.06,45.52,732100,0.0,1.0
2013-01-30,45.39,45.75,45.23,45.59,899800,0.0,1.0
2013-01-31,45.48,45.57,44.86,45.18,2141400,0.0,1.0
2013-02-01,45.49,45.76,45.19,45.37,959400,0.0,1.0
2013-02-04,45.04,45.08,44.11,44.14,1410700,0.0,1.0
2013-02-05,44.33,44.74,44.22,44.58,1103300,0.0,1.0
2013-02-06,44.42,44.42,44.02,44.11,1240700,0.0,1.0
2013-02-07,44.08,44.37,44.08,44.31,725100,0.0,1.0
2013-02-08,44.29,44.5,44.23,44.41,840700,0.0,1.0
2013-02-11,44.32,44.45,44.0,44.05,785000,0.0,1.0
2013-02-12,44.07,44.35,43.9,44.22,1167100,0.0,1.0
2013-02-13,44.29,44.62,44.25,44.62,1105700,0.0,1.0
2013-02-14,44.69,45.3499,43.91,43.97,2011900,0.0,1.0
2013-02-15,44.08,44.23,43.38,43.53,1855800,0.0,1.0
2013-02-19,43.72,45.265,43.72,45.1,2195300,0.0,1.0
2013-02-20,45.07,45.255,44.57,44.6,1501000,0.0,1.0
2013-02-21,44.51,44.71,44.09,44.49,1480100,0.0,1.0
2013-02-22,44.62,46.5,44.44,46.48,2685500,0.0,1.0
2013-02-25,46.48,47.09,46.08,46.08,2103400,0.0,1.0
2013-02-26,46.12,46.5,44.91,45.0,2404100,0.0,1.0
2013-02-27,44.92,45.12,44.315,44.79,1681200,0.0,1.0
