date,open,high,low,close,volume,dividend,split
2012-11-01,62.97,63.73,62.69,62.94,6155000,0.0,1.0
2012-11-02,63.33,63.43,62.62,62.71,3711500,0.0,1.0
2012-11-05,63.17,63.61,63.08,63.4,3981200,0.0,1.0
2012-11-06,63.6,63.9,63.3,63.39,4005100,0.0,1.0
2012-11-07,63.02,63.22,62.32,62.79,5058700,0.0,1.0
2012-11-08,62.91,63.14,61.82,61.82,4568400,0.0,1.0
2012-11-09,61.69,62.43,61.51,62.02,3963600,0.0,1.0
2012-11-12,62.05,62.3,61.61,61.98,2295500,0.0,1.0
2012-11-13,61.83,62.92,61.65,62.09,3617600,0.0,1.0
2012-11-14,62.11,62.69,61.02,61.38,5525600,0.0,1.0
2012-11-15,62.23,62.98,61.14,62.44,8896000,0.0,1.0
2012-11-16,62.37,62.66,61.89,62.5,3858000,0.0,1.0
2012-11-19,62.88,63.24,62.63,63.01,5390100,0.36,1.0
2012-11-20,63.0,63.12,62.53,63.0,4713100,0.0,1.0
2012-11-21,63.04,63.82,62.89,63.72,4447800,0.0,1.0
2012-11-23,64.1,64.5,63.69,64.48,1819100,0.0,1.0
2012-11-26,64.12,64.12,62.59,62.78,6499400,0.0,1.0
2012-11-27,62.87,63.38,62.52,62.57,5039900,0.0,1.0
2012-11-28,62.51,62.98,62.27,62.81,4891800,0.0,1.0
2012-11-29,61.19,62.85,61.19,62.79,8909700,0.0,1.0
2012-11-30,62.67,63.24,62.07,63.13,6041000,0.0,1.0
2012-12-03,63.1,63.2,62.21,62.3,3570400,0.0,1.0
2012-12-04,62.31,62.31,61.35,61.99,4571400,0.0,1.0
2012-12-05,62.05,62.3,61.28,62.04,6021500,0.0,1.0
2012-12-06,62.08,62.5,61.7,62.2,3285700,0.0,1.0
2012-12-07,62.37,62.39,61.86,62.28,3634700,0.0,1.0
2012-12-10,62.18,62.27,61.71,61.96,3901900,0.0,1.0
2012-12-11,62.01,62.25,61.22,61.43,6364800,0.0,1.0
2012-12-12,61.48,61.73,60.45,60.54,8309800,0.0,1.0
2012-12-13,60.65,61.43,60.56,61.25,4233600,0.0,1.0
2012-12-14,60.97,61.3,60.47,60.5,3369100,0.0,1.0
2012-12-17,60.54,61.17,60.14,61.09,4928200,0.0,1.0
2012-12-18,61.18,62.28,61.15,62.28,5146900,0.0,1.0
2012-12-19,62.14,62.28,61.51,61.52,4660100,0.0,1.0
2012-12-20,60.7,61.03,59.86,60.36,8178600,0.0,1.0
2012-12-21,60.13,60.25,59.41,59.6,8667800,0.0,1.0
2012-12-24,59.56,59.82,59.45,59.54,1714400,0.0,1.0
2012-12-26,59.47,59.54,58.68,59.21,4671500,0.0,1.0
2012-12-27,59.07,59.31,58.49,58.93,3724100,0.0,1.0
2012-12-28,58.73,59.62,58.54,58.57,3477200,0.0,1.0
2012-12-31,58.5,59.2,58.3,59.17,3926700,0.0,1.0
2013-01-02,58.57,59.19,58.01,58.82,9523000,0.0,1.0
2013-01-03,60.55,60.78,59.46,60.16,10665800,0.0,1.0
2013-01-04,60.72,60.79,59.9,60.58,5249300,0.0,1.0
2013-01-07,60.52,61.44,60.37,61.3,4896500,0.0,1.0
2013-01-08,61.1,61.12,60.29,60.64,4928700,0.0,1.0
2013-01-09,60.73,60.77,60.14,60.18,4431400,0.0,1.0
2013-01-10,60.38,60.47,59.89,60.31,4747500,0.0,1.0
2013-01-11,60.17,60.53,59.99,60.07,4481800,0.0,1.0
2013-01-14,59.99,60.5,59.72,60.39,4444800,0.0,1.0
2013-01-15,60.41,61.5,60.16,61.09,4692200,0.0,1.0
2013-01-16,60.97,61.54,60.88,61.32,4192500,0.0,1.0
2013-01-17,61.5,61.79,61.24,61.46,3597900,0.0,1.0
2013-01-18,61.49,61.69,61.3,61.53,3675300,0.0,1.0
2013-01-22,61.53,61.68,61.29,61.49,2473200,0.0,1.0
2013-01-23,61.3,61.58,60.79,61.04,3596600,0.0,1.0
2013-01-24,61.3,62.13,61.23,61.86,4844000,0.0,1.0
2013-01-25,62.0,62.12,61.35,61.54,4552100,0.0,1.0
2013-01-28,61.58,61.65,60.76,61.13,3887000,0.0,1.0
2013-01-29,61.18,61.72,60.96,61.34,3695400,0.0,1.0
2013-01-30,61.42,61.52,60.87,60.98,3644800,0.0,1.0
2013-01-31,60.83,61.18,60.41,60.41,5309700,0.0,1.0
2013-02-01,60.94,61.56,60.82,61.15,4707900,0.0,1.0
2013-02-04,61.0,61.1,60.33,60.85,4085200,0.0,1.0
2013-02-05,61.44,62.66,61.34,62.4,6969600,0.0,1.0
2013-02-06,62.14,62.85,61.9,62.69,6060000,0.0,1.0
2013-02-07,62.6,62.87,61.99,62.3,6032900,0.0,1.0
2013-02-08,62.18,63.01,62.18,62.49,4136600,0.0,1.0
2013-02-11,62.48,62.67,61.85,62.67,3516900,0.0,1.0
2013-02-12,62.58,62.84,62.34,62.73,3379400,0.0,1.0
2013-02-13,63.0,63.28,62.43,62.69,4807100,0.0,1.0
2013-02-14,62.69,63.33,62.58,63.09,5352200,0.0,1.0
2013-02-15,62.45,62.6,60.74,61.71,14611300,0.36,1.0
2013-02-19,61.79,62.06,61.44,61.87,6881500,0.0,1.0
2013-02-20,61.98,63.21,61.62,62.65,6561200,0.0,1.0
2013-02-21,62.68,63.88,62.52,63.4,7221800,0.0,1.0
2013-02-22,63.48,63.89,62.98,63.6,5342900,0.0,1.0
2013-02-25,63.63,63.8,62.89,62.89,6177100,0.0,1.0
2013-02-26,63.1,64.3,63.05,64.05,8096600,0.0,1.0
2013-02-27,62.31,63.75,61.68,63.12,13623700,0.0,1.0
2013-02-28,63.23,64.09,62.46,62.96,8465700,0.0,1.0
2013-03-01,63.22,64.39,63.22,64.13,6536100,0.0,1.0
2013-03-04,64.88,66.92,64.65,66.44,12363500,0.0,1.0
2013-03-05,66.5,66.84,65.83,66.68,5927600,0.0,1.0
2013-03-06,66.72,66.9,66.04,66.12,4301900,0.0,1.0
2013-03-07,66.22,66.25,65.67,65.85,4017900,0.0,1.0
2013-03-08,66.11,66.47,65.71,66.35,3827600,0.0,1.0
2013-03-11,66.35,67.37,65.89,67.34,4984400,0.0,1.0
2013-03-12,67.18,67.56,66.97,67.11,4140300,0.0,1.0
2013-03-13,66.79,67.48,66.6,67.43,3636200,0.0,1.0
2013-03-14,67.5,67.5,66.87,67.34,3294000,0.0,1.0
2013-03-15,67.05,67.29,66.52,66.8,5945700,0.0,1.0
2013-03-18,66.52,67.06,66.3,66.76,3573400,0.0,1.0
2013-03-19,67.01,67.19,65.96,66.46,4063000,0.0,1.0
2013-03-20,66.97,68.87,66.9,68.52,7924900,0.0,1.0
2013-03-21,68.12,68.27,67.42,68.05,4789600,0.0,1.0
2013-03-22,68.24,68.75,68.04,68.42,3167100,0.0,1.0
2013-03-25,68.73,68.89,68.17,68.41,4260200,0.0,1.0
2013-03-26,68.42,68.77,67.95,68.61,3327400,0.0,1.0
2013-03-27,68.49,69.84,68.49,69.05,4590800,0.0,1.0
2013-03-28,69.19,69.43,68.31,68.45,3982000,0.0,1.0
2013-04-01,68.3,68.83,68.25,68.66,2734100,0.0,1.0
2013-04-02,68.96,69.11,68.31,68.83,2884500,0.0,1.0
2013-04-03,68.0,68.56,67.55,67.98,6136300,0.0,1.0
2013-04-04,68.19,68.83,68.19,68.79,3540300,0.0,1.0
2013-04-05,68.27,68.89,67.86,68.85,3800300,0.0,1.0
2013-04-08,68.9,69.49,68.8,69.26,2874200,0.0,1.0
2013-04-09,69.38,69.46,68.78,68.92,2918700,0.0,1.0
2013-04-10,69.01,69.24,68.68,68.86,3128100,0.0,1.0
2013-04-11,69.08,69.91,68.98,69.12,3962900,0.0,1.0
2013-04-12,69.04,69.71,69.04,69.49,2286200,0.0,1.0
2013-04-15,69.19,69.66,68.46,68.48,3046400,0.0,1.0
2013-04-16,67.65,68.68,67.4,68.38,7288400,0.0,1.0
2013-04-17,68.38,68.93,68.12,68.76,4696400,0.0,1.0
2013-04-18,68.73,68.85,67.81,68.29,3982200,0.0,1.0
2013-04-19,68.81,69.22,68.12,69.04,4073600,0.0,1.0
2013-04-22,68.93,69.19,68.36,69.1,2793400,0.0,1.0
2013-04-23,69.21,69.92,69.09,69.69,3289700,0.0,1.0
2013-04-24,69.9,70.5,69.32,69.71,3834100,0.0,1.0
2013-04-25,69.95,70.99,69.85,70.67,3316500,0.0,1.0
2013-04-26,70.54,70.98,70.46,70.52,2514100,0.0,1.0
2013-04-29,70.6,70.75,70.38,70.64,2295100,0.0,1.0
2013-04-30,70.54,70.64,70.13,70.56,2877600,0.0,1.0
2013-05-01,70.45,70.83,70.33,70.54,2400800,0.0,1.0
2013-05-02,69.54,69.75,68.75,69.19,9431500,0.0,1.0
2013-05-03,69.66,70.72,69.43,70.5,4902300,0.0,1.0
2013-05-06,70.36,70.36,69.74,70.03,3068500,0.0,1.0
2013-05-07,70.24,70.75,70.05,70.55,3027900,0.0,1.0
2013-05-08,70.45,70.45,69.57,69.8,3741000,0.0,1.0
2013-05-09,69.9,70.08,69.37,69.48,3659000,0.0,1.0
2013-05-10,68.93,69.74,68.9,69.74,3995100,0.0,1.0
2013-05-13,69.47,69.7,69.05,69.44,2877100,0.36,1.0
2013-05-14,69.47,69.8,69.14,69.44,3773500,0.0,1.0
2013-05-15,69.57,70.47,69.51,70.39,5177000,0.0,1.0
2013-05-16,69.83,70.35,69.66,70.0,4066800,0.0,1.0
2013-05-17,70.02,71.24,70.02,71.06,4405700,0.0,1.0
2013-05-20,70.91,71.1,70.32,70.65,2445000,0.0,1.0
2013-05-21,70.68,71.91,70.44,71.26,5386100,0.0,1.0
2013-05-22,69.51,69.7,67.58,68.4,16202100,0.0,1.0
2013-05-23,67.75,69.27,67.63,68.67,8516700,0.0,1.0
2013-05-24,68.47,69.73,68.27,69.72,5412500,0.0,1.0
2013-05-28,70.3,71.04,69.23,69.51,6160200,0.0,1.0
2013-05-29,69.38,69.89,69.19,69.42,4838900,0.0,1.0
2013-05-30,69.48,70.55,69.44,69.82,4776900,0.0,1.0
2013-05-31,69.72,70.58,69.46,69.5,5653600,0.0,1.0
2013-06-03,69.5,71.13,69.44,71.05,5941100,0.0,1.0
2013-06-04,71.87,72.77,71.37,71.51,8030400,0.0,1.0
2013-06-05,71.58,71.74,69.85,70.17,5569100,0.0,1.0
2013-06-06,70.26,70.27,69.56,70.26,5559900,0.0,1.0
2013-06-07,70.49,70.88,69.89,70.36,5114900,0.0,1.0
2013-06-10,70.33,70.75,69.71,69.88,4239200,0.0,1.0
2013-06-11,69.56,70.56,69.54,70.0,2887500,0.0,1.0
2013-06-12,70.35,70.65,69.12,69.43,4104200,0.0,1.0
2013-06-13,69.43,69.81,69.11,69.59,3183600,0.0,1.0
2013-06-14,69.38,69.63,68.95,69.03,3953500,0.0,1.0
2013-06-17,69.09,70.0,69.09,69.86,3079700,0.0,1.0
2013-06-18,69.85,70.22,69.6,70.16,2357200,0.0,1.0
2013-06-19,70.15,70.33,68.75,68.88,4931700,0.0,1.0
2013-06-20,68.41,69.09,68.37,68.66,5632600,0.0,1.0
2013-06-21,69.09,69.28,68.32,68.83,4934300,0.0,1.0
2013-06-24,68.19,68.74,67.84,68.29,4000100,0.0,1.0
2013-06-25,68.62,69.35,68.47,69.13,3587500,0.0,1.0
2013-06-26,69.5,69.52,68.83,69.12,3708300,0.0,1.0
2013-06-27,69.56,69.64,68.57,68.79,4950200,0.0,1.0
2013-06-28,68.64,69.2,68.53,68.86,7715800,0.0,1.0
2013-07-01,69.19,70.06,69.11,69.33,2638200,0.0,1.0
2013-07-02,69.38,70.36,69.29,69.56,3162300,0.0,1.0
2013-07-03,69.18,69.45,68.96,69.38,1590100,0.0,1.0
2013-07-05,69.86,70.46,69.64,70.25,2281700,0.0,1.0
2013-07-08,70.46,71.22,70.35,71.18,3742900,0.0,1.0
2013-07-09,71.22,71.97,71.22,71.77,3923600,0.0,1.0
2013-07-10,71.82,72.23,71.41,72.03,2623400,0.0,1.0
2013-07-11,72.44,72.94,72.1,72.57,3233300,0.0,1.0
2013-07-12,71.85,72.56,71.7,72.56,2711900,0.0,1.0
2013-07-15,72.48,72.64,72.14,72.35,2145300,0.0,1.0
2013-07-16,72.46,72.6,72.01,72.07,2165100,0.0,1.0
2013-07-17,72.13,72.65,72.0,72.61,2336600,0.0,1.0
2013-07-18,72.74,73.0,72.2,72.42,2502200,0.0,1.0
2013-07-19,72.55,72.83,72.38,72.55,4077200,0.0,1.0
2013-07-22,72.64,73.08,72.57,73.03,2298500,0.0,1.0
2013-07-23,73.0,73.36,72.81,73.25,2717600,0.0,1.0
2013-07-24,73.41,73.5,73.03,73.32,2670000,0.0,1.0
2013-07-25,73.07,73.16,71.18,71.82,5589600,0.0,1.0
2013-07-26,71.57,71.59,70.55,71.46,4071300,0.0,1.0
2013-07-29,71.56,71.66,70.93,71.51,2489100,0.0,1.0
2013-07-30,71.63,72.05,71.39,71.42,2912900,0.0,1.0
2013-07-31,71.6,71.9,71.05,71.25,4108200,0.0,1.0
2013-08-01,71.69,71.92,71.44,71.58,3694800,0.0,1.0
2013-08-02,71.52,71.58,71.35,71.5,5548400,0.0,1.0
2013-08-05,71.51,72.07,71.28,71.99,3073400,0.0,1.0
2013-08-06,71.87,71.93,70.81,71.79,3265700,0.0,1.0
2013-08-07,71.7,71.86,70.79,71.68,2536900,0.0,1.0
2013-08-08,71.69,71.69,70.8,71.22,3714900,0.0,1.0
2013-08-09,71.21,71.23,70.41,70.72,2382400,0.0,1.0
2013-08-12,70.48,70.94,70.32,70.76,2260600,0.0,1.0
2013-08-13,70.78,71.26,70.45,71.19,3122700,0.0,1.0
2013-08-14,70.69,70.83,69.95,70.04,5219400,0.0,1.0
2013-08-15,69.3,69.5,68.74,69.08,5749300,0.0,1.0
2013-08-16,68.82,69.05,68.52,68.58,4369800,0.0,1.0
2013-08-19,68.24,68.74,68.15,68.24,3870300,0.43,1.0
2013-08-20,68.24,68.62,67.95,67.95,6448800,0.0,1.0
2013-08-21,66.42,66.93,65.14,65.5,15246800,0.0,1.0
2013-08-22,64.94,65.39,64.07,64.24,10177600,0.0,1.0
2013-08-23,64.64,64.77,64.12,64.35,6523700,0.0,1.0
2013-08-26,64.53,64.9,64.1,64.13,4516100,0.0,1.0
2013-08-27,63.57,63.87,63.19,63.26,5801600,0.0,1.0
2013-08-28,63.28,63.58,63.15,63.27,4158000,0.0,1.0
2013-08-29,63.21,63.5,63.05,63.15,4115500,0.0,1.0
2013-08-30,63.25,63.39,63.14,63.31,4137000,0.0,1.0
2013-09-03,63.54,63.81,63.38,63.59,5982700,0.0,1.0
2013-09-04,63.59,63.8,63.44,63.55,4147900,0.0,1.0
2013-09-05,63.66,63.9,63.46,63.46,3031900,0.0,1.0
2013-09-06,63.57,63.77,63.09,63.29,3306400,0.0,1.0
2013-09-09,63.36,64.02,63.35,63.93,3364200,0.0,1.0
2013-09-10,64.45,64.89,64.2,64.73,4456400,0.0,1.0
2013-09-11,64.73,65.01,64.55,64.99,3529300,0.0,1.0
2013-09-12,65.13,65.23,63.66,64.09,5596800,0.0,1.0
2013-09-13,64.24,64.5,63.68,63.76,4115300,0.0,1.0
2013-09-16,64.28,64.45,63.71,63.79,3163300,0.0,1.0
2013-09-17,63.89,64.44,63.89,64.38,2543000,0.0,1.0
2013-09-18,64.23,65.53,64.21,65.48,4347100,0.0,1.0
