date,open,high,low,close,volume,dividend,split
2012-11-01,42.98,43.21,42.085,42.3,10300000,0.0,1.0
2012-11-02,42.67,42.89,41.41,41.52,6919400,0.0,1.0
2012-11-05,41.39,42.15,41.25,41.99,4399900,0.0,1.0
2012-11-06,42.02,42.1,41.46,41.56,4507000,0.115,1.0
2012-11-07,41.34,41.61,40.92,41.02,4546900,0.0,1.0
2012-11-08,41.02,41.16,40.305,40.36,4260000,0.0,1.0
2012-11-09,40.22,41.005,40.0788,40.73,5025400,0.0,1.0
2012-11-12,40.79,41.26,40.53,40.97,6017400,0.0,1.0
2012-11-13,41.53,42.65,40.77,42.06,13662000,0.0,1.0
2012-11-14,42.06,42.33,41.75,42.09,9050000,0.0,1.0
2012-11-15,41.98,42.2,41.33,42.0,8635800,0.0,1.0
2012-11-16,41.85,42.57,41.6,42.45,9485000,0.0,1.0
2012-11-19,42.64,44.09,42.64,44.08,9033600,0.0,1.0
2012-11-20,44.08,44.16,43.16,43.54,5793800,0.0,1.0
2012-11-21,43.68,43.91,43.22,43.46,3885200,0.0,1.0
2012-11-23,43.76,43.91,43.23,43.91,1832500,0.0,1.0
2012-11-26,43.81,43.9,43.05,43.51,4927100,0.0,1.0
2012-11-27,43.42,43.6,43.03,43.09,4093300,0.0,1.0
2012-11-28,43.06,44.115,42.84,44.04,5659100,0.0,1.0
2012-11-29,43.81,44.33,43.46,44.12,5516200,0.0,1.0
2012-11-30,44.03,44.53,43.93,44.34,5769300,0.0,1.0
2012-12-03,44.55,44.55,44.01,44.05,4243200,0.0,1.0
2012-12-04,44.11,44.19,43.35,43.35,5075700,0.0,1.0
2012-12-05,43.57,43.69,42.85,43.33,4575400,0.0,1.0
2012-12-06,43.27,43.84,43.01,43.54,3288700,0.0,1.0
2012-12-07,43.08,43.84,43.08,43.45,2917700,0.0,1.0
2012-12-10,43.45,43.53,42.93,43.08,3458100,0.0,1.0
2012-12-11,43.22,43.47,42.46,42.65,5340700,0.0,1.0
2012-12-12,42.75,42.92,42.06,42.57,6475900,0.0,1.0
2012-12-13,42.5,42.72,42.26,42.51,4164000,0.0,1.0
2012-12-14,42.38,42.68,42.3,42.61,3966400,0.0,1.0
2012-12-17,42.64,43.64,42.5,43.62,5002500,0.0,1.0
2012-12-18,43.61,43.87,43.36,43.68,5083000,0.0,1.0
2012-12-19,43.63,43.81,43.25,43.25,4098800,0.0,1.0
2012-12-20,43.32,43.5,42.04,42.35,6772400,0.0,1.0
2012-12-21,41.93,42.2,41.78,41.95,6383400,0.0,1.0
2012-12-24,41.75,42.48,41.75,42.21,2273600,0.0,1.0
2012-12-26,42.2,42.2,41.16,41.23,4512300,0.0,1.0
