date,open,high,low,close,volume,dividend,split
2012-11-01,56.31,57.57,56.13,57.19,4350600,0.0,1.0
2012-11-02,57.33,58.17,56.79,56.97,3021600,0.0,1.0
2012-11-05,56.63,57.96,56.63,57.6,2643200,0.0,1.0
2012-11-06,57.69,57.81,57.01,57.75,2819800,0.0,1.0
2012-11-07,57.23,57.86,56.55,56.95,3790000,0.0,1.0
2012-11-08,57.04,57.04,53.86,53.91,6025300,0.0,1.0
2012-11-09,53.53,54.82,53.53,53.86,4355700,0.0,1.0
2012-11-12,54.64,54.9001,54.1,54.73,2445100,0.0,1.0
2012-11-13,54.45,55.31,54.1,54.14,3365400,0.0,1.0
2012-11-14,54.63,54.83,52.92,53.12,3699500,0.0,1.0
2012-11-15,53.02,53.3099,52.2,52.81,5904200,0.0,1.0
2012-11-16,53.03,54.75,52.705,54.54,4455700,0.0,1.0
2012-11-19,55.3,56.59,55.3,56.59,3021100,0.0,1.0
2012-11-20,56.45,57.65,56.17,57.43,3564600,0.0,1.0
2012-11-21,57.58,58.73,57.47,58.28,4045200,0.0,1.0
2012-11-23,58.58,59.66,58.3701,59.66,2464000,0.0,1.0
2012-11-26,59.18,59.42,56.98,57.87,4698600,0.0,1.0
2012-11-27,58.0,59.04,57.6,57.63,3670500,0.0,1.0
2012-11-28,57.59,60.33,57.59,60.15,4931300,0.0,1.0
2012-11-29,59.23,60.02,58.56,59.36,4108400,0.0,1.0
2012-11-30,59.21,59.3,57.185,57.84,4156500,0.0,1.0
2012-12-03,58.73,58.99,57.74,58.2,3056800,0.0,1.0
2012-12-04,58.14,58.47,56.72,57.52,3326200,0.0,1.0
2012-12-05,57.83,57.85,56.55,57.35,2922900,0.3,1.0
2012-12-06,57.31,57.9799,56.89,57.87,2638400,0.0,1.0
2012-12-07,58.32,58.76,57.25,57.64,2344000,0.0,1.0
2012-12-10,57.65,57.95,56.045,56.32,3094400,0.0,1.0
2012-12-11,56.0,56.65,55.68,56.43,4271400,0.0,1.0
2012-12-12,56.86,57.35,56.02,56.43,3706100,0.0,1.0
2012-12-13,56.56,57.4864,56.34,56.64,2863100,0.0,1.0
2012-12-14,56.51,57.555,56.51,57.05,2498200,0.0,1.0
2012-12-17,57.05,57.91,56.6101,57.89,2842500,0.0,1.0
2012-12-18,58.09,59.49,57.95,58.92,4123100,0.0,1.0
2012-12-19,59.18,59.98,58.65,59.16,3684400,0.0,1.0
2012-12-20,59.29,59.58,57.51,58.42,3467000,0.0,1.0
2012-12-21,57.97,58.07,57.0501,57.57,3496200,0.0,1.0
2012-12-24,57.25,58.08,57.25,57.52,983400,0.0,1.0
2012-12-26,57.23,57.52,53.88,54.13,5600900,0.0,1.0
2012-12-27,54.16,55.38,53.91,54.86,3750400,0.0,1.0
2012-12-28,54.44,55.44,54.01,54.3,2677500,0.0,1.0
2012-12-31,54.04,55.58,53.95,55.51,2272900,0.0,1.0
2013-01-02,56.9,57.53,54.51,55.13,4835200,0.0,1.0
2013-01-03,55.5,55.7799,54.71,54.95,4163300,0.0,1.0
2013-01-04,55.22,56.36,55.22,55.51,6416200,0.0,1.0
2013-01-07,55.51,56.08,55.02,55.63,3681400,0.0,1.0
2013-01-08,55.88,57.64,55.77,57.33,4130600,0.0,1.0
2013-01-09,57.48,58.58,57.4,57.96,4801400,0.0,1.0
2013-01-10,57.64,57.97,56.24,57.49,5513100,0.0,1.0
2013-01-11,57.6,59.31,57.56,58.89,5109200,0.0,1.0
2013-01-14,59.4,61.8,59.32,61.01,6283300,0.0,1.0
2013-01-15,60.81,61.43,60.12,61.41,3693800,0.0,1.0
2013-01-16,60.82,61.41,60.4,61.0,2243500,0.0,1.0
2013-01-17,61.13,61.843,60.59,61.57,2916100,0.0,1.0
2013-01-18,61.49,61.94,60.87,61.8,3454500,0.0,1.0
2013-01-22,61.6,61.6,59.86,60.68,6182200,0.0,1.0
2013-01-23,50.98,52.4375,50.47,50.75,50973600,0.0,1.0
2013-01-24,51.36,51.46,50.75,50.9,14510500,0.0,1.0
2013-01-25,51.47,51.7,50.68,51.21,11299900,0.0,1.0
2013-01-28,51.39,51.5886,50.83,51.52,5973500,0.0,1.0
2013-01-29,51.77,52.35,51.48,52.22,7132900,0.0,1.0
2013-01-30,52.27,52.35,51.3501,51.55,7867600,0.0,1.0
2013-01-31,51.73,52.03,50.8402,51.0,5768200,0.0,1.0
2013-02-01,51.38,51.39,49.54,49.87,9586200,0.0,1.0
