date,open,high,low,close,volume,dividend,split
2012-11-01,71.16,72.12,69.73,70.23,5292500,0.0,1.0
2012-11-02,70.39,70.45,68.73,69.62,5155100,0.0,1.0
2012-11-05,69.06,69.53,68.56,69.11,2704700,0.0,1.0
2012-11-06,69.28,70.49,69.23,70.17,2474600,0.0,1.0
2012-11-07,69.79,69.79,68.44,68.71,3332500,0.0,1.0
2012-11-08,68.71,69.57,68.63,69.0,3039500,0.0,1.0
2012-11-09,68.38,69.34,67.82,68.98,2747300,0.0,1.0
2012-11-12,69.34,69.35,67.86,68.43,1972800,0.0,1.0
2012-11-13,67.99,68.96,67.89,68.23,2266100,0.0,1.0
2012-11-14,68.42,69.04,67.89,68.07,2371000,0.0,1.0
2012-11-15,68.32,68.59,67.95,68.32,2315700,0.0,1.0
2012-11-16,68.41,68.74,67.77,68.65,3196800,0.0,1.0
2012-11-19,69.2,69.58,68.83,69.54,3027400,0.0,1.0
2012-11-20,69.6,69.77,69.09,69.64,1733000,0.0,1.0
2012-11-21,69.57,70.23,69.18,70.22,1577100,0.0,1.0
2012-11-23,70.26,71.29,70.18,71.27,856500,0.0,1.0
2012-11-26,70.81,71.25,70.46,70.86,1766300,0.0,1.0
2012-11-27,70.74,71.32,70.52,70.83,1876000,0.0,1.0
2012-11-28,70.61,70.99,69.8,70.96,2239500,0.0,1.0
2012-11-29,71.1,71.65,70.89,71.18,1498600,0.0,1.0
2012-11-30,71.41,71.42,70.58,70.82,2778300,0.0,1.0
2012-12-03,70.91,71.44,70.655,70.95,1807900,0.0,1.0
2012-12-04,71.07,71.31,70.52,70.53,1808400,0.0,1.0
2012-12-05,72.22,74.36,71.81,74.0,5874000,0.0,1.0
2012-12-06,73.76,73.76,72.89,73.15,2500600,0.46,1.0
2012-12-07,73.51,73.87,73.15,73.39,2303600,0.0,1.0
2012-12-10,73.32,73.72,73.18,73.34,2515800,0.0,1.0
2012-12-11,73.54,73.73,73.21,73.43,2004400,0.0,1.0
2012-12-12,73.64,74.16,73.26,73.31,2535600,0.0,1.0
2012-12-13,73.44,73.96,73.19,73.23,1952500,0.0,1.0
2012-12-14,73.34,73.62,73.04,73.37,2068100,0.0,1.0
2012-12-17,73.75,74.5,73.6099,74.19,2714300,0.0,1.0
2012-12-18,74.25,74.49,73.92,74.33,2773900,0.0,1.0
2012-12-19,74.48,74.5,73.41,73.43,3640600,0.0,1.0
2012-12-20,73.43,73.952,73.2,73.82,2431500,0.0,1.0
2012-12-21,73.47,73.57,72.73,72.82,4534100,0.0,1.0
2012-12-24,72.61,72.74,72.33,72.36,825900,0.0,1.0
2012-12-26,72.47,72.7,72.155,72.27,1630900,0.0,1.0
2012-12-27,72.27,72.43,71.11,71.82,2013000,0.0,1.0
2012-12-28,71.24,71.84,71.13,71.24,1559600,0.0,1.0
2012-12-31,71.01,71.84,70.73,71.82,2128600,0.0,1.0
2013-01-02,73.09,73.09,72.5,72.86,2886500,0.0,1.0
2013-01-03,72.8,73.6,72.52,73.42,2124800,0.0,1.0
2013-01-04,73.5,74.19,73.36,74.06,2013300,0.0,1.0
2013-01-07,73.67,73.89,72.6,73.06,2207500,0.0,1.0
2013-01-08,72.98,73.39,72.85,73.19,1431200,0.0,1.0
2013-01-09,73.42,74.125,73.32,73.94,1617100,0.0,1.0
2013-01-10,74.31,74.47,74.0,74.45,2358200,0.0,1.0
2013-01-11,74.39,74.87,74.29,74.85,1266600,0.0,1.0
2013-01-14,74.87,75.14,74.58,74.95,859300,0.0,1.0
2013-01-15,74.69,75.71,74.5101,75.56,1803100,0.0,1.0
2013-01-16,75.48,75.92,75.11,75.55,1238300,0.0,1.0
2013-01-17,75.62,76.12,75.29,75.9,1524200,0.0,1.0
2013-01-18,76.09,76.665,75.95,76.31,2672100,0.0,1.0
2013-01-22,79.5,80.0,77.76,77.95,4917500,0.0,1.0
2013-01-23,78.06,78.1,77.15,77.64,2496000,0.0,1.0
2013-01-24,77.78,78.4899,77.62,78.09,1546700,0.0,1.0
2013-01-25,78.25,78.55,77.82,78.35,1524200,0.0,1.0
2013-01-28,78.2,78.44,77.33,77.35,1703600,0.0,1.0
2013-01-29,77.4,78.0,77.28,77.81,1455500,0.0,1.0
2013-01-30,77.63,77.87,77.09,77.58,1728200,0.0,1.0
2013-01-31,77.59,78.59,77.49,78.46,3044600,0.0,1.0
2013-02-01,79.0,80.44,78.96,79.89,3129600,0.0,1.0
2013-02-04,78.57,78.83,77.79,78.0,3545600,0.0,1.0
2013-02-05,78.2,79.03,78.0,78.65,2661400,0.0,1.0
2013-02-06,78.15,78.98,78.03,78.96,2224200,0.0,1.0
2013-02-07,79.14,79.16,78.05,79.12,2285900,0.0,1.0
2013-02-08,79.12,79.12,78.43,78.86,2422000,0.0,1.0
2013-02-11,78.75,79.32,78.53,79.21,1648800,0.0,1.0
2013-02-12,79.1,80.18,79.1,79.9,1745600,0.0,1.0
2013-02-13,79.9,80.305,79.81,79.99,1457600,0.0,1.0
2013-02-14,79.64,80.47,79.53,80.34,1810600,0.0,1.0
2013-02-15,80.76,80.85,79.95,80.39,2257700,0.0,1.0
2013-02-19,80.5,81.07,80.27,80.6,2199800,0.0,1.0
2013-02-20,80.66,80.9565,80.07,80.11,2046900,0.0,1.0
2013-02-21,80.08,80.4,79.92,80.38,2422200,0.0,1.0
2013-02-22,80.68,81.15,80.58,81.01,1773600,0.0,1.0
2013-02-25,80.99,81.0,79.25,79.25,2491300,0.0,1.0
2013-02-26,79.42,80.105,79.28,80.04,2062300,0.0,1.0
2013-02-27,80.11,80.84,79.87,80.78,1385800,0.0,1.0
2013-02-28,80.61,81.25,80.33,80.42,2160800,0.0,1.0
2013-03-01,80.16,80.72,79.35,80.69,1843700,0.0,1.0
2013-03-04,80.65,80.65,79.99,80.52,1501600,0.0,1.0
2013-03-05,80.79,82.0,80.5625,81.46,2079000,0.0,1.0
2013-03-06,81.61,81.88,80.9,81.07,1277400,0.46,1.0
