date,open,high,low,close,volume,dividend,split
2012-11-01,16.85,17.22,16.81,17.19,7239000,0.0,1.0
2012-11-02,17.32,17.4,17.11,17.13,2481500,0.0,1.0
2012-11-05,17.09,17.13,16.81,17.07,2585400,0.0,1.0
2012-11-06,17.13,17.38,17.1,17.26,2665900,0.0,1.0
2012-11-07,17.18,17.25,16.87,17.02,3213300,0.0,1.0
2012-11-08,16.99,17.1635,16.645,16.71,4680200,0.0,1.0
2012-11-09,16.65,16.87,16.5,16.81,5165000,0.0,1.0
2012-11-12,16.81,16.92,16.73,16.91,3933100,0.0,1.0
2012-11-13,16.82,17.23,16.72,17.11,4309200,0.0,1.0
2012-11-14,17.08,17.11,16.7,16.74,5607800,0.0,1.0
2012-11-15,16.72,16.83,16.55,16.76,4258400,0.0,1.0
2012-11-16,16.74,17.03,16.6,16.88,9164100,0.0,1.0
2012-11-19,17.7,18.8,17.65,18.72,21736300,0.0,1.0
2012-11-20,18.65,19.08,18.59,19.07,8867000,0.0,1.0
2012-11-21,19.02,19.13,18.86,18.99,4710100,0.0,1.0
2012-11-23,19.1,19.3,19.01,19.25,2625600,0.0,1.0
2012-11-26,19.11,19.38,19.02,19.36,5441600,0.0,1.0
2012-11-27,19.33,19.4,19.04,19.11,5244000,0.0,1.0
2012-11-28,18.95,19.26,18.92,19.08,5121100,0.15,1.0
2012-11-29,19.11,19.25,19.03,19.19,3737200,0.0,1.0
2012-11-30,19.15,19.21,19.01,19.17,3847100,0.0,1.0
2012-12-03,19.25,19.37,19.13,19.22,4153700,0.0,1.0
2012-12-04,19.24,19.31,19.03,19.28,4893600,0.0,1.0
2012-12-05,19.33,19.68,19.3,19.6,5840600,0.0,1.0
2012-12-06,19.6,19.74,19.5799,19.68,4053600,0.0,1.0
2012-12-07,19.69,19.735,19.38,19.63,4302900,0.0,1.0
2012-12-10,19.59,19.64,19.47,19.56,3677700,0.0,1.0
2012-12-11,19.55,19.85,19.53,19.71,3942600,0.0,1.0
2012-12-12,19.74,19.91,19.64,19.71,2570900,0.0,1.0
