date,open,high,low,close,volume,dividend,split
2012-11-01,47.01,47.92,46.82,47.19,4354300,0.0,1.0
2012-11-02,47.55,47.64,47.02,47.02,3185300,0.0,1.0
2012-11-05,46.85,47.64,46.73,47.58,1793900,0.0,1.0
2012-11-06,47.65,48.38,47.5,47.94,2998200,0.0,1.0
2012-11-07,47.46,47.53,46.63,46.84,3577800,0.0,1.0
2012-11-08,46.79,47.39,46.52,46.55,2651600,0.0,1.0
2012-11-09,46.36,46.71,45.81,45.86,3209000,0.0,1.0
2012-11-12,45.99,46.1399,45.48,45.93,1995100,0.0,1.0
2012-11-13,45.44,46.48,44.93,46.09,3097300,0.0,1.0
2012-11-14,46.28,46.4,45.12,45.29,3840200,0.0,1.0
2012-11-15,45.32,45.93,45.04,45.32,3357900,0.0,1.0
2012-11-16,46.11,46.11,44.65,45.29,3551500,0.0,1.0
2012-11-19,45.78,46.57,45.68,46.44,2893800,0.0,1.0
2012-11-20,46.28,47.25,46.18,47.25,2640000,0.0,1.0
2012-11-21,47.18,47.77,47.05,47.61,1862000,0.0,1.0
2012-11-23,47.75,48.23,47.62,48.23,1070800,0.0,1.0
2012-11-26,48.0,48.2,47.76,47.91,1578200,0.0,1.0
2012-11-27,47.85,48.19,47.67,47.76,1719400,0.0,1.0
2012-11-28,47.62,48.23,47.3099,48.21,2064200,0.0,1.0
2012-11-29,48.35,48.76,48.12,48.67,1965300,0.0,1.0
2012-11-30,48.7,48.88,48.3,48.78,2853900,0.0,1.0
2012-12-03,48.96,49.0,47.95,47.96,3238000,0.0,1.0
2012-12-04,47.94,48.53,47.63,47.85,2235300,0.0,1.0
2012-12-05,47.95,48.74,47.55,48.44,2328200,0.0,1.0
2012-12-06,48.42,48.42,47.56,48.2,2060600,0.0,1.0
2012-12-07,48.5,49.31,48.11,48.69,4844400,0.0,1.0
2012-12-10,49.6,50.03,47.77,47.79,8797000,0.0,1.0
2012-12-11,48.04,48.19,47.06,47.64,5001100,0.0,1.0
2012-12-12,47.74,48.06,47.53,47.69,4547700,0.16,1.0
2012-12-13,47.62,48.21,47.47,47.56,2612900,0.0,1.0
2012-12-14,47.45,47.95,47.44,47.6,2151000,0.0,1.0
2012-12-17,47.76,47.87,47.15,47.35,2464500,0.0,1.0
2012-12-18,47.33,48.32,47.19,48.23,2525600,0.0,1.0
2012-12-19,48.5,48.68,48.29,48.48,2172300,0.0,1.0
2012-12-20,48.44,48.895,48.41,48.87,2318200,0.0,1.0
2012-12-21,48.29,48.62,46.98,47.11,6058100,0.0,1.0
2012-12-24,46.81,47.34,46.59,47.0,859600,0.0,1.0
2012-12-26,47.01,47.33,46.64,46.79,1308500,0.0,1.0
2012-12-27,46.87,47.21,46.505,47.08,1268200,0.0,1.0
2012-12-28,46.81,47.395,46.76,46.88,1817900,0.0,1.0
2012-12-31,46.68,47.99,46.54,47.96,2251900,0.0,1.0
2013-01-02,49.49,49.9,48.935,49.47,4113500,0.0,1.0
2013-01-03,49.28,49.53,48.76,48.96,2629900,0.0,1.0
2013-01-04,49.06,49.85,48.9701,49.77,2614600,0.0,1.0
2013-01-07,48.99,49.12,48.06,48.99,2038100,0.0,1.0
2013-01-08,48.78,49.24,48.57,49.23,2005500,0.0,1.0
2013-01-09,49.4,49.57,48.91,49.21,1729800,0.0,1.0
2013-01-10,49.5,49.7,48.96,49.62,2105900,0.0,1.0
2013-01-11,49.66,49.68,49.29,49.6,1015100,0.0,1.0
2013-01-14,49.58,49.75,49.11,49.75,1249200,0.0,1.0
2013-01-15,49.41,49.9,49.41,49.79,1312000,0.0,1.0
2013-01-16,49.52,49.6499,49.28,49.47,1044400,0.0,1.0
2013-01-17,49.66,51.03,49.47,50.95,2467400,0.0,1.0
2013-01-18,51.17,51.24,50.13,50.63,2801400,0.0,1.0
2013-01-22,50.53,50.76,50.34,50.69,1648700,0.0,1.0
2013-01-23,50.69,51.0,50.62,50.84,1827900,0.0,1.0
2013-01-24,50.88,51.52,50.88,51.09,2812400,0.0,1.0
2013-01-25,51.17,51.48,50.99,51.47,2003000,0.0,1.0
2013-01-28,51.66,51.69,50.86,51.15,1309500,0.0,1.0
2013-01-29,51.21,51.52,50.92,51.47,1853800,0.0,1.0
2013-01-30,51.48,51.7266,51.1,51.62,2094900,0.0,1.0
2013-01-31,51.49,51.75,51.14,51.39,2223800,0.0,1.0
2013-02-01,51.99,52.7,50.92,52.36,4010200,0.0,1.0
2013-02-04,52.19,53.24,51.745,51.8,3004600,0.0,1.0
2013-02-05,52.09,53.36,51.78,53.15,2991700,0.0,1.0
2013-02-06,52.86,52.95,52.19,52.77,2489700,0.0,1.0
2013-02-07,52.76,52.77,51.73,52.01,3014100,0.0,1.0
2013-02-08,52.13,53.45,52.066,53.43,2849300,0.0,1.0
2013-02-11,53.21,53.37,52.87,52.95,2245900,0.0,1.0
2013-02-12,53.08,53.27,52.77,53.05,2131600,0.0,1.0
2013-02-13,53.14,53.5,52.98,53.19,1926900,0.0,1.0
2013-02-14,53.23,53.57,53.02,53.03,2895200,0.0,1.0
2013-02-15,53.22,53.42,52.87,53.03,2654800,0.0,1.0
2013-02-19,53.05,53.65,52.845,53.64,3025900,0.0,1.0
2013-02-20,53.75,53.9,52.8,52.88,3030500,0.0,1.0
2013-02-21,52.58,52.75,52.06,52.25,3455000,0.0,1.0
2013-02-22,52.62,52.94,52.26,52.61,2695300,0.0,1.0
2013-02-25,52.86,53.16,50.902,50.93,2969400,0.0,1.0
2013-02-26,51.14,51.74,50.91,51.3,2503400,0.0,1.0
2013-02-27,51.47,52.57,51.26,52.36,1526100,0.0,1.0
2013-02-28,52.26,52.92,52.1,52.65,1941700,0.0,1.0
2013-03-01,52.21,52.53,51.54,51.93,1725500,0.0,1.0
2013-03-04,51.72,52.2157,51.61,52.09,2051200,0.0,1.0
2013-03-05,52.45,53.3,52.31,53.24,1882800,0.0,1.0
2013-03-06,53.5,53.75,53.04,53.44,1377400,0.0,1.0
2013-03-07,53.44,54.151,53.265,53.72,2799300,0.0,1.0
2013-03-08,53.89,54.37,53.65,54.31,1753000,0.21,1.0
2013-03-11,54.12,54.88,54.087,54.83,1719700,0.0,1.0
2013-03-12,54.63,55.12,54.605,55.03,3197900,0.0,1.0
2013-03-13,55.02,55.17,54.67,55.15,1672200,0.0,1.0
2013-03-14,55.25,55.85,55.08,55.79,2017500,0.0,1.0
2013-03-15,55.57,55.75,55.1801,55.39,2496100,0.0,1.0
2013-03-18,54.78,55.41,54.68,55.04,1140400,0.0,1.0
2013-03-19,55.09,55.41,54.46,55.12,1772900,0.0,1.0
2013-03-20,55.38,56.77,55.38,56.47,3321800,0.0,1.0
2013-03-21,56.06,56.14,55.3,55.6,2157100,0.0,1.0
2013-03-22,55.75,55.795,55.22,55.51,2127300,0.0,1.0
2013-03-25,55.86,56.1,54.71,55.08,2197700,0.0,1.0
2013-03-26,55.52,55.7,54.95,55.38,2335700,0.0,1.0
2013-03-27,54.56,54.95,53.99,54.36,2764000,0.0,1.0
2013-03-28,54.47,55.04,54.15,55.01,3320900,0.0,1.0
2013-04-01,55.02,55.35,54.31,54.4,2982000,0.0,1.0
2013-04-02,54.67,55.08,54.13,54.25,2474500,0.0,1.0
2013-04-03,54.19,54.86,53.81,53.92,3270400,0.0,1.0
2013-04-04,54.13,54.79,53.96,54.49,2922600,0.0,1.0
2013-04-05,53.52,54.25,53.34,54.01,3337000,0.0,1.0
2013-04-08,54.08,55.0,54.05,54.9,2605000,0.0,1.0
2013-04-09,55.03,55.68,54.94,55.61,3825200,0.0,1.0
2013-04-10,55.69,56.3,55.58,56.15,3001700,0.0,1.0
